Trading_Code,Date,Open,High,Low,Close,Volume
LINDEBD,2025-04-08,940.0,942.0,936.5,940.3,34593.0
LINDEBD,2025-04-07,942.6,943.0,932.0,939.6,17260.0
LINDEBD,2025-04-06,950.0,954.9,930.5,943.7,17211.0
LINDEBD,2025-03-27,948.9,950.9,947.2,949.8,10577.0
LINDEBD,2025-03-25,946.0,950.2,943.0,944.1,9233.0
LINDEBD,2025-03-24,945.0,949.4,942.0,945.2,12792.0
LINDEBD,2025-03-23,940.0,949.9,939.9,942.4,17825.0
LINDEBD,2025-03-20,943.8,947.9,932.0,939.7,16685.0
LINDEBD,2025-03-19,949.6,955.0,935.1,937.4,20322.0
LINDEBD,2025-03-18,934.0,969.0,918.0,949.7,39697.0
LINDEBD,2025-03-17,950.9,961.0,930.0,935.6,55666.0
LINDEBD,2025-03-16,1011.0,1011.0,950.0,959.6,95804.0
LINDEBD,2025-03-13,1065.0,1078.0,1026.1,1041.6,66657.0
LINDEBD,2025-03-12,1129.9,1130.0,1070.1,1073.9,82963.0
LINDEBD,2025-03-11,1120.0,1145.0,1110.0,1119.4,99714.0
LINDEBD,2025-03-10,1089.0,1127.0,1076.1,1114.8,86009.0
LINDEBD,2025-03-09,1087.6,1087.6,1020.2,1077.0,128380.0
LINDEBD,2025-03-06,1020.0,1045.0,1010.1,1023.7,31486.0
LINDEBD,2025-03-05,1053.0,1079.0,1020.0,1028.4,49736.0
LINDEBD,2025-03-04,977.0,1047.4,977.0,1045.7,134467.0
LINDEBD,2025-03-03,973.7,978.0,970.6,974.4,5007.0
LINDEBD,2025-03-02,971.7,975.0,970.2,970.7,6542.0
LINDEBD,2025-02-27,973.4,973.7,971.4,971.6,7801.0
LINDEBD,2025-02-26,974.1,976.5,972.4,973.4,6215.0
LINDEBD,2025-02-25,975.0,977.4,973.2,973.6,7483.0
LINDEBD,2025-02-24,974.5,979.0,973.3,974.8,7428.0
LINDEBD,2025-02-23,978.0,980.0,973.1,974.5,10753.0
LINDEBD,2025-02-20,977.3,979.6,976.8,977.0,7141.0
LINDEBD,2025-02-19,983.8,983.8,977.4,977.9,5350.0
LINDEBD,2025-02-18,977.1,982.8,977.1,978.2,6804.0
LINDEBD,2025-02-17,976.7,984.0,976.1,977.4,8095.0
LINDEBD,2025-02-16,976.0,979.8,975.6,976.8,4450.0
LINDEBD,2025-02-13,975.2,979.9,975.2,976.5,5119.0
LINDEBD,2025-02-12,980.5,984.0,976.7,977.8,5438.0
LINDEBD,2025-02-11,975.2,984.6,973.6,980.3,9410.0
LINDEBD,2025-02-10,975.1,978.0,973.0,973.5,11353.0
LINDEBD,2025-02-09,975.6,979.0,975.3,975.7,6460.0
LINDEBD,2025-02-06,976.0,980.2,975.0,976.2,7413.0
LINDEBD,2025-02-05,978.5,985.1,975.2,976.7,6173.0
LINDEBD,2025-02-04,981.0,981.1,977.0,978.5,8169.0
LINDEBD,2025-02-03,981.5,984.0,979.6,980.1,8652.0
LINDEBD,2025-02-02,981.0,988.0,979.0,981.5,5561.0
LINDEBD,2025-01-30,980.0,990.5,980.0,984.8,10463.0
LINDEBD,2025-01-29,995.5,995.9,980.0,981.2,9077.0
