Trading_Code,Date,Open,High,Low,Close,Volume
LOVELLO,2025-04-08,80.1,81.1,79.2,80.8,653872.0
LOVELLO,2025-04-07,81.5,82.6,79.2,79.7,907753.0
LOVELLO,2025-04-06,83.3,83.6,80.9,81.5,473864.0
LOVELLO,2025-03-27,84.0,85.3,83.3,83.8,1026940.0
LOVELLO,2025-03-25,83.9,84.9,83.6,84.3,609629.0
LOVELLO,2025-03-24,83.5,84.4,83.0,83.5,443824.0
LOVELLO,2025-03-23,82.9,83.8,82.2,83.0,807068.0
LOVELLO,2025-03-20,84.7,84.9,82.2,82.9,635987.0
LOVELLO,2025-03-19,84.2,84.9,83.5,84.2,1406465.0
LOVELLO,2025-03-18,85.0,85.4,83.2,83.7,438566.0
LOVELLO,2025-03-17,86.4,87.0,84.0,84.6,709458.0
LOVELLO,2025-03-16,86.0,87.0,85.2,86.0,1206363.0
LOVELLO,2025-03-13,88.0,89.1,85.9,86.2,2303235.0
LOVELLO,2025-03-12,86.6,88.0,86.5,87.7,3311768.0
LOVELLO,2025-03-11,83.5,86.9,83.4,86.3,2062665.0
LOVELLO,2025-03-10,82.6,83.5,82.1,83.1,1626947.0
LOVELLO,2025-03-09,82.2,83.8,81.7,82.1,583828.0
LOVELLO,2025-03-06,82.7,82.8,81.5,81.9,361635.0
LOVELLO,2025-03-05,81.0,83.1,80.5,82.6,809842.0
LOVELLO,2025-03-04,82.1,83.3,77.0,80.9,594098.0
LOVELLO,2025-03-03,83.5,84.8,81.9,82.1,734509.0
LOVELLO,2025-03-02,83.8,84.8,83.5,83.9,911798.0
LOVELLO,2025-02-27,83.5,84.8,83.5,84.4,633338.0
LOVELLO,2025-02-26,83.7,85.0,82.9,84.1,1230662.0
LOVELLO,2025-02-25,85.0,85.3,83.7,84.2,586553.0
LOVELLO,2025-02-24,85.6,86.5,84.8,85.4,1150924.0
LOVELLO,2025-02-23,85.5,86.9,85.5,85.9,513700.0
LOVELLO,2025-02-20,86.2,86.5,85.5,85.8,550533.0
LOVELLO,2025-02-19,85.2,86.2,84.6,85.6,1673534.0
LOVELLO,2025-02-18,85.4,86.6,84.8,85.2,786744.0
LOVELLO,2025-02-17,84.9,85.7,84.1,85.4,986204.0
LOVELLO,2025-02-16,85.1,85.9,84.4,84.6,442958.0
LOVELLO,2025-02-13,86.0,87.5,84.4,85.6,1114404.0
LOVELLO,2025-02-12,84.3,87.0,83.2,85.7,1925861.0
LOVELLO,2025-02-11,83.9,84.8,83.7,84.0,671506.0
LOVELLO,2025-02-10,83.6,84.9,83.1,83.9,319255.0
LOVELLO,2025-02-09,84.3,85.5,83.0,83.4,315121.0
LOVELLO,2025-02-06,84.5,84.9,83.5,84.3,470832.0
LOVELLO,2025-02-05,81.8,85.2,81.8,84.0,782773.0
LOVELLO,2025-02-04,84.7,84.7,80.9,82.3,423146.0
LOVELLO,2025-02-03,84.2,84.9,83.7,83.8,318525.0
LOVELLO,2025-02-02,84.9,85.3,84.1,84.5,579021.0
LOVELLO,2025-01-30,82.4,85.1,82.4,84.5,864676.0
LOVELLO,2025-01-29,84.1,84.6,83.3,83.6,250653.0
LOVELLO,2025-01-28,84.5,85.1,83.8,84.1,647245.0
LOVELLO,2025-01-27,84.0,85.0,84.0,84.8,705653.0
LOVELLO,2025-01-26,85.3,85.8,83.4,84.6,399908.0
