Trading_Code,Date,Open,High,Low,Close,Volume
MAGURAPLEX,2025-04-08,80.4,83.5,80.0,82.6,365585.0
MAGURAPLEX,2025-04-07,81.0,81.8,79.5,79.8,193095.0
MAGURAPLEX,2025-04-06,81.1,81.5,79.5,80.9,148710.0
MAGURAPLEX,2025-03-27,81.5,82.5,81.2,81.9,84225.0
MAGURAPLEX,2025-03-25,82.3,83.1,81.1,81.5,123875.0
MAGURAPLEX,2025-03-24,80.4,84.0,80.1,82.1,241702.0
MAGURAPLEX,2025-03-23,83.1,83.9,79.6,80.1,321911.0
MAGURAPLEX,2025-03-20,84.1,85.0,82.6,82.8,218571.0
MAGURAPLEX,2025-03-19,86.8,86.8,83.1,84.0,193634.0
MAGURAPLEX,2025-03-18,85.9,88.6,82.6,86.6,227125.0
MAGURAPLEX,2025-03-17,91.0,91.4,84.1,85.3,426897.0
MAGURAPLEX,2025-03-16,92.8,93.0,90.5,90.9,150606.0
