Trading_Code,Date,Open,High,Low,Close,Volume
MAKSONSPIN,2025-04-08,6.4,6.6,6.1,6.2,272745.0
MAKSONSPIN,2025-04-07,6.6,6.8,6.4,6.4,263406.0
MAKSONSPIN,2025-04-06,6.8,6.8,6.5,6.7,251825.0
MAKSONSPIN,2025-03-27,7.0,7.0,6.8,6.9,97746.0
MAKSONSPIN,2025-03-25,6.9,7.1,6.9,7.0,142826.0
MAKSONSPIN,2025-03-24,6.9,7.1,6.9,6.9,29971.0
MAKSONSPIN,2025-03-23,7.1,7.1,6.9,7.0,58338.0
MAKSONSPIN,2025-03-20,7.1,7.1,6.9,7.0,137674.0
MAKSONSPIN,2025-03-19,7.0,7.1,6.9,7.0,113790.0
MAKSONSPIN,2025-03-18,7.0,7.1,6.9,6.9,93170.0
MAKSONSPIN,2025-03-17,7.1,7.1,6.9,6.9,80548.0
MAKSONSPIN,2025-03-16,7.2,7.2,6.9,7.0,104535.0
MAKSONSPIN,2025-03-13,7.1,7.1,7.0,7.1,85437.0
MAKSONSPIN,2025-03-12,7.1,7.2,7.0,7.1,129286.0
MAKSONSPIN,2025-03-11,7.0,7.1,7.0,7.0,124958.0
MAKSONSPIN,2025-03-10,7.1,7.2,6.9,7.1,70911.0
MAKSONSPIN,2025-03-09,7.2,7.2,7.0,7.0,144806.0
MAKSONSPIN,2025-03-06,7.2,7.3,7.1,7.1,86994.0
MAKSONSPIN,2025-03-05,7.2,7.2,7.1,7.1,93088.0
MAKSONSPIN,2025-03-04,7.3,7.4,7.1,7.1,238945.0
MAKSONSPIN,2025-03-03,7.4,7.4,7.3,7.3,139027.0
MAKSONSPIN,2025-03-02,7.3,7.4,7.1,7.3,162738.0
MAKSONSPIN,2025-02-27,7.3,7.4,7.2,7.2,207078.0
MAKSONSPIN,2025-02-26,7.3,7.3,7.1,7.2,176502.0
MAKSONSPIN,2025-02-25,7.2,7.4,7.2,7.3,148590.0
MAKSONSPIN,2025-02-24,7.1,7.4,7.1,7.2,198650.0
MAKSONSPIN,2025-02-23,7.1,7.3,7.1,7.1,324674.0
MAKSONSPIN,2025-02-20,7.2,7.2,7.1,7.1,59272.0
MAKSONSPIN,2025-02-19,7.3,7.3,7.1,7.1,212785.0
MAKSONSPIN,2025-02-18,7.4,7.4,7.2,7.2,138470.0
MAKSONSPIN,2025-02-17,7.4,7.4,7.2,7.2,117872.0
MAKSONSPIN,2025-02-16,7.5,7.5,7.3,7.3,194578.0
MAKSONSPIN,2025-02-13,7.3,7.5,7.3,7.4,253701.0
MAKSONSPIN,2025-02-12,7.2,7.4,7.1,7.2,140856.0
MAKSONSPIN,2025-02-11,7.2,7.4,7.2,7.2,309425.0
MAKSONSPIN,2025-02-10,7.3,7.3,7.1,7.2,137475.0
MAKSONSPIN,2025-02-09,7.5,7.6,7.2,7.2,386477.0
MAKSONSPIN,2025-02-06,7.2,7.6,7.1,7.3,878775.0
MAKSONSPIN,2025-02-05,6.7,7.1,6.7,7.0,456146.0
MAKSONSPIN,2025-02-04,7.0,7.0,6.6,6.7,213562.0
MAKSONSPIN,2025-02-03,6.9,7.1,6.7,6.8,153544.0
MAKSONSPIN,2025-02-02,6.8,6.8,6.5,6.8,314939.0
MAKSONSPIN,2025-01-30,6.9,6.9,6.6,6.7,130394.0
MAKSONSPIN,2025-01-29,7.3,7.3,6.8,6.9,289101.0
MAKSONSPIN,2025-01-28,6.5,7.0,6.5,7.0,1541546.0
MAKSONSPIN,2025-01-27,6.5,6.6,6.4,6.4,186062.0
MAKSONSPIN,2025-01-26,6.5,6.6,6.4,6.4,110174.0
MAKSONSPIN,2025-01-23,6.5,6.6,6.4,6.5,313587.0
MAKSONSPIN,2025-01-22,6.5,6.6,6.4,6.4,168303.0
MAKSONSPIN,2025-01-21,6.5,6.6,6.5,6.5,141006.0
MAKSONSPIN,2025-01-20,6.4,6.6,6.4,6.5,164732.0
MAKSONSPIN,2025-01-19,6.4,6.6,6.4,6.4,192922.0
MAKSONSPIN,2025-01-16,6.6,6.7,6.4,6.5,362102.0
MAKSONSPIN,2025-01-15,6.2,6.7,6.2,6.4,457698.0
MAKSONSPIN,2025-01-14,6.1,6.3,6.1,6.2,261376.0
MAKSONSPIN,2025-01-13,6.1,6.2,6.1,6.1,219149.0
MAKSONSPIN,2025-01-12,6.2,6.3,6.1,6.1,186336.0
MAKSONSPIN,2025-01-09,6.3,6.4,6.2,6.2,189351.0
MAKSONSPIN,2025-01-08,6.1,6.4,6.1,6.2,334298.0
MAKSONSPIN,2025-01-07,6.1,6.2,6.0,6.1,268693.0
MAKSONSPIN,2025-01-06,6.1,6.2,6.0,6.1,148359.0
MAKSONSPIN,2025-01-05,6.1,6.2,6.0,6.1,70643.0
MAKSONSPIN,2025-01-02,6.0,6.2,6.0,6.1,173111.0
MAKSONSPIN,2025-01-01,6.1,6.2,6.0,6.0,126724.0
MAKSONSPIN,2024-12-30,6.1,6.3,6.1,6.2,157822.0
MAKSONSPIN,2024-12-29,0.0,0.0,0.0,6.1,0.0
MAKSONSPIN,2024-12-26,6.0,6.2,6.0,6.1,194085.0
MAKSONSPIN,2024-12-24,6.1,6.2,5.9,6.0,176030.0
MAKSONSPIN,2024-12-23,6.1,6.1,5.8,6.0,332455.0
MAKSONSPIN,2024-12-22,6.6,6.6,6.1,6.1,536358.0
MAKSONSPIN,2024-12-19,7.0,7.0,6.6,6.7,299145.0
MAKSONSPIN,2024-12-18,7.0,7.0,6.9,6.9,197622.0
MAKSONSPIN,2024-12-17,7.1,7.1,6.9,7.0,248731.0
MAKSONSPIN,2024-12-15,7.0,7.2,7.0,7.1,401200.0
MAKSONSPIN,2024-12-12,7.2,7.3,7.0,7.2,380088.0
MAKSONSPIN,2024-12-11,7.1,7.2,7.1,7.1,147172.0
MAKSONSPIN,2024-12-10,7.2,7.2,7.1,7.2,148030.0
MAKSONSPIN,2024-12-09,7.0,7.2,7.0,7.1,245806.0
MAKSONSPIN,2024-12-08,7.1,7.1,7.0,7.0,204897.0
