Trading_Code,Date,Open,High,Low,Close,Volume
MARICO,2025-04-08,2430.0,2440.0,2420.2,2421.7,1025.0
MARICO,2025-04-07,2406.0,2425.0,2402.3,2423.6,1670.0
MARICO,2025-04-06,2404.0,2435.0,2403.1,2405.9,2296.0
MARICO,2025-03-27,2445.0,2445.9,2420.1,2435.8,1549.0
MARICO,2025-03-25,2390.0,2420.0,2390.0,2418.3,2271.0
MARICO,2025-03-24,2386.0,2400.0,2380.1,2391.8,1209.0
MARICO,2025-03-23,2364.6,2397.8,2364.4,2381.9,1227.0
MARICO,2025-03-20,2381.0,2393.0,2371.2,2382.6,721.0
MARICO,2025-03-19,2372.0,2395.0,2370.0,2385.2,401.0
MARICO,2025-03-18,2367.6,2402.0,2360.0,2374.1,1772.0
MARICO,2025-03-17,2380.0,2380.0,2370.0,2370.6,1631.0
MARICO,2025-03-16,2398.0,2398.0,2366.0,2383.1,647.0
MARICO,2025-03-13,2368.0,2380.0,2363.3,2369.9,2559.0
MARICO,2025-03-12,2362.2,2409.0,2362.2,2367.9,1628.0
MARICO,2025-03-11,2388.0,2394.9,2370.0,2383.9,1660.0
MARICO,2025-03-10,2371.8,2390.0,2371.8,2383.4,1090.0
MARICO,2025-03-09,2368.3,2394.8,2368.3,2390.3,368.0
MARICO,2025-03-06,2353.6,2399.0,2351.5,2390.2,2705.0
MARICO,2025-03-05,2378.0,2380.0,2351.5,2353.6,2020.0
MARICO,2025-03-04,2351.5,2380.0,2351.5,2361.7,3156.0
MARICO,2025-03-03,2390.0,2390.0,2365.0,2378.7,590.0
MARICO,2025-03-02,2354.2,2384.0,2353.4,2361.8,1162.0
MARICO,2025-02-27,2390.4,2414.9,2353.1,2371.5,6825.0
MARICO,2025-02-26,2391.0,2394.0,2390.0,2390.4,1268.0
MARICO,2025-02-25,2380.0,2395.9,2375.2,2389.3,8090.0
MARICO,2025-02-24,2378.6,2405.0,2361.0,2386.9,6649.0
MARICO,2025-02-23,0.0,0.0,0.0,2419.8,0.0
MARICO,2025-02-20,2381.2,2420.0,2381.1,2419.8,11091.0
MARICO,2025-02-19,2420.0,2450.0,2400.0,2405.1,8379.0
MARICO,2025-02-18,2420.0,2420.0,2395.0,2404.8,1170.0
MARICO,2025-02-17,2400.1,2424.9,2400.0,2413.6,4039.0
MARICO,2025-02-16,2369.0,2406.8,2350.1,2400.8,5041.0
MARICO,2025-02-13,2365.0,2392.0,2365.0,2387.8,6071.0
MARICO,2025-02-12,2360.0,2374.5,2360.0,2373.0,979.0
MARICO,2025-02-11,2351.3,2369.0,2351.0,2365.0,2001.0
MARICO,2025-02-10,2388.0,2388.0,2355.1,2363.1,7417.0
MARICO,2025-02-09,2395.0,2400.0,2368.0,2373.7,6648.0
MARICO,2025-02-06,2398.0,2409.4,2380.0,2395.6,5316.0
MARICO,2025-02-05,2340.6,2400.0,2333.0,2379.9,33588.0
MARICO,2025-02-04,2350.0,2350.0,2333.0,2340.6,2629.0
MARICO,2025-02-03,2320.2,2345.0,2320.0,2333.8,2752.0
MARICO,2025-02-02,2307.1,2332.0,2307.0,2330.4,2527.0
MARICO,2025-01-30,2320.0,2332.0,2315.0,2321.1,13662.0
MARICO,2025-01-29,2325.0,2329.9,2315.0,2319.6,4583.0
MARICO,2025-01-28,2349.0,2349.0,2300.1,2321.8,13484.0
MARICO,2025-01-27,2323.0,2323.0,2307.0,2321.1,990.0
MARICO,2025-01-26,2315.0,2315.0,2302.1,2304.6,638.0
MARICO,2025-01-23,2307.0,2320.0,2300.0,2317.5,970.0
MARICO,2025-01-22,2320.0,2325.0,2299.0,2304.2,1282.0
MARICO,2025-01-21,2329.9,2330.0,2320.0,2321.7,2473.0
MARICO,2025-01-20,2325.9,2325.9,2312.0,2322.6,1764.0
MARICO,2025-01-19,2324.9,2325.0,2306.0,2321.4,949.0
MARICO,2025-01-16,2301.0,2325.0,2300.0,2316.0,1095.0
