Trading_Code,Date,Open,High,Low,Close,Volume
MBL1STMF,2025-04-08,4.8,5.1,4.8,5.0,1271914.0
MBL1STMF,2025-04-07,4.9,4.9,4.4,4.7,580415.0
MBL1STMF,2025-04-06,4.3,4.7,4.3,4.7,494850.0
MBL1STMF,2025-03-27,4.3,4.4,4.2,4.3,281484.0
MBL1STMF,2025-03-25,4.3,4.3,4.2,4.2,57622.0
MBL1STMF,2025-03-24,4.4,4.4,4.2,4.2,207596.0
MBL1STMF,2025-03-23,4.2,4.4,4.1,4.3,524675.0
MBL1STMF,2025-03-20,4.2,4.5,4.2,4.3,281627.0
MBL1STMF,2025-03-19,4.1,4.5,4.1,4.4,1255650.0
MBL1STMF,2025-03-18,3.9,4.1,3.9,4.1,302144.0
MBL1STMF,2025-03-17,4.0,4.0,3.7,3.8,53243.0
MBL1STMF,2025-03-16,4.0,4.1,3.9,4.0,24361.0
MBL1STMF,2025-03-13,3.9,4.0,3.9,3.9,14552.0
MBL1STMF,2025-03-12,3.9,4.0,3.9,3.9,37881.0
MBL1STMF,2025-03-11,3.9,3.9,3.8,3.8,12568.0
MBL1STMF,2025-03-10,3.9,3.9,3.9,3.9,15.0
MBL1STMF,2025-03-09,4.0,4.0,3.8,3.8,505.0
MBL1STMF,2025-03-06,3.8,4.0,3.8,3.8,1412.0
MBL1STMF,2025-03-05,3.8,3.9,3.8,3.8,5015.0
MBL1STMF,2025-03-04,4.0,4.0,3.8,3.9,54171.0
MBL1STMF,2025-03-03,3.9,3.9,3.9,3.9,11501.0
MBL1STMF,2025-03-02,3.9,3.9,3.9,3.9,200.0
MBL1STMF,2025-02-27,4.0,4.0,3.9,4.0,59402.0
MBL1STMF,2025-02-26,4.0,4.0,3.9,4.0,597.0
MBL1STMF,2025-02-25,4.0,4.0,3.9,3.9,13342.0
MBL1STMF,2025-02-24,3.9,4.0,3.9,4.0,28811.0
MBL1STMF,2025-02-23,3.8,4.1,3.8,4.0,152431.0
MBL1STMF,2025-02-20,3.9,3.9,3.8,3.8,9635.0
MBL1STMF,2025-02-19,3.8,3.8,3.7,3.8,41270.0
MBL1STMF,2025-02-18,3.9,3.9,3.8,3.9,8035.0
MBL1STMF,2025-02-17,3.8,3.9,3.8,3.8,36270.0
MBL1STMF,2025-02-16,3.8,3.8,3.8,3.8,63213.0
MBL1STMF,2025-02-13,3.9,3.9,3.8,3.8,52817.0
MBL1STMF,2025-02-12,3.8,3.9,3.7,3.8,29143.0
MBL1STMF,2025-02-11,3.8,3.8,3.7,3.7,63049.0
MBL1STMF,2025-02-10,3.8,3.8,3.8,3.8,3021.0
MBL1STMF,2025-02-09,3.7,3.8,3.7,3.8,43000.0
MBL1STMF,2025-02-06,3.7,3.8,3.7,3.7,35120.0
MBL1STMF,2025-02-05,3.8,3.8,3.8,3.8,46680.0
MBL1STMF,2025-02-04,3.8,3.8,3.7,3.7,32390.0
MBL1STMF,2025-02-03,3.8,3.8,3.8,3.8,3900.0
MBL1STMF,2025-02-02,3.7,3.8,3.7,3.7,1330.0
MBL1STMF,2025-01-30,3.6,3.8,3.6,3.7,21847.0
MBL1STMF,2025-01-29,3.8,3.8,3.8,3.8,3412.0
MBL1STMF,2025-01-28,3.7,3.8,3.6,3.7,76641.0
MBL1STMF,2025-01-27,3.7,3.7,3.7,3.7,14500.0
MBL1STMF,2025-01-26,3.8,3.8,3.7,3.8,5910.0
MBL1STMF,2025-01-23,3.8,3.8,3.7,3.8,12950.0
