Trading_Code,Date,Open,High,Low,Close,Volume
MEGCONMILK,2025-04-08,25.7,25.7,24.2,24.7,3084.0
MEGCONMILK,2025-04-07,25.1,25.7,25.1,25.3,3600.0
MEGCONMILK,2025-04-06,26.2,26.2,25.0,25.0,1294.0
MEGCONMILK,2025-03-27,24.1,25.5,24.1,24.9,3935.0
MEGCONMILK,2025-03-25,25.4,25.5,24.1,24.2,5646.0
MEGCONMILK,2025-03-24,24.5,25.5,24.5,25.2,3701.0
MEGCONMILK,2025-03-23,25.0,25.0,24.1,24.4,11201.0
MEGCONMILK,2025-03-20,25.5,25.5,24.6,24.6,6149.0
MEGCONMILK,2025-03-19,25.7,25.7,24.5,25.2,7040.0
MEGCONMILK,2025-03-18,24.3,26.0,23.8,24.3,20620.0
MEGCONMILK,2025-03-17,26.3,26.3,25.7,25.9,800.0
MEGCONMILK,2025-03-16,26.7,26.7,24.9,25.2,31264.0
MEGCONMILK,2025-03-13,25.9,26.3,25.4,25.9,30301.0
MEGCONMILK,2025-03-12,25.8,25.8,25.3,25.7,1756.0
MEGCONMILK,2025-03-11,26.2,26.2,25.1,25.3,6020.0
MEGCONMILK,2025-03-10,24.7,26.4,24.4,25.1,7311.0
MEGCONMILK,2025-03-09,25.1,26.6,25.1,25.3,12055.0
MEGCONMILK,2025-03-06,25.5,26.8,25.5,25.7,4942.0
MEGCONMILK,2025-03-05,26.0,26.0,25.6,25.8,1000.0
MEGCONMILK,2025-03-04,25.6,27.7,25.6,25.9,12354.0
MEGCONMILK,2025-03-03,28.4,28.4,26.0,26.0,11896.0
MEGCONMILK,2025-03-02,27.5,27.6,25.6,26.0,6228.0
MEGCONMILK,2025-02-27,26.0,27.0,25.7,25.8,7104.0
MEGCONMILK,2025-02-26,26.5,26.9,25.8,26.3,3388.0
MEGCONMILK,2025-02-25,28.4,28.4,25.9,26.4,141.0
MEGCONMILK,2025-02-24,27.9,27.9,25.6,26.7,2197.0
MEGCONMILK,2025-02-23,25.9,25.9,25.7,25.7,520.0
MEGCONMILK,2025-02-20,25.7,27.0,25.6,25.7,503.0
MEGCONMILK,2025-02-19,25.8,25.8,25.6,25.7,2260.0
MEGCONMILK,2025-02-18,26.5,26.8,25.6,25.9,4856.0
MEGCONMILK,2025-02-17,27.3,27.3,26.0,26.1,310.0
MEGCONMILK,2025-02-16,27.3,27.5,26.3,26.5,126.0
MEGCONMILK,2025-02-13,27.7,27.7,26.3,26.6,2783.0
MEGCONMILK,2025-02-12,28.0,28.0,27.0,27.3,2012.0
MEGCONMILK,2025-02-11,29.0,29.0,26.5,27.2,8966.0
MEGCONMILK,2025-02-10,29.0,29.0,27.1,27.2,3173.0
MEGCONMILK,2025-02-09,28.8,29.0,26.2,26.8,101339.0
MEGCONMILK,2025-02-06,26.2,28.2,26.2,28.1,5456.0
MEGCONMILK,2025-02-05,28.8,28.9,27.7,28.0,14470.0
MEGCONMILK,2025-02-04,27.2,28.3,26.6,27.9,44926.0
MEGCONMILK,2025-02-03,26.3,27.3,26.2,26.4,23590.0
MEGCONMILK,2025-02-02,25.8,27.8,25.8,26.3,1913.0
MEGCONMILK,2025-01-30,25.2,26.5,25.2,25.8,2942.0
MEGCONMILK,2025-01-29,25.2,26.9,25.2,26.0,4413.0
MEGCONMILK,2025-01-28,26.5,26.5,25.6,25.9,714.0
MEGCONMILK,2025-01-27,26.3,26.3,26.0,26.2,70.0
MEGCONMILK,2025-01-26,25.6,26.4,25.5,25.6,1060.0
MEGCONMILK,2025-01-23,26.5,26.5,25.0,25.3,25294.0
MEGCONMILK,2025-01-22,26.5,26.5,25.8,26.0,16126.0
MEGCONMILK,2025-01-21,27.8,27.8,26.1,26.5,4594.0
MEGCONMILK,2025-01-20,28.0,28.0,25.8,25.9,3651.0
MEGCONMILK,2025-01-19,26.6,26.6,25.7,25.8,2190.0
MEGCONMILK,2025-01-16,26.7,27.8,26.0,26.3,2520.0
MEGCONMILK,2025-01-15,25.7,26.7,25.7,26.4,12410.0
MEGCONMILK,2025-01-14,26.9,27.0,25.5,25.6,3301.0
MEGCONMILK,2025-01-13,26.0,26.7,25.2,25.6,9284.0
MEGCONMILK,2025-01-12,25.1,26.4,25.1,26.3,6892.0
MEGCONMILK,2025-01-09,25.0,26.0,25.0,25.8,2709.0
MEGCONMILK,2025-01-08,25.0,26.8,25.0,26.1,454.0
MEGCONMILK,2025-01-07,27.7,27.7,25.8,26.3,1256.0
MEGCONMILK,2025-01-06,25.3,26.5,25.3,25.6,10850.0
MEGCONMILK,2025-01-05,26.4,26.4,25.0,25.3,11323.0
MEGCONMILK,2025-01-02,26.0,27.2,25.5,25.6,8573.0
MEGCONMILK,2025-01-01,27.3,27.4,27.0,27.3,2126.0
MEGCONMILK,2024-12-30,28.1,28.1,26.1,26.5,4349.0
MEGCONMILK,2024-12-29,24.2,27.3,24.2,27.3,80108.0
MEGCONMILK,2024-12-26,25.3,25.8,24.5,24.9,10185.0
MEGCONMILK,2024-12-24,25.2,25.7,24.7,24.8,7696.0
MEGCONMILK,2024-12-23,26.3,26.3,24.8,25.0,5470.0
MEGCONMILK,2024-12-22,24.2,26.5,24.2,24.7,8098.0
MEGCONMILK,2024-12-19,27.2,27.2,25.8,26.0,37759.0
MEGCONMILK,2024-12-18,25.1,25.1,24.4,24.8,1138.0
MEGCONMILK,2024-12-17,25.0,25.0,24.2,24.4,12692.0
MEGCONMILK,2024-12-15,24.9,25.3,24.7,24.9,2506.0
