Trading_Code,Date,Open,High,Low,Close,Volume
MEGHNAINS,2025-04-08,25.9,25.9,24.9,25.1,148239.0
MEGHNAINS,2025-04-07,25.6,26.1,25.3,25.7,128364.0
MEGHNAINS,2025-04-06,26.0,26.2,25.4,25.6,73625.0
MEGHNAINS,2025-03-27,26.3,26.5,25.8,26.0,116265.0
MEGHNAINS,2025-03-25,26.0,26.5,26.0,26.2,94583.0
MEGHNAINS,2025-03-24,25.5,26.4,25.5,26.0,84622.0
MEGHNAINS,2025-03-23,26.1,26.2,25.5,25.6,121965.0
MEGHNAINS,2025-03-20,26.7,26.9,26.0,26.1,237764.0
MEGHNAINS,2025-03-19,27.2,27.5,26.6,26.8,196719.0
MEGHNAINS,2025-03-18,27.0,27.6,26.8,27.4,178117.0
MEGHNAINS,2025-03-17,27.4,27.5,27.0,27.3,197533.0
MEGHNAINS,2025-03-16,27.8,28.5,26.9,27.6,540054.0
MEGHNAINS,2025-03-13,26.1,28.3,26.1,27.6,737451.0
MEGHNAINS,2025-03-12,25.9,26.8,25.9,26.5,244835.0
MEGHNAINS,2025-03-11,25.4,26.6,25.3,26.2,224256.0
MEGHNAINS,2025-03-10,25.3,25.6,25.2,25.3,100669.0
MEGHNAINS,2025-03-09,26.0,26.0,25.3,25.6,141266.0
MEGHNAINS,2025-03-06,26.1,26.6,26.0,26.1,179112.0
MEGHNAINS,2025-03-05,25.9,26.5,25.7,26.2,85270.0
MEGHNAINS,2025-03-04,26.9,26.9,25.8,25.9,83285.0
MEGHNAINS,2025-03-03,25.6,26.8,25.6,26.5,207934.0
MEGHNAINS,2025-03-02,25.7,26.2,25.7,25.9,66416.0
MEGHNAINS,2025-02-27,26.1,26.4,25.5,25.7,238488.0
MEGHNAINS,2025-02-26,27.0,27.3,26.0,26.1,225140.0
MEGHNAINS,2025-02-25,26.2,27.3,26.0,26.7,515693.0
MEGHNAINS,2025-02-24,26.0,26.5,25.7,26.0,201852.0
MEGHNAINS,2025-02-23,25.0,26.4,24.5,26.0,333935.0
MEGHNAINS,2025-02-20,25.1,25.1,24.6,24.6,105283.0
MEGHNAINS,2025-02-19,25.2,25.2,24.6,24.7,79423.0
MEGHNAINS,2025-02-18,24.9,25.4,24.5,24.8,176515.0
MEGHNAINS,2025-02-17,24.7,25.2,24.7,24.9,103212.0
MEGHNAINS,2025-02-16,25.2,25.3,24.9,25.0,92886.0
MEGHNAINS,2025-02-13,25.1,25.3,24.9,25.1,92550.0
MEGHNAINS,2025-02-12,25.6,25.6,24.8,25.0,111901.0
MEGHNAINS,2025-02-11,25.2,25.7,25.2,25.5,118775.0
MEGHNAINS,2025-02-10,25.6,25.7,25.0,25.2,248935.0
MEGHNAINS,2025-02-09,26.1,26.3,25.8,25.9,72075.0
MEGHNAINS,2025-02-06,26.5,26.5,26.0,26.1,153666.0
MEGHNAINS,2025-02-05,26.5,26.6,25.9,26.5,218333.0
MEGHNAINS,2025-02-04,26.4,26.8,26.1,26.3,67135.0
MEGHNAINS,2025-02-03,26.1,26.9,26.0,26.5,203767.0
MEGHNAINS,2025-02-02,26.7,26.7,26.0,26.0,94393.0
MEGHNAINS,2025-01-30,26.3,26.6,25.9,26.1,154361.0
MEGHNAINS,2025-01-29,26.2,27.0,26.2,26.5,178410.0
MEGHNAINS,2025-01-28,26.1,26.8,26.0,26.4,98071.0
MEGHNAINS,2025-01-27,26.2,26.7,26.0,26.1,121775.0
MEGHNAINS,2025-01-26,26.4,26.7,25.8,26.4,145528.0
MEGHNAINS,2025-01-23,27.1,27.1,26.3,26.4,175082.0
MEGHNAINS,2025-01-22,27.0,27.6,26.7,26.8,115413.0
MEGHNAINS,2025-01-21,26.6,27.8,26.6,27.0,415285.0
MEGHNAINS,2025-01-20,27.3,27.6,26.5,26.6,241645.0
MEGHNAINS,2025-01-19,25.8,27.9,25.8,27.3,509055.0
MEGHNAINS,2025-01-16,24.9,26.4,24.9,25.8,306946.0
MEGHNAINS,2025-01-15,24.9,25.2,24.6,24.7,104653.0
MEGHNAINS,2025-01-14,25.0,25.6,25.0,25.0,157078.0
MEGHNAINS,2025-01-13,25.7,25.8,25.0,25.2,217663.0
MEGHNAINS,2025-01-12,26.4,26.6,25.5,25.7,125893.0
MEGHNAINS,2025-01-09,25.9,26.8,25.9,26.4,75753.0
MEGHNAINS,2025-01-08,26.9,26.9,26.0,26.2,252187.0
MEGHNAINS,2025-01-07,27.4,27.6,26.9,26.9,175640.0
MEGHNAINS,2025-01-06,26.8,27.7,26.8,27.2,103351.0
MEGHNAINS,2025-01-05,27.2,27.5,26.9,27.0,100301.0
MEGHNAINS,2025-01-02,28.0,28.0,27.2,27.3,96970.0
MEGHNAINS,2025-01-01,28.0,28.3,27.6,27.7,139280.0
MEGHNAINS,2024-12-30,28.4,28.7,27.8,27.9,309447.0
MEGHNAINS,2024-12-29,27.6,28.5,27.6,28.3,273441.0
MEGHNAINS,2024-12-26,27.5,27.6,27.1,27.4,165115.0
MEGHNAINS,2024-12-24,27.4,27.8,27.3,27.4,48162.0
MEGHNAINS,2024-12-23,27.5,27.9,27.1,27.4,137236.0
MEGHNAINS,2024-12-22,27.8,27.8,27.0,27.1,115341.0
MEGHNAINS,2024-12-19,27.7,28.0,27.4,27.6,139719.0
