Trading_Code,Date,Open,High,Low,Close,Volume
MEGHNALIFE,2025-04-08,54.5,56.6,54.1,56.1,610711.0
MEGHNALIFE,2025-04-07,53.2,55.2,53.2,54.1,339473.0
MEGHNALIFE,2025-04-06,53.8,53.8,52.8,53.4,226389.0
MEGHNALIFE,2025-03-27,54.9,55.3,53.6,54.1,191932.0
MEGHNALIFE,2025-03-25,53.4,56.0,53.4,54.3,855848.0
MEGHNALIFE,2025-03-24,52.8,53.5,52.2,53.1,223358.0
MEGHNALIFE,2025-03-23,52.3,52.7,52.0,52.4,85449.0
MEGHNALIFE,2025-03-20,52.4,52.8,51.8,52.3,99946.0
MEGHNALIFE,2025-03-19,52.0,52.3,51.6,52.0,96026.0
MEGHNALIFE,2025-03-18,52.6,52.9,51.6,51.9,114098.0
MEGHNALIFE,2025-03-17,52.6,53.3,51.9,52.0,127409.0
MEGHNALIFE,2025-03-16,52.4,53.3,52.4,52.6,153996.0
MEGHNALIFE,2025-03-13,52.9,53.3,52.1,52.4,232060.0
MEGHNALIFE,2025-03-12,53.8,54.0,52.9,53.3,207351.0
MEGHNALIFE,2025-03-11,51.8,53.9,51.8,53.7,359595.0
MEGHNALIFE,2025-03-10,50.9,51.6,50.5,51.2,209650.0
MEGHNALIFE,2025-03-09,52.0,52.8,50.8,51.1,123442.0
MEGHNALIFE,2025-03-06,52.5,53.5,52.1,52.2,113230.0
MEGHNALIFE,2025-03-05,52.3,52.6,51.2,52.3,82273.0
MEGHNALIFE,2025-03-04,52.5,52.9,51.2,51.5,117066.0
MEGHNALIFE,2025-03-03,52.2,52.8,52.2,52.4,80059.0
MEGHNALIFE,2025-03-02,53.8,53.8,52.1,52.2,101374.0
MEGHNALIFE,2025-02-27,53.6,53.6,52.7,52.9,120138.0
MEGHNALIFE,2025-02-26,54.0,54.0,52.7,52.9,137355.0
MEGHNALIFE,2025-02-25,53.6,54.4,53.2,53.5,176552.0
MEGHNALIFE,2025-02-24,55.5,55.7,54.0,54.1,234209.0
MEGHNALIFE,2025-02-23,53.8,55.4,53.5,54.9,431064.0
MEGHNALIFE,2025-02-20,53.5,53.8,52.9,53.3,145216.0
MEGHNALIFE,2025-02-19,53.8,54.3,53.1,53.4,182678.0
MEGHNALIFE,2025-02-18,52.9,54.3,52.5,53.8,278004.0
MEGHNALIFE,2025-02-17,52.8,53.0,52.0,52.2,108752.0
