Trading_Code,Date,Open,High,Low,Close,Volume
MERCANBANK,2025-04-08,10.2,10.2,10.1,10.2,365713.0
MERCANBANK,2025-04-07,10.3,10.3,10.1,10.1,456094.0
MERCANBANK,2025-04-06,10.2,10.3,10.1,10.2,419443.0
MERCANBANK,2025-03-27,10.3,10.4,10.3,10.3,319749.0
MERCANBANK,2025-03-25,10.2,10.4,10.2,10.3,484492.0
MERCANBANK,2025-03-24,10.2,10.3,10.1,10.2,235116.0
MERCANBANK,2025-03-23,10.2,10.3,10.1,10.2,632057.0
MERCANBANK,2025-03-20,10.4,10.4,10.2,10.2,325936.0
MERCANBANK,2025-03-19,10.3,10.4,10.2,10.3,834747.0
MERCANBANK,2025-03-18,10.2,10.3,10.1,10.2,529365.0
MERCANBANK,2025-03-17,10.1,10.2,10.1,10.2,632295.0
MERCANBANK,2025-03-16,10.1,10.2,10.1,10.1,488582.0
MERCANBANK,2025-03-13,10.2,10.2,10.1,10.1,615048.0
MERCANBANK,2025-03-12,10.1,10.2,10.0,10.1,345009.0
MERCANBANK,2025-03-11,10.0,10.1,10.0,10.0,234683.0
MERCANBANK,2025-03-10,10.0,10.1,10.0,10.0,210612.0
MERCANBANK,2025-03-09,10.1,10.1,10.0,10.0,276691.0
MERCANBANK,2025-03-06,10.1,10.2,10.0,10.1,263332.0
MERCANBANK,2025-03-05,10.1,10.1,10.0,10.0,193801.0
MERCANBANK,2025-03-04,10.0,10.2,10.0,10.0,368658.0
MERCANBANK,2025-03-03,10.0,10.2,10.0,10.0,241335.0
MERCANBANK,2025-03-02,10.1,10.2,10.0,10.1,162225.0
MERCANBANK,2025-02-27,10.2,10.2,10.1,10.1,357995.0
MERCANBANK,2025-02-26,10.1,10.2,10.1,10.2,131256.0
MERCANBANK,2025-02-25,10.1,10.3,10.0,10.2,1173617.0
MERCANBANK,2025-02-24,10.0,10.1,10.0,10.0,380128.0
MERCANBANK,2025-02-23,10.0,10.1,10.0,10.0,184832.0
MERCANBANK,2025-02-20,10.0,10.1,9.9,10.0,554938.0
MERCANBANK,2025-02-19,10.1,10.1,9.9,9.9,1134696.0
MERCANBANK,2025-02-18,10.1,10.2,10.0,10.0,301813.0
MERCANBANK,2025-02-17,10.1,10.2,10.0,10.1,453384.0
MERCANBANK,2025-02-16,10.1,10.2,10.1,10.1,338927.0
MERCANBANK,2025-02-13,10.0,10.2,10.0,10.2,299178.0
MERCANBANK,2025-02-12,10.2,10.2,10.0,10.1,257569.0
MERCANBANK,2025-02-11,10.1,10.2,10.0,10.1,537789.0
MERCANBANK,2025-02-10,10.1,10.2,10.0,10.0,226096.0
MERCANBANK,2025-02-09,10.2,10.2,10.1,10.1,799049.0
MERCANBANK,2025-02-06,10.1,10.2,10.1,10.1,380749.0
MERCANBANK,2025-02-05,10.1,10.2,10.1,10.1,826594.0
MERCANBANK,2025-02-04,10.1,10.2,10.0,10.1,942689.0
MERCANBANK,2025-02-03,10.0,10.1,9.9,10.0,631208.0
MERCANBANK,2025-02-02,10.0,10.0,9.9,9.9,926346.0
MERCANBANK,2025-01-30,10.0,10.0,9.9,10.0,611286.0
MERCANBANK,2025-01-29,10.0,10.0,9.9,9.9,609347.0
MERCANBANK,2025-01-28,10.0,10.0,9.9,10.0,647411.0
MERCANBANK,2025-01-27,10.1,10.1,9.9,10.0,1100614.0
MERCANBANK,2025-01-26,10.1,10.2,10.0,10.1,349921.0
MERCANBANK,2025-01-23,10.1,10.2,10.0,10.1,351658.0
MERCANBANK,2025-01-22,10.1,10.2,10.1,10.1,317924.0
MERCANBANK,2025-01-21,10.2,10.2,10.1,10.1,267282.0
MERCANBANK,2025-01-20,10.2,10.2,10.0,10.2,403578.0
MERCANBANK,2025-01-19,10.1,10.2,10.0,10.1,210026.0
MERCANBANK,2025-01-16,10.1,10.2,10.1,10.1,162670.0
MERCANBANK,2025-01-15,10.2,10.2,10.0,10.1,1129408.0
MERCANBANK,2025-01-14,10.2,10.3,10.1,10.2,564967.0
MERCANBANK,2025-01-13,10.1,10.2,10.1,10.1,100432.0
MERCANBANK,2025-01-12,10.1,10.2,10.1,10.2,267960.0
MERCANBANK,2025-01-09,10.2,10.3,10.1,10.2,457134.0
MERCANBANK,2025-01-08,10.3,10.3,10.2,10.2,194045.0
MERCANBANK,2025-01-07,10.2,10.3,10.2,10.3,334592.0
MERCANBANK,2025-01-06,10.2,10.3,10.1,10.3,310012.0
MERCANBANK,2025-01-05,10.3,10.4,10.2,10.2,590889.0
MERCANBANK,2025-01-02,10.3,10.4,10.2,10.3,609440.0
MERCANBANK,2025-01-01,10.3,10.4,10.2,10.3,534809.0
MERCANBANK,2024-12-30,10.1,10.3,10.1,10.3,470952.0
MERCANBANK,2024-12-29,10.0,10.2,10.0,10.1,404727.0
MERCANBANK,2024-12-26,10.1,10.1,10.0,10.0,79775.0
MERCANBANK,2024-12-24,10.0,10.1,9.9,10.0,851073.0
MERCANBANK,2024-12-23,10.1,10.1,10.0,10.0,83605.0
MERCANBANK,2024-12-22,10.1,10.2,10.0,10.1,663780.0
MERCANBANK,2024-12-19,10.1,10.2,10.0,10.1,648715.0
MERCANBANK,2024-12-18,10.3,10.3,10.1,10.2,267012.0
MERCANBANK,2024-12-17,10.2,10.3,10.0,10.2,1350197.0
MERCANBANK,2024-12-15,10.1,10.1,10.0,10.0,406290.0
MERCANBANK,2024-12-12,10.0,10.1,9.9,10.1,876494.0
MERCANBANK,2024-12-11,9.9,10.0,9.9,9.9,291145.0
MERCANBANK,2024-12-10,10.0,10.0,9.9,9.9,379589.0
MERCANBANK,2024-12-09,10.0,10.0,9.8,9.9,431568.0
MERCANBANK,2024-12-08,9.9,10.0,9.8,10.0,491217.0
MERCANBANK,2024-12-05,10.0,10.0,9.9,9.9,359815.0
MERCANBANK,2024-12-04,10.0,10.0,9.9,9.9,598467.0
MERCANBANK,2024-12-03,10.0,10.1,9.9,9.9,538387.0
MERCANBANK,2024-12-02,10.0,10.1,9.9,10.0,591625.0
MERCANBANK,2024-12-01,10.0,10.1,9.9,10.0,357041.0
MERCANBANK,2024-11-28,10.0,10.1,9.9,10.0,733276.0
MERCANBANK,2024-11-27,9.9,10.1,9.8,10.0,667332.0
MERCANBANK,2024-11-26,10.0,10.0,9.8,9.9,495491.0
MERCANBANK,2024-11-25,10.0,10.0,9.9,9.9,717803.0
MERCANBANK,2024-11-24,10.0,10.1,9.8,9.9,1211120.0
MERCANBANK,2024-11-21,10.2,10.2,9.9,10.0,973634.0
MERCANBANK,2024-11-20,10.2,10.2,10.0,10.1,760686.0
MERCANBANK,2024-11-19,10.1,10.2,9.9,10.1,864268.0
MERCANBANK,2024-11-18,10.1,10.2,10.0,10.0,948851.0
MERCANBANK,2024-11-17,10.2,10.3,10.1,10.1,853121.0
MERCANBANK,2024-11-14,9.8,10.4,9.8,10.1,2579681.0
MERCANBANK,2024-11-13,9.9,9.9,9.8,9.8,485983.0
MERCANBANK,2024-11-12,9.9,10.0,9.8,9.8,846052.0
MERCANBANK,2024-11-11,9.9,10.0,9.9,9.9,1354788.0
MERCANBANK,2024-11-10,9.8,10.0,9.8,9.9,863541.0
MERCANBANK,2024-11-07,10.0,10.0,9.8,9.9,743427.0
MERCANBANK,2024-11-06,10.2,10.2,9.9,10.0,1363646.0
MERCANBANK,2024-11-05,9.8,10.3,9.8,10.2,3361557.0
MERCANBANK,2024-11-04,9.9,9.9,9.6,9.8,2162419.0
MERCANBANK,2024-11-03,10.0,10.0,9.8,9.9,1110259.0
MERCANBANK,2024-10-31,10.0,10.0,9.8,9.9,4547251.0
MERCANBANK,2024-10-30,10.0,10.1,9.7,9.9,4874677.0
MERCANBANK,2024-10-29,9.8,10.0,9.8,9.9,2127334.0
MERCANBANK,2024-10-28,9.9,10.0,9.7,9.7,817364.0
MERCANBANK,2024-10-27,10.2,10.2,9.8,9.9,1206065.0
MERCANBANK,2024-10-24,10.3,10.3,10.1,10.2,919837.0
MERCANBANK,2024-10-23,10.1,10.5,10.1,10.3,1724484.0
MERCANBANK,2024-10-22,10.0,10.0,9.9,9.9,330195.0
MERCANBANK,2024-10-21,10.0,10.0,9.8,9.9,275040.0
MERCANBANK,2024-10-20,10.0,10.0,9.9,9.9,144810.0
MERCANBANK,2024-10-17,10.0,10.1,9.9,9.9,229013.0
MERCANBANK,2024-10-16,10.2,10.2,9.9,9.9,663198.0
MERCANBANK,2024-10-15,10.1,10.3,10.1,10.2,36703.0
MERCANBANK,2024-10-14,10.3,10.4,10.2,10.2,188134.0
MERCANBANK,2024-10-09,10.2,10.4,10.2,10.3,104260.0
MERCANBANK,2024-10-08,10.2,10.3,10.1,10.2,120648.0
MERCANBANK,2024-10-07,10.4,10.4,10.2,10.2,118747.0
MERCANBANK,2024-10-06,10.3,10.3,10.2,10.2,56358.0
MERCANBANK,2024-10-03,10.5,10.5,10.1,10.3,79498.0
MERCANBANK,2024-10-02,10.4,10.4,10.1,10.2,345289.0
MERCANBANK,2024-10-01,10.7,10.7,10.4,10.4,341878.0
MERCANBANK,2024-09-30,10.9,10.9,10.5,10.6,566396.0
MERCANBANK,2024-09-29,11.1,11.2,10.8,10.8,852291.0
MERCANBANK,2024-09-26,10.8,11.1,10.2,11.1,914039.0
MERCANBANK,2024-09-25,10.8,11.0,10.7,10.8,521907.0
MERCANBANK,2024-09-24,11.0,11.0,10.8,10.9,280557.0
MERCANBANK,2024-09-23,10.9,11.1,10.8,10.8,877155.0
MERCANBANK,2024-09-22,10.8,11.1,10.8,11.0,154867.0
MERCANBANK,2024-09-19,11.0,11.0,10.7,10.8,391763.0
MERCANBANK,2024-09-18,10.8,11.1,10.8,10.8,332944.0
MERCANBANK,2024-09-17,11.0,11.1,10.8,10.9,308575.0
MERCANBANK,2024-09-15,11.0,11.1,10.8,11.0,267099.0
MERCANBANK,2024-09-12,11.3,11.3,10.9,11.1,873221.0
