Trading_Code,Date,Open,High,Low,Close,Volume
MERCINS,2025-04-08,25.9,25.9,23.5,24.8,11535.0
MERCINS,2025-04-07,26.9,26.9,24.5,24.8,2261.0
MERCINS,2025-04-06,0.0,0.0,0.0,25.3,0.0
MERCINS,2025-03-27,27.4,27.5,24.7,25.3,77675.0
MERCINS,2025-03-25,24.0,25.7,24.0,25.2,10774.0
MERCINS,2025-03-24,24.2,24.6,24.1,24.1,2135.0
MERCINS,2025-03-23,23.0,24.7,23.0,23.6,5105.0
MERCINS,2025-03-20,24.0,24.8,24.0,24.3,8201.0
MERCINS,2025-03-19,24.3,24.6,24.2,24.3,1822.0
MERCINS,2025-03-18,26.8,26.8,24.0,24.8,1550.0
MERCINS,2025-03-17,25.0,25.0,24.4,24.6,11232.0
MERCINS,2025-03-16,24.4,25.3,24.3,24.8,64616.0
MERCINS,2025-03-13,24.2,24.9,23.8,24.2,10843.0
MERCINS,2025-03-12,23.8,24.1,23.8,24.0,28132.0
MERCINS,2025-03-11,24.2,24.2,23.4,24.0,68107.0
MERCINS,2025-03-10,23.5,23.5,23.5,23.5,100.0
MERCINS,2025-03-09,23.4,23.4,23.4,23.4,2100.0
MERCINS,2025-03-06,23.1,23.6,23.1,23.4,3799.0
MERCINS,2025-03-05,24.5,24.5,23.3,23.4,962.0
MERCINS,2025-03-04,23.1,23.3,23.1,23.2,1216.0
MERCINS,2025-03-03,24.6,24.6,23.5,23.6,5732.0
MERCINS,2025-03-02,24.0,24.2,23.3,23.7,31577.0
MERCINS,2025-02-27,24.8,24.8,23.4,23.5,8517.0
MERCINS,2025-02-26,23.4,23.6,23.4,23.5,6210.0
MERCINS,2025-02-25,24.3,24.3,23.8,24.0,11012.0
MERCINS,2025-02-24,24.1,24.3,23.5,23.7,2716.0
MERCINS,2025-02-23,23.3,23.7,23.3,23.6,8281.0
MERCINS,2025-02-20,23.3,23.7,23.0,23.2,3751.0
MERCINS,2025-02-19,23.5,23.7,23.1,23.3,11392.0
MERCINS,2025-02-18,23.3,24.5,23.0,23.7,13706.0
MERCINS,2025-02-17,23.7,23.8,23.7,23.8,4230.0
MERCINS,2025-02-16,23.0,24.2,23.0,23.7,19169.0
MERCINS,2025-02-13,23.8,24.4,23.8,23.9,3510.0
MERCINS,2025-02-12,24.4,24.4,23.7,23.8,17050.0
MERCINS,2025-02-11,24.9,25.0,24.6,24.9,13010.0
MERCINS,2025-02-10,24.8,24.8,23.8,23.9,11286.0
MERCINS,2025-02-09,23.6,25.9,23.5,23.6,6792.0
MERCINS,2025-02-06,24.0,25.7,24.0,24.0,1981.0
MERCINS,2025-02-05,23.2,25.0,23.2,24.2,688.0
MERCINS,2025-02-04,25.0,25.0,24.7,24.7,6076.0
MERCINS,2025-02-03,26.3,26.3,24.5,24.7,6410.0
MERCINS,2025-02-02,25.0,26.3,25.0,25.0,600.0
MERCINS,2025-01-30,26.8,26.8,23.0,25.7,2359.0
MERCINS,2025-01-29,26.5,26.5,24.0,24.4,1890.0
MERCINS,2025-01-28,25.6,26.0,25.2,25.4,2692.0
MERCINS,2025-01-27,0.0,0.0,0.0,25.2,0.0
MERCINS,2025-01-26,26.6,26.6,25.0,25.2,785.0
MERCINS,2025-01-23,26.7,26.7,26.5,26.6,22.0
MERCINS,2025-01-22,27.9,27.9,26.0,27.0,141.0
MERCINS,2025-01-21,25.0,28.0,25.0,26.0,2935.0
MERCINS,2025-01-20,26.6,27.9,26.0,26.6,3410.0
MERCINS,2025-01-19,27.5,27.5,25.5,25.8,2536.0
MERCINS,2025-01-16,25.6,25.6,25.6,25.6,1750.0
MERCINS,2025-01-15,25.6,25.6,25.6,25.6,6130.0
MERCINS,2025-01-14,25.6,25.6,25.6,25.6,10590.0
MERCINS,2025-01-13,25.6,26.0,25.6,26.0,12029.0
MERCINS,2025-01-12,25.1,26.0,25.1,25.7,4208.0
MERCINS,2025-01-09,25.3,25.9,25.3,25.4,2422.0
MERCINS,2025-01-08,25.9,25.9,25.9,25.9,4000.0
MERCINS,2025-01-07,25.9,26.2,25.0,26.0,18132.0
MERCINS,2025-01-06,25.4,26.0,24.9,26.0,17236.0
MERCINS,2025-01-05,24.6,25.0,24.6,24.8,240.0
MERCINS,2025-01-02,24.8,26.3,24.8,25.5,11770.0
MERCINS,2025-01-01,23.9,24.8,23.9,24.8,2544.0
MERCINS,2024-12-30,24.0,25.5,24.0,25.0,2012.0
MERCINS,2024-12-29,24.3,24.7,23.2,23.9,11783.0
MERCINS,2024-12-26,24.8,24.8,22.5,22.5,2160.0
MERCINS,2024-12-24,25.0,25.0,24.8,25.0,2205.0
MERCINS,2024-12-23,26.1,26.1,25.0,25.0,10000.0
MERCINS,2024-12-22,0.0,0.0,0.0,25.0,0.0
MERCINS,2024-12-19,26.0,26.3,25.0,25.0,3001.0
MERCINS,2024-12-18,25.2,25.2,25.0,25.0,10000.0
MERCINS,2024-12-17,25.5,26.5,25.5,25.9,4105.0
MERCINS,2024-12-15,26.5,26.5,25.5,25.6,11949.0
MERCINS,2024-12-12,26.5,26.5,25.6,25.6,4171.0
MERCINS,2024-12-11,25.7,25.7,25.6,25.6,7000.0
MERCINS,2024-12-10,26.7,26.7,25.8,25.9,19954.0
MERCINS,2024-12-09,25.9,26.2,25.5,25.5,1058.0
MERCINS,2024-12-08,26.0,27.5,26.0,26.0,13590.0
MERCINS,2024-12-05,25.4,26.7,25.4,25.8,5704.0
MERCINS,2024-12-04,26.0,27.7,26.0,26.3,8105.0
MERCINS,2024-12-03,25.8,26.4,25.5,25.7,94188.0
MERCINS,2024-12-02,26.0,27.0,26.0,26.4,10861.0
MERCINS,2024-12-01,26.8,26.8,26.0,26.0,7693.0
MERCINS,2024-11-28,27.2,27.2,25.6,26.0,13459.0
MERCINS,2024-11-27,26.8,26.8,25.3,25.9,5480.0
MERCINS,2024-11-26,25.3,25.6,25.3,25.4,2380.0
MERCINS,2024-11-25,25.7,25.9,25.3,25.4,5571.0
MERCINS,2024-11-24,26.7,26.7,24.9,25.4,2111.0
MERCINS,2024-11-21,26.1,26.9,25.2,25.6,36498.0
MERCINS,2024-11-20,26.8,27.5,25.1,26.4,43540.0
MERCINS,2024-11-19,27.0,28.3,26.5,27.1,125126.0
MERCINS,2024-11-18,25.3,27.8,25.3,27.0,135146.0
MERCINS,2024-11-17,26.5,26.5,25.3,25.7,30861.0
MERCINS,2024-11-14,27.1,28.0,26.1,26.6,139956.0
