Trading_Code,Date,Open,High,Low,Close,Volume
METROSPIN,2025-04-08,13.5,13.5,13.1,13.2,34535.0
METROSPIN,2025-04-07,13.1,13.6,13.1,13.1,69989.0
METROSPIN,2025-04-06,13.7,13.7,12.6,13.0,76057.0
METROSPIN,2025-03-27,14.2,14.2,13.8,14.0,22670.0
METROSPIN,2025-03-25,14.1,14.1,13.6,14.0,38569.0
METROSPIN,2025-03-24,13.8,14.1,13.8,14.0,79016.0
METROSPIN,2025-03-23,13.0,13.9,13.0,13.7,38772.0
METROSPIN,2025-03-20,13.7,14.1,13.5,13.6,71267.0
METROSPIN,2025-03-19,13.0,13.7,13.0,13.6,40895.0
METROSPIN,2025-03-18,13.2,13.2,12.7,12.8,810617.0
METROSPIN,2025-03-17,13.4,13.5,12.7,12.8,157276.0
METROSPIN,2025-03-16,13.9,13.9,13.0,13.3,265413.0
METROSPIN,2025-03-13,14.2,14.5,13.8,13.9,115011.0
METROSPIN,2025-03-12,13.9,14.3,13.7,13.8,59316.0
METROSPIN,2025-03-11,14.5,14.5,13.8,13.8,112886.0
METROSPIN,2025-03-10,13.9,14.4,13.9,14.0,32966.0
METROSPIN,2025-03-09,14.6,14.6,13.8,13.9,183692.0
METROSPIN,2025-03-06,14.5,14.5,14.1,14.4,53607.0
METROSPIN,2025-03-05,14.5,14.5,14.2,14.3,77391.0
METROSPIN,2025-03-04,15.2,15.2,14.3,14.4,224677.0
METROSPIN,2025-03-03,14.2,15.4,14.0,15.0,623673.0
METROSPIN,2025-03-02,13.3,14.4,13.3,14.1,199861.0
METROSPIN,2025-02-27,13.4,13.7,13.2,13.5,57926.0
METROSPIN,2025-02-26,13.6,13.6,13.2,13.4,33607.0
METROSPIN,2025-02-25,13.8,13.8,13.0,13.2,41607.0
METROSPIN,2025-02-24,13.8,13.8,13.3,13.4,21364.0
METROSPIN,2025-02-23,13.7,13.8,13.1,13.3,144277.0
METROSPIN,2025-02-20,13.5,13.5,13.0,13.1,17791.0
METROSPIN,2025-02-19,13.9,13.9,12.8,13.1,122798.0
METROSPIN,2025-02-18,14.3,14.3,13.5,13.6,97602.0
METROSPIN,2025-02-17,14.0,14.3,13.7,13.8,106764.0
METROSPIN,2025-02-16,13.3,14.6,13.3,13.9,416970.0
METROSPIN,2025-02-13,13.0,13.3,12.9,13.3,100339.0
METROSPIN,2025-02-12,12.9,13.2,12.9,13.0,79714.0
METROSPIN,2025-02-11,12.5,13.0,12.5,12.8,69474.0
METROSPIN,2025-02-10,13.0,13.2,12.6,12.6,60099.0
METROSPIN,2025-02-09,13.9,13.9,12.8,13.2,178817.0
