Trading_Code,Date,Open,High,Low,Close,Volume
MICEMENT,2022-12-01,66.4,68.5,66.0,68.1,47815.0
MICEMENT,2022-11-01,63.4,69.7,63.4,67.3,19134.0
MICEMENT,2022-10-02,63.0,65.0,62.6,63.2,18885.0
MICEMENT,2022-10-01,65.7,67.7,63.3,66.0,45752.0
MICEMENT,2022-09-02,62.4,65.5,62.1,63.4,64395.0
MICEMENT,2022-09-01,67.6,68.5,65.7,66.1,24501.0
MICEMENT,2022-08-02,62.2,63.8,62.1,63.0,1212.0
MICEMENT,2022-07-02,62.8,63.0,62.5,62.7,14583.0
MICEMENT,2022-06-02,62.5,62.9,62.5,62.7,4584.0
MICEMENT,2022-06-01,64.2,68.0,64.2,67.6,33255.0
MICEMENT,2022-05-01,64.4,65.8,64.4,65.0,17300.0
MICEMENT,2022-04-01,65.6,65.6,62.4,64.4,12862.0
MICEMENT,2022-03-02,63.3,63.9,63.0,63.5,14391.0
MICEMENT,2022-03-01,63.0,64.3,63.0,64.0,15264.0
MICEMENT,2022-02-22,61.4,62.0,61.4,61.8,4313.0
MICEMENT,2022-02-20,61.2,61.4,61.0,61.1,5003.0
MICEMENT,2022-02-17,62.2,63.0,60.0,61.5,14650.0
MICEMENT,2022-02-16,62.7,62.9,61.9,62.1,15615.0
MICEMENT,2022-02-15,62.7,63.7,62.0,62.6,9666.0
MICEMENT,2022-02-14,62.6,63.6,62.6,63.0,7052.0
MICEMENT,2022-02-13,62.5,64.7,62.5,63.4,5639.0
MICEMENT,2022-02-02,61.6,63.1,61.6,62.8,5719.0
MICEMENT,2022-02-01,62.2,64.2,62.2,63.5,4348.0
MICEMENT,2022-01-31,61.4,62.0,59.5,61.8,44708.0
MICEMENT,2022-01-30,65.0,65.0,64.0,64.3,233176.0
MICEMENT,2022-01-27,64.1,65.7,64.0,65.3,19967.0
MICEMENT,2022-01-26,65.1,66.3,64.6,65.5,10411.0
MICEMENT,2022-01-25,66.5,66.5,64.8,65.1,3661.0
MICEMENT,2022-01-24,66.9,68.0,64.3,64.6,15397.0
MICEMENT,2022-01-23,66.5,67.4,65.5,65.6,16176.0
MICEMENT,2022-01-20,67.0,67.9,67.0,67.2,19313.0
MICEMENT,2022-01-19,66.2,69.6,66.2,67.2,12114.0
MICEMENT,2022-01-18,66.0,69.0,65.1,68.7,11302.0
MICEMENT,2022-01-17,69.2,69.4,68.2,68.7,10815.0
MICEMENT,2022-01-16,67.0,69.8,67.0,69.2,34722.0
MICEMENT,2022-01-13,64.0,68.5,64.0,66.5,2103.0
MICEMENT,2022-01-02,62.2,63.1,61.6,62.7,29809.0
MICEMENT,2021-12-30,61.3,63.4,61.3,62.2,17571.0
MICEMENT,2021-12-29,63.2,63.2,61.8,62.4,10262.0
MICEMENT,2021-12-28,61.0,63.0,61.0,62.8,10486.0
MICEMENT,2021-12-27,63.7,63.7,60.6,61.4,5010.0
MICEMENT,2021-12-26,64.6,64.6,60.4,60.9,14295.0
MICEMENT,2021-12-23,66.9,67.0,61.4,62.2,42178.0
MICEMENT,2021-12-22,66.7,69.6,66.7,67.1,55714.0
MICEMENT,2021-12-21,67.5,67.5,67.0,67.2,4103.0
MICEMENT,2021-12-20,68.0,68.0,67.3,67.6,2811.0
MICEMENT,2021-12-19,67.7,70.0,67.1,69.3,11886.0
MICEMENT,2021-12-15,68.0,68.4,67.8,68.0,16479.0
MICEMENT,2021-12-14,70.8,72.0,67.8,68.5,13910.0
MICEMENT,2021-12-13,68.5,69.3,68.1,68.8,22288.0
MICEMENT,2021-12-12,68.1,71.1,68.1,68.6,15502.0
MICEMENT,2021-12-10,80.5,83.5,80.5,82.0,120404.0
MICEMENT,2021-12-09,85.9,85.9,82.4,83.1,131390.0
MICEMENT,2021-12-08,85.3,85.8,84.0,85.1,237699.0
MICEMENT,2021-12-07,70.1,73.2,70.1,72.1,20458.0
MICEMENT,2021-12-05,64.7,65.0,61.3,61.6,39896.0
MICEMENT,2021-12-04,46.7,47.0,46.7,46.9,998.0
MICEMENT,2021-12-01,48.0,51.5,48.0,50.8,87061.0
MICEMENT,2021-11-30,68.0,68.0,67.2,67.4,14007.0
MICEMENT,2021-11-29,67.0,68.9,67.0,67.5,1355.0
MICEMENT,2021-11-28,65.2,69.1,65.2,67.7,5751.0
MICEMENT,2021-11-25,68.1,69.5,68.1,69.2,29097.0
MICEMENT,2021-11-24,66.6,72.0,66.5,70.0,68554.0
MICEMENT,2021-11-23,63.0,68.6,62.1,65.8,23239.0
MICEMENT,2021-11-22,62.5,64.4,62.0,62.5,18100.0
MICEMENT,2021-11-21,65.7,66.0,63.0,63.6,15232.0
MICEMENT,2021-11-18,68.0,68.0,64.3,65.7,42791.0
MICEMENT,2021-11-16,65.0,68.6,65.0,67.9,19562.0
MICEMENT,2021-11-15,66.0,66.9,65.1,66.5,13736.0
MICEMENT,2021-11-14,63.9,70.0,63.9,66.2,9445.0
MICEMENT,2021-11-11,70.4,71.9,69.8,70.9,12456.0
MICEMENT,2021-11-10,83.1,84.0,83.1,83.5,24391.0
MICEMENT,2021-11-08,84.0,86.9,80.1,85.1,595520.0
MICEMENT,2021-11-05,62.5,64.7,62.5,63.5,47514.0
MICEMENT,2021-11-04,44.7,47.0,44.7,47.0,6302.0
MICEMENT,2021-11-03,49.1,49.4,48.5,48.9,18975.0
MICEMENT,2021-11-02,46.2,47.0,45.4,45.8,45981.0
MICEMENT,2021-11-01,47.5,49.0,47.5,48.9,52217.0
MICEMENT,2021-10-31,76.9,77.0,74.5,75.5,12592.0
MICEMENT,2021-10-28,76.2,80.9,76.1,76.6,16321.0
MICEMENT,2021-10-27,74.5,79.0,74.0,76.3,9293.0
MICEMENT,2021-10-26,75.1,77.0,74.4,75.7,19465.0
MICEMENT,2021-10-25,74.1,77.9,74.1,74.4,14586.0
MICEMENT,2021-10-24,78.0,78.0,74.8,75.1,9652.0
MICEMENT,2021-10-21,77.0,79.7,76.0,77.8,5073.0
MICEMENT,2021-10-19,73.2,82.5,73.2,76.9,33991.0
MICEMENT,2021-10-18,80.8,82.5,74.1,75.1,43258.0
MICEMENT,2021-10-17,81.0,81.0,77.0,77.6,27079.0
MICEMENT,2021-10-14,82.9,83.4,80.2,81.1,12307.0
MICEMENT,2021-10-13,82.0,82.0,80.3,81.0,52261.0
MICEMENT,2021-10-11,70.0,71.4,68.5,70.4,49870.0
MICEMENT,2021-10-10,84.1,84.7,82.6,83.1,69992.0
MICEMENT,2021-10-08,79.2,84.9,79.1,83.9,480758.0
MICEMENT,2021-10-06,71.1,72.0,70.1,70.9,52181.0
MICEMENT,2021-10-03,48.6,50.0,48.6,49.1,20780.0
MICEMENT,2021-10-02,46.5,48.0,46.5,46.9,24739.0
MICEMENT,2021-10-01,48.0,49.0,48.0,48.0,42918.0
MICEMENT,2021-09-30,82.2,85.4,82.2,85.1,88012.0
MICEMENT,2021-09-29,83.8,83.8,82.0,82.2,50891.0
MICEMENT,2021-09-28,82.5,83.1,82.1,82.3,27078.0
MICEMENT,2021-09-27,82.1,83.7,82.1,82.4,76986.0
MICEMENT,2021-09-26,82.3,83.0,82.0,82.0,22537.0
MICEMENT,2021-09-23,83.0,83.0,82.2,82.3,57529.0
MICEMENT,2021-09-22,82.7,84.0,82.5,83.0,54848.0
MICEMENT,2021-09-21,83.0,84.0,82.6,83.3,31812.0
MICEMENT,2021-09-20,83.0,85.0,82.7,83.1,172239.0
MICEMENT,2021-09-19,84.9,84.9,83.1,83.8,109502.0
MICEMENT,2021-09-16,82.4,84.5,82.4,84.0,67851.0
MICEMENT,2021-09-15,83.1,84.0,83.0,83.5,24576.0
MICEMENT,2021-09-14,84.0,84.3,82.5,82.9,39374.0
MICEMENT,2021-09-13,84.0,85.0,83.0,84.4,155252.0
MICEMENT,2021-09-12,70.0,71.1,67.6,69.6,5316.0
MICEMENT,2021-09-11,65.9,71.5,65.9,70.0,14924.0
MICEMENT,2021-09-09,84.8,86.4,83.5,85.9,92599.0
MICEMENT,2021-09-08,77.7,82.0,76.1,80.5,191079.0
MICEMENT,2021-09-06,69.8,71.7,69.7,71.1,182587.0
