Trading_Code,Date,Open,High,Low,Close,Volume
MIDASFIN,2025-04-08,10.3,10.6,9.8,9.9,633445.0
MIDASFIN,2025-04-07,10.1,10.7,10.0,10.6,939207.0
MIDASFIN,2025-04-06,10.0,10.2,9.6,9.8,709388.0
MIDASFIN,2025-03-27,10.7,11.1,10.0,10.3,685619.0
MIDASFIN,2025-03-25,10.9,11.4,10.5,10.7,1645854.0
MIDASFIN,2025-03-24,10.5,11.1,10.0,10.9,1517735.0
MIDASFIN,2025-03-23,10.3,10.3,9.9,10.3,1984262.0
MIDASFIN,2025-03-20,8.8,9.4,8.8,9.4,984284.0
MIDASFIN,2025-03-19,7.7,8.7,7.7,8.6,224519.0
MIDASFIN,2025-03-18,8.1,8.6,8.1,8.5,233565.0
MIDASFIN,2025-03-17,8.3,8.3,8.1,8.1,129553.0
MIDASFIN,2025-03-16,8.3,8.4,8.1,8.2,85655.0
MIDASFIN,2025-03-13,8.5,8.5,8.2,8.3,57404.0
MIDASFIN,2025-03-12,8.1,8.4,7.9,8.3,159246.0
MIDASFIN,2025-03-11,8.2,8.2,8.0,8.0,54009.0
MIDASFIN,2025-03-10,8.2,8.2,8.0,8.1,49742.0
MIDASFIN,2025-03-09,8.3,8.3,8.1,8.1,58936.0
MIDASFIN,2025-03-06,8.4,8.5,8.3,8.3,53657.0
MIDASFIN,2025-03-05,8.3,8.4,8.2,8.3,36945.0
MIDASFIN,2025-03-04,8.4,8.5,8.2,8.3,78617.0
MIDASFIN,2025-03-03,8.3,8.5,8.2,8.2,345977.0
MIDASFIN,2025-03-02,8.6,8.6,8.4,8.4,53559.0
MIDASFIN,2025-02-27,8.2,8.8,8.2,8.7,408587.0
MIDASFIN,2025-02-26,8.6,8.8,8.3,8.3,291684.0
MIDASFIN,2025-02-25,8.8,8.9,8.5,8.6,256612.0
MIDASFIN,2025-02-24,8.2,8.9,8.2,8.6,494152.0
MIDASFIN,2025-02-23,8.1,8.3,8.1,8.2,67535.0
MIDASFIN,2025-02-20,8.1,8.3,8.0,8.1,51756.0
MIDASFIN,2025-02-19,8.3,8.3,8.0,8.1,154382.0
MIDASFIN,2025-02-18,8.3,8.6,8.3,8.3,159831.0
MIDASFIN,2025-02-17,8.5,8.5,8.1,8.2,108261.0
MIDASFIN,2025-02-16,8.5,8.6,8.2,8.3,91016.0
MIDASFIN,2025-02-13,8.4,8.6,8.3,8.4,123341.0
MIDASFIN,2025-02-12,8.7,8.8,8.4,8.5,211951.0
MIDASFIN,2025-02-11,8.4,8.9,8.4,8.6,471814.0
MIDASFIN,2025-02-10,8.4,8.6,8.3,8.5,238934.0
MIDASFIN,2025-02-09,8.6,9.1,8.6,8.8,614472.0
MIDASFIN,2025-02-06,8.2,8.7,8.0,8.5,655964.0
MIDASFIN,2025-02-05,7.9,8.2,7.9,8.1,305939.0
MIDASFIN,2025-02-04,7.9,7.9,7.7,7.8,30879.0
MIDASFIN,2025-02-03,7.7,8.0,7.7,7.9,53960.0
MIDASFIN,2025-02-02,8.0,8.1,7.6,7.7,92874.0
MIDASFIN,2025-01-30,7.8,7.9,7.4,7.8,129780.0
MIDASFIN,2025-01-29,7.5,8.0,7.5,7.8,87678.0
MIDASFIN,2025-01-28,7.7,8.2,7.3,7.5,240105.0
MIDASFIN,2025-01-27,7.7,7.7,7.6,7.6,37920.0
MIDASFIN,2025-01-26,7.8,7.9,7.5,7.6,127782.0
MIDASFIN,2025-01-23,7.8,8.0,7.7,7.8,52252.0
MIDASFIN,2025-01-22,7.9,8.0,7.8,7.8,37774.0
MIDASFIN,2025-01-21,7.9,8.0,7.9,8.0,96180.0
MIDASFIN,2025-01-20,7.7,8.0,7.7,7.8,146250.0
MIDASFIN,2025-01-19,8.0,8.0,7.8,7.8,43297.0
MIDASFIN,2025-01-16,8.0,8.2,7.8,7.9,100871.0
MIDASFIN,2025-01-15,7.8,8.1,7.8,8.0,166237.0
MIDASFIN,2025-01-14,8.0,8.0,7.8,7.8,110195.0
MIDASFIN,2025-01-13,8.0,8.0,7.9,7.9,28081.0
MIDASFIN,2025-01-12,8.1,8.2,8.0,8.0,46094.0
MIDASFIN,2025-01-09,8.1,8.1,7.9,7.9,51390.0
MIDASFIN,2025-01-08,8.0,8.1,7.9,8.0,17434.0
MIDASFIN,2025-01-07,8.2,8.3,8.0,8.0,142142.0
MIDASFIN,2025-01-06,8.1,8.1,8.0,8.1,60711.0
MIDASFIN,2025-01-05,8.5,8.5,8.0,8.0,43878.0
MIDASFIN,2025-01-02,8.2,8.7,8.1,8.1,81780.0
MIDASFIN,2025-01-01,8.1,8.3,8.0,8.1,35796.0
MIDASFIN,2024-12-30,8.5,8.6,8.1,8.1,98361.0
MIDASFIN,2024-12-29,8.0,8.2,8.0,8.2,105993.0
MIDASFIN,2024-12-26,8.0,8.1,7.9,8.0,40032.0
MIDASFIN,2024-12-24,8.1,8.1,8.0,8.0,30740.0
MIDASFIN,2024-12-23,8.4,8.6,8.0,8.0,109493.0
MIDASFIN,2024-12-22,7.9,8.1,7.9,7.9,43847.0
MIDASFIN,2024-12-19,8.0,8.1,7.9,8.0,42466.0
MIDASFIN,2024-12-18,8.2,8.2,7.9,8.0,45057.0
MIDASFIN,2024-12-17,8.1,8.3,8.0,8.0,116360.0
MIDASFIN,2024-12-15,8.0,8.1,7.9,8.1,54426.0
MIDASFIN,2024-12-12,8.1,8.1,7.9,7.9,79098.0
MIDASFIN,2024-12-11,8.3,8.3,7.9,8.0,137678.0
MIDASFIN,2024-12-10,8.3,8.4,8.0,8.1,158571.0
MIDASFIN,2024-12-09,8.3,8.4,8.0,8.1,82623.0
MIDASFIN,2024-12-08,8.4,8.4,8.1,8.2,85745.0
MIDASFIN,2024-12-05,8.8,8.8,8.3,8.4,120328.0
MIDASFIN,2024-12-04,8.7,9.2,8.6,8.7,627937.0
MIDASFIN,2024-12-03,8.6,8.8,8.3,8.7,229228.0
MIDASFIN,2024-12-02,8.1,8.8,8.1,8.5,277369.0
MIDASFIN,2024-12-01,8.0,8.2,7.8,8.0,113942.0
MIDASFIN,2024-11-28,8.1,8.2,7.9,8.0,122692.0
MIDASFIN,2024-11-27,7.8,8.2,7.8,8.1,134526.0
MIDASFIN,2024-11-26,7.9,7.9,7.7,7.8,30419.0
MIDASFIN,2024-11-25,8.0,8.0,7.9,7.9,89490.0
MIDASFIN,2024-11-24,8.1,8.1,7.8,7.9,64762.0
MIDASFIN,2024-11-21,8.4,8.4,8.0,8.2,118363.0
MIDASFIN,2024-11-20,8.2,8.5,8.2,8.4,130432.0
MIDASFIN,2024-11-19,7.8,8.3,7.8,8.2,118781.0
MIDASFIN,2024-11-18,8.1,8.2,7.8,7.9,60405.0
MIDASFIN,2024-11-17,8.3,8.3,7.9,8.0,168296.0
MIDASFIN,2024-11-14,8.5,8.5,8.1,8.2,139661.0
MIDASFIN,2024-11-13,8.3,8.4,8.1,8.1,133751.0
MIDASFIN,2024-11-12,8.5,8.8,8.3,8.3,133046.0
MIDASFIN,2024-11-11,8.4,8.5,8.1,8.4,178442.0
MIDASFIN,2024-11-10,8.4,8.6,8.2,8.2,62355.0
MIDASFIN,2024-11-07,8.5,8.9,8.4,8.5,109616.0
MIDASFIN,2024-11-06,8.7,9.1,8.5,8.6,273139.0
MIDASFIN,2024-11-05,8.8,9.3,8.8,8.9,151394.0
MIDASFIN,2024-11-04,8.5,8.8,7.9,8.7,255755.0
MIDASFIN,2024-11-03,8.2,8.3,7.9,8.0,130859.0
MIDASFIN,2024-10-31,7.8,8.3,7.7,8.3,303158.0
MIDASFIN,2024-10-30,7.3,7.8,7.2,7.6,134255.0
MIDASFIN,2024-10-29,7.0,7.4,7.0,7.2,158448.0
MIDASFIN,2024-10-28,7.4,7.4,7.0,7.1,56540.0
MIDASFIN,2024-10-27,6.8,7.3,6.8,7.0,128936.0
MIDASFIN,2024-10-24,7.3,7.6,7.2,7.4,59002.0
MIDASFIN,2024-10-23,7.9,7.9,7.3,7.4,185450.0
MIDASFIN,2024-10-22,0.0,0.0,0.0,7.4,0.0
MIDASFIN,2024-10-21,7.2,7.7,7.0,7.4,91083.0
MIDASFIN,2024-10-20,7.8,8.0,7.2,7.3,182158.0
MIDASFIN,2024-10-17,8.0,8.0,7.8,7.9,56535.0
MIDASFIN,2024-10-16,7.9,8.2,7.9,8.0,34816.0
MIDASFIN,2024-10-15,8.1,8.3,7.9,8.0,50620.0
MIDASFIN,2024-10-14,8.8,9.0,8.1,8.2,96749.0
MIDASFIN,2024-10-09,8.2,8.4,8.1,8.2,820084.0
MIDASFIN,2024-10-08,8.1,8.2,7.9,7.9,102915.0
MIDASFIN,2024-10-07,8.4,8.4,8.0,8.1,767582.0
MIDASFIN,2024-10-06,8.3,8.5,8.1,8.5,58515.0
MIDASFIN,2024-10-03,8.1,8.2,7.7,8.0,613431.0
MIDASFIN,2024-10-02,8.3,8.3,7.8,8.0,35919.0
MIDASFIN,2024-10-01,8.9,8.9,7.8,8.1,543435.0
MIDASFIN,2024-09-30,9.5,9.5,9.0,9.1,155672.0
MIDASFIN,2024-09-29,9.6,9.6,9.2,9.4,51193.0
MIDASFIN,2024-09-26,9.5,9.6,9.0,9.1,149108.0
MIDASFIN,2024-09-25,10.4,10.4,9.4,9.6,120760.0
MIDASFIN,2024-09-24,10.5,10.7,10.1,10.3,275471.0
MIDASFIN,2024-09-23,10.2,10.4,10.1,10.3,237864.0
MIDASFIN,2024-09-22,10.4,10.5,9.9,10.1,154392.0
MIDASFIN,2024-09-19,10.5,10.5,10.0,10.1,178807.0
MIDASFIN,2024-09-18,10.3,10.6,10.2,10.5,332688.0
MIDASFIN,2024-09-17,9.8,10.4,9.7,10.2,376202.0
MIDASFIN,2024-09-15,10.0,10.1,9.6,9.7,98780.0
MIDASFIN,2024-09-12,10.0,10.2,9.8,9.8,300284.0
MIDASFIN,2024-09-11,10.2,10.5,9.8,10.0,86289.0
MIDASFIN,2024-09-10,9.9,10.3,9.6,10.2,275822.0
MIDASFIN,2024-09-09,9.8,10.2,9.5,9.6,201615.0
MIDASFIN,2024-09-08,10.7,10.7,9.9,10.0,194476.0
MIDASFIN,2024-09-05,10.4,10.8,10.2,10.4,130058.0
MIDASFIN,2024-09-04,11.4,11.4,10.5,10.6,308487.0
MIDASFIN,2024-09-03,11.5,11.5,10.9,11.0,220025.0
MIDASFIN,2024-09-02,12.0,12.0,11.2,11.3,360602.0
MIDASFIN,2024-09-01,11.4,12.2,11.4,11.9,541812.0
MIDASFIN,2024-08-29,11.4,11.7,10.9,11.3,325251.0
MIDASFIN,2024-08-28,11.3,11.3,10.8,11.0,189521.0
MIDASFIN,2024-08-27,11.4,11.5,11.1,11.1,115493.0
MIDASFIN,2024-08-25,11.4,11.8,11.1,11.4,191078.0
MIDASFIN,2024-08-22,11.2,11.7,11.2,11.3,352824.0
MIDASFIN,2024-08-21,11.5,11.5,11.5,11.5,43424.0
MIDASFIN,2024-08-20,11.8,12.0,11.8,11.8,172222.0
MIDASFIN,2024-08-19,12.1,12.8,12.1,12.1,549891.0
MIDASFIN,2024-08-18,12.6,13.0,12.4,12.4,178369.0
MIDASFIN,2024-08-15,13.1,13.3,12.5,12.7,580338.0
MIDASFIN,2024-08-14,11.7,12.8,11.4,12.8,1445974.0
MIDASFIN,2024-08-13,12.4,12.7,11.7,11.7,467656.0
MIDASFIN,2024-08-12,11.4,12.3,11.1,12.0,940629.0
MIDASFIN,2024-08-11,11.0,11.5,10.5,11.4,855052.0
MIDASFIN,2024-08-08,10.2,10.5,9.9,10.5,298111.0
MIDASFIN,2024-08-07,9.2,9.6,9.1,9.6,407791.0
MIDASFIN,2024-08-06,8.8,8.8,8.7,8.8,166862.0
MIDASFIN,2024-08-04,8.1,8.1,8.0,8.0,1487.0
MIDASFIN,2024-08-01,8.1,8.4,8.0,8.2,12843.0
MIDASFIN,2024-07-31,8.8,8.8,8.0,8.1,1556.0
MIDASFIN,2024-07-30,8.1,8.1,8.0,8.0,37199.0
MIDASFIN,2024-07-29,8.2,8.3,8.1,8.2,8646.0
MIDASFIN,2024-07-28,8.4,8.5,8.2,8.2,40924.0
MIDASFIN,2024-07-25,8.6,8.6,8.4,8.4,19311.0
MIDASFIN,2024-07-24,8.4,8.5,8.4,8.4,10221.0
MIDASFIN,2024-07-18,8.8,8.8,8.6,8.6,28808.0
MIDASFIN,2024-07-16,8.7,9.2,8.7,8.8,152984.0
MIDASFIN,2024-07-15,9.0,9.0,8.8,8.8,74430.0
MIDASFIN,2024-07-14,8.9,8.9,8.9,8.9,14603.0
MIDASFIN,2024-07-11,9.2,9.2,9.1,9.1,86978.0
MIDASFIN,2024-07-10,9.1,9.8,9.0,9.3,506865.0
MIDASFIN,2024-07-09,9.0,9.1,8.8,9.0,110701.0
MIDASFIN,2024-07-08,9.0,9.0,8.8,8.9,236778.0
MIDASFIN,2024-07-07,8.8,9.2,8.6,9.0,319065.0
MIDASFIN,2024-07-04,8.7,8.9,8.4,8.8,163140.0
MIDASFIN,2024-07-03,8.3,8.5,8.0,8.4,99383.0
MIDASFIN,2024-07-02,8.5,8.5,8.0,8.1,46113.0
MIDASFIN,2024-06-30,8.5,8.9,8.2,8.2,117012.0
MIDASFIN,2024-06-27,7.8,8.4,7.8,8.4,207701.0
MIDASFIN,2024-06-26,7.3,7.7,7.3,7.7,68418.0
