Trading_Code,Date,Open,High,Low,Close,Volume
MIRAKHTER,2025-04-08,32.5,33.2,32.3,32.9,360330.0
MIRAKHTER,2025-04-07,32.7,33.5,32.3,32.5,695071.0
MIRAKHTER,2025-04-06,33.5,33.5,32.3,32.7,570773.0
MIRAKHTER,2025-03-27,33.9,33.9,33.3,33.7,342733.0
MIRAKHTER,2025-03-25,34.2,34.2,33.4,33.6,307192.0
MIRAKHTER,2025-03-24,33.9,34.6,33.7,34.0,1146158.0
MIRAKHTER,2025-03-23,34.8,34.8,33.9,34.0,447054.0
MIRAKHTER,2025-03-20,35.3,36.3,34.6,34.8,1752399.0
MIRAKHTER,2025-03-19,34.9,35.5,33.9,34.9,1035779.0
MIRAKHTER,2025-03-18,34.5,35.0,34.0,34.2,897321.0
MIRAKHTER,2025-03-17,35.9,36.8,33.9,34.5,1358213.0
MIRAKHTER,2025-03-16,34.0,36.0,33.8,35.7,1932083.0
MIRAKHTER,2025-03-13,34.0,34.7,33.7,34.1,1331763.0
MIRAKHTER,2025-03-12,32.2,34.1,32.1,33.8,2153085.0
MIRAKHTER,2025-03-11,33.0,33.0,31.9,32.2,749281.0
MIRAKHTER,2025-03-10,32.2,32.3,31.7,32.0,410568.0
MIRAKHTER,2025-03-09,32.8,33.0,31.6,31.7,425281.0
MIRAKHTER,2025-03-06,33.3,33.5,32.7,32.8,271273.0
MIRAKHTER,2025-03-05,33.5,33.8,32.9,33.0,351713.0
MIRAKHTER,2025-03-04,34.3,34.3,33.3,33.5,344746.0
MIRAKHTER,2025-03-03,33.8,34.8,33.6,34.3,1048862.0
MIRAKHTER,2025-03-02,33.3,33.8,33.1,33.6,485788.0
MIRAKHTER,2025-02-27,32.8,33.7,32.8,33.1,333467.0
MIRAKHTER,2025-02-26,33.2,33.6,32.7,32.8,385273.0
MIRAKHTER,2025-02-25,34.3,34.3,33.2,33.3,686194.0
MIRAKHTER,2025-02-24,33.3,34.0,33.0,33.9,537658.0
MIRAKHTER,2025-02-23,33.2,33.4,32.9,33.2,405507.0
MIRAKHTER,2025-02-20,33.7,34.4,32.7,33.4,633564.0
MIRAKHTER,2025-02-19,33.5,33.9,32.8,33.7,541013.0
MIRAKHTER,2025-02-18,32.8,34.4,32.6,33.5,1667681.0
MIRAKHTER,2025-02-17,32.4,32.7,32.0,32.5,505940.0
MIRAKHTER,2025-02-16,32.2,33.3,31.9,32.3,648215.0
MIRAKHTER,2025-02-13,33.1,33.1,31.9,32.0,1059863.0
MIRAKHTER,2025-02-12,34.2,34.5,32.7,33.0,816635.0
MIRAKHTER,2025-02-11,31.5,33.7,31.3,33.7,967152.0
MIRAKHTER,2025-02-10,30.6,30.8,30.0,30.7,584525.0
MIRAKHTER,2025-02-09,31.4,31.4,30.2,30.3,83884.0
MIRAKHTER,2025-02-06,31.1,31.1,30.6,30.7,302880.0
MIRAKHTER,2025-02-05,30.6,31.4,30.6,30.9,167579.0
MIRAKHTER,2025-02-04,31.5,31.5,30.6,31.1,166444.0
MIRAKHTER,2025-02-03,30.4,31.6,30.4,30.8,199847.0
MIRAKHTER,2025-02-02,30.1,31.5,30.1,30.4,119835.0
MIRAKHTER,2025-01-30,33.0,33.0,30.9,31.2,253542.0
MIRAKHTER,2025-01-29,31.4,32.8,30.8,32.5,575637.0
MIRAKHTER,2025-01-28,30.1,30.9,30.1,30.7,175189.0
MIRAKHTER,2025-01-27,30.0,30.0,29.2,29.8,56898.0
MIRAKHTER,2025-01-26,30.4,30.4,29.0,29.3,89620.0
MIRAKHTER,2025-01-23,29.7,30.0,29.4,29.4,80920.0
MIRAKHTER,2025-01-22,30.2,30.4,29.4,29.7,66610.0
MIRAKHTER,2025-01-21,30.7,31.3,30.2,30.3,88129.0
MIRAKHTER,2025-01-20,30.5,31.0,29.8,30.3,97896.0
MIRAKHTER,2025-01-19,29.2,29.8,29.1,29.7,29486.0
MIRAKHTER,2025-01-16,29.2,29.5,28.7,29.3,43774.0
MIRAKHTER,2025-01-15,29.1,29.8,28.4,28.9,112926.0
MIRAKHTER,2025-01-14,0.0,0.0,0.0,29.6,0.0
