Trading_Code,Date,Open,High,Low,Close,Volume
MITATEX,2009-12-05,39.0,41.5,39.0,40.25,1880.0
MITATEX,2009-12-04,43.0,43.25,41.75,42.5,3140.0
MITATEX,2009-12-03,42.75,47.5,41.25,45.5,4180.0
MITATEX,2009-12-02,41.0,42.0,39.0,40.5,1340.0
MITATEX,2009-12-01,36.5,37.0,36.5,36.5,560.0
MITATEX,2009-11-06,41.5,41.5,41.0,41.25,1420.0
MITATEX,2009-11-05,40.0,40.0,40.0,40.0,580.0
MITATEX,2009-11-03,43.0,45.0,40.5,43.5,3140.0
MITATEX,2009-11-02,41.0,42.0,40.0,40.75,2800.0
MITATEX,2009-11-01,38.0,38.0,37.5,37.75,180.0
MITATEX,2009-10-06,42.0,42.5,41.0,41.25,2220.0
MITATEX,2009-10-05,40.0,40.0,39.25,39.75,460.0
MITATEX,2009-10-02,43.75,44.75,43.5,43.75,380.0
MITATEX,2009-09-06,42.0,42.0,40.5,41.0,4020.0
MITATEX,2009-09-04,42.0,43.5,42.0,42.75,2980.0
MITATEX,2009-09-03,49.0,49.0,46.25,47.25,1520.0
MITATEX,2009-09-02,41.5,43.0,41.5,42.5,300.0
MITATEX,2009-08-06,41.0,41.0,41.0,41.0,100.0
MITATEX,2009-08-04,41.0,42.0,41.0,41.0,2200.0
MITATEX,2009-08-03,44.0,51.0,44.0,49.0,2540.0
MITATEX,2009-08-02,44.25,44.25,43.25,43.5,800.0
MITATEX,2009-07-06,43.0,43.0,41.0,42.0,3460.0
MITATEX,2009-07-05,39.25,39.25,39.25,39.25,20.0
MITATEX,2009-07-04,40.75,42.0,40.75,41.5,1200.0
MITATEX,2009-07-01,39.0,39.0,37.75,38.0,1160.0
MITATEX,2009-06-30,55.0,62.25,55.0,61.75,10740.0
MITATEX,2009-06-29,52.75,54.0,52.75,53.5,2960.0
MITATEX,2009-06-28,53.5,55.0,51.0,54.5,7620.0
MITATEX,2009-06-25,49.5,55.75,49.0,53.5,22020.0
MITATEX,2009-06-24,47.0,49.5,46.75,49.25,10520.0
MITATEX,2009-06-23,45.0,46.5,44.75,45.25,1560.0
MITATEX,2009-06-22,44.0,48.0,44.0,47.0,5200.0
MITATEX,2009-06-21,47.75,47.75,45.0,46.0,2940.0
MITATEX,2009-06-18,43.25,49.0,43.25,45.75,5020.0
MITATEX,2009-06-17,42.0,43.75,41.0,42.5,900.0
MITATEX,2009-06-16,40.75,40.75,40.25,40.5,1640.0
MITATEX,2009-06-15,41.0,42.0,39.5,40.25,2640.0
MITATEX,2009-06-14,41.5,41.5,40.75,41.0,1660.0
MITATEX,2009-06-05,37.5,38.0,37.5,37.75,1300.0
