Trading_Code,Date,Open,High,Low,Close,Volume
MONAFOOD,2009-12-02,41.0,41.75,39.0,40.75,4450.0
MONAFOOD,2009-12-01,32.75,35.0,32.75,33.5,2700.0
MONAFOOD,2009-11-02,43.0,43.0,38.5,40.25,2650.0
MONAFOOD,2009-11-01,30.5,31.5,30.5,30.75,3350.0
MONAFOOD,2009-10-02,43.5,44.0,43.0,43.25,550.0
MONAFOOD,2009-09-02,39.0,42.0,38.25,40.25,3400.0
MONAFOOD,2009-08-02,45.0,45.0,41.0,42.25,2550.0
MONAFOOD,2009-07-01,32.5,32.5,30.5,32.0,1200.0
MONAFOOD,2009-06-01,33.0,33.0,32.5,32.75,1350.0
MONAFOOD,2009-05-02,49.5,50.0,43.25,45.75,8550.0
MONAFOOD,2009-05-01,32.0,33.75,31.5,32.75,3350.0
MONAFOOD,2009-04-02,47.0,48.0,45.0,47.25,9650.0
MONAFOOD,2009-04-01,31.5,32.5,31.5,32.0,650.0
MONAFOOD,2009-03-02,45.75,46.0,43.25,44.75,4050.0
MONAFOOD,2009-02-23,51.25,56.0,51.25,55.0,12200.0
MONAFOOD,2009-02-22,43.75,48.25,43.75,48.0,26200.0
MONAFOOD,2009-02-19,38.0,42.0,38.0,40.25,3500.0
MONAFOOD,2009-02-18,37.0,38.0,37.0,37.25,1000.0
MONAFOOD,2009-02-17,38.0,40.75,37.75,38.5,2100.0
MONAFOOD,2009-02-16,36.0,38.5,35.5,36.5,4450.0
MONAFOOD,2009-02-15,38.75,38.75,37.5,38.25,1550.0
MONAFOOD,2009-02-02,46.0,47.75,45.0,45.5,9650.0
MONAFOOD,2009-01-29,40.25,45.0,40.25,43.5,13650.0
MONAFOOD,2009-01-28,38.0,40.25,38.0,39.5,3050.0
MONAFOOD,2009-01-27,38.25,38.25,36.5,36.75,4050.0
MONAFOOD,2009-01-26,39.5,40.0,38.5,39.0,2950.0
MONAFOOD,2009-01-25,43.0,43.0,40.0,40.5,11550.0
MONAFOOD,2009-01-22,39.0,41.75,39.0,40.75,13800.0
MONAFOOD,2009-01-21,35.25,38.75,35.25,38.0,14100.0
MONAFOOD,2009-01-20,34.75,35.75,34.0,35.25,6700.0
MONAFOOD,2009-01-19,33.0,33.0,31.75,32.5,1200.0
MONAFOOD,2009-01-15,33.5,35.5,33.25,34.25,1800.0
MONAFOOD,2009-01-14,35.25,36.0,33.5,34.75,1800.0
MONAFOOD,2009-01-13,35.75,36.5,33.5,35.25,4250.0
MONAFOOD,2009-01-02,40.25,47.5,40.25,44.5,10000.0
MONAFOOD,2009-01-01,31.25,32.0,31.25,31.5,700.0
MONAFOOD,2008-12-30,31.0,32.0,31.0,31.5,1650.0
MONAFOOD,2008-12-28,32.0,32.0,31.0,31.5,300.0
MONAFOOD,2008-12-24,32.0,32.25,31.0,31.75,600.0
MONAFOOD,2008-12-23,30.0,31.75,29.75,30.25,850.0
