Trading_Code,Date,Open,High,Low,Close,Volume
MONNOFABR,2025-04-08,15.5,15.5,14.6,14.8,911873.0
MONNOFABR,2025-04-07,15.5,15.8,15.3,15.3,683121.0
MONNOFABR,2025-04-06,16.0,16.0,15.1,15.4,1257735.0
MONNOFABR,2025-03-27,16.6,16.7,16.4,16.5,473416.0
MONNOFABR,2025-03-25,16.6,16.7,16.4,16.6,756643.0
MONNOFABR,2025-03-24,16.5,16.7,16.4,16.5,764851.0
MONNOFABR,2025-03-23,16.8,16.8,16.4,16.5,740763.0
MONNOFABR,2025-03-20,17.1,17.1,16.5,16.6,1332298.0
MONNOFABR,2025-03-19,17.5,17.6,16.9,17.0,1978861.0
MONNOFABR,2025-03-18,16.7,17.4,16.6,17.2,2168863.0
MONNOFABR,2025-03-17,16.4,16.8,16.4,16.5,1553145.0
MONNOFABR,2025-03-16,16.6,16.7,16.3,16.4,756706.0
MONNOFABR,2025-03-13,16.8,16.8,16.5,16.5,721771.0
MONNOFABR,2025-03-12,16.6,16.7,16.5,16.6,657977.0
MONNOFABR,2025-03-11,16.7,16.7,16.3,16.4,497405.0
MONNOFABR,2025-03-10,16.3,16.7,16.2,16.5,690855.0
MONNOFABR,2025-03-09,16.6,16.6,16.2,16.3,553947.0
MONNOFABR,2025-03-06,16.6,16.9,16.6,16.6,578845.0
MONNOFABR,2025-03-05,16.7,16.9,16.4,16.5,814852.0
MONNOFABR,2025-03-04,16.9,17.1,16.6,16.7,665188.0
MONNOFABR,2025-03-03,17.1,17.2,16.8,16.9,946834.0
MONNOFABR,2025-03-02,17.1,17.4,17.0,17.0,985264.0
MONNOFABR,2025-02-27,16.9,17.4,16.9,17.1,1214079.0
MONNOFABR,2025-02-26,17.1,17.3,16.8,16.9,1513317.0
MONNOFABR,2025-02-25,17.6,17.6,17.0,17.1,2254418.0
MONNOFABR,2025-02-24,17.5,18.3,17.4,17.5,4513878.0
MONNOFABR,2025-02-23,17.7,17.8,17.2,17.4,1987545.0
MONNOFABR,2025-02-20,16.7,17.7,16.6,17.4,5495062.0
MONNOFABR,2025-02-19,16.8,16.8,16.5,16.6,845193.0
MONNOFABR,2025-02-18,16.7,17.2,16.6,16.7,2846686.0
MONNOFABR,2025-02-17,16.5,16.7,16.5,16.6,982442.0
MONNOFABR,2025-02-16,16.5,16.7,16.4,16.5,911412.0
MONNOFABR,2025-02-13,16.5,16.8,16.4,16.5,1279957.0
MONNOFABR,2025-02-12,16.8,16.8,16.5,16.5,1231303.0
MONNOFABR,2025-02-11,16.8,17.0,16.5,16.6,2205031.0
MONNOFABR,2025-02-10,16.8,16.8,16.5,16.7,1453102.0
MONNOFABR,2025-02-09,17.0,17.0,16.4,16.5,1217252.0
MONNOFABR,2025-02-06,16.6,17.6,16.5,16.9,3277119.0
MONNOFABR,2025-02-05,16.5,16.9,16.4,16.5,2086993.0
MONNOFABR,2025-02-04,17.0,17.0,16.5,16.6,1610451.0
MONNOFABR,2025-02-03,16.7,17.2,16.6,16.8,3981266.0
MONNOFABR,2025-02-02,16.6,16.8,16.4,16.5,1357700.0
MONNOFABR,2025-01-30,16.2,16.5,16.1,16.4,1517307.0
MONNOFABR,2025-01-29,16.6,16.6,16.1,16.1,935284.0
MONNOFABR,2025-01-28,16.5,16.8,16.3,16.4,1421891.0
MONNOFABR,2025-01-27,16.8,17.0,16.3,16.5,1573079.0
MONNOFABR,2025-01-26,17.0,17.1,16.6,16.7,1534529.0
MONNOFABR,2025-01-23,16.7,17.3,16.7,16.9,2304627.0
MONNOFABR,2025-01-22,16.8,17.1,16.5,16.6,1810129.0
MONNOFABR,2025-01-21,17.6,17.8,16.7,16.9,3544994.0
MONNOFABR,2025-01-20,16.9,17.9,16.9,17.6,4129099.0
MONNOFABR,2025-01-19,16.4,17.3,16.3,16.7,4232579.0
MONNOFABR,2025-01-16,17.2,17.4,16.3,16.4,1909362.0
MONNOFABR,2025-01-15,17.5,17.7,16.0,17.0,8744210.0
MONNOFABR,2025-01-14,18.2,18.7,17.6,17.7,2856990.0
MONNOFABR,2025-01-13,16.2,17.7,16.2,17.7,3160627.0
MONNOFABR,2025-01-12,16.5,16.5,16.0,16.1,526653.0
MONNOFABR,2025-01-09,16.3,16.5,16.1,16.2,563811.0
MONNOFABR,2025-01-08,16.5,16.5,16.0,16.2,593681.0
MONNOFABR,2025-01-07,16.6,16.9,16.1,16.2,773041.0
MONNOFABR,2025-01-06,16.1,16.4,16.0,16.3,289723.0
MONNOFABR,2025-01-05,16.4,16.5,15.9,16.0,262438.0
MONNOFABR,2025-01-02,16.6,16.7,16.4,16.4,450114.0
MONNOFABR,2025-01-01,17.0,17.0,16.6,16.6,370734.0
MONNOFABR,2024-12-30,16.8,17.0,16.6,16.7,666081.0
MONNOFABR,2024-12-29,16.8,16.9,16.5,16.6,534211.0
MONNOFABR,2024-12-26,16.4,16.7,16.4,16.6,412922.0
MONNOFABR,2024-12-24,15.7,16.6,15.7,16.4,496503.0
MONNOFABR,2024-12-23,16.5,16.6,16.1,16.2,399328.0
MONNOFABR,2024-12-22,17.0,17.1,16.0,16.3,543932.0
