Trading_Code,Date,Open,High,Low,Close,Volume
MONNOJTX,2011-12-10,1649.0,1650.0,1582.0,1631.0,70.0
MONNOJTX,2011-12-09,1720.0,1720.0,1690.25,1703.25,85.0
MONNOJTX,2011-12-07,2328.0,2340.0,2300.0,2324.75,290.0
MONNOJTX,2011-12-06,2295.0,2295.0,2192.0,2237.25,75.0
MONNOJTX,2011-12-05,2134.0,2349.0,2134.0,2244.5,90.0
MONNOJTX,2011-12-04,2750.0,2938.0,2700.0,2875.0,1215.0
MONNOJTX,2011-12-01,3000.0,3050.0,3000.0,3021.25,115.0
MONNOJTX,2011-11-17,1230.0,1230.0,1170.0,1221.25,105.0
MONNOJTX,2011-11-16,1075.0,1199.0,1075.0,1164.25,70.0
MONNOJTX,2011-11-14,1146.0,1146.0,1144.0,1144.25,50.0
MONNOJTX,2011-11-10,1693.0,1693.0,1606.0,1627.75,45.0
MONNOJTX,2011-11-09,1624.0,1755.0,1624.0,1735.5,405.0
MONNOJTX,2011-11-08,2175.0,2175.0,2170.0,2174.25,35.0
MONNOJTX,2011-11-07,2250.0,2275.0,2241.5,2250.75,470.0
MONNOJTX,2011-11-05,2211.25,2300.0,2210.0,2246.0,45.0
MONNOJTX,2011-11-04,2928.5,2928.5,2650.0,2799.25,1855.0
MONNOJTX,2011-10-31,1187.0,1260.75,1182.0,1214.5,25.0
MONNOJTX,2011-10-30,1261.0,1261.0,1260.0,1260.5,10.0
MONNOJTX,2011-10-27,1350.0,1350.0,1330.0,1340.75,80.0
MONNOJTX,2011-10-26,1440.0,1440.0,1406.0,1417.0,105.0
MONNOJTX,2011-10-25,1500.0,1500.0,1499.0,1499.5,10.0
MONNOJTX,2011-10-24,1460.0,1460.0,1455.0,1459.0,25.0
MONNOJTX,2011-10-23,1540.0,1540.0,1443.0,1521.75,105.0
MONNOJTX,2011-10-20,1450.0,1494.0,1425.0,1462.5,40.0
MONNOJTX,2011-10-19,1391.0,1460.0,1390.0,1407.75,20.0
MONNOJTX,2011-10-18,1502.0,1550.0,1457.25,1472.5,60.0
MONNOJTX,2011-10-17,1544.0,1544.0,1523.25,1537.0,15.0
MONNOJTX,2011-10-16,1551.0,1600.0,1520.0,1544.0,70.0
MONNOJTX,2011-10-13,1650.0,1650.0,1585.0,1616.75,110.0
MONNOJTX,2011-10-08,2070.25,2170.0,2030.0,2077.75,65.0
MONNOJTX,2011-10-07,2260.0,2265.0,2228.0,2233.25,360.0
MONNOJTX,2011-10-05,2350.0,2350.0,2215.0,2307.25,95.0
MONNOJTX,2011-10-04,2656.5,2789.25,2600.0,2789.25,510.0
MONNOJTX,2011-10-03,2180.0,2200.0,2180.0,2191.25,40.0
MONNOJTX,2011-10-01,2980.0,2980.0,2980.0,2980.0,80.0
MONNOJTX,2011-09-29,1700.0,1790.0,1700.0,1752.5,385.0
MONNOJTX,2011-09-28,1766.0,1766.0,1715.0,1727.0,85.0
MONNOJTX,2011-09-27,1751.0,1830.0,1687.0,1763.25,410.0
MONNOJTX,2011-09-26,1630.0,1775.0,1630.0,1749.25,250.0
MONNOJTX,2011-09-25,1630.0,1700.0,1630.0,1687.75,200.0
MONNOJTX,2011-09-22,1612.5,1640.0,1612.5,1614.25,215.0
MONNOJTX,2011-09-21,1611.5,1612.5,1606.25,1609.25,245.0
MONNOJTX,2011-09-20,1650.0,1688.0,1606.25,1625.25,225.0
MONNOJTX,2011-09-19,1670.0,1670.0,1669.0,1669.5,30.0
MONNOJTX,2011-09-18,1666.0,1666.0,1655.0,1659.0,30.0
MONNOJTX,2011-09-15,1663.0,1699.0,1663.0,1693.25,335.0
MONNOJTX,2011-09-14,1699.0,1700.0,1680.0,1696.75,40.0
MONNOJTX,2011-09-13,1728.0,1728.0,1670.0,1689.0,55.0
MONNOJTX,2011-09-10,1700.0,1700.0,1690.0,1692.0,60.0
MONNOJTX,2011-09-08,2070.5,2070.5,2070.25,2070.25,40.0
MONNOJTX,2011-09-06,2339.0,2339.0,2275.0,2305.5,65.0
MONNOJTX,2011-09-05,2328.0,2340.0,2327.5,2330.25,135.0
MONNOJTX,2011-09-03,2110.0,2188.0,2100.0,2132.5,15.0
MONNOJTX,2011-09-02,2350.0,2350.0,2350.0,2350.0,15.0
MONNOJTX,2011-09-01,3031.0,3031.5,3000.0,3030.25,220.0
MONNOJTX,2011-08-25,2215.0,2270.0,2215.0,2227.5,220.0
MONNOJTX,2011-08-24,2210.0,2210.0,2200.25,2202.75,45.0
MONNOJTX,2011-08-23,2300.0,2300.0,2230.0,2256.0,100.0
MONNOJTX,2011-08-21,2252.0,2320.0,2220.0,2267.5,395.0
MONNOJTX,2011-08-18,2099.0,2199.0,2099.0,2134.25,15.0
MONNOJTX,2011-08-16,2200.0,2200.0,2125.0,2167.0,25.0
MONNOJTX,2011-08-14,2230.0,2234.0,2230.0,2232.0,10.0
MONNOJTX,2011-08-08,2106.0,2200.0,2092.0,2121.75,145.0
MONNOJTX,2011-08-06,2330.0,2345.0,2330.0,2331.75,65.0
MONNOJTX,2011-08-05,2465.0,2550.0,2439.75,2450.0,130.0
MONNOJTX,2011-08-03,2137.5,2200.0,2137.5,2168.75,20.0
MONNOJTX,2011-07-31,2201.0,2269.75,2201.0,2202.75,220.0
MONNOJTX,2011-07-28,2211.0,2269.0,2205.0,2229.75,155.0
MONNOJTX,2011-07-27,2249.75,2249.75,2200.0,2208.75,145.0
MONNOJTX,2011-07-26,2212.0,2229.0,2195.0,2215.0,155.0
MONNOJTX,2011-07-25,2190.0,2250.0,2190.0,2206.0,170.0
MONNOJTX,2011-07-24,2201.0,2215.0,2200.0,2203.25,310.0
MONNOJTX,2011-07-21,2210.0,2210.0,2195.5,2200.25,170.0
MONNOJTX,2011-07-20,2235.0,2235.0,2200.0,2205.5,510.0
MONNOJTX,2011-07-19,2211.0,2255.0,2211.0,2230.25,110.0
MONNOJTX,2011-07-17,2220.0,2290.0,2220.0,2239.0,180.0
MONNOJTX,2011-07-14,2310.0,2310.0,2254.25,2290.5,110.0
MONNOJTX,2011-07-13,2329.75,2345.0,2325.0,2335.25,140.0
MONNOJTX,2011-07-09,2102.0,2200.0,2056.0,2154.25,325.0
MONNOJTX,2011-07-07,2201.25,2249.0,2201.25,2234.5,95.0
MONNOJTX,2011-07-06,2260.0,2350.0,2260.0,2334.25,200.0
MONNOJTX,2011-07-04,2560.0,2656.5,2560.0,2656.5,350.0
MONNOJTX,2011-07-03,2250.0,2250.0,2250.0,2250.0,15.0
MONNOJTX,2011-06-30,2245.0,2250.0,2226.0,2230.0,70.0
MONNOJTX,2011-06-29,2320.0,2320.0,2231.0,2270.5,190.0
MONNOJTX,2011-06-28,2145.25,2255.0,2145.25,2218.0,160.0
MONNOJTX,2011-06-27,2243.0,2250.0,2235.0,2245.5,105.0
MONNOJTX,2011-06-26,2260.0,2328.0,2226.25,2248.75,45.0
MONNOJTX,2011-06-23,2340.0,2340.0,2340.0,2340.0,5.0
MONNOJTX,2011-06-22,2320.0,2320.0,2320.0,2320.0,10.0
