Trading_Code,Date,Open,High,Low,Close,Volume
MONNOSTAF,2020-12-11,794.8,800.0,794.8,794.9,12209.0
MONNOSTAF,2020-12-10,822.8,832.0,810.0,811.7,12063.0
MONNOSTAF,2020-12-08,848.0,870.0,844.0,849.5,48260.0
MONNOSTAF,2020-12-07,794.8,805.1,794.8,797.6,67159.0
MONNOSTAF,2020-12-03,847.5,855.7,809.0,817.1,67267.0
MONNOSTAF,2020-12-02,864.0,869.7,830.0,837.3,37399.0
MONNOSTAF,2020-12-01,778.0,803.3,778.0,783.1,17112.0
MONNOSTAF,2020-11-24,794.8,794.8,794.8,794.8,529.0
MONNOSTAF,2020-11-23,794.8,794.8,794.8,794.8,208.0
MONNOSTAF,2020-11-22,794.8,794.8,794.8,794.8,2201.0
MONNOSTAF,2020-11-18,825.0,830.0,808.2,811.1,12539.0
MONNOSTAF,2020-11-17,805.0,830.0,805.0,824.8,15517.0
MONNOSTAF,2020-11-16,796.0,815.0,796.0,805.9,14995.0
MONNOSTAF,2020-11-15,794.9,804.9,794.8,795.2,17073.0
MONNOSTAF,2020-11-11,795.2,796.0,794.8,794.8,11919.0
MONNOSTAF,2020-11-10,854.0,860.0,820.0,822.8,15534.0
MONNOSTAF,2020-11-06,794.8,794.8,794.8,794.8,20.0
MONNOSTAF,2020-11-03,816.0,850.0,800.0,843.3,87189.0
MONNOSTAF,2020-11-02,859.0,873.0,855.0,861.1,40744.0
MONNOSTAF,2020-10-29,800.0,810.0,795.0,799.5,21476.0
MONNOSTAF,2020-10-28,802.6,802.6,794.8,795.6,16810.0
MONNOSTAF,2020-10-27,818.0,818.0,795.3,797.4,12748.0
MONNOSTAF,2020-10-25,805.0,820.0,795.2,814.8,19832.0
MONNOSTAF,2020-10-22,806.3,814.8,794.8,796.6,26483.0
MONNOSTAF,2020-10-21,813.1,819.0,804.0,805.8,15488.0
MONNOSTAF,2020-10-20,820.0,830.0,807.0,811.7,19094.0
MONNOSTAF,2020-10-19,827.0,834.0,815.1,817.2,13703.0
MONNOSTAF,2020-10-18,827.0,845.0,817.2,820.6,16163.0
MONNOSTAF,2020-10-15,823.7,826.9,813.9,818.2,7751.0
MONNOSTAF,2020-10-14,816.0,832.0,812.0,813.4,9826.0
MONNOSTAF,2020-10-13,812.0,825.9,812.0,815.1,9561.0
MONNOSTAF,2020-10-11,798.1,800.0,794.8,795.0,12153.0
MONNOSTAF,2020-10-09,895.1,944.0,886.6,933.5,41405.0
MONNOSTAF,2020-10-08,804.0,859.9,802.2,843.9,62108.0
MONNOSTAF,2020-10-06,794.8,794.8,794.8,794.8,5.0
MONNOSTAF,2020-10-03,778.0,819.0,765.2,810.6,33249.0
MONNOSTAF,2020-10-02,850.0,873.0,840.0,845.0,41161.0
MONNOSTAF,2020-09-30,876.0,885.0,861.1,867.2,13570.0
MONNOSTAF,2020-09-29,892.9,903.0,870.0,871.9,12531.0
MONNOSTAF,2020-09-28,870.0,894.0,864.0,881.7,19480.0
MONNOSTAF,2020-09-27,890.5,899.9,860.0,866.6,31831.0
MONNOSTAF,2020-09-24,906.5,912.3,885.5,889.0,21320.0
MONNOSTAF,2020-09-23,910.0,929.0,900.0,901.4,18133.0
MONNOSTAF,2020-09-22,900.0,916.0,897.0,907.0,27446.0
MONNOSTAF,2020-09-21,927.7,930.0,900.0,903.1,41146.0
MONNOSTAF,2020-09-20,955.0,968.8,920.0,922.6,36323.0
MONNOSTAF,2020-09-17,944.0,975.0,930.0,948.3,65796.0
MONNOSTAF,2020-09-16,949.0,976.0,925.1,932.2,38327.0
MONNOSTAF,2020-09-15,915.0,945.0,912.0,937.6,43483.0
MONNOSTAF,2020-09-14,915.0,925.0,905.0,909.3,27139.0
MONNOSTAF,2020-09-13,937.0,950.0,909.0,911.0,27493.0
MONNOSTAF,2020-09-11,799.9,802.2,794.8,796.6,20717.0
MONNOSTAF,2020-09-09,920.0,920.0,890.1,894.3,29439.0
MONNOSTAF,2020-09-08,799.0,807.9,794.8,801.2,42454.0
MONNOSTAF,2020-09-07,794.8,794.8,794.8,794.8,1931.0
MONNOSTAF,2020-09-03,838.0,838.0,772.3,773.0,46738.0
MONNOSTAF,2020-09-02,880.0,897.9,850.1,861.7,42686.0
MONNOSTAF,2020-09-01,780.0,784.0,766.0,769.7,16560.0
MONNOSTAF,2020-08-31,982.0,982.0,925.0,955.1,99375.0
MONNOSTAF,2020-08-27,860.0,913.5,855.0,913.5,57273.0
MONNOSTAF,2020-08-26,801.0,859.0,801.0,849.8,49383.0
MONNOSTAF,2020-08-25,808.0,818.0,800.0,800.8,30647.0
MONNOSTAF,2020-08-24,820.0,820.0,806.0,810.2,24870.0
MONNOSTAF,2020-08-23,820.0,833.0,815.0,818.3,16709.0
MONNOSTAF,2020-08-20,825.0,825.0,805.0,808.9,25636.0
MONNOSTAF,2020-08-19,847.0,847.0,810.0,814.9,47710.0
MONNOSTAF,2020-08-18,850.0,859.0,831.0,837.9,30963.0
MONNOSTAF,2020-08-17,848.0,863.6,838.0,843.9,37131.0
MONNOSTAF,2020-08-16,835.0,869.8,825.0,837.9,42568.0
MONNOSTAF,2020-08-13,829.5,859.9,825.0,826.5,39519.0
MONNOSTAF,2020-08-11,809.0,809.0,798.6,799.9,9303.0
MONNOSTAF,2020-08-10,832.3,861.0,832.3,842.3,15324.0
MONNOSTAF,2020-08-09,923.0,932.0,903.0,906.0,29826.0
MONNOSTAF,2020-08-07,794.8,794.8,794.8,794.8,662.0
MONNOSTAF,2020-08-06,794.8,794.8,794.8,794.8,91.0
MONNOSTAF,2020-08-03,836.0,858.0,830.5,834.9,83221.0
MONNOSTAF,2020-08-01,778.6,793.0,771.2,774.0,17319.0
MONNOSTAF,2020-07-30,794.8,794.8,794.8,794.8,8395.0
MONNOSTAF,2020-07-29,794.8,794.8,794.8,794.8,5684.0
MONNOSTAF,2020-07-28,794.8,795.0,794.8,794.8,7507.0
MONNOSTAF,2020-07-27,794.8,809.8,794.8,794.8,37934.0
MONNOSTAF,2020-07-26,794.8,794.8,794.8,794.8,10180.0
MONNOSTAF,2020-07-23,794.8,794.8,794.8,794.8,146.0
MONNOSTAF,2020-07-22,794.8,794.8,794.8,794.8,234.0
MONNOSTAF,2020-07-21,794.8,794.8,794.8,794.8,1826.0
MONNOSTAF,2020-07-20,794.8,794.8,794.8,794.8,598.0
MONNOSTAF,2020-07-19,794.8,794.8,794.8,794.8,59.0
MONNOSTAF,2020-07-16,794.8,794.8,794.8,794.8,203.0
MONNOSTAF,2020-07-15,794.8,794.8,794.8,794.8,704.0
MONNOSTAF,2020-07-14,794.8,794.8,794.8,794.8,3973.0
MONNOSTAF,2020-07-13,799.0,810.0,794.8,794.8,20994.0
MONNOSTAF,2020-07-10,817.9,841.9,812.0,828.8,12055.0
MONNOSTAF,2020-07-09,911.0,929.1,910.0,914.6,29682.0
MONNOSTAF,2020-07-07,794.8,794.8,794.8,794.8,321.0
MONNOSTAF,2020-07-06,794.8,794.8,794.8,794.8,50.0
MONNOSTAF,2020-07-01,800.0,804.8,775.0,777.9,15751.0
MONNOSTAF,2020-06-30,794.8,794.8,794.8,794.8,2799.0
MONNOSTAF,2020-06-29,794.8,794.8,794.8,794.8,209.0
MONNOSTAF,2020-06-28,794.8,794.8,794.8,794.8,785.0
MONNOSTAF,2020-06-25,794.8,794.8,794.8,794.8,634.0
MONNOSTAF,2020-06-24,794.8,794.8,794.8,794.8,379.0
MONNOSTAF,2020-06-23,794.8,806.0,794.8,794.8,43309.0
MONNOSTAF,2020-06-22,794.8,794.8,794.8,794.8,263.0
MONNOSTAF,2020-06-21,794.8,794.8,794.8,794.8,25.0
MONNOSTAF,2020-06-18,794.8,794.8,794.8,794.8,20.0
MONNOSTAF,2020-06-17,794.8,794.8,794.8,794.8,700.0
MONNOSTAF,2020-06-16,794.8,794.8,794.8,794.8,4.0
MONNOSTAF,2020-06-15,794.8,794.8,794.8,794.8,6.0
MONNOSTAF,2020-06-14,794.8,794.8,794.8,794.8,10.0
MONNOSTAF,2020-06-10,824.4,826.1,810.0,812.5,17304.0
MONNOSTAF,2020-06-09,940.0,947.0,900.0,906.8,48371.0
MONNOSTAF,2020-06-08,795.2,804.0,794.8,795.9,36656.0
MONNOSTAF,2020-06-07,794.8,794.8,794.8,794.8,400.0
MONNOSTAF,2020-06-02,842.4,880.0,821.1,867.2,64768.0
MONNOSTAF,2020-06-01,815.1,819.8,788.0,791.1,27006.0
MONNOSTAF,2020-05-31,794.8,794.8,794.8,794.8,869.0
MONNOSTAF,2020-05-11,806.1,806.1,796.0,798.4,18639.0
MONNOSTAF,2020-05-10,852.0,853.0,803.2,823.9,26411.0
MONNOSTAF,2020-05-08,812.0,824.0,794.8,796.0,37123.0
MONNOSTAF,2020-05-07,794.8,794.8,794.8,794.8,305.0
MONNOSTAF,2020-05-03,799.0,829.0,792.0,826.0,38950.0
MONNOSTAF,2020-05-02,824.9,872.7,824.9,842.4,62962.0
MONNOSTAF,2020-05-01,835.0,849.0,811.0,814.3,29767.0
MONNOSTAF,2020-04-11,807.0,813.0,803.1,804.2,10879.0
MONNOSTAF,2020-04-10,875.0,875.0,849.1,851.2,17705.0
MONNOSTAF,2020-04-08,794.8,819.9,794.8,808.9,49198.0
