Trading_Code,Date,Open,High,Low,Close,Volume
MONOSPOOL,2025-04-08,93.5,96.3,93.5,95.4,93828.0
MONOSPOOL,2025-04-07,94.3,95.4,93.2,93.5,78330.0
MONOSPOOL,2025-04-06,96.1,96.7,93.6,93.9,125649.0
MONOSPOOL,2025-03-27,98.8,98.8,96.0,97.3,51524.0
MONOSPOOL,2025-03-25,99.6,99.6,97.1,97.2,73398.0
MONOSPOOL,2025-03-24,96.2,99.7,96.2,98.4,54053.0
MONOSPOOL,2025-03-23,101.5,101.5,96.3,96.8,197560.0
MONOSPOOL,2025-03-20,101.3,102.5,100.7,101.0,81509.0
MONOSPOOL,2025-03-19,102.7,103.1,101.0,101.4,107168.0
MONOSPOOL,2025-03-18,101.6,102.8,101.0,102.0,91001.0
MONOSPOOL,2025-03-17,102.3,103.1,101.0,101.5,114236.0
MONOSPOOL,2025-03-16,103.9,104.6,101.3,101.8,161076.0
MONOSPOOL,2025-03-13,104.3,105.0,103.6,103.9,102788.0
MONOSPOOL,2025-03-12,105.8,107.0,104.0,104.4,156345.0
MONOSPOOL,2025-03-11,104.3,105.8,104.0,105.3,113538.0
MONOSPOOL,2025-03-10,104.4,104.8,103.0,104.1,102050.0
MONOSPOOL,2025-03-09,105.7,105.7,103.4,103.7,105159.0
MONOSPOOL,2025-03-06,106.8,106.8,104.3,104.5,99182.0
MONOSPOOL,2025-03-05,104.5,106.9,104.0,106.4,150844.0
MONOSPOOL,2025-03-04,105.9,105.9,103.6,104.0,109631.0
MONOSPOOL,2025-03-03,108.0,108.0,105.1,105.2,129868.0
MONOSPOOL,2025-03-02,106.1,109.2,105.4,107.7,368898.0
MONOSPOOL,2025-02-27,102.9,105.5,102.9,104.9,266368.0
MONOSPOOL,2025-02-26,103.0,103.6,102.2,102.5,88996.0
MONOSPOOL,2025-02-25,103.3,104.9,102.4,102.8,163165.0
MONOSPOOL,2025-02-24,102.4,104.0,102.0,102.5,149095.0
MONOSPOOL,2025-02-23,104.3,104.3,102.2,102.5,108746.0
MONOSPOOL,2025-02-20,104.8,105.0,102.6,103.0,99716.0
MONOSPOOL,2025-02-19,102.5,105.0,102.5,104.0,151311.0
MONOSPOOL,2025-02-18,104.3,105.8,102.7,102.9,129358.0
MONOSPOOL,2025-02-17,107.0,107.8,104.0,104.3,154277.0
MONOSPOOL,2025-02-16,103.4,107.9,103.4,106.2,229168.0
MONOSPOOL,2025-02-13,101.0,103.2,99.0,102.8,99979.0
MONOSPOOL,2025-02-12,105.8,105.8,101.0,101.6,146300.0
MONOSPOOL,2025-02-11,107.9,109.5,103.7,103.9,153957.0
MONOSPOOL,2025-02-10,102.0,107.6,102.0,107.1,430513.0
MONOSPOOL,2025-02-09,101.4,102.3,100.5,100.9,74305.0
MONOSPOOL,2025-02-06,103.5,103.5,101.1,101.4,144943.0
MONOSPOOL,2025-02-05,102.7,104.1,101.8,102.2,153315.0
MONOSPOOL,2025-02-04,101.8,103.4,101.4,101.8,166829.0
MONOSPOOL,2025-02-03,101.1,102.8,100.6,101.4,111359.0
MONOSPOOL,2025-02-02,103.1,103.9,99.1,100.6,162536.0
MONOSPOOL,2025-01-30,105.0,106.7,102.5,102.8,133753.0
MONOSPOOL,2025-01-29,103.7,106.2,102.6,104.6,165086.0
MONOSPOOL,2025-01-28,104.3,105.8,103.1,103.6,120626.0
MONOSPOOL,2025-01-27,105.0,106.5,103.4,104.1,171225.0
MONOSPOOL,2025-01-26,107.8,108.3,104.5,104.8,179596.0
MONOSPOOL,2025-01-23,111.6,111.6,107.0,107.3,194177.0
MONOSPOOL,2025-01-22,108.6,113.9,106.9,109.9,472711.0
MONOSPOOL,2025-01-21,107.2,111.5,107.0,108.4,401084.0
MONOSPOOL,2025-01-20,103.9,107.4,103.0,106.6,281121.0
MONOSPOOL,2025-01-19,105.6,105.6,102.9,103.4,109214.0
MONOSPOOL,2025-01-16,104.7,106.6,103.9,104.3,189498.0
MONOSPOOL,2025-01-15,106.8,106.8,103.8,104.2,182202.0
MONOSPOOL,2025-01-14,107.0,107.8,105.5,105.7,198778.0
MONOSPOOL,2025-01-13,106.7,108.8,105.8,106.1,181268.0
MONOSPOOL,2025-01-12,108.8,110.8,106.1,106.4,234035.0
MONOSPOOL,2025-01-09,106.3,110.1,106.3,108.4,170337.0
MONOSPOOL,2025-01-08,107.1,108.7,105.1,106.0,182761.0
MONOSPOOL,2025-01-07,114.5,115.4,108.3,108.8,183003.0
MONOSPOOL,2025-01-06,104.9,115.2,104.4,113.2,418886.0
