Trading_Code,Date,Open,High,Low,Close,Volume
MTB,2025-04-08,12.2,12.2,12.1,12.1,259611.0
MTB,2025-04-07,12.2,12.3,12.1,12.1,268334.0
MTB,2025-04-06,12.1,12.3,12.1,12.2,140469.0
MTB,2025-03-27,12.3,12.4,12.2,12.3,208239.0
MTB,2025-03-25,12.2,12.3,12.1,12.3,384475.0
MTB,2025-03-24,12.3,12.3,12.1,12.2,104425.0
MTB,2025-03-23,12.1,12.4,12.1,12.1,379177.0
MTB,2025-03-20,12.5,12.5,12.1,12.3,471925.0
MTB,2025-03-19,12.6,12.6,12.3,12.4,820884.0
MTB,2025-03-18,12.6,12.9,12.6,12.6,238090.0
MTB,2025-03-17,12.8,12.9,12.6,12.7,2755920.0
MTB,2025-03-16,12.8,12.9,12.6,12.8,320267.0
MTB,2025-03-13,12.5,12.8,12.5,12.7,335606.0
MTB,2025-03-12,12.3,12.5,12.3,12.4,127081.0
MTB,2025-03-11,12.3,12.4,12.2,12.2,77158.0
MTB,2025-03-10,12.3,12.3,12.2,12.3,283218.0
MTB,2025-03-09,12.3,12.4,12.2,12.2,190699.0
MTB,2025-03-06,12.4,12.4,12.1,12.2,141142.0
MTB,2025-03-05,12.2,12.4,12.1,12.2,156765.0
MTB,2025-03-04,12.6,12.6,12.2,12.2,113610.0
MTB,2025-03-03,12.7,12.7,12.0,12.4,193074.0
MTB,2025-03-02,12.7,12.7,12.5,12.5,85483.0
MTB,2025-02-27,12.7,12.8,12.6,12.6,366916.0
MTB,2025-02-26,12.7,12.8,12.6,12.8,121649.0
MTB,2025-02-25,12.6,12.9,12.6,12.8,800666.0
MTB,2025-02-24,12.7,12.9,12.4,12.6,790159.0
MTB,2025-02-23,12.8,13.0,12.6,12.7,438562.0
MTB,2025-02-20,12.5,12.9,12.5,12.8,370131.0
MTB,2025-02-19,12.6,12.6,12.2,12.4,302299.0
MTB,2025-02-18,12.8,12.8,12.6,12.6,241250.0
MTB,2025-02-17,12.9,13.0,12.7,12.7,342588.0
MTB,2025-02-16,12.9,13.0,12.9,12.9,178218.0
MTB,2025-02-13,13.1,13.1,12.9,13.0,315439.0
MTB,2025-02-12,13.0,13.3,12.9,12.9,222561.0
MTB,2025-02-11,13.1,13.3,13.0,13.1,695484.0
MTB,2025-02-10,13.1,13.2,12.9,13.1,458353.0
MTB,2025-02-09,13.0,13.3,13.0,13.1,207678.0
MTB,2025-02-06,13.1,13.3,13.1,13.1,335668.0
MTB,2025-02-05,13.0,13.3,13.0,13.1,638702.0
MTB,2025-02-04,12.7,13.0,12.7,13.0,387829.0
MTB,2025-02-03,12.5,12.8,12.5,12.7,735532.0
MTB,2025-02-02,12.6,12.6,12.3,12.5,574812.0
MTB,2025-01-30,12.2,12.5,12.2,12.4,94921.0
MTB,2025-01-29,12.2,12.3,12.1,12.2,60820.0
MTB,2025-01-28,12.3,12.4,12.2,12.2,68852.0
MTB,2025-01-27,12.5,12.6,12.2,12.3,86424.0
MTB,2025-01-26,12.4,12.7,12.3,12.5,182914.0
MTB,2025-01-23,12.5,12.7,12.4,12.5,350494.0
MTB,2025-01-22,12.4,12.5,12.3,12.4,343282.0
MTB,2025-01-21,12.4,12.5,12.3,12.4,418897.0
MTB,2025-01-20,11.9,12.3,11.9,12.3,164709.0
MTB,2025-01-19,12.0,12.1,11.9,12.0,96792.0
MTB,2025-01-16,12.1,12.2,11.9,11.9,33688.0
MTB,2025-01-15,12.0,12.3,12.0,12.0,77500.0
MTB,2025-01-14,11.9,12.4,11.9,12.1,141312.0
MTB,2025-01-13,12.1,12.3,12.0,12.1,136679.0
MTB,2025-01-12,12.3,12.3,12.1,12.2,166773.0
MTB,2025-01-09,12.3,12.4,12.2,12.3,103213.0
MTB,2025-01-08,12.3,12.4,12.2,12.3,138387.0
MTB,2025-01-07,12.2,12.5,12.2,12.4,291993.0
MTB,2025-01-06,12.4,12.4,12.1,12.2,176492.0
MTB,2025-01-05,12.6,12.6,12.3,12.4,91271.0
MTB,2025-01-02,12.4,12.6,12.2,12.4,425845.0
MTB,2025-01-01,12.5,12.5,12.2,12.4,203703.0
MTB,2024-12-30,12.4,12.5,12.2,12.3,96152.0
MTB,2024-12-29,12.3,12.5,12.3,12.4,147917.0
MTB,2024-12-26,12.1,12.3,12.1,12.2,237386.0
MTB,2024-12-24,12.1,12.2,12.0,12.1,71393.0
MTB,2024-12-23,12.1,12.2,12.0,12.1,87913.0
MTB,2024-12-22,12.8,12.8,11.9,12.1,212603.0
MTB,2024-12-19,12.1,12.1,12.0,12.0,147445.0
MTB,2024-12-18,12.0,12.0,11.8,11.9,109366.0
MTB,2024-12-17,11.9,12.0,11.9,12.0,197868.0
MTB,2024-12-15,12.0,12.0,11.9,11.9,95797.0
MTB,2024-12-12,12.0,12.1,11.7,12.0,250550.0
MTB,2024-12-11,11.9,12.0,11.9,11.9,26757.0
MTB,2024-12-10,11.9,12.0,11.8,11.9,87950.0
MTB,2024-12-09,11.9,12.0,11.8,11.9,110518.0
MTB,2024-12-08,12.1,12.1,11.8,11.9,41253.0
MTB,2024-12-05,12.1,12.1,12.0,12.1,208231.0
MTB,2024-12-04,12.1,12.2,12.0,12.1,374116.0
MTB,2024-12-03,12.0,12.0,11.9,12.0,65246.0
MTB,2024-12-02,11.9,12.1,11.8,12.0,201351.0
MTB,2024-12-01,12.1,12.1,11.9,11.9,120111.0
MTB,2024-11-28,12.1,12.2,12.0,12.0,124726.0
MTB,2024-11-27,11.8,12.2,11.7,12.1,124133.0
MTB,2024-11-26,12.0,12.0,11.7,11.8,46535.0
MTB,2024-11-25,11.8,11.9,11.7,11.8,80338.0
MTB,2024-11-24,11.8,11.9,11.7,11.7,240524.0
MTB,2024-11-21,12.0,12.0,11.8,11.8,120171.0
MTB,2024-11-20,11.9,12.0,11.8,11.9,220754.0
MTB,2024-11-19,12.0,12.1,11.8,11.9,481673.0
MTB,2024-11-18,12.2,12.3,11.9,12.0,316573.0
MTB,2024-11-17,12.5,12.5,12.1,12.2,350288.0
MTB,2024-11-14,11.7,12.4,11.7,12.1,764814.0
MTB,2024-11-13,11.7,11.8,11.6,11.6,113615.0
MTB,2024-11-12,11.8,11.9,11.7,11.7,116185.0
MTB,2024-11-11,11.6,11.8,11.6,11.8,117429.0
MTB,2024-11-10,11.8,11.8,11.6,11.6,337356.0
MTB,2024-11-07,11.5,11.9,11.5,11.7,209619.0
MTB,2024-11-06,11.9,12.0,11.8,11.9,238303.0
MTB,2024-11-05,11.8,12.1,11.7,11.9,542757.0
MTB,2024-11-04,11.7,11.8,11.6,11.7,173777.0
MTB,2024-11-03,11.8,12.1,11.5,11.7,815754.0
MTB,2024-10-31,12.0,12.2,11.8,11.9,511831.0
MTB,2024-10-30,11.8,12.1,11.8,12.0,571179.0
MTB,2024-10-29,11.5,11.9,11.5,11.8,352695.0
MTB,2024-10-28,11.2,11.7,11.2,11.5,45035.0
MTB,2024-10-27,12.0,12.0,11.2,11.5,244475.0
MTB,2024-10-24,11.8,12.0,11.6,11.9,373881.0
MTB,2024-10-23,11.7,12.0,11.6,11.6,430601.0
MTB,2024-10-22,11.6,11.8,11.6,11.7,95269.0
MTB,2024-10-21,11.6,11.8,11.5,11.6,270787.0
MTB,2024-10-20,11.7,11.8,11.6,11.6,38322.0
MTB,2024-10-17,11.8,11.9,11.6,11.7,202796.0
MTB,2024-10-16,11.8,11.9,11.6,11.6,265026.0
MTB,2024-10-15,11.8,11.9,11.7,11.8,212775.0
MTB,2024-10-14,12.0,12.0,11.7,11.8,278606.0
MTB,2024-10-09,11.7,12.0,11.6,11.9,146240.0
MTB,2024-10-08,11.6,11.8,11.6,11.7,137271.0
