Trading_Code,Date,Open,High,Low,Close,Volume
MTBL,2014-12-03,17.5,17.6,17.4,17.5,87500.0
MTBL,2014-12-02,18.1,18.1,17.6,17.9,111000.0
MTBL,2014-12-01,17.2,17.2,16.9,16.9,115000.0
MTBL,2014-11-03,17.6,17.7,16.9,17.6,240000.0
MTBL,2014-11-02,18.3,18.5,18.0,18.1,153000.0
MTBL,2014-10-03,17.6,17.6,16.7,17.0,404500.0
MTBL,2014-10-02,18.0,18.5,18.0,18.3,78500.0
MTBL,2014-09-03,16.8,16.8,16.1,16.1,162000.0
MTBL,2014-09-02,18.5,18.5,18.2,18.3,166000.0
MTBL,2014-09-01,17.0,17.1,16.9,16.9,102000.0
MTBL,2014-08-01,17.0,17.1,16.8,16.9,129000.0
MTBL,2014-07-01,16.9,17.3,16.8,16.8,78500.0
MTBL,2014-06-03,16.8,17.0,16.5,16.6,54500.0
MTBL,2014-06-02,18.8,19.0,18.4,18.6,202500.0
MTBL,2014-06-01,17.0,17.2,16.9,16.9,101000.0
MTBL,2014-05-03,16.5,17.2,16.5,16.6,78000.0
MTBL,2014-05-02,18.5,19.0,18.4,18.5,106500.0
MTBL,2014-04-03,17.0,17.0,16.9,16.9,49000.0
MTBL,2014-04-02,19.3,19.4,18.2,18.7,154000.0
MTBL,2014-03-19,17.6,17.7,17.2,17.4,93500.0
MTBL,2014-03-18,17.4,17.7,17.1,17.6,116000.0
MTBL,2014-03-16,17.3,17.5,17.1,17.2,61000.0
MTBL,2014-03-13,17.2,17.7,17.2,17.5,124000.0
MTBL,2014-03-03,16.7,17.1,16.5,16.9,117000.0
MTBL,2014-03-02,19.0,19.2,18.7,19.0,206500.0
MTBL,2014-02-27,17.3,17.6,17.1,17.4,276000.0
MTBL,2014-02-26,17.5,17.6,17.5,17.5,34500.0
MTBL,2014-02-25,17.5,17.7,17.5,17.5,42500.0
MTBL,2014-02-24,17.5,17.7,17.5,17.5,37500.0
MTBL,2014-02-23,17.9,17.9,17.5,17.7,43500.0
MTBL,2014-02-20,17.7,17.9,17.5,17.7,76500.0
MTBL,2014-02-19,17.6,17.8,17.5,17.6,98000.0
MTBL,2014-02-18,17.7,17.9,17.4,17.5,71500.0
MTBL,2014-02-17,18.0,18.0,17.7,17.8,41000.0
MTBL,2014-02-16,17.8,18.1,17.8,17.8,38500.0
MTBL,2014-02-13,18.0,18.1,17.7,17.8,99500.0
MTBL,2014-02-03,16.7,17.2,16.7,17.0,42500.0
MTBL,2014-02-02,18.8,19.0,18.5,18.7,112500.0
MTBL,2014-02-01,16.9,17.3,16.9,17.0,155500.0
MTBL,2014-01-30,18.5,19.0,18.5,18.8,204000.0
MTBL,2014-01-29,19.0,19.0,18.2,18.3,147500.0
MTBL,2014-01-28,19.2,19.2,18.2,18.4,139500.0
MTBL,2014-01-27,18.6,19.5,18.0,19.0,290000.0
MTBL,2014-01-26,18.3,18.6,17.9,18.4,425000.0
MTBL,2014-01-23,17.3,18.0,17.3,17.8,84000.0
MTBL,2014-01-22,17.4,17.5,17.3,17.3,395000.0
MTBL,2014-01-21,17.2,17.5,17.2,17.3,79000.0
MTBL,2014-01-20,17.8,17.9,17.5,17.6,65000.0
MTBL,2014-01-19,17.4,17.9,17.4,17.5,180500.0
MTBL,2014-01-16,17.6,17.8,17.4,17.7,75500.0
MTBL,2014-01-15,17.3,18.0,17.2,17.5,311500.0
MTBL,2014-01-13,16.9,17.4,16.9,17.2,156000.0
MTBL,2014-01-01,16.6,17.7,16.6,17.2,242000.0
MTBL,2013-12-30,16.6,16.6,16.2,16.3,27000.0
MTBL,2013-12-29,16.0,16.9,15.7,15.8,20000.0
MTBL,2013-12-26,16.0,16.2,15.9,15.9,34000.0
MTBL,2013-12-24,15.8,16.2,15.8,16.0,17000.0
MTBL,2013-12-23,16.7,16.7,16.1,16.3,26500.0
MTBL,2013-12-22,15.9,16.7,15.9,16.4,52000.0
MTBL,2013-12-19,15.9,16.2,15.9,15.9,20500.0
MTBL,2013-12-18,15.6,16.2,15.5,15.9,14500.0
MTBL,2013-12-17,15.9,15.9,15.9,15.9,15500.0
MTBL,2013-12-15,16.2,16.2,15.8,16.0,32000.0
MTBL,2013-12-12,15.5,16.5,15.5,16.4,139500.0
MTBL,2013-12-11,17.0,17.0,16.0,16.0,266500.0
MTBL,2013-12-09,14.0,14.2,13.9,14.0,44000.0
MTBL,2013-12-08,14.4,14.4,14.1,14.2,78000.0
MTBL,2013-12-06,17.9,18.6,17.9,18.5,294000.0
MTBL,2013-12-05,18.3,18.6,17.7,18.4,148000.0
MTBL,2013-12-03,19.5,20.5,19.5,20.0,199500.0
MTBL,2013-12-02,22.2,22.2,21.6,21.7,127000.0
MTBL,2013-11-28,15.4,15.9,15.4,15.6,30000.0
MTBL,2013-11-27,15.7,16.1,15.7,15.9,72500.0
MTBL,2013-11-26,16.1,16.3,15.9,16.0,165000.0
MTBL,2013-11-25,16.0,16.7,16.0,16.5,63000.0
MTBL,2013-11-24,15.7,16.8,15.7,16.3,148500.0
MTBL,2013-11-21,16.5,16.9,16.3,16.4,132500.0
MTBL,2013-11-20,16.9,16.9,16.4,16.6,221000.0
MTBL,2013-11-19,16.2,16.9,16.0,16.6,204500.0
MTBL,2013-11-18,16.3,16.3,16.1,16.2,62500.0
MTBL,2013-11-17,16.7,16.7,16.1,16.4,75500.0
MTBL,2013-11-14,16.4,16.7,15.9,16.0,270500.0
MTBL,2013-11-13,16.9,16.9,15.8,15.8,190000.0
MTBL,2013-11-12,16.2,16.9,16.1,16.2,63500.0
MTBL,2013-11-11,18.2,18.3,16.9,16.9,328500.0
MTBL,2013-11-09,14.2,14.2,14.0,14.0,46500.0
MTBL,2013-11-07,17.3,17.3,17.1,17.1,44000.0
MTBL,2013-11-06,18.0,18.4,17.9,18.1,107000.0
MTBL,2013-11-04,18.4,18.8,18.4,18.7,115000.0
MTBL,2013-11-03,19.4,20.0,19.2,19.8,49000.0
MTBL,2013-11-02,22.0,22.5,21.9,22.1,242000.0
MTBL,2013-10-31,15.5,16.0,15.1,15.7,165500.0
MTBL,2013-10-30,15.9,16.0,15.6,15.8,60500.0
MTBL,2013-10-29,16.1,17.1,16.0,16.5,86000.0
MTBL,2013-10-28,16.2,17.0,16.1,16.3,127500.0
MTBL,2013-10-27,15.3,16.0,15.3,15.9,59500.0
MTBL,2013-10-24,15.4,15.5,14.8,14.9,57000.0
MTBL,2013-10-23,14.8,15.7,14.6,15.4,72500.0
MTBL,2013-10-22,14.5,15.0,14.5,14.8,19000.0
MTBL,2013-10-21,14.1,14.5,14.1,14.4,41500.0
MTBL,2013-10-20,14.1,14.4,14.1,14.1,6500.0
MTBL,2013-10-12,15.1,16.5,15.1,16.2,214500.0
MTBL,2013-10-11,16.8,17.9,16.3,17.7,396500.0
MTBL,2013-10-10,13.9,14.6,13.9,14.3,36500.0
MTBL,2013-10-09,14.2,14.2,14.0,14.0,37500.0
MTBL,2013-10-07,16.3,17.9,16.3,17.7,331000.0
MTBL,2013-10-06,17.9,18.3,17.7,17.8,116000.0
MTBL,2013-10-04,18.2,18.7,18.1,18.6,243500.0
MTBL,2013-10-03,19.5,19.8,19.5,19.6,62500.0
MTBL,2013-10-02,21.7,22.0,21.5,21.9,186500.0
MTBL,2013-10-01,21.5,21.8,21.3,21.4,59500.0
MTBL,2013-09-30,14.1,14.6,14.1,14.4,40500.0
MTBL,2013-09-29,14.1,14.4,14.1,14.3,26000.0
MTBL,2013-09-26,14.3,14.5,14.3,14.3,40500.0
MTBL,2013-09-25,14.4,14.5,14.3,14.4,28500.0
MTBL,2013-09-24,14.2,14.7,14.1,14.5,82000.0
MTBL,2013-09-23,14.4,14.5,14.3,14.4,23000.0
MTBL,2013-09-22,14.5,14.5,14.2,14.2,42500.0
MTBL,2013-09-19,14.6,14.8,14.6,14.7,15500.0
MTBL,2013-09-18,14.7,14.8,14.3,14.7,96500.0
MTBL,2013-09-17,14.7,14.9,14.0,14.6,64000.0
MTBL,2013-09-16,14.0,14.8,14.0,14.6,31000.0
MTBL,2013-09-15,14.0,14.1,13.9,13.9,76500.0
MTBL,2013-09-12,16.0,16.4,16.0,16.1,21000.0
MTBL,2013-09-10,14.0,14.2,13.9,14.0,43500.0
MTBL,2013-09-09,14.1,14.3,14.1,14.2,27500.0
MTBL,2013-09-07,16.9,16.9,16.3,16.3,185000.0
MTBL,2013-09-06,18.2,18.2,17.9,17.9,132000.0
MTBL,2013-09-05,17.6,18.5,17.2,18.2,105000.0
MTBL,2013-09-01,21.2,21.7,21.1,21.5,38500.0
MTBL,2013-08-29,14.5,14.6,14.4,14.5,42000.0
MTBL,2013-08-27,14.3,14.7,14.3,14.6,49500.0
MTBL,2013-08-26,14.5,14.8,14.4,14.6,80500.0
MTBL,2013-08-25,14.6,14.7,14.5,14.6,28000.0
MTBL,2013-08-22,14.3,14.6,14.3,14.5,127000.0
MTBL,2013-08-21,14.6,14.9,14.6,14.8,67000.0
