Trading_Code,Date,Open,High,Low,Close,Volume
NATLIFEINS,2025-04-08,91.1,94.4,91.1,93.6,115326.0
NATLIFEINS,2025-04-07,91.5,92.2,90.5,91.4,88332.0
NATLIFEINS,2025-04-06,92.0,92.0,90.3,90.7,43029.0
NATLIFEINS,2025-03-27,93.5,93.5,91.9,92.4,34387.0
NATLIFEINS,2025-03-25,92.8,94.6,91.7,92.5,109839.0
NATLIFEINS,2025-03-24,91.2,92.9,90.6,91.4,134826.0
NATLIFEINS,2025-03-23,92.8,93.9,91.0,91.5,90932.0
NATLIFEINS,2025-03-20,94.0,94.0,92.0,93.0,123815.0
NATLIFEINS,2025-03-19,94.7,95.4,93.7,93.8,72976.0
NATLIFEINS,2025-03-18,96.0,96.0,94.9,95.1,51074.0
NATLIFEINS,2025-03-17,96.6,97.5,95.0,95.4,43332.0
NATLIFEINS,2025-03-16,97.0,97.7,96.1,96.7,58111.0
NATLIFEINS,2025-03-13,97.0,97.7,96.0,96.3,90909.0
NATLIFEINS,2025-03-12,99.5,100.0,97.0,97.8,87188.0
NATLIFEINS,2025-03-11,96.0,99.5,96.0,99.1,331326.0
NATLIFEINS,2025-03-10,95.4,96.8,94.0,95.9,49913.0
NATLIFEINS,2025-03-09,97.0,97.0,94.0,94.5,46580.0
NATLIFEINS,2025-03-06,96.6,98.0,96.1,96.5,71810.0
NATLIFEINS,2025-03-05,96.5,97.1,95.9,96.6,24414.0
NATLIFEINS,2025-03-04,97.8,97.9,95.5,95.8,60687.0
NATLIFEINS,2025-03-03,96.6,97.9,95.5,97.0,68733.0
NATLIFEINS,2025-03-02,99.0,99.9,96.2,96.6,161118.0
NATLIFEINS,2025-02-27,100.9,100.9,98.5,98.9,171590.0
NATLIFEINS,2025-02-26,99.0,102.5,98.5,99.3,160385.0
NATLIFEINS,2025-02-25,101.5,104.0,100.2,101.0,194381.0
NATLIFEINS,2025-02-24,104.2,104.6,101.3,102.0,135256.0
NATLIFEINS,2025-02-23,102.6,105.3,101.6,104.2,292961.0
NATLIFEINS,2025-02-20,100.3,102.9,99.8,101.6,202904.0
NATLIFEINS,2025-02-19,98.2,101.9,98.0,100.4,121071.0
NATLIFEINS,2025-02-18,100.3,100.3,99.0,99.6,157827.0
NATLIFEINS,2025-02-17,99.8,100.5,98.7,98.9,105354.0
NATLIFEINS,2025-02-16,100.0,100.5,99.1,99.5,53659.0
NATLIFEINS,2025-02-13,99.5,102.8,98.3,99.5,103872.0
NATLIFEINS,2025-02-12,101.0,102.2,99.0,99.5,172201.0
NATLIFEINS,2025-02-11,101.0,101.5,99.1,100.0,153205.0
