Trading_Code,Date,Open,High,Low,Close,Volume
NCCBLMF1,2025-04-08,5.6,5.9,5.6,5.7,401352.0
NCCBLMF1,2025-04-07,5.7,5.9,5.5,5.6,202764.0
NCCBLMF1,2025-04-06,5.2,5.7,5.2,5.7,418367.0
NCCBLMF1,2025-03-27,5.1,5.3,5.0,5.2,209536.0
NCCBLMF1,2025-03-25,5.1,5.1,5.0,5.0,140526.0
NCCBLMF1,2025-03-24,5.2,5.2,5.1,5.1,64730.0
NCCBLMF1,2025-03-23,5.2,5.4,5.1,5.1,199243.0
NCCBLMF1,2025-03-20,5.4,5.4,5.2,5.3,65960.0
NCCBLMF1,2025-03-19,5.1,5.4,5.1,5.4,199907.0
NCCBLMF1,2025-03-18,5.0,5.2,5.0,5.1,104428.0
NCCBLMF1,2025-03-17,4.9,5.1,4.9,5.0,29210.0
NCCBLMF1,2025-03-16,5.0,5.1,5.0,5.0,67609.0
NCCBLMF1,2025-03-13,5.0,5.1,5.0,5.0,26037.0
NCCBLMF1,2025-03-12,5.0,5.1,5.0,5.0,10564.0
NCCBLMF1,2025-03-11,5.0,5.0,4.9,5.0,11025.0
NCCBLMF1,2025-03-10,5.0,5.0,4.9,4.9,18203.0
NCCBLMF1,2025-03-09,4.9,5.0,4.9,4.9,15453.0
NCCBLMF1,2025-03-06,5.1,5.1,4.9,5.0,46192.0
NCCBLMF1,2025-03-05,5.1,5.1,5.0,5.0,25906.0
NCCBLMF1,2025-03-04,5.1,5.1,5.0,5.0,16955.0
NCCBLMF1,2025-03-03,5.1,5.1,5.0,5.1,6501.0
NCCBLMF1,2025-03-02,5.1,5.2,5.0,5.1,10030.0
NCCBLMF1,2025-02-27,5.0,5.2,5.0,5.0,91210.0
NCCBLMF1,2025-02-26,5.1,5.2,5.1,5.1,17802.0
NCCBLMF1,2025-02-25,5.1,5.1,5.0,5.0,3000.0
NCCBLMF1,2025-02-24,5.1,5.2,5.1,5.1,32902.0
NCCBLMF1,2025-02-23,4.9,5.1,4.9,5.1,34364.0
NCCBLMF1,2025-02-20,4.9,5.0,4.8,4.9,70222.0
NCCBLMF1,2025-02-19,5.1,5.1,4.9,5.0,90672.0
NCCBLMF1,2025-02-18,5.0,5.1,5.0,5.1,31698.0
NCCBLMF1,2025-02-17,5.0,5.1,5.0,5.1,12935.0
NCCBLMF1,2025-02-16,5.0,5.1,5.0,5.1,12178.0
NCCBLMF1,2025-02-13,5.2,5.2,5.0,5.0,44997.0
NCCBLMF1,2025-02-12,5.0,5.3,4.9,5.3,166131.0
NCCBLMF1,2025-02-11,5.0,5.0,4.9,5.0,22700.0
NCCBLMF1,2025-02-10,4.9,5.0,4.9,5.0,34961.0
NCCBLMF1,2025-02-09,5.0,5.0,5.0,5.0,1993.0
NCCBLMF1,2025-02-06,5.0,5.1,4.9,5.0,41101.0
NCCBLMF1,2025-02-05,4.9,4.9,4.9,4.9,60900.0
NCCBLMF1,2025-02-04,4.9,5.0,4.9,4.9,51800.0
NCCBLMF1,2025-02-03,5.1,5.1,5.0,5.0,506.0
NCCBLMF1,2025-02-02,5.0,5.1,5.0,5.0,30800.0
NCCBLMF1,2025-01-30,4.9,4.9,4.9,4.9,8000.0
NCCBLMF1,2025-01-29,4.9,4.9,4.9,4.9,7500.0
NCCBLMF1,2025-01-28,4.9,5.0,4.9,4.9,4302.0
NCCBLMF1,2025-01-27,4.9,4.9,4.7,4.9,25732.0
NCCBLMF1,2025-01-26,4.8,5.0,4.8,4.9,44981.0
NCCBLMF1,2025-01-23,4.9,5.0,4.9,5.0,54100.0
NCCBLMF1,2025-01-22,5.0,5.0,4.9,5.0,24000.0
NCCBLMF1,2025-01-21,5.1,5.1,4.9,5.0,7529.0
NCCBLMF1,2025-01-20,5.0,5.1,4.9,5.0,20001.0
NCCBLMF1,2025-01-19,5.1,5.1,4.9,5.0,43901.0
NCCBLMF1,2025-01-16,5.1,5.1,5.0,5.1,5350.0
NCCBLMF1,2025-01-15,5.1,5.1,5.1,5.1,5500.0
NCCBLMF1,2025-01-14,5.1,5.1,5.1,5.1,1260.0
NCCBLMF1,2025-01-13,5.2,5.2,5.0,5.1,5860.0
NCCBLMF1,2025-01-12,5.1,5.2,5.1,5.1,12750.0
NCCBLMF1,2025-01-09,5.2,5.2,5.2,5.2,5.0
NCCBLMF1,2025-01-08,5.2,5.2,5.2,5.2,709.0
NCCBLMF1,2025-01-07,5.2,5.2,5.1,5.1,3101.0
NCCBLMF1,2025-01-06,5.2,5.2,5.0,5.1,41260.0
NCCBLMF1,2025-01-05,5.1,5.2,5.0,5.1,44296.0
NCCBLMF1,2025-01-02,5.2,5.2,5.2,5.2,25035.0
NCCBLMF1,2025-01-01,5.2,5.2,5.2,5.2,83.0
NCCBLMF1,2024-12-30,5.1,5.3,5.1,5.2,6111.0
NCCBLMF1,2024-12-29,5.3,5.3,5.3,5.3,206.0
NCCBLMF1,2024-12-26,5.2,5.2,5.2,5.2,11650.0
NCCBLMF1,2024-12-24,5.2,5.2,5.1,5.2,28000.0
NCCBLMF1,2024-12-23,5.2,5.2,5.2,5.2,12737.0
NCCBLMF1,2024-12-22,5.2,5.3,5.2,5.2,65592.0
NCCBLMF1,2024-12-19,5.3,5.3,5.2,5.2,32578.0
NCCBLMF1,2024-12-18,5.5,5.5,5.2,5.3,34707.0
NCCBLMF1,2024-12-17,5.2,5.4,5.2,5.3,23929.0
NCCBLMF1,2024-12-15,5.4,5.4,5.3,5.3,20654.0
NCCBLMF1,2024-12-12,5.3,5.3,5.2,5.2,16614.0
NCCBLMF1,2024-12-11,5.3,5.4,5.2,5.2,16288.0
NCCBLMF1,2024-12-10,5.4,5.4,5.2,5.3,15722.0
NCCBLMF1,2024-12-09,5.5,5.5,5.2,5.3,42508.0
NCCBLMF1,2024-12-08,5.4,5.4,5.2,5.3,75913.0
NCCBLMF1,2024-12-05,5.5,5.5,5.3,5.4,26423.0
NCCBLMF1,2024-12-04,5.2,5.6,5.2,5.5,230331.0
NCCBLMF1,2024-12-03,5.2,5.3,5.2,5.2,24557.0
NCCBLMF1,2024-12-02,5.2,5.3,5.2,5.2,62717.0
NCCBLMF1,2024-12-01,5.2,5.3,5.1,5.2,20267.0
NCCBLMF1,2024-11-28,5.5,5.5,5.2,5.3,83840.0
NCCBLMF1,2024-11-27,5.2,5.3,5.2,5.3,40871.0
NCCBLMF1,2024-11-26,5.2,5.2,5.1,5.1,30428.0
NCCBLMF1,2024-11-25,5.2,5.3,5.1,5.1,12192.0
NCCBLMF1,2024-11-24,5.2,5.3,5.1,5.2,12010.0
NCCBLMF1,2024-11-21,5.5,5.5,5.1,5.1,20073.0
NCCBLMF1,2024-11-20,5.2,5.2,5.1,5.1,9314.0
NCCBLMF1,2024-11-19,5.3,5.3,5.1,5.1,40136.0
NCCBLMF1,2024-11-18,5.3,5.3,5.2,5.2,22842.0
NCCBLMF1,2024-11-17,5.5,5.5,5.0,5.1,153607.0
NCCBLMF1,2024-11-14,5.5,5.5,5.2,5.4,2086.0
NCCBLMF1,2024-11-13,5.3,5.6,5.0,5.0,90692.0
NCCBLMF1,2024-11-12,5.7,5.7,5.3,5.3,48386.0
NCCBLMF1,2024-11-11,5.7,5.7,5.3,5.4,30424.0
NCCBLMF1,2024-11-10,5.7,5.7,5.3,5.3,19162.0
NCCBLMF1,2024-11-07,5.7,5.7,5.5,5.5,18401.0
NCCBLMF1,2024-11-06,5.6,5.7,5.5,5.6,47200.0
NCCBLMF1,2024-11-05,5.7,5.7,5.4,5.5,60207.0
NCCBLMF1,2024-11-04,5.6,5.7,5.2,5.4,126472.0
NCCBLMF1,2024-11-03,5.9,5.9,5.6,5.7,79218.0
NCCBLMF1,2024-10-31,5.7,5.7,5.4,5.5,138795.0
NCCBLMF1,2024-10-30,5.5,5.5,5.1,5.2,28631.0
NCCBLMF1,2024-10-29,5.1,5.1,5.0,5.1,6010.0
NCCBLMF1,2024-10-28,5.1,5.1,5.0,5.1,6.0
NCCBLMF1,2024-10-27,5.2,5.2,4.7,4.9,9792.0
NCCBLMF1,2024-10-24,5.2,5.2,4.9,5.0,6517.0
NCCBLMF1,2024-10-23,5.2,5.2,4.9,5.1,17744.0
NCCBLMF1,2024-10-22,5.2,5.2,5.0,5.1,260.0
NCCBLMF1,2024-10-21,5.2,5.2,4.6,5.1,29631.0
NCCBLMF1,2024-10-20,5.4,5.4,4.9,4.9,10006.0
NCCBLMF1,2024-10-17,5.2,5.2,5.2,5.2,10.0
NCCBLMF1,2024-10-16,5.3,5.3,4.9,5.0,6634.0
NCCBLMF1,2024-10-15,5.3,5.3,5.0,5.1,7505.0
NCCBLMF1,2024-10-14,5.3,5.3,5.3,5.3,200.0
NCCBLMF1,2024-10-09,5.2,5.4,5.1,5.1,36920.0
NCCBLMF1,2024-10-08,5.3,5.6,5.1,5.2,16011.0
NCCBLMF1,2024-10-07,5.8,5.8,5.1,5.2,705.0
NCCBLMF1,2024-10-06,5.7,5.7,5.3,5.3,2516.0
NCCBLMF1,2024-10-03,5.6,5.6,5.1,5.3,9647.0
NCCBLMF1,2024-10-02,5.4,5.4,5.2,5.3,10844.0
NCCBLMF1,2024-10-01,5.7,5.7,5.3,5.5,34990.0
NCCBLMF1,2024-09-30,5.8,5.8,5.2,5.4,28770.0
NCCBLMF1,2024-09-29,5.8,5.8,5.7,5.7,208.0
NCCBLMF1,2024-09-26,6.0,6.0,5.4,5.4,10306.0
NCCBLMF1,2024-09-25,5.7,5.7,5.4,5.6,16406.0
NCCBLMF1,2024-09-24,5.3,5.8,5.3,5.8,30692.0
NCCBLMF1,2024-09-23,5.7,5.8,5.6,5.7,10107.0
NCCBLMF1,2024-09-22,5.8,5.8,5.6,5.7,312.0
NCCBLMF1,2024-09-19,5.7,5.8,5.7,5.8,2424.0
NCCBLMF1,2024-09-18,6.0,6.0,5.6,5.7,5423.0
NCCBLMF1,2024-09-17,6.0,6.0,5.6,5.7,41262.0
NCCBLMF1,2024-09-15,5.7,5.9,5.7,5.7,11101.0
NCCBLMF1,2024-09-12,5.8,5.8,5.7,5.8,5048.0
NCCBLMF1,2024-09-11,5.9,5.9,5.8,5.8,22700.0
NCCBLMF1,2024-09-10,6.0,6.0,5.8,5.9,78526.0
