Trading_Code,Date,Open,High,Low,Close,Volume
NFML,2025-04-08,8.7,9.0,8.6,8.8,109864.0
NFML,2025-04-07,9.0,9.0,8.7,8.7,99729.0
NFML,2025-04-06,8.6,9.4,8.6,8.7,34541.0
NFML,2025-03-27,8.8,8.9,8.7,8.7,56191.0
NFML,2025-03-25,9.4,9.4,8.8,8.8,196632.0
NFML,2025-03-24,9.0,9.3,8.9,9.2,173106.0
NFML,2025-03-23,8.9,9.1,8.8,8.9,113191.0
NFML,2025-03-20,8.7,8.9,8.6,8.8,186240.0
NFML,2025-03-19,8.7,8.7,8.6,8.7,25837.0
NFML,2025-03-18,8.8,8.8,8.6,8.7,42823.0
NFML,2025-03-17,9.0,9.0,8.6,8.7,61303.0
NFML,2025-03-16,8.8,9.0,8.5,8.7,136321.0
NFML,2025-03-13,9.0,9.0,8.8,8.9,35235.0
NFML,2025-03-12,8.9,9.0,8.9,9.0,34307.0
NFML,2025-03-11,9.1,9.1,8.9,8.9,11820.0
NFML,2025-03-10,9.7,9.7,8.8,8.9,78488.0
NFML,2025-03-09,9.3,9.3,8.8,8.9,16078.0
NFML,2025-03-06,10.0,10.0,8.8,8.9,112914.0
NFML,2025-03-05,9.1,9.3,9.0,9.1,73429.0
NFML,2025-03-04,9.2,9.3,9.0,9.0,96277.0
NFML,2025-03-03,9.6,9.6,9.2,9.3,69529.0
NFML,2025-03-02,9.6,9.6,9.2,9.5,196051.0
NFML,2025-02-27,9.3,9.4,9.0,9.2,231782.0
NFML,2025-02-26,9.9,9.9,8.9,9.0,97837.0
NFML,2025-02-25,9.2,9.4,9.0,9.0,223908.0
NFML,2025-02-24,8.7,9.2,8.7,9.1,145285.0
NFML,2025-02-23,9.0,9.0,8.7,8.8,132725.0
NFML,2025-02-20,8.9,9.0,8.7,8.9,40836.0
NFML,2025-02-19,9.1,9.1,8.8,8.9,55206.0
NFML,2025-02-18,8.8,9.1,8.7,9.0,178901.0
NFML,2025-02-17,8.8,9.0,8.6,8.7,125562.0
NFML,2025-02-16,9.1,9.1,8.6,8.7,145483.0
NFML,2025-02-13,9.2,9.3,8.8,8.9,162414.0
NFML,2025-02-12,9.9,9.9,9.1,9.2,246464.0
NFML,2025-02-11,8.8,9.3,8.8,9.0,95447.0
NFML,2025-02-10,8.8,8.8,8.6,8.8,137317.0
NFML,2025-02-09,8.9,9.0,8.5,8.6,82947.0
NFML,2025-02-06,8.6,9.3,8.5,8.9,590431.0
