Trading_Code,Date,Open,High,Low,Close,Volume
NHFIL,2025-04-08,26.5,26.7,26.0,26.1,244525.0
NHFIL,2025-04-07,26.3,27.1,26.3,26.4,105067.0
NHFIL,2025-04-06,26.8,26.8,25.0,26.5,174100.0
NHFIL,2025-03-27,27.4,27.7,26.9,27.0,116406.0
NHFIL,2025-03-25,26.7,28.0,26.6,27.4,541066.0
NHFIL,2025-03-24,27.3,27.4,26.5,26.5,182109.0
NHFIL,2025-03-23,27.5,27.9,27.0,27.1,346325.0
NHFIL,2025-03-20,26.8,27.5,26.8,27.3,366484.0
NHFIL,2025-03-19,26.9,26.9,26.3,26.5,146933.0
NHFIL,2025-03-18,26.3,27.1,26.3,26.9,95710.0
NHFIL,2025-03-17,27.0,27.1,26.2,26.3,177269.0
NHFIL,2025-03-16,27.7,27.7,26.6,26.8,300851.0
NHFIL,2025-03-13,28.0,28.0,27.1,27.2,411562.0
NHFIL,2025-03-12,27.8,28.7,27.7,27.9,327403.0
NHFIL,2025-03-11,27.6,28.4,27.3,27.8,685197.0
NHFIL,2025-03-10,27.3,27.8,27.0,27.3,346152.0
NHFIL,2025-03-09,29.2,29.2,27.5,27.6,435945.0
NHFIL,2025-03-06,28.3,30.9,28.3,29.1,1907894.0
NHFIL,2025-03-05,28.1,28.6,27.5,28.3,729084.0
NHFIL,2025-03-04,28.1,29.1,27.9,28.3,957268.0
NHFIL,2025-03-03,27.2,28.4,27.2,28.2,578962.0
NHFIL,2025-03-02,28.0,29.0,27.3,27.5,512171.0
NHFIL,2025-02-27,26.5,28.4,26.3,28.0,1071630.0
NHFIL,2025-02-26,27.4,27.4,26.1,26.3,464524.0
NHFIL,2025-02-25,26.5,27.1,26.5,26.6,473868.0
NHFIL,2025-02-24,25.0,26.7,25.0,26.5,758182.0
NHFIL,2025-02-23,25.0,25.4,24.8,25.2,79078.0
NHFIL,2025-02-20,25.0,25.2,24.6,24.7,171425.0
NHFIL,2025-02-19,25.3,25.3,24.9,25.0,51763.0
NHFIL,2025-02-18,25.4,25.5,25.1,25.2,184579.0
NHFIL,2025-02-17,25.2,25.7,25.2,25.4,156730.0
NHFIL,2025-02-16,25.4,25.6,25.2,25.5,198305.0
NHFIL,2025-02-13,25.2,25.5,25.2,25.3,108530.0
NHFIL,2025-02-12,25.2,25.7,25.1,25.2,99744.0
NHFIL,2025-02-11,25.6,26.0,25.2,25.3,100949.0
NHFIL,2025-02-10,25.8,25.8,25.1,25.5,94041.0
NHFIL,2025-02-09,26.0,26.3,25.5,25.6,198660.0
NHFIL,2025-02-06,25.4,26.3,25.2,25.7,247237.0
NHFIL,2025-02-05,24.6,25.6,24.5,25.4,118471.0
NHFIL,2025-02-04,24.5,25.0,24.4,24.5,97757.0
NHFIL,2025-02-03,25.0,25.3,24.7,24.7,41635.0
NHFIL,2025-02-02,24.7,25.1,24.7,25.0,47344.0
NHFIL,2025-01-30,24.5,25.4,24.3,24.8,47656.0
NHFIL,2025-01-29,24.8,24.8,24.4,24.5,86229.0
NHFIL,2025-01-28,24.8,25.0,24.8,24.9,52427.0
NHFIL,2025-01-27,24.8,25.0,24.7,24.8,30872.0
NHFIL,2025-01-26,24.7,25.2,24.6,24.7,72849.0
NHFIL,2025-01-23,25.5,25.5,24.8,25.1,83267.0
NHFIL,2025-01-22,25.5,25.7,25.2,25.4,67051.0
NHFIL,2025-01-21,25.4,26.1,25.4,25.8,104628.0
NHFIL,2025-01-20,25.2,25.4,25.0,25.3,139973.0
NHFIL,2025-01-19,25.3,25.6,24.9,25.2,76682.0
NHFIL,2025-01-16,26.0,26.0,24.8,25.2,181063.0
NHFIL,2025-01-15,25.8,26.2,25.7,26.1,40313.0
NHFIL,2025-01-14,26.0,26.2,25.4,25.8,58773.0
NHFIL,2025-01-13,26.0,26.2,25.8,25.8,36053.0
NHFIL,2025-01-12,26.4,26.5,26.1,26.3,59782.0
NHFIL,2025-01-09,27.2,27.2,26.2,26.3,18096.0
NHFIL,2025-01-08,26.5,26.7,26.4,26.6,36139.0
NHFIL,2025-01-07,26.8,27.1,26.4,26.6,97085.0
NHFIL,2025-01-06,26.4,26.6,26.2,26.2,48752.0
NHFIL,2025-01-05,26.4,26.4,26.1,26.2,22542.0
NHFIL,2025-01-02,27.0,27.0,26.3,26.4,49196.0
NHFIL,2025-01-01,27.0,27.0,26.5,26.8,31472.0
NHFIL,2024-12-30,26.7,26.8,26.4,26.6,64066.0
NHFIL,2024-12-29,26.8,26.9,26.7,26.8,23669.0
NHFIL,2024-12-26,26.7,26.8,26.3,26.4,42785.0
NHFIL,2024-12-24,26.2,26.6,26.2,26.5,46978.0
NHFIL,2024-12-23,26.5,26.5,26.2,26.3,31245.0
NHFIL,2024-12-22,26.3,26.9,26.1,26.2,67030.0
NHFIL,2024-12-19,26.2,26.9,26.2,26.4,80330.0
NHFIL,2024-12-18,26.8,27.2,26.5,26.6,111507.0
NHFIL,2024-12-17,27.1,27.9,26.8,26.9,107700.0
