Trading_Code,Date,Open,High,Low,Close,Volume
NILOYCEM,2010-12-08,252.5,255.0,251.0,251.75,4850.0
NILOYCEM,2010-12-07,259.0,266.0,256.5,260.0,3150.0
NILOYCEM,2010-12-05,253.25,260.0,246.25,250.75,5100.0
NILOYCEM,2010-12-04,289.75,303.0,289.0,292.75,21600.0
NILOYCEM,2010-12-01,212.0,218.0,212.0,216.75,9750.0
NILOYCEM,2010-11-08,255.0,255.0,251.0,253.0,1700.0
NILOYCEM,2010-11-07,270.0,270.0,259.25,262.25,3600.0
NILOYCEM,2010-11-05,258.0,269.75,250.0,256.5,29650.0
NILOYCEM,2010-11-04,272.25,297.0,272.25,287.0,32700.0
NILOYCEM,2010-11-03,227.0,229.75,224.75,225.75,7250.0
NILOYCEM,2010-11-02,235.25,240.0,231.0,237.25,11150.0
NILOYCEM,2010-11-01,205.0,212.5,205.0,210.25,10650.0
NILOYCEM,2010-10-08,260.0,262.0,253.5,256.0,5600.0
NILOYCEM,2010-10-06,246.0,258.0,243.5,253.5,13800.0
NILOYCEM,2010-10-05,227.25,255.0,227.25,251.5,16150.0
NILOYCEM,2010-10-03,234.0,234.0,224.5,229.0,7450.0
NILOYCEM,2010-10-02,240.0,248.75,235.0,237.5,9000.0
NILOYCEM,2010-10-01,202.75,205.0,197.5,204.0,10750.0
NILOYCEM,2010-09-30,251.0,290.0,251.0,260.75,34900.0
NILOYCEM,2010-09-29,270.25,280.25,251.0,255.75,20350.0
NILOYCEM,2010-09-28,305.0,308.0,282.0,285.0,8850.0
NILOYCEM,2010-09-27,293.0,319.0,290.0,300.5,21550.0
NILOYCEM,2010-09-26,280.0,300.0,270.0,296.75,23250.0
NILOYCEM,2010-09-23,280.25,283.0,272.25,277.75,6250.0
NILOYCEM,2010-09-22,294.0,294.0,277.0,278.5,13800.0
NILOYCEM,2010-09-21,271.0,307.0,271.0,291.75,15000.0
NILOYCEM,2010-09-20,301.0,301.0,272.0,284.0,18150.0
NILOYCEM,2010-09-19,364.0,364.0,313.0,317.5,25350.0
NILOYCEM,2010-09-16,348.0,374.75,340.25,345.75,32350.0
NILOYCEM,2010-09-15,307.0,348.0,307.0,339.5,43050.0
NILOYCEM,2010-09-14,289.75,299.75,280.25,298.25,16750.0
NILOYCEM,2010-09-13,260.0,278.0,260.0,273.75,6300.0
NILOYCEM,2010-09-08,260.0,262.0,255.25,257.0,8450.0
NILOYCEM,2010-09-06,250.25,261.0,245.0,245.75,18600.0
NILOYCEM,2010-09-05,237.0,237.75,229.0,230.25,7650.0
NILOYCEM,2010-09-03,240.0,240.0,225.25,226.75,8500.0
NILOYCEM,2010-09-02,240.0,248.75,239.25,246.5,12600.0
NILOYCEM,2010-08-31,238.5,245.0,238.5,241.25,2700.0
NILOYCEM,2010-08-30,242.0,245.0,241.5,243.25,5700.0
NILOYCEM,2010-08-29,242.0,242.0,242.0,242.0,1250.0
NILOYCEM,2010-08-26,246.75,247.0,240.0,241.75,2300.0
NILOYCEM,2010-08-25,237.5,244.0,236.0,238.5,2650.0
NILOYCEM,2010-08-24,241.0,245.75,239.0,240.5,4100.0
NILOYCEM,2010-08-23,239.0,245.0,238.5,239.25,7150.0
NILOYCEM,2010-08-22,247.0,247.5,240.0,240.5,11100.0
NILOYCEM,2010-08-19,245.0,250.0,245.0,246.75,3050.0
NILOYCEM,2010-08-18,243.5,250.0,243.5,246.75,2550.0
NILOYCEM,2010-08-17,248.25,248.25,245.0,246.0,3550.0
NILOYCEM,2010-08-16,250.0,250.0,242.0,245.25,1700.0
NILOYCEM,2010-08-09,272.0,288.0,260.0,265.25,10750.0
NILOYCEM,2010-08-08,246.5,270.0,246.25,256.5,10150.0
NILOYCEM,2010-08-07,282.0,283.75,270.0,273.0,6800.0
NILOYCEM,2010-08-06,237.75,260.0,237.0,248.5,30300.0
NILOYCEM,2010-08-04,254.0,274.0,254.0,270.5,29150.0
NILOYCEM,2010-08-03,227.0,242.0,227.0,237.5,21700.0
NILOYCEM,2010-08-02,241.0,244.0,235.0,236.25,8200.0
NILOYCEM,2010-07-29,239.0,244.0,239.0,240.0,2700.0
NILOYCEM,2010-07-27,246.25,246.5,243.0,244.25,2800.0
NILOYCEM,2010-07-26,252.0,254.0,244.25,246.5,1350.0
NILOYCEM,2010-07-25,251.0,252.0,242.0,244.25,7350.0
NILOYCEM,2010-07-22,252.0,260.0,252.0,254.75,4100.0
NILOYCEM,2010-07-21,253.0,258.0,248.0,255.75,6850.0
NILOYCEM,2010-07-20,251.0,258.0,245.0,249.5,5150.0
NILOYCEM,2010-07-19,237.0,254.0,237.0,245.25,3200.0
NILOYCEM,2010-07-18,245.0,258.0,241.25,247.5,5250.0
NILOYCEM,2010-07-15,236.5,253.0,236.5,247.25,4400.0
NILOYCEM,2010-07-14,247.0,259.75,242.25,245.0,8250.0
NILOYCEM,2010-07-13,265.0,265.0,247.0,247.75,5950.0
NILOYCEM,2010-07-07,259.75,283.0,255.0,278.5,7650.0
NILOYCEM,2010-07-06,239.0,239.0,227.25,231.25,5150.0
NILOYCEM,2010-07-04,245.25,255.0,245.0,254.0,5900.0
NILOYCEM,2010-07-03,235.25,235.25,215.75,229.75,12850.0
NILOYCEM,2010-07-02,250.0,250.0,242.0,248.0,6950.0
NILOYCEM,2010-07-01,202.0,203.0,196.5,198.0,3750.0
NILOYCEM,2010-06-30,246.0,270.0,246.0,255.75,4850.0
NILOYCEM,2010-06-29,265.0,274.0,259.0,259.5,6450.0
NILOYCEM,2010-06-28,279.0,279.0,263.0,265.75,3900.0
NILOYCEM,2010-06-27,267.5,285.0,266.25,268.25,8600.0
NILOYCEM,2010-06-24,270.0,270.0,263.0,268.0,4050.0
NILOYCEM,2010-06-23,272.0,273.75,263.0,265.0,3950.0
NILOYCEM,2010-06-22,270.0,279.0,260.0,267.5,6900.0
NILOYCEM,2010-06-21,291.0,291.0,264.0,269.25,10050.0
NILOYCEM,2010-06-20,296.0,300.0,285.0,288.0,7600.0
