Trading_Code,Date,Open,High,Low,Close,Volume
NITOLINS,2025-04-08,25.0,25.8,23.5,25.6,55457.0
NITOLINS,2025-04-07,26.3,26.3,24.9,25.0,29766.0
NITOLINS,2025-04-06,25.5,25.6,25.2,25.4,19058.0
NITOLINS,2025-03-27,25.3,25.5,25.1,25.5,22710.0
NITOLINS,2025-03-25,25.8,25.8,25.2,25.3,11863.0
NITOLINS,2025-03-24,24.8,25.4,24.8,25.2,20036.0
NITOLINS,2025-03-23,25.0,25.0,24.8,24.9,11653.0
NITOLINS,2025-03-20,25.1,25.2,25.1,25.1,44936.0
NITOLINS,2025-03-19,26.2,26.2,25.1,25.1,8769.0
NITOLINS,2025-03-18,25.0,25.7,24.7,25.6,106197.0
NITOLINS,2025-03-17,25.3,25.4,25.0,25.3,20525.0
NITOLINS,2025-03-16,24.4,26.4,24.4,25.6,37246.0
NITOLINS,2025-03-13,24.9,25.8,24.3,25.2,101865.0
NITOLINS,2025-03-12,24.6,24.8,24.3,24.5,6197.0
NITOLINS,2025-03-11,24.5,25.0,24.0,24.8,23266.0
NITOLINS,2025-03-10,23.7,24.8,23.7,24.4,12008.0
NITOLINS,2025-03-09,24.7,26.0,24.1,24.5,121646.0
NITOLINS,2025-03-06,24.1,24.1,23.9,24.1,7605.0
NITOLINS,2025-03-05,24.5,24.7,23.9,24.1,38821.0
NITOLINS,2025-03-04,24.2,24.8,23.6,24.1,12474.0
NITOLINS,2025-03-03,25.0,25.0,24.6,24.7,1443.0
NITOLINS,2025-03-02,24.1,25.2,24.1,24.6,1890.0
NITOLINS,2025-02-27,24.7,25.0,24.0,24.3,36440.0
NITOLINS,2025-02-26,24.3,25.9,24.3,25.1,10985.0
NITOLINS,2025-02-25,25.0,25.5,25.0,25.3,48592.0
NITOLINS,2025-02-24,24.3,25.8,24.3,25.1,76970.0
NITOLINS,2025-02-23,23.3,25.0,23.3,24.7,18723.0
NITOLINS,2025-02-20,24.0,24.9,23.6,23.9,8247.0
NITOLINS,2025-02-19,24.0,24.6,24.0,24.1,6952.0
NITOLINS,2025-02-18,24.4,26.0,23.7,24.5,22751.0
NITOLINS,2025-02-17,24.5,24.5,23.8,24.0,68854.0
NITOLINS,2025-02-16,24.1,26.5,24.1,24.5,77064.0
NITOLINS,2025-02-13,24.1,24.4,24.1,24.3,4165.0
NITOLINS,2025-02-12,23.9,24.4,23.8,24.3,15116.0
NITOLINS,2025-02-11,23.7,24.0,23.7,24.0,90436.0
NITOLINS,2025-02-10,24.0,24.5,23.8,23.9,33964.0
NITOLINS,2025-02-09,25.5,25.5,23.7,24.4,81859.0
NITOLINS,2025-02-06,25.0,25.0,24.4,24.6,15691.0
NITOLINS,2025-02-05,24.5,24.8,24.5,24.7,12432.0
NITOLINS,2025-02-04,24.4,25.0,24.3,24.7,12136.0
NITOLINS,2025-02-03,25.2,25.2,24.3,25.0,36394.0
NITOLINS,2025-02-02,24.4,24.5,24.3,24.4,12927.0
NITOLINS,2025-01-30,25.4,26.5,24.4,24.7,73546.0
NITOLINS,2025-01-29,25.5,25.5,24.2,24.5,8612.0
NITOLINS,2025-01-28,25.3,25.3,24.2,24.4,16536.0
NITOLINS,2025-01-27,24.0,25.3,24.0,24.4,248.0
NITOLINS,2025-01-26,24.5,24.5,24.4,24.5,4534.0
NITOLINS,2025-01-23,25.3,25.5,24.6,24.8,15991.0
NITOLINS,2025-01-22,25.1,25.5,24.8,25.0,4855.0
NITOLINS,2025-01-21,25.6,25.6,25.3,25.3,12534.0
NITOLINS,2025-01-20,23.6,25.9,23.6,25.3,66290.0
NITOLINS,2025-01-19,25.8,26.0,25.0,25.5,25582.0
NITOLINS,2025-01-16,25.2,25.2,23.6,24.5,24960.0
NITOLINS,2025-01-15,24.5,25.0,24.0,24.2,9595.0
NITOLINS,2025-01-14,25.6,25.6,24.0,24.4,8488.0
NITOLINS,2025-01-13,24.8,24.8,24.5,24.6,17515.0
NITOLINS,2025-01-12,24.8,25.8,24.8,24.9,9135.0
NITOLINS,2025-01-09,25.1,25.9,24.7,25.1,26683.0
NITOLINS,2025-01-08,26.6,26.6,25.4,25.6,6247.0
NITOLINS,2025-01-07,24.4,27.0,24.4,25.7,131076.0
NITOLINS,2025-01-06,25.1,25.4,24.6,25.3,19862.0
NITOLINS,2025-01-05,27.5,27.5,25.0,25.1,17925.0
NITOLINS,2025-01-02,24.8,25.3,24.8,25.0,1171.0
NITOLINS,2025-01-01,26.0,26.0,25.2,25.3,12038.0
NITOLINS,2024-12-30,25.4,25.8,24.7,25.0,24909.0
NITOLINS,2024-12-29,24.2,25.5,23.3,25.3,44162.0
NITOLINS,2024-12-26,25.5,25.5,24.0,24.5,28303.0
NITOLINS,2024-12-24,25.9,25.9,24.5,24.6,21965.0
NITOLINS,2024-12-23,25.5,25.8,24.9,25.0,37635.0
NITOLINS,2024-12-22,26.0,26.7,24.9,25.1,47049.0
NITOLINS,2024-12-19,26.2,26.7,26.2,26.5,6838.0
NITOLINS,2024-12-18,26.2,26.8,26.2,26.4,15066.0
NITOLINS,2024-12-17,26.6,27.0,26.5,26.6,23794.0
NITOLINS,2024-12-15,26.4,27.2,26.1,26.6,4535.0
NITOLINS,2024-12-12,26.5,27.5,26.2,26.4,70202.0
NITOLINS,2024-12-11,27.0,27.6,27.0,27.1,24689.0
NITOLINS,2024-12-10,26.0,27.8,26.0,27.2,34258.0
NITOLINS,2024-12-09,27.1,27.3,27.0,27.1,14273.0
NITOLINS,2024-12-08,26.1,27.4,26.0,26.6,18396.0
NITOLINS,2024-12-05,27.5,27.8,26.0,27.1,40075.0
NITOLINS,2024-12-04,28.6,28.6,27.6,27.7,23484.0
NITOLINS,2024-12-03,27.4,28.7,27.4,27.9,47331.0
NITOLINS,2024-12-02,27.7,28.7,27.7,28.1,67991.0
NITOLINS,2024-12-01,27.2,28.9,27.2,27.7,65496.0
NITOLINS,2024-11-28,28.3,29.5,27.9,28.1,96670.0
NITOLINS,2024-11-27,27.2,28.8,27.2,28.5,68882.0
NITOLINS,2024-11-26,27.8,29.7,27.2,27.6,238235.0
NITOLINS,2024-11-25,30.3,30.3,28.6,28.8,76264.0
NITOLINS,2024-11-24,31.0,31.0,29.1,29.4,79841.0
NITOLINS,2024-11-21,31.1,31.9,29.9,30.1,176811.0
NITOLINS,2024-11-20,31.7,32.4,30.7,31.0,216569.0
NITOLINS,2024-11-19,29.8,31.7,29.8,31.7,663063.0
NITOLINS,2024-11-18,29.0,29.4,27.4,28.9,233928.0
NITOLINS,2024-11-17,26.0,27.9,26.0,27.5,52795.0
NITOLINS,2024-11-14,25.9,28.9,25.9,27.5,78764.0
NITOLINS,2024-11-13,24.0,27.0,24.0,26.8,21854.0
NITOLINS,2024-11-12,24.6,25.9,24.6,25.5,36825.0
NITOLINS,2024-11-11,24.2,24.9,24.0,24.5,32255.0
NITOLINS,2024-11-10,24.5,24.9,24.0,24.8,25494.0
NITOLINS,2024-11-07,24.5,25.5,24.5,24.6,8208.0
NITOLINS,2024-11-06,24.6,24.9,24.2,24.3,48017.0
NITOLINS,2024-11-05,24.8,25.9,24.4,24.8,50751.0
NITOLINS,2024-11-04,23.7,24.3,23.0,23.8,7457.0
NITOLINS,2024-11-03,24.8,24.9,23.6,23.8,25828.0
NITOLINS,2024-10-31,24.0,25.6,21.1,25.0,55878.0
NITOLINS,2024-10-30,22.0,23.6,21.8,23.3,19212.0
NITOLINS,2024-10-29,20.6,21.8,20.5,21.6,28361.0
NITOLINS,2024-10-28,20.4,22.5,20.2,20.7,5886.0
NITOLINS,2024-10-27,22.8,22.8,21.0,21.1,19593.0
NITOLINS,2024-10-24,22.9,22.9,22.0,22.0,4195.0
NITOLINS,2024-10-23,24.0,24.0,22.5,22.7,4052.0
NITOLINS,2024-10-22,24.3,24.3,23.0,23.7,6421.0
NITOLINS,2024-10-21,25.9,25.9,21.5,22.5,9203.0
NITOLINS,2024-10-20,25.0,25.0,23.4,23.8,4882.0
NITOLINS,2024-10-17,24.5,24.5,23.8,24.0,12462.0
NITOLINS,2024-10-16,24.8,25.5,24.4,24.6,6050.0
NITOLINS,2024-10-15,25.1,26.4,24.9,25.6,56557.0
NITOLINS,2024-10-14,25.0,25.2,25.0,25.0,42515.0
NITOLINS,2024-10-09,24.6,25.8,24.6,25.3,29513.0
NITOLINS,2024-10-08,26.0,26.0,24.6,24.8,25442.0
NITOLINS,2024-10-07,25.3,25.5,24.6,25.5,18906.0
NITOLINS,2024-10-06,25.1,25.5,25.1,25.3,4730.0
NITOLINS,2024-10-03,25.3,25.3,24.1,25.1,17146.0
NITOLINS,2024-10-02,26.0,26.0,25.0,25.2,5983.0
NITOLINS,2024-10-01,27.4,27.4,26.0,26.2,12765.0
NITOLINS,2024-09-30,26.1,27.4,26.1,27.1,5223.0
NITOLINS,2024-09-29,25.8,27.0,25.8,26.8,361.0
NITOLINS,2024-09-26,28.9,28.9,26.0,26.2,3832.0
NITOLINS,2024-09-25,28.9,28.9,27.0,27.0,33440.0
NITOLINS,2024-09-24,29.2,29.2,28.2,28.3,32702.0
NITOLINS,2024-09-23,28.0,29.4,28.0,28.4,70944.0
NITOLINS,2024-09-22,29.5,29.5,28.0,28.4,12979.0
NITOLINS,2024-09-19,29.9,29.9,28.3,28.6,45003.0
NITOLINS,2024-09-18,28.9,28.9,27.9,28.1,24400.0
NITOLINS,2024-09-17,28.6,28.9,27.8,28.1,49115.0
NITOLINS,2024-09-15,29.9,29.9,27.9,28.4,33100.0
NITOLINS,2024-09-12,29.8,29.8,28.2,28.5,62469.0
NITOLINS,2024-09-11,29.5,29.8,29.0,29.3,16191.0
NITOLINS,2024-09-10,29.7,30.2,29.0,29.5,25558.0
