Trading_Code,Date,Open,High,Low,Close,Volume
NORTHERN,2025-04-08,105.2,112.0,105.2,110.9,3991.0
NORTHERN,2025-04-07,117.9,117.9,109.0,110.4,357.0
NORTHERN,2025-04-06,106.1,110.4,106.0,107.6,670.0
NORTHERN,2025-03-27,106.9,106.9,106.9,106.9,31.0
NORTHERN,2025-03-25,105.1,108.9,105.1,105.7,117.0
NORTHERN,2025-03-24,109.0,109.0,103.3,103.6,801.0
NORTHERN,2025-03-23,111.4,111.4,107.0,107.1,662.0
NORTHERN,2025-03-20,110.0,110.5,108.1,109.5,870.0
NORTHERN,2025-03-19,111.0,111.0,108.4,110.5,401.0
NORTHERN,2025-03-18,111.5,111.5,108.0,109.9,503.0
NORTHERN,2025-03-17,109.4,109.4,109.0,109.2,1701.0
NORTHERN,2025-03-16,108.9,109.5,108.9,109.4,1403.0
NORTHERN,2025-03-13,108.5,110.9,108.5,110.7,1624.0
NORTHERN,2025-03-12,108.2,111.4,106.0,106.7,3980.0
NORTHERN,2025-03-11,109.0,109.4,109.0,109.2,5569.0
NORTHERN,2025-03-10,108.0,108.0,107.3,108.0,81.0
NORTHERN,2025-03-09,107.9,109.0,107.9,108.1,1311.0
NORTHERN,2025-03-06,109.1,113.3,108.5,108.9,201.0
NORTHERN,2025-03-05,114.3,115.1,113.1,114.4,1832.0
NORTHERN,2025-03-04,112.9,114.2,112.0,112.9,2795.0
NORTHERN,2025-03-03,113.0,113.0,110.8,112.9,231.0
NORTHERN,2025-03-02,115.5,115.5,110.2,111.3,1409.0
NORTHERN,2025-02-27,107.2,112.0,107.2,110.1,2296.0
NORTHERN,2025-02-26,108.6,111.3,108.6,109.9,55.0
NORTHERN,2025-02-25,110.5,110.5,107.9,108.2,292.0
NORTHERN,2025-02-24,111.5,111.5,107.0,109.6,2840.0
NORTHERN,2025-02-23,110.9,110.9,109.0,110.1,574.0
NORTHERN,2025-02-20,107.2,112.0,107.2,111.3,1173.0
NORTHERN,2025-02-19,107.5,107.5,107.5,107.5,41.0
NORTHERN,2025-02-18,108.0,108.2,108.0,108.1,503.0
NORTHERN,2025-02-17,107.4,108.1,107.3,107.7,818.0
NORTHERN,2025-02-16,108.5,108.5,107.1,107.3,1800.0
NORTHERN,2025-02-13,109.9,109.9,108.5,109.0,1381.0
NORTHERN,2025-02-12,108.1,108.9,108.0,108.0,2061.0
NORTHERN,2025-02-11,109.2,109.2,108.0,108.1,915.0
NORTHERN,2025-02-10,109.0,110.0,109.0,109.2,139.0
NORTHERN,2025-02-09,107.3,107.6,106.9,107.0,3168.0
NORTHERN,2025-02-06,108.0,110.0,108.0,108.2,39.0
NORTHERN,2025-02-05,110.8,110.8,107.0,107.6,1839.0
NORTHERN,2025-02-04,106.6,108.1,106.6,107.6,1144.0
NORTHERN,2025-02-03,109.5,110.0,107.1,107.8,1255.0
NORTHERN,2025-02-02,107.8,110.0,107.0,107.3,1120.0
NORTHERN,2025-01-30,107.7,110.9,107.7,107.8,1292.0
NORTHERN,2025-01-29,107.0,110.0,107.0,107.6,2001.0
NORTHERN,2025-01-28,119.5,119.5,108.6,109.1,2003.0
NORTHERN,2025-01-27,109.0,114.0,108.0,109.0,891.0
NORTHERN,2025-01-26,107.3,113.0,107.3,108.0,1012.0
NORTHERN,2025-01-23,117.3,117.3,111.6,113.2,232.0
NORTHERN,2025-01-22,115.7,117.9,110.6,114.8,2192.0
NORTHERN,2025-01-21,111.8,113.9,111.8,112.1,624.0
NORTHERN,2025-01-20,110.5,114.8,110.0,111.6,3519.0
NORTHERN,2025-01-19,110.4,110.9,108.3,110.3,139.0
NORTHERN,2025-01-16,108.0,108.0,108.0,108.0,127.0
NORTHERN,2025-01-15,107.2,109.7,107.1,107.2,877.0
NORTHERN,2025-01-14,107.5,112.0,106.2,107.1,2043.0
NORTHERN,2025-01-13,109.9,109.9,107.2,107.5,1553.0
NORTHERN,2025-01-12,110.0,111.9,107.4,108.0,2780.0
NORTHERN,2025-01-09,113.4,113.4,108.1,109.3,2128.0
NORTHERN,2025-01-08,111.0,111.0,110.2,110.5,2917.0
NORTHERN,2025-01-07,113.8,119.7,109.5,110.0,3489.0
NORTHERN,2025-01-06,109.5,113.7,107.0,108.9,1316.0
