Trading_Code,Date,Open,High,Low,Close,Volume
NORTHRNINS,2025-04-08,29.0,29.0,28.0,28.3,2312.0
NORTHRNINS,2025-04-07,29.0,29.7,27.3,29.1,11992.0
NORTHRNINS,2025-04-06,28.0,29.8,26.6,27.8,4811.0
NORTHRNINS,2025-03-27,29.4,29.4,28.7,28.9,817.0
NORTHRNINS,2025-03-25,29.8,29.8,28.2,28.4,2454.0
NORTHRNINS,2025-03-24,28.9,30.3,27.9,28.4,3800.0
NORTHRNINS,2025-03-23,28.9,28.9,27.9,28.8,86.0
NORTHRNINS,2025-03-20,27.8,29.5,27.6,27.7,16430.0
NORTHRNINS,2025-03-19,29.8,29.8,27.5,28.7,571.0
NORTHRNINS,2025-03-18,31.3,31.3,28.8,28.9,3056.0
NORTHRNINS,2025-03-17,30.5,30.5,28.6,28.9,12212.0
NORTHRNINS,2025-03-16,30.5,30.5,28.0,30.0,23984.0
NORTHRNINS,2025-03-13,30.0,30.3,28.0,28.9,16431.0
NORTHRNINS,2025-03-12,27.4,29.8,27.4,27.8,91054.0
NORTHRNINS,2025-03-11,30.0,30.0,27.0,28.1,1333.0
NORTHRNINS,2025-03-10,29.8,29.8,28.3,28.9,750.0
NORTHRNINS,2025-03-09,27.6,28.2,27.2,27.4,222.0
NORTHRNINS,2025-03-06,27.7,29.0,27.7,27.9,4280.0
NORTHRNINS,2025-03-05,29.2,29.2,28.2,28.5,6.0
NORTHRNINS,2025-03-04,28.2,28.3,28.0,28.1,4604.0
NORTHRNINS,2025-03-03,27.6,27.9,27.6,27.8,10437.0
NORTHRNINS,2025-03-02,28.7,28.7,28.0,28.1,2850.0
NORTHRNINS,2025-02-27,28.8,29.0,28.8,28.8,4005.0
NORTHRNINS,2025-02-26,29.6,29.6,29.0,29.5,1800.0
NORTHRNINS,2025-02-25,28.6,29.2,28.5,28.9,3185.0
NORTHRNINS,2025-02-24,27.8,28.8,27.7,28.1,1714.0
NORTHRNINS,2025-02-23,27.7,28.3,27.7,28.3,5721.0
NORTHRNINS,2025-02-20,28.4,28.5,28.4,28.5,50.0
NORTHRNINS,2025-02-19,27.5,28.5,27.4,27.4,1008.0
NORTHRNINS,2025-02-18,27.9,27.9,27.9,27.9,2110.0
NORTHRNINS,2025-02-17,27.6,28.0,27.5,27.7,3401.0
NORTHRNINS,2025-02-16,27.5,28.7,27.5,27.8,470.0
NORTHRNINS,2025-02-13,27.5,27.6,27.5,27.6,1270.0
NORTHRNINS,2025-02-12,27.6,27.6,27.6,27.6,100.0
NORTHRNINS,2025-02-11,27.4,29.5,27.3,28.5,13010.0
NORTHRNINS,2025-02-10,27.4,28.1,27.0,27.5,5393.0
NORTHRNINS,2025-02-09,28.6,28.6,27.8,28.0,2359.0
NORTHRNINS,2025-02-06,28.6,28.6,27.3,28.1,10809.0
NORTHRNINS,2025-02-05,28.0,29.0,28.0,28.6,8545.0
NORTHRNINS,2025-02-04,27.9,28.3,27.7,28.1,7906.0
NORTHRNINS,2025-02-03,28.4,29.5,28.0,28.2,7334.0
NORTHRNINS,2025-02-02,28.3,28.5,28.3,28.4,2188.0
NORTHRNINS,2025-01-30,28.1,29.8,28.0,28.0,242.0
NORTHRNINS,2025-01-29,0.0,0.0,0.0,28.7,0.0
NORTHRNINS,2025-01-28,29.9,29.9,28.6,28.7,316.0
NORTHRNINS,2025-01-27,28.6,29.8,28.3,28.5,8840.0
NORTHRNINS,2025-01-26,29.4,29.4,29.2,29.3,3266.0
NORTHRNINS,2025-01-23,29.0,30.3,29.0,29.4,1729.0
NORTHRNINS,2025-01-22,29.3,31.0,29.3,29.6,1001.0
NORTHRNINS,2025-01-21,30.7,31.7,30.7,30.8,7131.0
NORTHRNINS,2025-01-20,31.0,32.0,30.0,31.4,15255.0
NORTHRNINS,2025-01-19,29.8,31.6,29.8,31.5,29179.0
NORTHRNINS,2025-01-16,27.2,30.0,27.1,29.8,12100.0
NORTHRNINS,2025-01-15,28.2,28.9,27.6,27.7,19008.0
NORTHRNINS,2025-01-14,28.7,29.3,28.5,28.6,769.0
NORTHRNINS,2025-01-13,29.9,29.9,28.1,28.3,5839.0
NORTHRNINS,2025-01-12,30.4,30.4,28.8,29.3,8240.0
NORTHRNINS,2025-01-09,29.8,30.0,29.1,30.0,16242.0
NORTHRNINS,2025-01-08,29.8,29.8,28.7,28.9,5190.0
NORTHRNINS,2025-01-07,29.9,29.9,28.6,29.1,3844.0
NORTHRNINS,2025-01-06,30.0,30.0,28.9,29.1,7093.0
NORTHRNINS,2025-01-05,28.9,29.3,28.7,28.9,7297.0
NORTHRNINS,2025-01-02,29.1,29.3,29.1,29.3,5941.0
NORTHRNINS,2025-01-01,29.1,29.9,29.0,29.1,10625.0
NORTHRNINS,2024-12-30,30.0,30.0,29.6,29.9,3793.0
NORTHRNINS,2024-12-29,29.0,30.0,29.0,29.5,829.0
NORTHRNINS,2024-12-26,30.0,30.0,29.8,29.9,105.0
NORTHRNINS,2024-12-24,30.1,30.1,28.8,29.2,4110.0
NORTHRNINS,2024-12-23,30.4,30.4,29.4,30.0,85.0
NORTHRNINS,2024-12-22,29.3,30.0,29.3,29.4,6461.0
