Trading_Code,Date,Open,High,Low,Close,Volume
NRBCBANK,2025-04-08,8.2,8.2,7.9,8.0,288230.0
NRBCBANK,2025-04-07,8.0,8.2,8.0,8.0,246070.0
NRBCBANK,2025-04-06,8.1,8.2,8.0,8.1,173210.0
NRBCBANK,2025-03-27,8.2,8.3,8.1,8.2,77601.0
NRBCBANK,2025-03-25,8.2,8.2,8.1,8.2,53995.0
NRBCBANK,2025-03-24,8.2,8.2,8.0,8.1,303044.0
NRBCBANK,2025-03-23,8.2,8.3,8.0,8.1,263999.0
NRBCBANK,2025-03-20,8.2,8.3,8.2,8.2,199744.0
NRBCBANK,2025-03-19,8.5,8.5,8.2,8.2,568305.0
NRBCBANK,2025-03-18,8.3,8.5,8.3,8.4,89591.0
NRBCBANK,2025-03-17,8.4,8.5,8.2,8.4,387839.0
NRBCBANK,2025-03-16,8.4,8.5,8.3,8.4,189573.0
NRBCBANK,2025-03-13,8.5,8.5,8.3,8.4,224117.0
NRBCBANK,2025-03-12,8.5,8.5,8.4,8.5,214654.0
NRBCBANK,2025-03-11,8.4,8.5,8.4,8.4,85857.0
NRBCBANK,2025-03-10,8.5,8.5,8.4,8.4,104177.0
NRBCBANK,2025-03-09,8.5,8.6,8.3,8.5,261876.0
NRBCBANK,2025-03-06,8.6,8.6,8.4,8.5,114658.0
NRBCBANK,2025-03-05,8.5,8.6,8.4,8.5,179551.0
NRBCBANK,2025-03-04,8.5,8.6,8.4,8.5,196259.0
NRBCBANK,2025-03-03,8.6,8.6,8.5,8.5,118622.0
NRBCBANK,2025-03-02,8.6,8.7,8.5,8.6,249216.0
NRBCBANK,2025-02-27,8.6,8.7,8.6,8.6,145561.0
NRBCBANK,2025-02-26,8.7,8.8,8.6,8.6,128392.0
NRBCBANK,2025-02-25,8.5,9.0,8.5,8.7,1080702.0
NRBCBANK,2025-02-24,8.5,8.6,8.4,8.5,174901.0
NRBCBANK,2025-02-23,8.5,8.6,8.4,8.5,248088.0
NRBCBANK,2025-02-20,8.4,8.6,8.4,8.5,160848.0
NRBCBANK,2025-02-19,8.5,8.5,8.4,8.4,80824.0
NRBCBANK,2025-02-18,8.6,8.6,8.4,8.4,376873.0
NRBCBANK,2025-02-17,8.5,8.7,8.5,8.5,104395.0
NRBCBANK,2025-02-16,8.5,8.7,8.5,8.7,276931.0
NRBCBANK,2025-02-13,8.5,8.7,8.5,8.6,270061.0
NRBCBANK,2025-02-12,8.5,8.6,8.5,8.5,235581.0
NRBCBANK,2025-02-11,8.5,8.6,8.4,8.5,219655.0
NRBCBANK,2025-02-10,8.3,8.5,8.3,8.5,367937.0
NRBCBANK,2025-02-09,8.4,8.5,8.3,8.4,349375.0
NRBCBANK,2025-02-06,8.2,8.5,8.2,8.4,599526.0
NRBCBANK,2025-02-05,8.2,8.3,8.1,8.2,439300.0
NRBCBANK,2025-02-04,8.3,8.3,8.1,8.2,177930.0
NRBCBANK,2025-02-03,8.4,8.4,8.2,8.3,242105.0
NRBCBANK,2025-02-02,8.3,8.4,8.2,8.2,220857.0
NRBCBANK,2025-01-30,8.3,8.4,8.2,8.2,242573.0
NRBCBANK,2025-01-29,8.2,8.3,8.1,8.2,66888.0
NRBCBANK,2025-01-28,8.3,8.3,8.2,8.2,105095.0
NRBCBANK,2025-01-27,8.3,8.4,8.0,8.2,217370.0
NRBCBANK,2025-01-26,8.4,8.4,8.2,8.3,111652.0
NRBCBANK,2025-01-23,8.3,8.4,8.3,8.3,60907.0
NRBCBANK,2025-01-22,8.3,8.4,8.2,8.3,239015.0
NRBCBANK,2025-01-21,8.4,8.4,8.2,8.3,156931.0
NRBCBANK,2025-01-20,8.4,8.4,8.2,8.2,323779.0
NRBCBANK,2025-01-19,8.4,8.4,8.2,8.2,156988.0
NRBCBANK,2025-01-16,8.4,8.4,8.2,8.3,216342.0
NRBCBANK,2025-01-15,8.5,8.5,8.3,8.3,135580.0
NRBCBANK,2025-01-14,8.3,8.5,8.2,8.3,264929.0
NRBCBANK,2025-01-13,8.5,8.5,8.3,8.3,194215.0
NRBCBANK,2025-01-12,8.6,8.6,8.3,8.4,338899.0
NRBCBANK,2025-01-09,8.7,8.7,8.5,8.6,361838.0
NRBCBANK,2025-01-08,8.8,8.8,8.6,8.7,134642.0
NRBCBANK,2025-01-07,8.7,8.9,8.6,8.7,541977.0
NRBCBANK,2025-01-06,8.6,8.6,8.5,8.5,150003.0
NRBCBANK,2025-01-05,8.6,8.7,8.5,8.6,199623.0
NRBCBANK,2025-01-02,8.5,8.7,8.4,8.7,565292.0
NRBCBANK,2025-01-01,8.5,8.5,8.3,8.5,85790.0
NRBCBANK,2024-12-30,8.4,8.5,8.3,8.3,218123.0
NRBCBANK,2024-12-29,8.5,8.6,8.3,8.3,531251.0
NRBCBANK,2024-12-26,8.4,8.5,8.4,8.5,43685.0
NRBCBANK,2024-12-24,8.5,8.6,8.4,8.4,158297.0
NRBCBANK,2024-12-23,8.5,8.6,8.4,8.5,120692.0
NRBCBANK,2024-12-22,8.5,8.6,8.5,8.5,115704.0
NRBCBANK,2024-12-19,8.6,8.6,8.5,8.5,264994.0
NRBCBANK,2024-12-18,8.7,8.7,8.6,8.6,152244.0
NRBCBANK,2024-12-17,8.8,8.8,8.6,8.6,291827.0
NRBCBANK,2024-12-15,8.6,8.7,8.6,8.6,134441.0
NRBCBANK,2024-12-12,8.7,8.7,8.6,8.6,121217.0
NRBCBANK,2024-12-11,8.8,8.8,8.6,8.7,255615.0
NRBCBANK,2024-12-10,8.8,8.8,8.6,8.7,223564.0
NRBCBANK,2024-12-09,8.8,8.8,8.6,8.6,278548.0
NRBCBANK,2024-12-08,8.9,8.9,8.6,8.7,104445.0
NRBCBANK,2024-12-05,8.8,8.9,8.7,8.8,111182.0
NRBCBANK,2024-12-04,8.8,8.9,8.7,8.8,267236.0
NRBCBANK,2024-12-03,8.9,8.9,8.7,8.8,262467.0
NRBCBANK,2024-12-02,8.9,9.1,8.8,8.9,392495.0
NRBCBANK,2024-12-01,9.0,9.0,8.8,8.9,240046.0
NRBCBANK,2024-11-28,8.8,9.1,8.8,9.0,431412.0
NRBCBANK,2024-11-27,8.8,9.0,8.7,8.9,415388.0
NRBCBANK,2024-11-26,8.7,8.9,8.7,8.7,156389.0
NRBCBANK,2024-11-25,8.9,8.9,8.7,8.8,217043.0
NRBCBANK,2024-11-24,8.9,8.9,8.7,8.8,292338.0
NRBCBANK,2024-11-21,8.9,8.9,8.8,8.8,294036.0
NRBCBANK,2024-11-20,8.8,9.0,8.7,8.9,208902.0
NRBCBANK,2024-11-19,8.8,8.9,8.7,8.8,294051.0
