Trading_Code,Date,Open,High,Low,Close,Volume
NTLTUBES,2025-04-08,80.0,80.0,78.0,78.3,103363.0
NTLTUBES,2025-04-07,83.0,83.0,78.5,78.9,37373.0
NTLTUBES,2025-04-06,79.0,81.0,79.0,80.4,105692.0
NTLTUBES,2025-03-27,79.7,79.7,78.1,79.3,39570.0
NTLTUBES,2025-03-25,80.0,80.4,78.0,78.2,64238.0
NTLTUBES,2025-03-24,78.1,80.0,77.6,79.5,56254.0
NTLTUBES,2025-03-23,80.4,80.4,77.5,78.2,73287.0
NTLTUBES,2025-03-20,80.0,80.0,79.2,79.5,63452.0
NTLTUBES,2025-03-19,81.9,81.9,79.3,79.5,70571.0
NTLTUBES,2025-03-18,80.6,82.4,80.0,80.3,146648.0
NTLTUBES,2025-03-17,83.1,83.1,80.3,80.7,90915.0
NTLTUBES,2025-03-16,83.0,83.9,82.0,82.7,132936.0
NTLTUBES,2025-03-13,82.0,84.8,82.0,82.8,368496.0
NTLTUBES,2025-03-12,79.0,82.3,79.0,81.4,183881.0
NTLTUBES,2025-03-11,79.8,79.8,78.9,79.1,60794.0
NTLTUBES,2025-03-10,79.5,79.8,78.8,79.2,62927.0
NTLTUBES,2025-03-09,79.1,80.0,78.9,79.2,76068.0
NTLTUBES,2025-03-06,79.9,80.3,78.5,78.8,67872.0
NTLTUBES,2025-03-05,79.2,80.6,79.1,79.4,74183.0
NTLTUBES,2025-03-04,80.3,81.2,79.3,79.5,41739.0
NTLTUBES,2025-03-03,81.7,83.0,80.2,80.6,127955.0
NTLTUBES,2025-03-02,79.8,82.0,79.8,81.7,132101.0
NTLTUBES,2025-02-27,78.9,80.2,78.8,79.4,58461.0
NTLTUBES,2025-02-26,79.9,80.1,78.7,78.9,63384.0
NTLTUBES,2025-02-25,79.2,80.0,78.8,79.0,73179.0
NTLTUBES,2025-02-24,80.0,80.0,79.1,79.2,57461.0
NTLTUBES,2025-02-23,80.1,81.8,79.7,80.0,83591.0
NTLTUBES,2025-02-20,79.7,80.8,79.4,80.0,63423.0
NTLTUBES,2025-02-19,79.0,80.0,78.9,79.1,51878.0
NTLTUBES,2025-02-18,80.1,81.2,79.4,79.7,99876.0
NTLTUBES,2025-02-17,80.1,80.6,79.2,80.1,79894.0
NTLTUBES,2025-02-16,78.8,79.6,78.5,78.9,62666.0
NTLTUBES,2025-02-13,80.0,81.6,78.3,78.6,117737.0
NTLTUBES,2025-02-12,82.3,82.4,80.0,80.5,95497.0
NTLTUBES,2025-02-11,77.8,84.0,77.8,82.1,171581.0
