Trading_Code,Date,Open,High,Low,Close,Volume
OCL,2013-10-01,29.4,29.7,29.3,29.5,16700.0
OCL,2013-09-01,29.5,29.9,29.4,29.7,26400.0
OCL,2013-08-01,29.9,29.9,29.5,29.6,17500.0
OCL,2013-07-01,30.1,30.1,29.5,29.5,9600.0
OCL,2013-06-01,29.6,30.3,29.6,30.1,28300.0
OCL,2013-03-01,29.0,29.9,29.0,29.6,19600.0
OCL,2013-02-01,29.3,29.6,29.2,29.3,14900.0
OCL,2013-01-14,29.2,29.9,29.1,29.6,86800.0
OCL,2013-01-13,29.0,29.6,29.0,29.3,29200.0
OCL,2013-01-01,30.7,30.7,29.4,29.6,13800.0
OCL,2012-12-30,30.4,30.5,29.5,29.9,22400.0
OCL,2012-12-27,29.2,30.7,29.2,30.3,64000.0
OCL,2012-12-26,28.8,29.4,28.8,29.2,21700.0
OCL,2012-12-24,29.5,29.5,28.5,28.6,22400.0
OCL,2012-12-23,29.5,29.9,28.9,29.0,58300.0
OCL,2012-12-20,29.5,30.3,29.2,29.4,42000.0
OCL,2012-12-19,29.3,30.0,29.1,29.4,94600.0
OCL,2012-12-18,28.6,29.3,28.3,28.6,19700.0
OCL,2012-12-17,29.0,29.5,28.7,28.8,21500.0
OCL,2012-12-13,28.1,28.5,28.0,28.3,12100.0
OCL,2012-12-12,29.1,29.1,28.2,28.5,9100.0
OCL,2012-12-11,32.0,33.8,32.0,32.6,41100.0
OCL,2012-12-09,40.2,40.5,38.5,39.6,214600.0
OCL,2012-12-08,41.0,42.0,40.3,41.2,16500.0
OCL,2012-12-07,37.3,40.3,37.3,39.5,7700.0
OCL,2012-12-06,47.4,48.0,47.0,47.3,5700.0
OCL,2012-12-04,60.3,61.5,59.3,60.9,155600.0
OCL,2012-12-03,55.5,58.0,55.4,57.4,16000.0
OCL,2012-12-02,48.0,52.5,48.0,52.2,47800.0
OCL,2012-12-01,67.3,68.0,64.6,65.3,30400.0
OCL,2012-11-29,30.0,30.7,28.9,30.3,26400.0
OCL,2012-11-28,29.8,29.8,28.0,28.2,15700.0
OCL,2012-11-26,29.5,29.9,28.2,28.5,21800.0
OCL,2012-11-22,31.0,31.0,29.8,29.9,18600.0
OCL,2012-11-21,29.8,30.6,29.8,30.3,33500.0
OCL,2012-11-20,32.0,32.0,30.5,31.2,17700.0
OCL,2012-11-19,32.0,33.0,31.9,32.0,13300.0
OCL,2012-11-18,33.5,33.5,32.7,33.0,10400.0
OCL,2012-11-15,32.4,33.0,32.3,32.9,42700.0
OCL,2012-11-14,33.0,33.6,32.2,32.4,32300.0
OCL,2012-11-13,31.9,33.7,31.5,33.3,31000.0
OCL,2012-11-12,27.1,28.9,27.1,28.7,6700.0
OCL,2012-11-11,34.4,34.5,33.3,33.4,28000.0
OCL,2012-11-10,37.5,38.2,37.5,37.7,53600.0
OCL,2012-11-09,38.9,40.1,38.6,39.7,156500.0
OCL,2012-11-07,38.0,40.0,35.4,38.0,12700.0
OCL,2012-11-06,47.5,48.2,47.1,47.8,12100.0
OCL,2012-11-04,59.4,61.0,58.4,58.7,65500.0
OCL,2012-11-03,56.6,56.6,55.3,55.5,5300.0
OCL,2012-11-01,66.1,69.7,66.1,67.1,35250.0
OCL,2012-10-31,37.0,37.8,36.9,37.5,21300.0
OCL,2012-10-30,38.2,38.2,37.5,37.6,46200.0
OCL,2012-10-23,36.6,39.8,36.3,38.0,271400.0
OCL,2012-10-22,36.6,37.0,36.5,36.6,87900.0
OCL,2012-10-21,37.6,37.9,36.5,36.8,188500.0
OCL,2012-10-18,37.5,38.2,37.3,37.9,59500.0
OCL,2012-10-17,38.2,38.2,37.5,37.6,29800.0
OCL,2012-10-16,38.1,38.9,37.7,38.0,41900.0
OCL,2012-10-15,37.8,37.8,36.8,37.4,15400.0
OCL,2012-10-14,37.6,38.0,36.6,37.2,42000.0
OCL,2012-10-12,27.8,28.6,27.7,27.9,34500.0
OCL,2012-10-10,39.0,39.2,37.9,38.1,132700.0
OCL,2012-10-09,39.1,40.2,37.9,38.4,168500.0
OCL,2012-10-07,38.9,39.8,37.5,38.0,15900.0
OCL,2012-10-06,49.6,49.6,48.2,48.5,2825.0
OCL,2012-10-05,54.0,55.8,54.0,55.4,15500.0
OCL,2012-10-04,57.8,59.1,57.0,58.5,50400.0
OCL,2012-10-01,70.0,70.0,66.0,66.9,47300.0
OCL,2012-09-30,41.4,42.4,39.4,39.8,494300.0
OCL,2012-09-27,41.4,43.3,41.4,41.8,208900.0
