Trading_Code,Date,Open,High,Low,Close,Volume
OIMEX,2025-04-08,28.4,28.6,28.0,28.5,1052363.0
OIMEX,2025-04-07,28.2,28.6,28.1,28.2,1165371.0
OIMEX,2025-04-06,27.8,28.2,27.4,28.0,736989.0
OIMEX,2025-03-27,27.9,28.2,27.7,28.0,483636.0
OIMEX,2025-03-25,27.1,28.1,27.1,27.8,1026103.0
OIMEX,2025-03-24,26.9,27.2,26.7,26.9,611791.0
OIMEX,2025-03-23,27.6,27.6,26.8,26.9,361722.0
OIMEX,2025-03-20,26.9,27.5,26.9,27.4,522781.0
OIMEX,2025-03-19,26.9,27.2,26.8,26.9,629726.0
OIMEX,2025-03-18,27.2,27.3,26.9,27.0,458111.0
OIMEX,2025-03-17,27.4,27.8,27.0,27.1,715410.0
OIMEX,2025-03-16,27.8,28.0,27.4,27.5,636940.0
OIMEX,2025-03-13,27.7,28.0,27.5,27.8,658679.0
OIMEX,2025-03-12,27.3,27.7,27.3,27.6,696129.0
OIMEX,2025-03-11,27.4,27.5,26.9,27.2,494718.0
OIMEX,2025-03-10,27.0,27.4,26.8,27.3,417773.0
OIMEX,2025-03-09,27.5,27.7,26.6,26.9,385951.0
OIMEX,2025-03-06,27.9,28.0,27.3,27.4,322362.0
OIMEX,2025-03-05,27.8,28.1,27.5,27.6,554240.0
OIMEX,2025-03-04,28.3,28.4,27.4,27.6,718397.0
OIMEX,2025-03-03,29.0,29.4,27.9,28.3,736385.0
OIMEX,2025-03-02,28.4,29.0,28.0,28.7,2318219.0
OIMEX,2025-02-27,27.6,28.5,27.6,28.3,1603873.0
OIMEX,2025-02-26,27.8,27.9,27.3,27.5,1268127.0
OIMEX,2025-02-25,27.8,28.1,27.5,27.6,786582.0
OIMEX,2025-02-24,28.0,28.3,27.6,27.8,1251215.0
OIMEX,2025-02-23,27.4,28.2,27.4,28.0,1264973.0
OIMEX,2025-02-20,27.4,27.8,27.0,27.2,1046027.0
OIMEX,2025-02-19,27.8,27.9,27.2,27.3,743819.0
OIMEX,2025-02-18,27.5,28.0,27.4,27.6,1307834.0
OIMEX,2025-02-17,27.0,27.6,26.9,27.4,735502.0
OIMEX,2025-02-16,27.0,27.2,26.8,27.0,563207.0
OIMEX,2025-02-13,26.6,27.2,26.5,27.0,647768.0
OIMEX,2025-02-12,27.1,27.2,26.5,26.6,845446.0
OIMEX,2025-02-11,27.5,27.7,27.0,27.1,960275.0
OIMEX,2025-02-10,27.7,28.0,27.1,27.3,947811.0
OIMEX,2025-02-09,27.8,28.2,27.4,27.6,670853.0
OIMEX,2025-02-06,27.4,27.8,27.2,27.5,1077542.0
OIMEX,2025-02-05,27.3,27.8,27.1,27.4,917043.0
OIMEX,2025-02-04,27.7,27.8,27.2,27.4,753742.0
OIMEX,2025-02-03,28.3,28.7,27.5,27.6,1377195.0
OIMEX,2025-02-02,28.2,28.4,27.5,28.0,1661784.0
OIMEX,2025-01-30,27.9,28.2,27.2,27.5,1294791.0
OIMEX,2025-01-29,27.0,28.2,27.0,27.6,1514574.0
OIMEX,2025-01-28,26.2,28.2,26.2,28.0,1553499.0
OIMEX,2025-01-27,27.3,27.5,25.7,26.2,1806766.0
OIMEX,2025-01-26,27.8,28.3,27.1,27.5,615808.0
OIMEX,2025-01-23,30.4,31.1,27.1,27.3,7593680.0
OIMEX,2025-01-22,29.7,30.4,29.6,30.1,1384740.0
OIMEX,2025-01-21,30.1,30.5,29.5,29.7,1657296.0
OIMEX,2025-01-20,29.9,30.3,29.5,29.8,1677088.0
OIMEX,2025-01-19,30.9,31.3,29.7,29.9,1701062.0
OIMEX,2025-01-16,29.2,30.9,29.2,30.5,3576126.0
OIMEX,2025-01-15,29.6,29.7,29.0,29.2,1219877.0
OIMEX,2025-01-14,28.7,29.6,28.6,29.2,2385659.0
OIMEX,2025-01-13,29.0,29.1,28.3,28.5,1000503.0
OIMEX,2025-01-12,28.2,29.3,27.9,28.7,3183720.0
OIMEX,2025-01-09,28.8,28.9,28.1,28.2,1428839.0
OIMEX,2025-01-08,28.5,29.2,28.3,28.5,2789458.0
OIMEX,2025-01-07,28.2,29.0,28.2,28.5,1443980.0
OIMEX,2025-01-06,30.5,30.5,28.6,28.7,3926400.0
OIMEX,2025-01-05,28.3,31.0,28.3,29.9,2654855.0
OIMEX,2025-01-02,28.8,29.1,28.6,28.8,1289215.0
OIMEX,2025-01-01,28.2,29.4,28.2,28.9,2177613.0
OIMEX,2024-12-30,28.0,28.8,28.0,28.2,1350311.0
OIMEX,2024-12-29,28.2,28.9,28.0,28.5,1250723.0
OIMEX,2024-12-26,28.8,29.4,28.1,28.7,3170050.0
OIMEX,2024-12-24,27.3,28.8,26.9,28.7,3077725.0
OIMEX,2024-12-23,27.3,27.7,26.9,27.1,1004171.0
OIMEX,2024-12-22,26.5,28.2,26.5,27.4,2191599.0
OIMEX,2024-12-19,26.3,27.3,26.3,27.0,2245886.0
OIMEX,2024-12-18,26.2,26.8,26.0,26.5,2557336.0
OIMEX,2024-12-17,25.5,26.7,25.5,26.4,1877548.0
OIMEX,2024-12-15,24.5,26.2,24.3,25.9,3232632.0
OIMEX,2024-12-12,24.0,24.5,23.9,24.4,797480.0
OIMEX,2024-12-11,24.7,24.8,23.9,24.0,683827.0
OIMEX,2024-12-10,24.1,24.8,23.9,24.7,1025052.0
OIMEX,2024-12-09,24.0,24.5,23.9,24.0,811624.0
OIMEX,2024-12-08,23.8,24.1,23.6,23.8,924671.0
OIMEX,2024-12-05,0.0,0.0,0.0,24.3,0.0
OIMEX,2024-12-04,25.3,25.3,24.1,24.3,1401596.0
OIMEX,2024-12-03,24.6,25.3,24.5,25.1,1484095.0
OIMEX,2024-12-02,24.6,24.9,24.4,24.5,1738249.0
OIMEX,2024-12-01,24.0,24.5,23.6,24.3,1043553.0
OIMEX,2024-11-28,24.6,24.7,23.9,24.0,1270695.0
OIMEX,2024-11-27,23.5,24.7,23.5,24.5,1288367.0
OIMEX,2024-11-26,23.8,23.8,23.3,23.4,811994.0
OIMEX,2024-11-25,23.3,23.7,23.2,23.5,875631.0
OIMEX,2024-11-24,23.2,23.8,22.9,23.1,932018.0
OIMEX,2024-11-21,24.6,24.7,23.4,23.6,922861.0
OIMEX,2024-11-20,24.5,24.9,24.4,24.5,1167865.0
OIMEX,2024-11-19,25.6,26.0,24.3,24.5,1501394.0
