Trading_Code,Date,Open,High,Low,Close,Volume
OLYMPIC,2025-04-08,145.1,154.9,145.1,149.6,166246.0
OLYMPIC,2025-04-07,146.9,146.9,145.4,145.6,34324.0
OLYMPIC,2025-04-06,147.0,147.6,144.0,144.4,40092.0
OLYMPIC,2025-03-27,149.0,149.0,146.9,147.2,16781.0
OLYMPIC,2025-03-25,145.2,148.1,145.0,147.9,24417.0
OLYMPIC,2025-03-24,146.4,147.6,146.0,146.1,14681.0
OLYMPIC,2025-03-23,145.0,147.5,144.5,146.8,8124.0
OLYMPIC,2025-03-20,147.4,147.4,146.0,146.0,17675.0
OLYMPIC,2025-03-19,147.0,147.2,146.3,146.6,7844.0
OLYMPIC,2025-03-18,145.0,147.9,144.4,146.8,34064.0
OLYMPIC,2025-03-17,144.0,146.8,144.0,145.0,10596.0
OLYMPIC,2025-03-16,145.1,145.4,144.5,144.7,12032.0
OLYMPIC,2025-03-13,144.5,146.5,144.5,145.9,10205.0
OLYMPIC,2025-03-12,145.9,146.9,145.9,146.3,18429.0
OLYMPIC,2025-03-11,150.5,150.5,146.0,146.4,23097.0
OLYMPIC,2025-03-10,145.2,146.0,144.0,144.7,15739.0
OLYMPIC,2025-03-09,146.3,146.3,145.0,145.1,73210.0
OLYMPIC,2025-03-06,146.9,147.5,146.0,146.3,18326.0
OLYMPIC,2025-03-05,147.9,147.9,145.0,145.9,18019.0
OLYMPIC,2025-03-04,147.1,147.8,145.8,146.3,10330.0
OLYMPIC,2025-03-03,147.8,148.0,146.5,146.7,11537.0
OLYMPIC,2025-03-02,146.6,148.1,146.1,147.0,17553.0
OLYMPIC,2025-02-27,147.3,148.5,145.1,146.0,48223.0
OLYMPIC,2025-02-26,146.5,147.8,146.5,147.1,11981.0
OLYMPIC,2025-02-25,147.5,149.4,146.1,147.0,26509.0
OLYMPIC,2025-02-24,149.9,150.4,147.0,147.5,46747.0
OLYMPIC,2025-02-23,149.9,149.9,148.0,149.0,18260.0
OLYMPIC,2025-02-20,152.0,152.0,148.4,148.5,18857.0
OLYMPIC,2025-02-19,151.5,151.5,150.0,150.3,15356.0
OLYMPIC,2025-02-18,147.0,152.3,147.0,151.8,99721.0
OLYMPIC,2025-02-17,150.6,150.6,145.1,146.1,45215.0
OLYMPIC,2025-02-16,150.0,150.7,145.0,148.1,33882.0
OLYMPIC,2025-02-13,149.8,149.8,148.6,149.1,16236.0
OLYMPIC,2025-02-12,149.9,149.9,148.8,149.2,10427.0
OLYMPIC,2025-02-11,150.9,150.9,149.3,150.1,13610.0
OLYMPIC,2025-02-10,151.0,151.0,149.1,149.4,29577.0
OLYMPIC,2025-02-09,149.4,151.0,149.1,149.2,45696.0
OLYMPIC,2025-02-06,151.8,151.8,149.2,149.6,32599.0
OLYMPIC,2025-02-05,149.7,151.9,149.0,149.7,17348.0
OLYMPIC,2025-02-04,151.9,151.9,149.3,149.7,25747.0
OLYMPIC,2025-02-03,153.0,153.0,149.5,149.9,21365.0
OLYMPIC,2025-02-02,153.0,153.0,149.1,151.1,35289.0
OLYMPIC,2025-01-30,153.3,154.4,152.3,153.7,22202.0
OLYMPIC,2025-01-29,154.0,156.8,152.3,153.6,47422.0
OLYMPIC,2025-01-28,151.9,154.3,151.9,154.0,36036.0
OLYMPIC,2025-01-27,150.9,153.8,150.5,152.5,19196.0
OLYMPIC,2025-01-26,152.0,152.7,150.3,150.9,28361.0
OLYMPIC,2025-01-23,152.4,153.0,151.1,152.4,25694.0
OLYMPIC,2025-01-22,154.8,154.8,151.5,151.8,29739.0
OLYMPIC,2025-01-21,154.2,155.6,152.3,152.8,140060.0
OLYMPIC,2025-01-20,153.3,155.0,153.3,153.9,28797.0
OLYMPIC,2025-01-19,152.6,154.6,152.6,153.4,35413.0
OLYMPIC,2025-01-16,155.2,155.6,150.0,151.6,68485.0
OLYMPIC,2025-01-15,156.4,158.4,154.3,155.6,37746.0
OLYMPIC,2025-01-14,154.3,156.1,154.3,155.0,33798.0
OLYMPIC,2025-01-13,153.0,156.4,153.0,154.3,36974.0
OLYMPIC,2025-01-12,154.7,156.9,152.5,153.2,29465.0
OLYMPIC,2025-01-09,154.0,156.0,153.8,154.7,25752.0
OLYMPIC,2025-01-08,153.5,155.8,153.0,153.9,17377.0
OLYMPIC,2025-01-07,156.2,156.2,152.0,153.6,61107.0
OLYMPIC,2025-01-06,156.7,156.7,154.6,155.1,17830.0
OLYMPIC,2025-01-05,155.0,157.8,154.6,155.7,13980.0
OLYMPIC,2025-01-02,155.7,157.5,154.9,155.0,80888.0
OLYMPIC,2025-01-01,158.0,158.8,155.7,156.2,26436.0
OLYMPIC,2024-12-30,155.3,158.8,155.3,158.0,30987.0
OLYMPIC,2024-12-29,158.0,159.6,155.5,156.0,68539.0
OLYMPIC,2024-12-26,154.1,158.0,154.1,157.7,41318.0
OLYMPIC,2024-12-24,155.5,156.3,154.2,155.6,17199.0
