Trading_Code,Date,Open,High,Low,Close,Volume
ORIONPHARM,2025-04-08,33.0,33.0,32.0,32.2,416985.0
ORIONPHARM,2025-04-07,33.0,34.2,32.6,32.7,830910.0
ORIONPHARM,2025-04-06,32.0,33.0,31.2,32.5,508097.0
ORIONPHARM,2025-03-27,31.4,32.7,31.3,32.2,893629.0
ORIONPHARM,2025-03-25,31.2,32.0,30.8,31.2,424606.0
ORIONPHARM,2025-03-24,30.7,31.3,30.7,30.9,238520.0
ORIONPHARM,2025-03-23,30.7,31.4,30.0,30.4,465924.0
ORIONPHARM,2025-03-20,31.2,31.4,30.5,30.7,370761.0
ORIONPHARM,2025-03-19,30.8,31.2,30.7,30.9,172228.0
ORIONPHARM,2025-03-18,30.0,31.4,30.0,30.7,377159.0
ORIONPHARM,2025-03-17,30.3,30.6,30.1,30.4,293515.0
ORIONPHARM,2025-03-16,30.7,30.7,30.1,30.3,476381.0
ORIONPHARM,2025-03-13,30.9,30.9,30.6,30.7,109719.0
ORIONPHARM,2025-03-12,30.5,31.1,30.5,30.6,172503.0
ORIONPHARM,2025-03-11,30.8,31.2,30.5,30.6,211781.0
ORIONPHARM,2025-03-10,30.9,31.1,30.4,30.8,239949.0
ORIONPHARM,2025-03-09,31.2,31.2,30.5,30.6,230574.0
ORIONPHARM,2025-03-06,31.4,31.4,30.9,30.9,185208.0
ORIONPHARM,2025-03-05,31.4,31.4,31.0,31.2,271078.0
ORIONPHARM,2025-03-04,31.5,31.8,30.8,30.9,480937.0
ORIONPHARM,2025-03-03,32.7,32.7,31.8,31.9,338036.0
ORIONPHARM,2025-03-02,32.7,33.5,32.4,32.6,528813.0
ORIONPHARM,2025-02-27,30.9,33.5,30.8,32.6,1394394.0
ORIONPHARM,2025-02-26,31.3,31.6,30.6,30.9,399794.0
ORIONPHARM,2025-02-25,31.0,31.7,31.0,31.2,575874.0
ORIONPHARM,2025-02-24,29.6,31.1,29.6,30.7,679956.0
ORIONPHARM,2025-02-23,29.9,29.9,29.2,29.5,408836.0
ORIONPHARM,2025-02-20,30.0,30.2,29.7,29.8,238864.0
ORIONPHARM,2025-02-19,30.6,30.6,29.7,29.9,319698.0
ORIONPHARM,2025-02-18,31.0,31.1,30.2,30.4,715574.0
ORIONPHARM,2025-02-17,31.1,31.5,30.9,31.1,269698.0
ORIONPHARM,2025-02-16,31.0,31.1,30.9,31.0,209345.0
ORIONPHARM,2025-02-13,31.0,31.1,30.9,31.0,314451.0
ORIONPHARM,2025-02-12,31.2,31.6,31.0,31.1,333412.0
ORIONPHARM,2025-02-11,31.0,31.6,30.9,31.2,341624.0
ORIONPHARM,2025-02-10,30.7,31.1,30.6,30.9,366508.0
ORIONPHARM,2025-02-09,30.6,31.1,30.5,30.8,271042.0
ORIONPHARM,2025-02-06,30.9,31.6,30.9,31.0,519670.0
ORIONPHARM,2025-02-05,30.0,30.9,28.5,30.7,873391.0
ORIONPHARM,2025-02-04,31.6,32.0,31.2,31.3,762030.0
ORIONPHARM,2025-02-03,31.6,32.4,31.4,31.6,1330159.0
ORIONPHARM,2025-02-02,32.0,32.0,31.2,31.5,509394.0
