Trading_Code,Date,Open,High,Low,Close,Volume
PADMACEM,2010-12-08,19.3,20.1,19.2,19.8,95000.0
PADMACEM,2010-12-07,17.1,17.1,16.1,16.6,97500.0
PADMACEM,2010-12-05,19.5,20.4,19.3,19.4,259500.0
PADMACEM,2010-12-04,23.3,23.9,23.3,23.4,276500.0
PADMACEM,2010-12-01,26.2,28.0,26.2,27.8,534500.0
PADMACEM,2010-11-08,19.1,20.2,19.1,19.9,235500.0
PADMACEM,2010-11-07,17.1,18.0,17.1,17.3,71000.0
PADMACEM,2010-11-05,20.0,20.2,19.7,19.7,253500.0
PADMACEM,2010-11-04,22.9,23.8,22.7,23.5,344000.0
PADMACEM,2010-11-03,22.4,23.6,22.2,22.9,287000.0
PADMACEM,2010-11-02,23.3,23.6,22.9,23.0,250000.0
PADMACEM,2010-11-01,26.0,26.7,25.9,26.3,455500.0
PADMACEM,2010-10-08,21.3,21.6,19.3,19.7,294000.0
PADMACEM,2010-10-06,18.5,18.5,17.7,17.9,145000.0
PADMACEM,2010-10-05,20.3,20.3,19.6,19.8,175500.0
PADMACEM,2010-10-03,21.3,22.4,21.0,22.3,204000.0
PADMACEM,2010-10-02,24.0,24.0,23.1,23.2,166500.0
PADMACEM,2010-10-01,25.7,26.2,25.6,25.9,478500.0
PADMACEM,2010-09-30,30.0,31.9,29.7,30.6,368000.0
PADMACEM,2010-09-29,28.3,29.4,26.2,28.8,596500.0
PADMACEM,2010-09-28,33.0,33.0,28.0,29.2,695500.0
PADMACEM,2010-09-27,33.0,35.0,30.1,31.1,854500.0
PADMACEM,2010-09-26,29.0,32.5,29.0,32.1,1213000.0
PADMACEM,2010-09-23,28.2,29.2,28.0,28.8,967000.0
PADMACEM,2010-09-22,26.9,27.9,25.6,27.4,1169500.0
PADMACEM,2010-09-21,26.8,27.4,25.5,26.2,846500.0
PADMACEM,2010-09-20,27.5,27.5,24.4,26.3,999000.0
PADMACEM,2010-09-19,25.5,27.5,25.5,26.9,622500.0
PADMACEM,2010-09-16,21.8,25.5,21.8,25.2,1845500.0
PADMACEM,2010-09-15,21.5,22.5,21.5,22.0,478500.0
PADMACEM,2010-09-14,20.7,21.5,20.7,21.3,281000.0
PADMACEM,2010-09-13,21.0,21.3,20.1,21.0,192000.0
PADMACEM,2010-09-08,21.0,22.0,20.5,21.0,543500.0
PADMACEM,2010-09-06,18.5,18.5,18.0,18.1,151500.0
PADMACEM,2010-09-05,20.5,20.7,20.2,20.2,163000.0
PADMACEM,2010-09-03,20.9,21.2,20.8,20.9,131500.0
PADMACEM,2010-09-02,23.3,23.9,23.0,23.5,197000.0
PADMACEM,2010-08-31,19.0,19.5,18.8,19.1,155500.0
PADMACEM,2010-08-30,19.0,19.4,18.9,19.0,183000.0
PADMACEM,2010-08-29,18.9,19.1,18.8,18.9,126000.0
PADMACEM,2010-08-26,19.4,19.4,18.7,18.8,215500.0
PADMACEM,2010-08-25,18.3,19.4,18.2,18.7,255500.0
PADMACEM,2010-08-24,18.3,18.9,18.2,18.3,181500.0
PADMACEM,2010-08-23,18.7,18.9,18.5,18.6,159500.0
PADMACEM,2010-08-22,18.4,19.3,18.4,18.7,143500.0
PADMACEM,2010-08-19,19.0,19.2,18.5,18.6,148500.0
PADMACEM,2010-08-18,19.8,19.8,18.0,18.9,164000.0
PADMACEM,2010-08-17,18.6,18.8,18.1,18.5,120000.0
PADMACEM,2010-08-16,19.6,19.8,18.6,18.9,154500.0
PADMACEM,2010-08-09,22.0,22.3,21.0,21.2,304500.0
PADMACEM,2010-08-08,19.9,21.0,19.7,20.8,543000.0
PADMACEM,2010-08-07,18.9,18.9,17.1,17.9,124000.0
PADMACEM,2010-08-06,18.0,18.6,18.0,18.1,157000.0
PADMACEM,2010-08-04,22.6,22.9,22.4,22.6,122500.0
PADMACEM,2010-08-03,20.1,21.1,20.1,20.9,145000.0
PADMACEM,2010-08-02,23.1,24.0,23.1,23.3,189000.0
PADMACEM,2010-07-29,16.7,17.0,16.7,16.9,77500.0
PADMACEM,2010-07-27,17.2,17.2,16.7,16.7,101500.0
PADMACEM,2010-07-26,17.1,17.2,16.7,16.8,104000.0
PADMACEM,2010-07-25,16.5,17.3,16.5,16.8,125500.0
PADMACEM,2010-07-22,16.7,17.4,16.6,16.9,125000.0
