Trading_Code,Date,Open,High,Low,Close,Volume
PADMALIFE,2025-04-08,25.6,25.6,22.9,23.2,329989.0
PADMALIFE,2025-04-07,25.8,26.6,24.9,25.2,161920.0
PADMALIFE,2025-04-06,24.0,26.0,24.0,25.8,206808.0
PADMALIFE,2025-03-27,23.3,25.0,22.8,24.1,92348.0
PADMALIFE,2025-03-25,25.0,25.0,23.3,23.8,94947.0
PADMALIFE,2025-03-24,26.0,27.4,24.6,25.0,200219.0
PADMALIFE,2025-03-23,24.2,26.0,24.2,25.4,255075.0
PADMALIFE,2025-03-20,22.7,24.1,22.3,23.9,278866.0
PADMALIFE,2025-03-19,20.2,22.0,19.3,22.0,226599.0
PADMALIFE,2025-03-18,21.0,21.1,19.9,20.0,63492.0
PADMALIFE,2025-03-17,20.9,21.1,20.5,20.7,15922.0
PADMALIFE,2025-03-16,20.7,21.7,20.5,20.9,24094.0
PADMALIFE,2025-03-13,20.7,21.5,20.4,21.0,26525.0
PADMALIFE,2025-03-12,21.4,21.4,20.7,20.8,131084.0
PADMALIFE,2025-03-11,20.9,21.5,20.8,21.1,37539.0
PADMALIFE,2025-03-10,20.4,22.0,19.9,20.4,53040.0
PADMALIFE,2025-03-09,20.6,20.7,20.0,20.1,30368.0
PADMALIFE,2025-03-06,20.9,21.3,20.6,20.9,79405.0
PADMALIFE,2025-03-05,20.0,21.5,20.0,20.9,79506.0
PADMALIFE,2025-03-04,19.6,21.0,19.6,20.4,93605.0
PADMALIFE,2025-03-03,20.3,21.0,19.9,20.0,46234.0
PADMALIFE,2025-03-02,19.0,21.2,19.0,20.5,112194.0
PADMALIFE,2025-02-27,20.3,21.0,19.3,20.5,63427.0
PADMALIFE,2025-02-26,19.0,20.5,18.2,19.3,21515.0
PADMALIFE,2025-02-25,19.2,20.8,19.2,20.1,145410.0
PADMALIFE,2025-02-24,20.2,20.6,19.2,19.5,168893.0
PADMALIFE,2025-02-23,17.7,19.6,17.7,19.6,317018.0
PADMALIFE,2025-02-20,18.0,18.8,17.8,17.9,9800.0
PADMALIFE,2025-02-19,18.2,19.2,17.2,18.3,202911.0
PADMALIFE,2025-02-18,16.6,18.6,16.6,18.2,223655.0
PADMALIFE,2025-02-17,17.1,17.4,17.1,17.2,9223.0
PADMALIFE,2025-02-16,17.1,18.2,16.8,17.6,28305.0
PADMALIFE,2025-02-13,18.1,18.1,16.9,17.3,15719.0
PADMALIFE,2025-02-12,18.2,18.2,17.5,17.6,10080.0
PADMALIFE,2025-02-11,16.7,18.0,16.7,18.0,34999.0
PADMALIFE,2025-02-10,17.8,17.8,16.8,16.8,40313.0
PADMALIFE,2025-02-09,17.3,18.3,17.3,17.8,37225.0
PADMALIFE,2025-02-06,18.8,18.9,17.0,18.5,82672.0
PADMALIFE,2025-02-05,18.0,18.1,17.0,18.0,309009.0
PADMALIFE,2025-02-04,15.1,16.5,15.0,16.5,156480.0
PADMALIFE,2025-02-03,15.0,16.1,14.8,15.0,15884.0
PADMALIFE,2025-02-02,13.8,15.5,13.8,15.0,21135.0
PADMALIFE,2025-01-30,15.4,15.4,14.8,15.1,13715.0
PADMALIFE,2025-01-29,15.2,15.4,14.9,15.0,23068.0
PADMALIFE,2025-01-28,15.5,15.5,14.9,15.0,14501.0
PADMALIFE,2025-01-27,14.9,15.2,14.9,15.1,31952.0
