Trading_Code,Date,Open,High,Low,Close,Volume
PADMAOIL,2025-04-08,181.6,182.2,181.5,182.0,58007.0
PADMAOIL,2025-04-07,182.0,182.5,181.5,182.0,44278.0
PADMAOIL,2025-04-06,183.0,183.0,180.1,182.0,29496.0
PADMAOIL,2025-03-27,181.6,182.3,180.8,181.7,52681.0
PADMAOIL,2025-03-25,182.7,182.7,180.4,180.8,12075.0
PADMAOIL,2025-03-24,181.0,182.7,179.0,180.1,98146.0
PADMAOIL,2025-03-23,181.5,183.1,179.8,180.3,87102.0
PADMAOIL,2025-03-20,183.0,183.0,180.9,181.2,14877.0
PADMAOIL,2025-03-19,183.0,183.0,181.9,182.1,9038.0
PADMAOIL,2025-03-18,182.9,183.0,182.5,183.0,16652.0
PADMAOIL,2025-03-17,182.1,183.0,181.3,182.6,36513.0
PADMAOIL,2025-03-16,183.0,183.0,182.0,182.1,11343.0
PADMAOIL,2025-03-13,183.0,183.4,181.6,183.1,36776.0
PADMAOIL,2025-03-12,183.8,183.8,181.5,182.1,13782.0
PADMAOIL,2025-03-11,181.6,183.0,181.5,183.0,2870.0
PADMAOIL,2025-03-10,181.6,182.5,181.4,182.1,12129.0
PADMAOIL,2025-03-09,181.8,183.6,181.5,181.8,19097.0
PADMAOIL,2025-03-06,182.0,183.7,182.0,182.3,10273.0
PADMAOIL,2025-03-05,182.0,183.4,181.0,183.1,32389.0
PADMAOIL,2025-03-04,182.6,183.0,180.2,181.8,45627.0
PADMAOIL,2025-03-03,184.8,184.8,182.0,182.5,51659.0
PADMAOIL,2025-03-02,182.9,183.2,182.8,183.0,12398.0
PADMAOIL,2025-02-27,183.2,184.9,182.0,182.8,42002.0
PADMAOIL,2025-02-26,182.8,184.1,182.6,183.0,28297.0
PADMAOIL,2025-02-25,183.3,184.3,182.0,182.6,87748.0
PADMAOIL,2025-02-24,185.0,185.0,183.2,183.3,24623.0
PADMAOIL,2025-02-23,185.0,185.0,182.0,183.9,22554.0
PADMAOIL,2025-02-20,185.0,185.3,180.0,182.0,204884.0
PADMAOIL,2025-02-19,186.5,186.6,184.5,184.7,16695.0
PADMAOIL,2025-02-18,183.0,187.0,183.0,185.6,69198.0
PADMAOIL,2025-02-17,186.9,187.0,182.6,186.4,98295.0
PADMAOIL,2025-02-16,186.0,187.7,185.1,186.9,8383.0
PADMAOIL,2025-02-13,183.3,186.9,182.0,185.7,52143.0
PADMAOIL,2025-02-12,185.5,186.8,185.2,185.8,15721.0
PADMAOIL,2025-02-11,184.3,187.0,182.0,185.5,45672.0
PADMAOIL,2025-02-10,186.6,186.6,184.9,185.6,28477.0
PADMAOIL,2025-02-09,183.3,187.9,182.1,185.2,19483.0
PADMAOIL,2025-02-06,185.1,186.8,182.2,185.4,45381.0
PADMAOIL,2025-02-05,186.3,187.6,182.1,185.6,29318.0
PADMAOIL,2025-02-04,188.7,188.7,186.0,187.5,22215.0
PADMAOIL,2025-02-03,187.2,188.0,186.0,187.4,17994.0
PADMAOIL,2025-02-02,188.0,188.3,186.5,187.6,26302.0
PADMAOIL,2025-01-30,188.7,188.7,187.6,188.0,39272.0
PADMAOIL,2025-01-29,188.4,189.0,188.0,188.6,43278.0
PADMAOIL,2025-01-28,189.0,190.7,187.8,188.3,44262.0
PADMAOIL,2025-01-27,187.1,188.7,187.0,188.1,24165.0
PADMAOIL,2025-01-26,187.0,188.5,186.5,187.8,34995.0
PADMAOIL,2025-01-23,188.0,188.0,185.4,187.1,44095.0
PADMAOIL,2025-01-22,186.5,187.7,185.0,187.0,43627.0
PADMAOIL,2025-01-21,188.6,188.6,185.1,186.7,45466.0
PADMAOIL,2025-01-20,187.9,188.5,186.4,187.7,13709.0
PADMAOIL,2025-01-19,186.0,187.5,186.0,187.4,33377.0
PADMAOIL,2025-01-16,186.0,188.0,184.0,186.0,23064.0
PADMAOIL,2025-01-15,184.5,186.0,184.5,185.1,31721.0
PADMAOIL,2025-01-14,189.7,189.7,184.4,184.6,22701.0
PADMAOIL,2025-01-13,186.0,189.0,184.0,188.1,50022.0
PADMAOIL,2025-01-12,186.1,188.8,186.0,187.7,7460.0
PADMAOIL,2025-01-09,188.0,188.0,186.3,186.8,21295.0
PADMAOIL,2025-01-08,190.0,190.0,186.0,186.3,33750.0
