Trading_Code,Date,Open,High,Low,Close,Volume
PADMAPRINT,2009-12-04,11.3,12.6,11.3,12.3,3800.0
PADMAPRINT,2009-12-03,9.5,10.4,9.5,10.2,1300.0
PADMAPRINT,2009-12-02,6.1,6.1,6.0,6.0,3000.0
PADMAPRINT,2009-12-01,4.7,4.8,4.7,4.7,400.0
PADMAPRINT,2009-11-06,10.5,10.5,10.5,10.5,1000.0
PADMAPRINT,2009-11-05,11.8,11.8,11.0,11.4,200.0
PADMAPRINT,2009-11-03,10.5,10.5,9.0,9.3,7200.0
PADMAPRINT,2009-11-02,6.2,6.2,6.2,6.2,2300.0
PADMAPRINT,2009-10-06,9.6,9.6,9.6,9.6,100.0
PADMAPRINT,2009-10-05,11.0,11.0,10.8,10.8,2000.0
PADMAPRINT,2009-10-02,6.8,6.8,6.8,6.8,500.0
PADMAPRINT,2009-09-06,10.7,10.7,10.6,10.6,900.0
PADMAPRINT,2009-09-04,11.0,11.8,11.0,11.4,2200.0
PADMAPRINT,2009-09-03,11.4,11.4,10.6,11.1,1000.0
PADMAPRINT,2009-08-06,10.9,10.9,10.6,10.6,1500.0
PADMAPRINT,2009-08-04,9.8,11.1,9.8,10.6,6300.0
PADMAPRINT,2009-08-03,10.7,12.0,10.7,11.2,1400.0
PADMAPRINT,2009-08-02,7.5,7.7,6.9,7.4,7600.0
PADMAPRINT,2009-07-05,10.1,10.1,10.1,10.1,400.0
PADMAPRINT,2009-07-04,9.4,9.4,9.3,9.3,2000.0
PADMAPRINT,2009-07-01,4.7,4.7,4.7,4.7,200.0
PADMAPRINT,2009-06-30,16.0,19.0,16.0,17.0,4900.0
PADMAPRINT,2009-06-29,16.2,16.2,16.2,16.2,700.0
PADMAPRINT,2009-06-28,17.0,18.4,16.5,17.6,7200.0
PADMAPRINT,2009-06-25,16.9,18.4,16.8,17.0,3400.0
PADMAPRINT,2009-06-24,13.4,16.0,13.4,15.4,11300.0
PADMAPRINT,2009-06-23,14.0,14.0,13.4,13.4,6400.0
PADMAPRINT,2009-06-22,13.0,13.8,13.0,13.4,4200.0
PADMAPRINT,2009-06-21,13.1,13.7,13.1,13.5,7100.0
PADMAPRINT,2009-06-18,13.5,14.0,13.0,13.9,11100.0
PADMAPRINT,2009-06-17,11.2,13.0,11.2,12.4,10100.0
PADMAPRINT,2009-06-16,11.4,11.5,11.4,11.4,1600.0
PADMAPRINT,2009-06-15,10.7,10.7,10.7,10.7,1200.0
PADMAPRINT,2009-06-14,11.1,11.1,11.1,11.1,1000.0
PADMAPRINT,2009-06-05,10.5,10.6,10.0,10.3,3700.0
PADMAPRINT,2009-06-04,9.4,9.4,9.3,9.3,2500.0
