Trading_Code,Date,Open,High,Low,Close,Volume
PARAMOUNT,2025-04-08,39.2,39.4,38.3,38.4,33640.0
PARAMOUNT,2025-04-07,38.8,39.1,37.3,38.8,180353.0
PARAMOUNT,2025-04-06,38.4,38.7,37.3,37.4,85205.0
PARAMOUNT,2025-03-27,39.0,39.0,38.2,38.5,25962.0
PARAMOUNT,2025-03-25,38.9,39.6,38.4,38.8,86389.0
PARAMOUNT,2025-03-24,38.9,38.9,37.3,38.3,106102.0
PARAMOUNT,2025-03-23,40.0,40.0,37.4,37.7,87906.0
PARAMOUNT,2025-03-20,41.3,41.3,38.7,39.0,339564.0
PARAMOUNT,2025-03-19,42.6,42.7,40.8,41.2,286546.0
PARAMOUNT,2025-03-18,39.1,42.6,39.1,42.0,507488.0
PARAMOUNT,2025-03-17,41.4,41.6,39.7,40.4,334185.0
PARAMOUNT,2025-03-16,42.0,42.8,39.2,41.7,786433.0
PARAMOUNT,2025-03-13,37.5,40.5,37.3,40.5,709420.0
PARAMOUNT,2025-03-12,36.2,37.8,35.7,36.9,582632.0
PARAMOUNT,2025-03-11,35.9,36.6,35.1,35.6,180432.0
PARAMOUNT,2025-03-10,35.5,35.5,34.4,35.1,39283.0
PARAMOUNT,2025-03-09,35.7,35.7,34.5,34.8,170630.0
PARAMOUNT,2025-03-06,36.9,36.9,35.8,36.0,69075.0
PARAMOUNT,2025-03-05,36.8,37.2,36.3,36.5,33948.0
PARAMOUNT,2025-03-04,37.1,37.1,36.7,36.8,20032.0
PARAMOUNT,2025-03-03,37.9,37.9,36.8,36.9,28582.0
PARAMOUNT,2025-03-02,37.5,37.9,37.1,37.2,48134.0
PARAMOUNT,2025-02-27,38.7,38.7,37.5,37.6,108856.0
PARAMOUNT,2025-02-26,39.0,39.0,37.9,38.1,75190.0
PARAMOUNT,2025-02-25,38.4,39.6,38.3,38.6,128063.0
PARAMOUNT,2025-02-24,38.0,38.4,37.8,38.3,142850.0
PARAMOUNT,2025-02-23,36.8,37.8,36.8,37.6,107311.0
PARAMOUNT,2025-02-20,37.4,37.4,36.4,36.6,18402.0
PARAMOUNT,2025-02-19,37.5,37.5,36.6,36.8,36257.0
PARAMOUNT,2025-02-18,36.8,37.4,36.8,37.1,40994.0
PARAMOUNT,2025-02-17,36.9,37.1,36.7,36.8,49370.0
PARAMOUNT,2025-02-16,37.9,37.9,36.5,36.8,29750.0
PARAMOUNT,2025-02-13,37.3,37.3,36.5,36.9,59386.0
PARAMOUNT,2025-02-12,37.6,37.6,36.8,36.8,30359.0
PARAMOUNT,2025-02-11,38.2,38.2,36.8,37.0,64421.0
PARAMOUNT,2025-02-10,37.4,37.6,37.0,37.1,94273.0
PARAMOUNT,2025-02-09,37.7,37.7,37.0,37.1,48433.0
PARAMOUNT,2025-02-06,37.8,38.0,37.0,37.2,112720.0
PARAMOUNT,2025-02-05,38.0,38.3,37.4,37.7,135632.0
PARAMOUNT,2025-02-04,38.8,39.0,37.6,37.9,118180.0
PARAMOUNT,2025-02-03,39.3,39.5,38.6,38.7,73758.0
PARAMOUNT,2025-02-02,39.0,39.4,38.8,39.1,42463.0
PARAMOUNT,2025-01-30,39.2,39.5,38.7,39.0,67464.0
PARAMOUNT,2025-01-29,39.4,39.8,39.0,39.2,26251.0
PARAMOUNT,2025-01-28,39.1,39.6,38.5,39.1,59704.0
PARAMOUNT,2025-01-27,38.8,39.5,38.4,38.7,60936.0
PARAMOUNT,2025-01-26,38.8,39.1,38.6,38.6,41957.0
PARAMOUNT,2025-01-23,39.9,40.2,38.5,38.7,82670.0
PARAMOUNT,2025-01-22,40.4,40.6,39.7,39.9,85135.0
PARAMOUNT,2025-01-21,39.7,41.6,39.7,40.0,167369.0
PARAMOUNT,2025-01-20,40.2,40.5,39.4,39.9,100663.0
