Trading_Code,Date,Open,High,Low,Close,Volume
PENINSULA,2025-04-08,11.9,11.9,11.0,11.1,196858.0
PENINSULA,2025-04-07,11.9,11.9,11.1,11.7,54438.0
PENINSULA,2025-04-06,11.8,12.0,11.4,11.6,44388.0
PENINSULA,2025-03-27,11.8,12.0,11.7,11.8,65803.0
PENINSULA,2025-03-25,12.0,12.0,11.8,11.8,41751.0
PENINSULA,2025-03-24,11.9,11.9,11.6,11.9,16871.0
PENINSULA,2025-03-23,12.1,12.1,11.6,11.8,26764.0
PENINSULA,2025-03-20,12.0,12.1,11.7,11.8,55297.0
PENINSULA,2025-03-19,12.2,12.2,11.8,11.9,153893.0
PENINSULA,2025-03-18,12.2,12.3,11.8,11.9,66553.0
PENINSULA,2025-03-17,12.4,12.4,11.8,11.9,97171.0
PENINSULA,2025-03-16,12.5,12.5,12.1,12.1,109107.0
PENINSULA,2025-03-13,12.1,12.4,12.1,12.2,61886.0
PENINSULA,2025-03-12,12.3,12.3,11.9,12.1,44024.0
PENINSULA,2025-03-11,12.6,12.6,11.9,11.9,70551.0
PENINSULA,2025-03-10,11.8,12.5,11.8,12.1,52123.0
PENINSULA,2025-03-09,12.7,12.7,12.1,12.2,65998.0
PENINSULA,2025-03-06,12.5,12.8,12.3,12.5,35152.0
PENINSULA,2025-03-05,12.8,12.8,12.1,12.3,173341.0
PENINSULA,2025-03-04,12.9,13.0,12.4,12.5,190476.0
PENINSULA,2025-03-03,13.0,13.2,12.8,12.9,121193.0
PENINSULA,2025-03-02,13.6,14.7,13.2,13.3,409441.0
PENINSULA,2025-02-27,12.5,13.6,12.5,13.6,1136549.0
PENINSULA,2025-02-26,12.3,12.7,12.3,12.4,437951.0
PENINSULA,2025-02-25,11.8,12.5,11.8,12.1,456677.0
PENINSULA,2025-02-24,11.7,12.0,11.7,11.7,212292.0
PENINSULA,2025-02-23,11.7,12.1,11.4,11.6,312696.0
PENINSULA,2025-02-20,11.5,11.7,11.3,11.6,117412.0
PENINSULA,2025-02-19,11.4,11.5,11.2,11.3,58706.0
PENINSULA,2025-02-18,11.6,11.8,11.3,11.6,348196.0
PENINSULA,2025-02-17,10.9,11.8,10.9,11.6,607562.0
PENINSULA,2025-02-16,10.9,11.3,10.7,10.8,231961.0
PENINSULA,2025-02-13,11.0,11.1,10.4,10.6,276834.0
PENINSULA,2025-02-12,11.2,11.2,10.5,10.8,248639.0
PENINSULA,2025-02-11,10.9,11.1,10.8,10.9,212948.0
PENINSULA,2025-02-10,11.7,11.7,10.7,10.8,88791.0
PENINSULA,2025-02-09,10.7,10.9,10.6,10.7,9996.0
PENINSULA,2025-02-06,11.0,11.2,10.5,10.6,136352.0
PENINSULA,2025-02-05,10.7,11.1,10.7,11.0,201944.0
PENINSULA,2025-02-04,10.5,10.7,10.4,10.5,27722.0
PENINSULA,2025-02-03,10.8,10.8,10.3,10.5,134450.0
PENINSULA,2025-02-02,10.5,10.9,10.4,10.5,58486.0
PENINSULA,2025-01-30,10.6,10.8,10.6,10.7,14939.0
PENINSULA,2025-01-29,10.9,10.9,10.5,10.5,67664.0
PENINSULA,2025-01-28,10.8,10.9,10.8,10.9,73482.0
PENINSULA,2025-01-27,10.9,11.0,10.6,10.7,54523.0
PENINSULA,2025-01-26,10.9,11.0,10.8,11.0,33283.0
PENINSULA,2025-01-23,10.9,11.2,10.7,10.8,111159.0
PENINSULA,2025-01-22,11.0,11.1,10.9,10.9,33381.0
PENINSULA,2025-01-21,11.0,11.3,10.9,11.0,78686.0
PENINSULA,2025-01-20,11.0,11.5,11.0,11.0,67895.0
PENINSULA,2025-01-19,10.9,11.4,10.9,11.0,39067.0
PENINSULA,2025-01-16,11.2,11.2,11.0,11.0,50681.0
PENINSULA,2025-01-15,11.2,11.4,11.1,11.1,50976.0
PENINSULA,2025-01-14,11.4,11.4,11.0,11.0,45758.0
PENINSULA,2025-01-13,11.3,11.3,10.9,10.9,41883.0
PENINSULA,2025-01-12,11.7,11.7,11.1,11.2,53419.0
PENINSULA,2025-01-09,12.1,12.3,11.5,11.6,57710.0
PENINSULA,2025-01-08,10.9,11.9,10.9,11.9,453789.0
PENINSULA,2025-01-07,11.0,11.0,10.7,10.9,31872.0
PENINSULA,2025-01-06,10.8,10.9,10.6,10.7,57304.0
PENINSULA,2025-01-05,10.6,10.9,10.5,10.8,53872.0
PENINSULA,2025-01-02,10.9,10.9,10.6,10.6,32557.0
PENINSULA,2025-01-01,10.7,10.9,10.7,10.8,8038.0
PENINSULA,2024-12-30,10.8,10.9,10.7,10.8,27448.0
PENINSULA,2024-12-29,10.8,10.8,10.7,10.8,13493.0
PENINSULA,2024-12-26,10.6,10.8,10.6,10.7,20360.0
PENINSULA,2024-12-24,10.7,10.7,10.5,10.6,11461.0
PENINSULA,2024-12-23,10.5,10.8,10.4,10.6,21935.0
PENINSULA,2024-12-22,10.7,10.8,10.5,10.6,18153.0
PENINSULA,2024-12-19,10.6,10.8,10.6,10.7,32634.0
PENINSULA,2024-12-18,10.7,10.9,10.7,10.7,32768.0
PENINSULA,2024-12-17,10.6,11.0,10.6,10.7,32339.0
PENINSULA,2024-12-15,10.7,11.0,10.6,10.7,21054.0
PENINSULA,2024-12-12,10.8,11.0,10.6,10.8,26848.0
PENINSULA,2024-12-11,10.9,11.0,10.8,10.8,16592.0
PENINSULA,2024-12-10,11.0,11.3,10.8,10.9,22421.0
PENINSULA,2024-12-09,10.9,11.0,10.8,11.0,56876.0
PENINSULA,2024-12-08,10.7,11.1,10.7,10.9,17249.0
PENINSULA,2024-12-05,11.0,11.1,10.9,10.9,38873.0
PENINSULA,2024-12-04,11.2,11.4,11.0,11.1,33474.0
PENINSULA,2024-12-03,11.6,11.6,11.2,11.3,27832.0
PENINSULA,2024-12-02,12.1,12.1,11.1,11.3,50996.0
PENINSULA,2024-12-01,11.2,11.2,10.9,11.0,10439.0
PENINSULA,2024-11-28,10.9,11.5,10.9,11.2,14670.0
PENINSULA,2024-11-27,10.6,11.0,10.6,10.9,45408.0
PENINSULA,2024-11-26,10.8,10.9,10.6,10.8,44731.0
PENINSULA,2024-11-25,10.7,10.9,10.5,10.6,11939.0
PENINSULA,2024-11-24,11.0,11.0,10.5,10.7,20314.0
PENINSULA,2024-11-21,10.8,11.1,10.7,10.8,34062.0
