Trading_Code,Date,Open,High,Low,Close,Volume
PERFUMCHM,2009-12-03,62.0,62.0,58.0,60.0,500.0
PERFUMCHM,2009-12-02,48.5,49.5,46.0,47.0,1950.0
PERFUMCHM,2009-12-01,41.5,42.25,40.0,41.25,900.0
PERFUMCHM,2009-11-03,58.0,62.0,58.0,60.75,2400.0
PERFUMCHM,2009-11-02,51.5,52.5,45.5,48.5,4200.0
PERFUMCHM,2009-11-01,39.0,39.0,37.0,38.0,1100.0
PERFUMCHM,2009-10-02,52.0,55.0,50.0,51.75,4050.0
PERFUMCHM,2009-09-03,57.25,60.0,57.25,60.0,2250.0
PERFUMCHM,2009-09-02,46.75,50.75,46.5,48.25,1650.0
PERFUMCHM,2009-08-03,53.5,66.0,53.5,62.5,2450.0
PERFUMCHM,2009-08-02,51.25,51.25,50.25,50.75,1650.0
PERFUMCHM,2009-07-01,39.75,40.0,38.5,39.5,1250.0
PERFUMCHM,2009-06-01,37.75,39.75,37.75,38.25,350.0
PERFUMCHM,2009-05-03,59.0,63.0,53.0,56.75,6100.0
PERFUMCHM,2009-05-02,57.5,58.0,53.25,54.75,5800.0
PERFUMCHM,2009-05-01,36.0,37.0,36.0,36.5,1250.0
PERFUMCHM,2009-04-03,72.25,72.25,65.0,65.25,11400.0
PERFUMCHM,2009-04-02,52.0,59.0,51.0,57.75,18600.0
PERFUMCHM,2009-03-15,61.0,72.0,61.0,70.0,6400.0
PERFUMCHM,2009-03-03,85.0,93.0,78.0,80.25,18600.0
PERFUMCHM,2009-03-02,47.5,50.0,47.5,49.25,1950.0
PERFUMCHM,2009-02-26,59.0,69.0,59.0,64.0,17600.0
PERFUMCHM,2009-02-25,55.25,61.0,50.0,58.25,5550.0
PERFUMCHM,2009-02-24,61.5,61.5,55.5,57.75,2350.0
PERFUMCHM,2009-02-23,67.0,67.0,54.0,60.25,7250.0
PERFUMCHM,2009-02-22,59.0,66.0,58.0,65.25,20750.0
PERFUMCHM,2009-02-19,48.0,56.0,48.0,55.25,3700.0
PERFUMCHM,2009-02-18,49.75,50.5,49.0,50.0,1850.0
PERFUMCHM,2009-02-17,46.0,49.5,46.0,48.0,1350.0
PERFUMCHM,2009-02-16,45.0,48.0,43.0,45.25,2950.0
PERFUMCHM,2009-02-15,50.0,50.0,46.25,47.25,750.0
PERFUMCHM,2009-02-03,74.25,90.0,72.0,89.0,28050.0
PERFUMCHM,2009-02-02,50.0,50.25,45.5,49.25,2600.0
PERFUMCHM,2009-01-29,48.75,52.0,48.75,51.5,9550.0
PERFUMCHM,2009-01-28,44.0,47.0,44.0,46.25,4350.0
PERFUMCHM,2009-01-27,42.5,42.5,42.5,42.5,200.0
PERFUMCHM,2009-01-25,45.0,46.75,45.0,45.25,2450.0
PERFUMCHM,2009-01-22,44.5,48.75,44.5,47.0,7050.0
PERFUMCHM,2009-01-21,42.25,44.5,42.25,43.0,3150.0
PERFUMCHM,2009-01-20,41.0,41.0,41.0,41.0,50.0
PERFUMCHM,2009-01-19,37.5,37.5,37.5,37.5,300.0
PERFUMCHM,2009-01-15,41.0,41.0,40.0,40.25,300.0
PERFUMCHM,2009-01-14,41.5,41.5,41.5,41.5,300.0
PERFUMCHM,2009-01-13,41.5,44.0,41.5,43.0,3450.0
PERFUMCHM,2009-01-03,65.0,76.75,65.0,76.0,24200.0
PERFUMCHM,2009-01-02,52.5,52.5,48.25,50.0,2900.0
PERFUMCHM,2009-01-01,36.5,36.5,36.5,36.5,150.0
PERFUMCHM,2008-12-28,36.25,39.75,36.25,38.0,100.0
PERFUMCHM,2008-12-23,36.5,39.0,36.5,38.5,650.0
PERFUMCHM,2008-12-22,37.0,37.0,37.0,37.0,100.0
PERFUMCHM,2008-12-18,36.75,36.75,36.0,36.25,1300.0
PERFUMCHM,2008-12-17,36.25,36.25,36.25,36.25,1100.0
PERFUMCHM,2008-12-15,38.0,38.0,38.0,38.0,300.0
PERFUMCHM,2008-12-10,44.5,45.5,44.0,45.0,2250.0
