Trading_Code,Date,Open,High,Low,Close,Volume
PF1STMF,2025-04-08,5.5,5.9,5.5,5.7,1402183.0
PF1STMF,2025-04-07,5.7,5.8,5.4,5.5,180359.0
PF1STMF,2025-04-06,5.3,5.8,5.0,5.7,2180543.0
PF1STMF,2025-03-27,5.4,5.5,5.3,5.4,362526.0
PF1STMF,2025-03-25,5.3,5.4,5.2,5.3,929468.0
PF1STMF,2025-03-24,5.3,5.3,5.2,5.2,41004.0
PF1STMF,2025-03-23,5.4,5.4,5.2,5.2,202349.0
PF1STMF,2025-03-20,5.4,5.4,5.2,5.3,176030.0
PF1STMF,2025-03-19,5.5,5.7,5.4,5.4,756095.0
PF1STMF,2025-03-18,5.3,5.5,5.2,5.4,522975.0
PF1STMF,2025-03-17,5.2,5.3,5.1,5.3,106904.0
PF1STMF,2025-03-16,5.3,5.3,5.1,5.2,292625.0
PF1STMF,2025-03-13,5.3,5.3,5.2,5.3,120433.0
PF1STMF,2025-03-12,5.2,5.4,5.1,5.2,274356.0
PF1STMF,2025-03-11,5.1,5.2,5.1,5.1,35951.0
PF1STMF,2025-03-10,5.2,5.2,5.0,5.1,144409.0
PF1STMF,2025-03-09,5.2,5.2,5.1,5.1,76984.0
PF1STMF,2025-03-06,5.3,5.3,5.1,5.1,113865.0
PF1STMF,2025-03-05,5.3,5.3,5.1,5.2,135344.0
PF1STMF,2025-03-04,5.2,5.2,5.1,5.1,18621.0
PF1STMF,2025-03-03,5.3,5.3,5.2,5.2,75367.0
PF1STMF,2025-03-02,5.3,5.3,5.2,5.2,158236.0
PF1STMF,2025-02-27,5.3,5.3,5.2,5.2,441608.0
PF1STMF,2025-02-26,5.3,5.4,5.2,5.3,119968.0
PF1STMF,2025-02-25,5.3,5.3,5.2,5.3,200065.0
PF1STMF,2025-02-24,5.4,5.4,5.2,5.2,153070.0
PF1STMF,2025-02-23,5.2,5.4,5.2,5.3,259940.0
PF1STMF,2025-02-20,5.2,5.2,5.1,5.2,25900.0
PF1STMF,2025-02-19,5.3,5.3,5.1,5.2,57005.0
PF1STMF,2025-02-18,5.3,5.4,5.2,5.2,241268.0
PF1STMF,2025-02-17,5.3,5.3,5.1,5.2,38006.0
PF1STMF,2025-02-16,5.3,5.3,5.2,5.2,133386.0
PF1STMF,2025-02-13,5.4,5.4,5.2,5.2,59637.0
PF1STMF,2025-02-12,5.3,5.4,5.2,5.3,78395.0
PF1STMF,2025-02-11,5.3,5.3,5.2,5.2,116590.0
PF1STMF,2025-02-10,5.3,5.3,5.1,5.2,141194.0
PF1STMF,2025-02-09,5.3,5.3,5.1,5.2,55418.0
PF1STMF,2025-02-06,5.3,5.4,5.2,5.2,84523.0
PF1STMF,2025-02-05,5.4,5.4,5.2,5.3,83326.0
PF1STMF,2025-02-04,5.1,5.4,5.0,5.2,542349.0
PF1STMF,2025-02-03,5.1,5.1,5.0,5.0,75457.0
PF1STMF,2025-02-02,5.0,5.2,5.0,5.0,296932.0
PF1STMF,2025-01-30,5.0,5.2,5.0,5.1,56822.0
PF1STMF,2025-01-29,5.2,5.2,5.0,5.0,38598.0
PF1STMF,2025-01-28,5.3,5.3,5.1,5.1,21617.0
PF1STMF,2025-01-27,5.2,5.3,5.1,5.1,83557.0
PF1STMF,2025-01-26,5.3,5.3,5.2,5.2,89495.0
PF1STMF,2025-01-23,5.4,5.4,5.2,5.3,82518.0
PF1STMF,2025-01-22,5.3,5.3,5.2,5.3,11000.0
PF1STMF,2025-01-21,5.4,5.4,5.2,5.3,170351.0
PF1STMF,2025-01-20,5.3,5.4,5.2,5.3,172550.0
PF1STMF,2025-01-19,5.3,5.3,5.1,5.2,134191.0
PF1STMF,2025-01-16,5.2,5.3,5.2,5.2,60302.0
PF1STMF,2025-01-15,5.4,5.4,5.2,5.2,101826.0
PF1STMF,2025-01-14,5.4,5.4,5.3,5.3,84916.0
PF1STMF,2025-01-13,5.5,5.5,5.3,5.4,149551.0
PF1STMF,2025-01-12,5.5,5.6,5.3,5.4,154400.0
PF1STMF,2025-01-09,5.4,5.5,5.4,5.4,11460.0
PF1STMF,2025-01-08,5.5,5.5,5.4,5.4,108855.0
PF1STMF,2025-01-07,5.4,5.5,5.4,5.4,35885.0
PF1STMF,2025-01-06,5.5,5.5,5.4,5.4,162168.0
PF1STMF,2025-01-05,5.5,5.5,5.4,5.4,36614.0
PF1STMF,2025-01-02,5.6,5.6,5.4,5.5,165857.0
PF1STMF,2025-01-01,5.5,5.6,5.5,5.5,28122.0
PF1STMF,2024-12-30,5.4,5.6,5.4,5.5,284856.0
PF1STMF,2024-12-29,5.4,5.5,5.4,5.4,12770.0
PF1STMF,2024-12-26,5.5,5.5,5.3,5.3,332703.0
PF1STMF,2024-12-24,5.6,5.6,5.4,5.5,36237.0
PF1STMF,2024-12-23,5.6,5.6,5.4,5.4,12576.0
PF1STMF,2024-12-22,5.5,5.6,5.5,5.5,10120.0
PF1STMF,2024-12-19,5.6,5.6,5.5,5.5,76792.0
PF1STMF,2024-12-18,5.6,5.7,5.5,5.5,97483.0
PF1STMF,2024-12-17,5.7,5.7,5.6,5.6,106108.0
PF1STMF,2024-12-15,5.6,5.7,5.5,5.7,219518.0
PF1STMF,2024-12-12,5.6,5.6,5.5,5.5,84479.0
PF1STMF,2024-12-11,5.8,5.8,5.4,5.4,510690.0
PF1STMF,2024-12-10,5.8,5.8,5.6,5.7,270865.0
PF1STMF,2024-12-09,5.6,5.7,5.5,5.6,84117.0
PF1STMF,2024-12-08,5.7,5.7,5.5,5.5,244492.0
PF1STMF,2024-12-05,6.0,6.0,5.7,5.7,99161.0
PF1STMF,2024-12-04,5.6,6.1,5.6,5.9,1600316.0
PF1STMF,2024-12-03,5.6,5.7,5.5,5.6,155784.0
PF1STMF,2024-12-02,5.6,5.7,5.5,5.6,83535.0
PF1STMF,2024-12-01,5.6,5.6,5.4,5.5,107789.0
PF1STMF,2024-11-28,5.7,5.7,5.4,5.5,141015.0
PF1STMF,2024-11-27,5.5,5.7,5.3,5.7,277300.0
PF1STMF,2024-11-26,5.4,5.4,5.3,5.4,13901.0
PF1STMF,2024-11-25,5.5,5.5,5.4,5.4,6352.0
PF1STMF,2024-11-24,5.5,5.5,5.3,5.3,81438.0
PF1STMF,2024-11-21,5.5,5.5,5.4,5.4,265406.0
PF1STMF,2024-11-20,5.6,5.6,5.5,5.5,137708.0
PF1STMF,2024-11-19,5.7,5.7,5.4,5.5,158314.0
PF1STMF,2024-11-18,5.6,5.7,5.6,5.6,55737.0
PF1STMF,2024-11-17,5.8,5.8,5.6,5.6,71643.0
PF1STMF,2024-11-14,5.7,5.8,5.5,5.6,319529.0
PF1STMF,2024-11-13,5.8,5.8,5.5,5.6,32502.0
PF1STMF,2024-11-12,5.7,5.8,5.6,5.7,386090.0
PF1STMF,2024-11-11,5.8,5.8,5.6,5.6,128155.0
PF1STMF,2024-11-10,5.8,5.8,5.5,5.6,181214.0
PF1STMF,2024-11-07,6.1,6.1,5.7,5.7,222173.0
PF1STMF,2024-11-06,6.0,6.2,5.8,5.9,871266.0
PF1STMF,2024-11-05,5.9,6.2,5.9,6.0,239066.0
PF1STMF,2024-11-04,6.4,6.4,5.6,5.8,428979.0
PF1STMF,2024-11-03,6.2,6.3,5.9,5.9,338215.0
PF1STMF,2024-10-31,5.8,5.8,5.7,5.8,1248897.0
PF1STMF,2024-10-30,5.1,5.4,5.1,5.3,263242.0
PF1STMF,2024-10-29,5.0,5.1,4.9,5.0,13071.0
PF1STMF,2024-10-28,4.9,5.1,4.8,4.9,134194.0
PF1STMF,2024-10-27,5.0,5.0,4.8,4.9,98311.0
PF1STMF,2024-10-24,5.0,5.1,4.9,4.9,149569.0
PF1STMF,2024-10-23,5.2,5.2,5.0,5.0,10525.0
PF1STMF,2024-10-22,5.1,5.2,5.0,5.1,35081.0
PF1STMF,2024-10-21,5.1,5.1,4.9,5.0,274352.0
PF1STMF,2024-10-20,5.0,5.2,5.0,5.0,133733.0
PF1STMF,2024-10-17,5.1,5.2,5.0,5.0,126957.0
PF1STMF,2024-10-16,5.2,5.2,5.1,5.1,32008.0
PF1STMF,2024-10-15,5.2,5.3,5.1,5.2,13786.0
PF1STMF,2024-10-14,5.2,5.4,5.1,5.1,134997.0
PF1STMF,2024-10-09,5.2,5.4,5.1,5.2,219309.0
PF1STMF,2024-10-08,5.2,5.2,5.0,5.1,44569.0
PF1STMF,2024-10-07,5.4,5.4,5.1,5.1,87444.0
PF1STMF,2024-10-06,5.5,5.5,5.1,5.3,270837.0
PF1STMF,2024-10-03,5.8,5.8,5.1,5.2,105471.0
PF1STMF,2024-10-02,5.5,5.5,5.2,5.3,78024.0
PF1STMF,2024-10-01,5.5,5.6,5.3,5.3,90620.0
PF1STMF,2024-09-30,5.6,5.6,5.4,5.5,10845.0
PF1STMF,2024-09-29,5.8,5.8,5.4,5.4,220901.0
PF1STMF,2024-09-26,6.0,6.0,5.5,5.6,143646.0
