Trading_Code,Date,Open,High,Low,Close,Volume
PIONEERINS,2025-04-08,42.0,42.0,41.3,41.7,146751.0
PIONEERINS,2025-04-07,0.0,0.0,0.0,44.1,0.0
PIONEERINS,2025-04-06,47.1,47.1,43.8,44.1,193860.0
PIONEERINS,2025-03-27,43.9,44.4,43.9,44.2,66312.0
PIONEERINS,2025-03-25,44.3,44.4,43.9,44.1,80462.0
PIONEERINS,2025-03-24,44.2,44.4,43.5,43.7,139417.0
PIONEERINS,2025-03-23,44.0,44.5,43.7,43.9,173396.0
PIONEERINS,2025-03-20,44.4,44.4,43.5,43.8,133710.0
PIONEERINS,2025-03-19,44.1,44.3,43.5,43.9,164092.0
PIONEERINS,2025-03-18,44.7,44.7,43.9,44.0,172372.0
PIONEERINS,2025-03-17,45.4,45.4,44.0,44.5,122930.0
PIONEERINS,2025-03-16,44.3,45.9,43.7,45.1,548482.0
PIONEERINS,2025-03-13,44.3,44.6,43.5,44.3,211748.0
PIONEERINS,2025-03-12,44.6,44.6,43.4,43.7,139987.0
PIONEERINS,2025-03-11,44.2,44.3,43.6,44.2,134414.0
PIONEERINS,2025-03-10,44.6,44.6,43.0,43.6,70195.0
PIONEERINS,2025-03-09,45.2,45.3,43.5,43.8,127111.0
PIONEERINS,2025-03-06,45.1,45.3,44.0,44.8,152030.0
PIONEERINS,2025-03-05,45.4,45.4,44.1,44.6,49809.0
PIONEERINS,2025-03-04,45.5,45.5,44.7,44.8,25774.0
PIONEERINS,2025-03-03,45.9,45.9,45.0,45.0,34847.0
PIONEERINS,2025-03-02,45.3,46.5,45.3,45.6,23919.0
PIONEERINS,2025-02-27,45.4,45.9,45.0,45.3,20972.0
PIONEERINS,2025-02-26,45.7,45.7,45.1,45.2,17583.0
PIONEERINS,2025-02-25,46.5,46.5,45.5,45.7,65213.0
PIONEERINS,2025-02-24,45.4,47.1,45.1,45.6,164723.0
PIONEERINS,2025-02-23,44.6,45.3,44.6,45.1,47237.0
PIONEERINS,2025-02-20,44.6,44.7,44.3,44.5,18001.0
PIONEERINS,2025-02-19,44.8,44.8,44.3,44.6,20456.0
PIONEERINS,2025-02-18,44.7,44.7,44.4,44.5,68549.0
PIONEERINS,2025-02-17,44.7,45.1,44.4,44.5,69882.0
PIONEERINS,2025-02-16,48.5,48.5,44.6,44.7,40240.0
PIONEERINS,2025-02-13,44.6,45.5,44.6,44.8,29426.0
PIONEERINS,2025-02-12,48.0,48.0,44.5,44.8,51507.0
PIONEERINS,2025-02-11,44.7,45.0,44.0,44.8,128045.0
PIONEERINS,2025-02-10,45.0,45.0,44.0,44.3,51100.0
PIONEERINS,2025-02-09,45.3,45.3,44.2,44.5,68550.0
PIONEERINS,2025-02-06,45.8,45.8,44.5,44.7,63895.0
PIONEERINS,2025-02-05,45.0,45.5,44.5,44.9,89083.0
PIONEERINS,2025-02-04,45.0,45.0,44.2,44.5,48363.0
PIONEERINS,2025-02-03,44.4,45.0,43.9,44.5,88681.0
PIONEERINS,2025-02-02,44.5,44.5,43.9,44.1,72824.0
PIONEERINS,2025-01-30,47.8,47.8,43.9,44.2,56961.0
PIONEERINS,2025-01-29,45.3,45.3,44.5,44.7,63662.0
PIONEERINS,2025-01-28,45.0,45.5,44.6,44.9,69101.0
PIONEERINS,2025-01-27,45.2,45.3,44.6,44.8,42208.0
PIONEERINS,2025-01-26,46.0,46.0,45.2,45.3,15547.0
PIONEERINS,2025-01-23,46.2,46.6,45.3,45.4,44304.0
PIONEERINS,2025-01-22,47.0,49.9,46.2,46.3,73006.0
PIONEERINS,2025-01-21,47.6,47.7,46.3,46.6,18627.0
PIONEERINS,2025-01-20,46.7,47.2,46.0,46.9,50830.0
PIONEERINS,2025-01-19,46.5,47.0,45.9,46.1,70430.0
PIONEERINS,2025-01-16,45.0,45.9,44.7,45.5,68780.0
PIONEERINS,2025-01-15,45.9,45.9,44.9,45.0,22470.0
PIONEERINS,2025-01-14,45.9,46.2,45.1,45.3,21100.0
PIONEERINS,2025-01-13,46.9,46.9,45.2,45.5,14920.0
PIONEERINS,2025-01-12,48.0,48.0,45.5,45.7,41079.0
PIONEERINS,2025-01-09,50.3,50.3,46.4,46.6,10777.0
PIONEERINS,2025-01-08,47.0,47.8,45.6,46.1,22128.0
PIONEERINS,2025-01-07,47.2,47.9,46.5,46.9,16574.0
PIONEERINS,2025-01-06,46.8,47.8,46.6,47.0,7887.0
PIONEERINS,2025-01-05,47.6,47.6,46.9,47.0,22983.0
PIONEERINS,2025-01-02,47.8,48.0,47.1,47.4,9159.0
PIONEERINS,2025-01-01,48.1,48.5,47.8,48.0,3640.0
PIONEERINS,2024-12-30,48.4,48.5,47.8,48.0,23538.0
PIONEERINS,2024-12-29,48.1,48.5,48.0,48.2,4992.0
PIONEERINS,2024-12-26,48.8,48.9,47.8,48.2,14934.0
PIONEERINS,2024-12-24,47.8,48.1,47.6,47.8,14767.0
PIONEERINS,2024-12-23,47.7,48.1,47.7,47.9,5181.0
PIONEERINS,2024-12-22,48.1,48.1,47.7,47.9,10509.0
PIONEERINS,2024-12-19,48.8,48.8,48.0,48.0,13065.0
PIONEERINS,2024-12-18,49.3,49.3,48.2,48.3,13522.0
PIONEERINS,2024-12-17,48.4,50.0,47.5,49.4,45878.0
PIONEERINS,2024-12-15,47.5,48.0,47.2,47.4,35178.0
PIONEERINS,2024-12-12,47.3,48.5,47.3,47.6,10675.0
PIONEERINS,2024-12-11,48.3,48.8,47.6,47.8,13095.0
PIONEERINS,2024-12-10,48.0,49.2,48.0,48.2,18411.0
PIONEERINS,2024-12-09,48.2,50.0,47.7,47.9,79143.0
PIONEERINS,2024-12-08,48.1,48.7,47.5,48.0,19623.0
PIONEERINS,2024-12-05,49.5,49.5,48.5,48.5,11336.0
PIONEERINS,2024-12-04,50.0,50.5,48.7,48.8,19185.0
PIONEERINS,2024-12-03,48.2,49.4,48.2,49.0,33214.0
PIONEERINS,2024-12-02,49.2,49.9,48.8,49.0,23629.0
PIONEERINS,2024-12-01,49.0,49.9,48.2,48.6,19530.0
PIONEERINS,2024-11-28,50.6,50.6,49.1,49.3,20360.0
PIONEERINS,2024-11-27,49.1,49.7,48.6,49.4,30971.0
PIONEERINS,2024-11-26,50.2,50.2,48.1,48.3,35825.0
PIONEERINS,2024-11-25,49.1,50.8,49.0,49.1,9389.0
PIONEERINS,2024-11-24,49.5,49.9,48.5,49.3,25431.0
PIONEERINS,2024-11-21,50.3,50.9,49.0,49.3,58382.0
PIONEERINS,2024-11-20,53.3,53.3,50.0,50.6,146380.0
PIONEERINS,2024-11-19,52.6,53.5,51.8,52.4,201385.0
PIONEERINS,2024-11-18,50.5,52.9,50.4,52.0,148114.0
PIONEERINS,2024-11-17,52.5,52.5,50.2,50.9,87613.0
PIONEERINS,2024-11-14,51.4,53.1,50.1,51.6,264332.0
PIONEERINS,2024-11-13,48.6,51.1,48.6,50.7,64332.0
PIONEERINS,2024-11-12,48.2,51.5,48.2,49.8,96107.0
PIONEERINS,2024-11-11,50.8,50.8,48.0,49.1,57695.0
PIONEERINS,2024-11-10,48.0,49.0,48.0,48.1,29532.0
PIONEERINS,2024-11-07,50.6,50.6,47.8,49.1,72761.0
PIONEERINS,2024-11-06,49.7,49.7,48.0,48.2,31607.0
PIONEERINS,2024-11-05,48.9,49.8,47.9,49.2,91736.0
PIONEERINS,2024-11-04,47.5,48.0,46.7,47.5,57033.0
PIONEERINS,2024-11-03,48.5,48.9,47.7,48.0,40833.0
PIONEERINS,2024-10-31,47.1,49.4,47.1,47.7,54559.0
PIONEERINS,2024-10-30,45.7,49.5,45.7,48.5,50717.0
PIONEERINS,2024-10-29,43.6,46.5,43.1,45.6,37311.0
PIONEERINS,2024-10-28,44.0,44.6,43.0,43.2,57331.0
PIONEERINS,2024-10-27,46.0,46.1,43.7,44.1,62943.0
PIONEERINS,2024-10-24,46.2,47.2,46.0,46.2,11761.0
PIONEERINS,2024-10-23,48.6,48.7,46.2,47.1,30251.0
PIONEERINS,2024-10-22,47.9,49.4,46.0,48.2,47718.0
PIONEERINS,2024-10-21,45.6,47.2,45.0,46.1,19610.0
PIONEERINS,2024-10-20,49.6,49.6,45.7,46.2,14507.0
PIONEERINS,2024-10-17,49.0,49.0,46.0,46.5,46338.0
PIONEERINS,2024-10-16,49.5,49.5,48.6,48.8,15989.0
PIONEERINS,2024-10-15,50.0,50.0,49.0,49.3,33268.0
PIONEERINS,2024-10-14,52.0,52.0,49.2,49.6,14674.0
PIONEERINS,2024-10-09,48.6,49.7,48.0,49.4,26817.0
PIONEERINS,2024-10-08,47.8,48.6,47.5,48.2,89083.0
PIONEERINS,2024-10-07,46.4,48.8,46.4,47.9,17672.0
PIONEERINS,2024-10-06,47.5,49.0,47.5,47.7,19133.0
PIONEERINS,2024-10-03,47.5,48.4,47.1,47.5,24205.0
PIONEERINS,2024-10-02,48.0,48.4,47.4,47.6,60559.0
PIONEERINS,2024-10-01,49.7,49.7,48.5,48.5,25560.0
PIONEERINS,2024-09-30,48.6,50.0,48.1,48.9,29049.0
PIONEERINS,2024-09-29,48.8,48.9,48.1,48.2,37468.0
PIONEERINS,2024-09-26,48.9,49.7,47.7,49.0,41305.0
PIONEERINS,2024-09-25,50.0,50.7,49.1,49.3,36346.0
PIONEERINS,2024-09-24,51.6,51.6,50.2,50.6,32513.0
PIONEERINS,2024-09-23,51.1,52.0,51.1,51.5,61248.0
PIONEERINS,2024-09-22,52.6,52.6,51.0,51.3,52776.0
