Trading_Code,Date,Open,High,Low,Close,Volume
POPULAR1MF,2025-04-08,3.6,3.9,3.6,3.8,5330795.0
POPULAR1MF,2025-04-07,3.7,3.7,3.5,3.6,937985.0
POPULAR1MF,2025-04-06,3.3,3.7,3.3,3.7,5181650.0
POPULAR1MF,2025-03-27,3.2,3.5,3.2,3.4,2711132.0
POPULAR1MF,2025-03-25,3.2,3.3,3.2,3.2,493460.0
POPULAR1MF,2025-03-24,3.3,3.3,3.2,3.2,257611.0
POPULAR1MF,2025-03-23,3.3,3.4,3.1,3.3,925993.0
POPULAR1MF,2025-03-20,3.3,3.3,3.1,3.2,562593.0
POPULAR1MF,2025-03-19,3.2,3.4,3.2,3.2,1819506.0
POPULAR1MF,2025-03-18,3.1,3.2,3.0,3.1,382154.0
POPULAR1MF,2025-03-17,3.1,3.1,3.0,3.1,948667.0
POPULAR1MF,2025-03-16,3.0,3.1,3.0,3.0,49655.0
POPULAR1MF,2025-03-13,3.1,3.1,3.0,3.1,216965.0
POPULAR1MF,2025-03-12,3.0,3.1,3.0,3.0,1577799.0
POPULAR1MF,2025-03-11,3.0,3.1,2.9,3.0,135402.0
POPULAR1MF,2025-03-10,3.1,3.1,3.0,3.0,217247.0
POPULAR1MF,2025-03-09,3.0,3.1,3.0,3.0,220933.0
POPULAR1MF,2025-03-06,3.4,3.4,3.0,3.0,115553.0
POPULAR1MF,2025-03-05,3.1,3.1,3.0,3.1,493842.0
POPULAR1MF,2025-03-04,3.0,3.1,3.0,3.0,275771.0
POPULAR1MF,2025-03-03,3.0,3.2,3.0,3.1,788209.0
POPULAR1MF,2025-03-02,3.2,3.2,3.0,3.1,164911.0
POPULAR1MF,2025-02-27,3.1,3.2,3.0,3.1,685554.0
POPULAR1MF,2025-02-26,3.1,3.2,3.0,3.1,1497277.0
POPULAR1MF,2025-02-25,3.1,3.2,3.0,3.1,1117118.0
POPULAR1MF,2025-02-24,3.2,3.2,3.0,3.1,518785.0
POPULAR1MF,2025-02-23,3.1,3.2,3.1,3.1,956555.0
POPULAR1MF,2025-02-20,3.1,3.1,3.0,3.0,244265.0
POPULAR1MF,2025-02-19,3.1,3.1,3.0,3.0,473138.0
POPULAR1MF,2025-02-18,3.1,3.2,3.0,3.1,1422342.0
POPULAR1MF,2025-02-17,3.0,3.1,3.0,3.0,231394.0
POPULAR1MF,2025-02-16,3.1,3.1,3.0,3.0,314973.0
POPULAR1MF,2025-02-13,3.1,3.1,3.0,3.0,104265.0
POPULAR1MF,2025-02-12,3.1,3.1,3.0,3.1,432976.0
POPULAR1MF,2025-02-11,3.0,3.1,3.0,3.0,330747.0
POPULAR1MF,2025-02-10,3.0,3.1,2.9,3.0,417403.0
POPULAR1MF,2025-02-09,3.0,3.1,3.0,3.0,369043.0
POPULAR1MF,2025-02-06,3.0,3.1,2.9,3.0,1138697.0
POPULAR1MF,2025-02-05,3.0,3.0,2.9,3.0,373195.0
POPULAR1MF,2025-02-04,3.0,3.0,2.9,3.0,113520.0
POPULAR1MF,2025-02-03,2.9,3.0,2.9,2.9,130330.0
POPULAR1MF,2025-02-02,3.0,3.0,2.8,2.9,166569.0
POPULAR1MF,2025-01-30,2.9,2.9,2.8,2.9,590005.0
POPULAR1MF,2025-01-29,2.9,3.0,2.9,2.9,349580.0
POPULAR1MF,2025-01-28,3.0,3.0,2.9,2.9,236398.0
POPULAR1MF,2025-01-27,2.9,3.0,2.9,3.0,125059.0
POPULAR1MF,2025-01-26,2.9,3.0,2.9,2.9,49630.0
POPULAR1MF,2025-01-23,3.0,3.1,3.0,3.0,89736.0
POPULAR1MF,2025-01-22,3.0,3.0,3.0,3.0,1106135.0
POPULAR1MF,2025-01-21,3.0,3.1,2.9,3.0,612223.0
POPULAR1MF,2025-01-20,3.0,3.0,2.9,3.0,35808.0
POPULAR1MF,2025-01-19,3.0,3.0,2.9,2.9,35377.0
POPULAR1MF,2025-01-16,3.0,3.0,2.9,2.9,63134.0
POPULAR1MF,2025-01-15,3.0,3.1,2.9,3.0,226254.0
POPULAR1MF,2025-01-14,3.0,3.1,2.9,3.0,251609.0
POPULAR1MF,2025-01-13,3.1,3.1,2.8,2.9,606509.0
POPULAR1MF,2025-01-12,3.0,3.1,3.0,3.0,38750.0
POPULAR1MF,2025-01-09,3.1,3.2,3.0,3.1,549345.0
POPULAR1MF,2025-01-08,3.1,3.1,3.0,3.0,354026.0
POPULAR1MF,2025-01-07,3.1,3.2,3.0,3.1,104760.0
POPULAR1MF,2025-01-06,3.2,3.2,3.0,3.0,390770.0
POPULAR1MF,2025-01-05,3.1,3.2,3.1,3.1,114720.0
POPULAR1MF,2025-01-02,3.2,3.2,3.1,3.1,210444.0
POPULAR1MF,2025-01-01,3.2,3.2,3.1,3.1,17384.0
POPULAR1MF,2024-12-30,3.2,3.2,3.1,3.1,57248.0
POPULAR1MF,2024-12-29,3.2,3.2,3.1,3.1,60774.0
POPULAR1MF,2024-12-26,3.2,3.2,3.0,3.1,276225.0
POPULAR1MF,2024-12-24,3.1,3.2,3.1,3.1,19887.0
POPULAR1MF,2024-12-23,3.1,3.2,3.1,3.2,44549.0
POPULAR1MF,2024-12-22,3.2,3.2,3.1,3.2,70325.0
POPULAR1MF,2024-12-19,3.2,3.2,3.1,3.1,327305.0
POPULAR1MF,2024-12-18,3.2,3.3,3.1,3.2,89277.0
POPULAR1MF,2024-12-17,3.3,3.3,3.2,3.2,50135.0
POPULAR1MF,2024-12-15,3.2,3.3,3.2,3.2,62910.0
POPULAR1MF,2024-12-12,3.3,3.3,3.2,3.2,85054.0
POPULAR1MF,2024-12-11,3.3,3.3,3.1,3.2,89790.0
POPULAR1MF,2024-12-10,3.3,3.3,3.1,3.2,100575.0
POPULAR1MF,2024-12-09,3.3,3.3,3.2,3.2,86071.0
POPULAR1MF,2024-12-08,3.2,3.3,3.2,3.2,107605.0
POPULAR1MF,2024-12-05,3.5,3.5,3.2,3.2,366253.0
POPULAR1MF,2024-12-04,3.3,3.5,3.3,3.4,617278.0
POPULAR1MF,2024-12-03,3.3,3.3,3.1,3.3,415706.0
POPULAR1MF,2024-12-02,3.3,3.3,3.2,3.2,17536.0
POPULAR1MF,2024-12-01,3.2,3.3,3.2,3.2,49752.0
POPULAR1MF,2024-11-28,3.2,3.3,3.2,3.2,98149.0
POPULAR1MF,2024-11-27,3.2,3.3,3.1,3.2,435008.0
POPULAR1MF,2024-11-26,3.3,3.3,3.2,3.2,52781.0
POPULAR1MF,2024-11-25,3.3,3.3,3.1,3.2,40384.0
POPULAR1MF,2024-11-24,3.2,3.3,3.1,3.2,50938.0
POPULAR1MF,2024-11-21,3.3,3.3,3.1,3.2,59563.0
POPULAR1MF,2024-11-20,3.3,3.3,3.2,3.2,16731.0
POPULAR1MF,2024-11-19,3.2,3.4,3.2,3.2,141999.0
POPULAR1MF,2024-11-18,3.4,3.4,3.2,3.3,47129.0
POPULAR1MF,2024-11-17,3.4,3.4,3.3,3.3,130002.0
POPULAR1MF,2024-11-14,3.3,3.4,3.3,3.3,13145.0
POPULAR1MF,2024-11-13,3.4,3.4,3.2,3.3,47881.0
POPULAR1MF,2024-11-12,3.3,3.4,3.3,3.3,54531.0
POPULAR1MF,2024-11-11,3.4,3.4,3.3,3.3,19046.0
POPULAR1MF,2024-11-10,3.6,3.6,3.3,3.3,81313.0
POPULAR1MF,2024-11-07,3.6,3.6,3.4,3.4,281196.0
POPULAR1MF,2024-11-06,3.6,3.6,3.4,3.5,107427.0
POPULAR1MF,2024-11-05,3.5,3.6,3.4,3.5,445782.0
POPULAR1MF,2024-11-04,3.6,3.6,3.3,3.4,185245.0
POPULAR1MF,2024-11-03,3.5,3.7,3.4,3.5,1043510.0
POPULAR1MF,2024-10-31,3.2,3.5,3.2,3.4,717394.0
POPULAR1MF,2024-10-30,3.1,3.2,3.0,3.2,258847.0
POPULAR1MF,2024-10-29,2.9,3.1,2.9,3.0,586415.0
POPULAR1MF,2024-10-28,3.0,3.0,2.9,2.9,237206.0
POPULAR1MF,2024-10-27,3.0,3.0,2.9,2.9,424214.0
POPULAR1MF,2024-10-24,3.0,3.0,3.0,3.0,451089.0
POPULAR1MF,2024-10-23,3.1,3.1,3.0,3.1,39807.0
POPULAR1MF,2024-10-22,3.0,3.1,3.0,3.1,126588.0
POPULAR1MF,2024-10-21,3.0,3.1,3.0,3.0,122969.0
POPULAR1MF,2024-10-20,3.1,3.2,3.0,3.0,279583.0
POPULAR1MF,2024-10-17,3.2,3.2,3.1,3.1,388797.0
POPULAR1MF,2024-10-16,0.0,0.0,0.0,3.2,0.0
POPULAR1MF,2024-10-15,3.2,3.3,3.1,3.2,93567.0
POPULAR1MF,2024-10-14,3.3,3.3,3.2,3.2,61140.0
POPULAR1MF,2024-10-09,3.2,3.3,3.1,3.2,161665.0
POPULAR1MF,2024-10-08,3.2,3.3,3.1,3.2,389344.0
POPULAR1MF,2024-10-07,3.2,3.3,3.2,3.2,194155.0
POPULAR1MF,2024-10-06,3.3,3.3,3.2,3.2,211262.0
POPULAR1MF,2024-10-03,3.1,3.3,3.1,3.3,671027.0
POPULAR1MF,2024-10-02,3.2,3.2,3.1,3.2,347935.0
POPULAR1MF,2024-10-01,3.3,3.4,3.2,3.2,662388.0
POPULAR1MF,2024-09-30,3.4,3.5,3.2,3.3,243954.0
POPULAR1MF,2024-09-29,3.5,3.5,3.3,3.3,232682.0
POPULAR1MF,2024-09-26,3.4,3.5,3.3,3.3,139964.0
POPULAR1MF,2024-09-25,3.4,3.6,3.4,3.4,583962.0
POPULAR1MF,2024-09-24,3.4,3.6,3.4,3.5,590964.0
POPULAR1MF,2024-09-23,3.5,3.5,3.4,3.4,159864.0
POPULAR1MF,2024-09-22,3.4,3.6,3.3,3.5,903870.0
POPULAR1MF,2024-09-19,3.5,3.5,3.3,3.4,1054434.0
