Trading_Code,Date,Open,High,Low,Close,Volume
POWERGRID,2025-04-08,36.3,36.3,35.0,36.1,100407.0
POWERGRID,2025-04-07,35.9,36.4,35.0,35.4,83062.0
POWERGRID,2025-04-06,32.8,36.0,32.8,35.9,21822.0
POWERGRID,2025-03-27,35.4,36.2,35.4,36.0,22440.0
POWERGRID,2025-03-25,35.6,36.2,35.6,36.0,42868.0
POWERGRID,2025-03-24,36.0,36.0,35.4,35.8,112510.0
POWERGRID,2025-03-23,36.5,36.7,35.2,35.9,62992.0
POWERGRID,2025-03-20,35.9,36.6,35.8,36.3,120369.0
POWERGRID,2025-03-19,35.0,36.1,34.9,35.8,170646.0
POWERGRID,2025-03-18,34.4,35.1,34.0,35.0,33182.0
POWERGRID,2025-03-17,35.1,35.1,34.3,34.6,141291.0
POWERGRID,2025-03-16,34.9,35.6,34.8,35.1,129974.0
POWERGRID,2025-03-13,35.2,35.2,34.7,34.9,108323.0
POWERGRID,2025-03-12,35.0,35.5,34.9,35.0,43191.0
POWERGRID,2025-03-11,35.3,35.8,34.9,35.0,101099.0
POWERGRID,2025-03-10,36.2,36.2,35.4,35.5,109940.0
POWERGRID,2025-03-09,36.5,37.2,36.1,36.3,285356.0
POWERGRID,2025-03-06,35.0,36.7,34.7,36.3,508277.0
POWERGRID,2025-03-05,34.6,35.1,34.4,34.6,22789.0
POWERGRID,2025-03-04,35.0,35.0,34.2,34.2,81922.0
POWERGRID,2025-03-03,35.5,35.5,34.6,34.8,98720.0
POWERGRID,2025-03-02,35.5,35.9,35.2,35.3,92429.0
POWERGRID,2025-02-27,35.5,35.8,35.2,35.7,88725.0
POWERGRID,2025-02-26,35.8,36.0,35.3,35.4,117596.0
POWERGRID,2025-02-25,36.0,36.3,35.5,35.6,124620.0
POWERGRID,2025-02-24,36.3,36.5,35.8,35.8,136990.0
POWERGRID,2025-02-23,35.9,36.7,35.7,36.2,201902.0
POWERGRID,2025-02-20,36.1,36.3,35.7,35.8,130303.0
POWERGRID,2025-02-19,36.1,36.2,35.7,36.0,135834.0
POWERGRID,2025-02-18,36.9,37.3,35.8,36.0,410713.0
POWERGRID,2025-02-17,38.0,38.1,36.7,36.8,212474.0
POWERGRID,2025-02-16,36.6,38.2,36.1,37.9,350295.0
POWERGRID,2025-02-13,37.2,37.7,36.5,36.7,491803.0
POWERGRID,2025-02-12,38.4,38.8,36.9,37.2,472228.0
POWERGRID,2025-02-11,42.3,42.4,38.2,38.4,1299206.0
POWERGRID,2025-02-10,38.7,38.7,38.7,38.7,820442.0
POWERGRID,2025-02-09,35.2,35.2,35.2,35.2,132744.0
POWERGRID,2025-02-06,0.0,0.0,0.0,32.0,0.0
POWERGRID,2025-02-05,31.4,32.2,31.4,32.0,361782.0
POWERGRID,2025-02-04,32.3,32.3,31.0,31.4,259088.0
POWERGRID,2025-02-03,32.3,32.5,31.7,32.1,270799.0
POWERGRID,2025-02-02,32.5,33.5,32.2,32.3,303299.0
POWERGRID,2025-01-30,31.0,32.5,31.0,32.4,718472.0
POWERGRID,2025-01-29,30.2,31.1,30.1,30.9,298614.0
POWERGRID,2025-01-28,30.6,30.8,30.1,30.2,116125.0
POWERGRID,2025-01-27,30.9,31.8,30.5,30.5,200746.0
POWERGRID,2025-01-26,31.4,31.4,30.5,30.6,317643.0
POWERGRID,2025-01-23,32.0,32.0,30.9,31.1,257095.0
POWERGRID,2025-01-22,31.6,32.1,31.4,31.7,295790.0
POWERGRID,2025-01-21,32.1,32.8,31.4,31.7,348950.0
POWERGRID,2025-01-20,33.5,33.9,31.4,32.4,649893.0
POWERGRID,2025-01-19,35.1,35.1,32.6,33.3,642561.0
POWERGRID,2025-01-16,40.0,40.1,39.0,39.6,175260.0
POWERGRID,2025-01-15,38.9,40.4,38.7,39.8,283812.0
POWERGRID,2025-01-14,39.1,39.9,38.9,39.0,133756.0
POWERGRID,2025-01-13,39.9,39.9,38.8,39.0,103732.0
POWERGRID,2025-01-12,39.4,39.9,39.0,39.1,99127.0
POWERGRID,2025-01-09,40.8,40.8,39.0,39.4,177512.0
POWERGRID,2025-01-08,40.9,40.9,39.7,39.8,121093.0
POWERGRID,2025-01-07,41.9,42.0,40.2,40.5,299584.0
POWERGRID,2025-01-06,40.4,42.1,40.2,41.4,290306.0
POWERGRID,2025-01-05,40.5,40.9,39.8,40.1,112990.0
POWERGRID,2025-01-02,41.5,41.5,40.0,40.5,164342.0
POWERGRID,2025-01-01,41.8,42.3,41.5,41.8,146992.0
POWERGRID,2024-12-30,42.6,43.1,41.0,41.8,710860.0
POWERGRID,2024-12-29,41.1,41.8,41.0,41.3,137357.0
POWERGRID,2024-12-26,39.1,41.4,39.1,41.1,188791.0
POWERGRID,2024-12-24,40.5,40.7,39.1,39.4,172996.0
