Trading_Code,Date,Open,High,Low,Close,Volume
PREMIERLEA,2025-04-08,3.4,3.4,3.3,3.3,23131.0
PREMIERLEA,2025-04-07,3.3,3.5,3.3,3.5,13626.0
PREMIERLEA,2025-04-06,3.4,3.4,3.4,3.4,1000.0
PREMIERLEA,2025-03-27,3.5,3.6,3.4,3.5,19721.0
PREMIERLEA,2025-03-25,3.7,3.7,3.5,3.7,21897.0
PREMIERLEA,2025-03-24,3.4,3.4,3.4,3.4,2205.0
PREMIERLEA,2025-03-23,3.4,3.7,3.4,3.5,4600.0
PREMIERLEA,2025-03-20,3.6,3.6,3.4,3.4,17335.0
PREMIERLEA,2025-03-19,3.5,3.5,3.5,3.5,513.0
PREMIERLEA,2025-03-18,3.5,3.5,3.4,3.4,9130.0
PREMIERLEA,2025-03-17,3.2,3.5,3.2,3.3,12201.0
PREMIERLEA,2025-03-16,3.4,3.4,3.3,3.4,43617.0
PREMIERLEA,2025-03-13,3.3,3.3,3.3,3.3,17005.0
PREMIERLEA,2025-03-12,3.6,3.6,3.3,3.4,36415.0
PREMIERLEA,2025-03-11,3.5,3.5,3.3,3.3,58120.0
PREMIERLEA,2025-03-10,3.4,3.5,3.4,3.5,4351.0
PREMIERLEA,2025-03-09,3.5,3.5,3.4,3.5,15218.0
PREMIERLEA,2025-03-06,3.4,3.6,3.3,3.4,8213.0
PREMIERLEA,2025-03-05,3.5,3.7,3.4,3.5,48492.0
PREMIERLEA,2025-03-04,3.4,3.5,3.4,3.5,18536.0
PREMIERLEA,2025-03-03,3.4,3.5,3.4,3.5,36072.0
PREMIERLEA,2025-03-02,3.4,3.4,3.4,3.4,17200.0
PREMIERLEA,2025-02-27,3.4,3.5,3.3,3.4,9023.0
PREMIERLEA,2025-02-26,3.6,3.6,3.4,3.5,22643.0
PREMIERLEA,2025-02-25,3.6,3.7,3.6,3.6,54800.0
PREMIERLEA,2025-02-24,3.3,3.6,3.3,3.5,82609.0
PREMIERLEA,2025-02-23,3.5,3.6,3.4,3.5,54742.0
PREMIERLEA,2025-02-20,3.7,3.7,3.6,3.6,7000.0
PREMIERLEA,2025-02-19,3.7,3.7,3.5,3.6,27402.0
PREMIERLEA,2025-02-18,3.9,3.9,3.5,3.6,78944.0
PREMIERLEA,2025-02-17,3.7,3.7,3.5,3.6,11683.0
PREMIERLEA,2025-02-16,3.8,3.9,3.5,3.7,61266.0
PREMIERLEA,2025-02-13,3.8,3.9,3.7,3.8,32030.0
PREMIERLEA,2025-02-12,3.8,3.8,3.6,3.8,119720.0
PREMIERLEA,2025-02-11,3.8,4.0,3.5,3.8,56152.0
PREMIERLEA,2025-02-10,3.9,4.0,3.6,3.8,15762.0
PREMIERLEA,2025-02-09,4.1,4.1,3.7,3.9,57896.0
PREMIERLEA,2025-02-06,3.8,4.0,3.8,3.9,91707.0
PREMIERLEA,2025-02-05,3.5,3.8,3.5,3.7,249847.0
PREMIERLEA,2025-02-04,3.3,3.5,3.3,3.5,87331.0
PREMIERLEA,2025-02-03,3.1,3.3,3.1,3.3,63881.0
PREMIERLEA,2025-02-02,3.0,3.1,3.0,3.1,40855.0
PREMIERLEA,2025-01-30,3.0,3.1,2.9,2.9,49275.0
PREMIERLEA,2025-01-29,3.1,3.1,3.1,3.1,3845.0
PREMIERLEA,2025-01-28,3.0,3.1,3.0,3.0,7502.0
PREMIERLEA,2025-01-27,3.0,3.0,3.0,3.0,2500.0
PREMIERLEA,2025-01-26,3.0,3.1,3.0,3.0,2763.0
PREMIERLEA,2025-01-23,3.1,3.1,3.0,3.0,65746.0
PREMIERLEA,2025-01-22,3.1,3.1,3.0,3.1,13603.0
PREMIERLEA,2025-01-21,3.3,3.3,3.1,3.1,34019.0
PREMIERLEA,2025-01-20,3.1,3.2,3.1,3.1,16000.0
PREMIERLEA,2025-01-19,3.2,3.3,3.1,3.2,12964.0
PREMIERLEA,2025-01-16,3.1,3.3,3.1,3.2,29161.0
PREMIERLEA,2025-01-15,3.2,3.2,3.1,3.2,32608.0
PREMIERLEA,2025-01-14,3.2,3.3,3.1,3.1,20810.0
PREMIERLEA,2025-01-13,3.0,3.2,3.0,3.0,7862.0
PREMIERLEA,2025-01-12,3.2,3.2,3.0,3.1,39340.0
PREMIERLEA,2025-01-09,3.2,3.2,3.1,3.2,34039.0
PREMIERLEA,2025-01-08,3.2,3.3,3.0,3.1,18773.0
PREMIERLEA,2025-01-07,3.2,3.2,3.0,3.1,65249.0
PREMIERLEA,2025-01-06,3.0,3.2,3.0,3.1,32001.0
PREMIERLEA,2025-01-05,3.1,3.1,3.0,3.1,5628.0
PREMIERLEA,2025-01-02,3.3,3.3,3.2,3.2,4141.0
PREMIERLEA,2025-01-01,3.2,3.3,3.2,3.3,55301.0
PREMIERLEA,2024-12-30,3.0,3.2,3.0,3.0,2874.0
