Trading_Code,Date,Open,High,Low,Close,Volume
PRIMETEX,2025-04-08,14.0,14.5,13.9,14.1,10752.0
PRIMETEX,2025-04-07,13.8,14.1,13.7,13.9,26022.0
PRIMETEX,2025-04-06,14.5,14.5,13.7,14.0,49021.0
PRIMETEX,2025-03-27,15.3,15.3,14.9,15.0,14356.0
PRIMETEX,2025-03-25,15.2,15.2,14.6,14.7,33022.0
PRIMETEX,2025-03-24,15.3,15.3,14.5,14.6,26626.0
PRIMETEX,2025-03-23,15.2,15.4,14.6,14.7,20725.0
PRIMETEX,2025-03-20,15.4,15.4,14.6,14.7,20191.0
PRIMETEX,2025-03-19,15.5,15.5,14.6,14.9,26290.0
PRIMETEX,2025-03-18,15.3,15.8,14.6,14.8,73378.0
PRIMETEX,2025-03-17,15.4,15.4,14.6,15.2,50748.0
PRIMETEX,2025-03-16,15.1,15.4,15.1,15.2,6496.0
PRIMETEX,2025-03-13,15.4,15.5,15.2,15.4,22649.0
PRIMETEX,2025-03-12,15.0,15.6,14.9,15.2,34548.0
PRIMETEX,2025-03-11,14.9,15.1,14.7,14.8,26821.0
PRIMETEX,2025-03-10,14.8,15.0,14.6,14.9,13208.0
PRIMETEX,2025-03-09,14.7,15.0,14.0,14.7,66505.0
PRIMETEX,2025-03-06,15.5,15.5,14.4,14.7,66230.0
PRIMETEX,2025-03-05,15.3,15.8,14.6,14.9,36544.0
PRIMETEX,2025-03-04,15.3,16.0,15.2,15.7,124500.0
PRIMETEX,2025-03-03,16.4,16.7,15.3,15.3,59058.0
PRIMETEX,2025-03-02,16.7,17.1,15.8,15.9,95575.0
PRIMETEX,2025-02-27,14.9,15.8,14.4,15.8,227687.0
PRIMETEX,2025-02-26,14.5,14.7,14.3,14.4,38021.0
PRIMETEX,2025-02-25,14.5,14.9,14.0,14.6,42101.0
PRIMETEX,2025-02-24,14.0,14.4,14.0,14.2,45137.0
PRIMETEX,2025-02-23,14.0,14.0,13.7,13.8,8527.0
PRIMETEX,2025-02-20,14.3,14.4,13.8,13.9,17490.0
PRIMETEX,2025-02-19,14.2,14.2,13.7,14.0,5308.0
PRIMETEX,2025-02-18,14.8,14.8,13.5,13.7,27867.0
PRIMETEX,2025-02-17,14.0,14.2,13.6,13.8,56701.0
PRIMETEX,2025-02-16,14.5,14.5,13.5,13.6,89554.0
PRIMETEX,2025-02-13,14.6,14.7,14.0,14.3,39028.0
PRIMETEX,2025-02-12,13.9,14.5,12.8,14.4,66938.0
PRIMETEX,2025-02-11,14.4,14.7,13.9,14.1,63721.0
PRIMETEX,2025-02-10,14.8,14.9,14.3,14.3,17887.0
PRIMETEX,2025-02-09,14.7,15.1,14.4,14.5,40420.0
PRIMETEX,2025-02-06,14.6,15.0,14.2,14.9,95066.0
PRIMETEX,2025-02-05,15.3,15.3,13.5,14.4,49314.0
PRIMETEX,2025-02-04,14.9,15.7,14.5,14.9,53321.0
PRIMETEX,2025-02-03,14.8,15.3,14.3,14.9,73792.0
PRIMETEX,2025-02-02,14.7,15.0,14.5,14.8,38977.0
PRIMETEX,2025-01-30,14.7,15.2,14.3,14.8,86945.0
PRIMETEX,2025-01-29,13.8,14.8,13.5,14.5,89077.0
PRIMETEX,2025-01-28,14.7,15.0,13.8,13.8,23654.0
PRIMETEX,2025-01-27,14.4,14.7,14.0,14.4,340554.0
PRIMETEX,2025-01-26,12.7,13.9,12.5,13.6,156210.0
PRIMETEX,2025-01-23,12.4,12.9,12.4,12.8,42471.0
PRIMETEX,2025-01-22,12.8,13.0,12.4,12.5,20062.0
PRIMETEX,2025-01-21,12.8,12.8,12.4,12.7,15122.0
PRIMETEX,2025-01-20,12.3,12.8,12.3,12.5,45782.0
PRIMETEX,2025-01-19,12.3,12.5,12.0,12.3,28119.0
PRIMETEX,2025-01-16,12.2,12.5,12.1,12.2,16241.0
PRIMETEX,2025-01-15,12.5,12.5,12.2,12.2,17067.0
PRIMETEX,2025-01-14,12.1,12.5,12.0,12.2,16166.0
PRIMETEX,2025-01-13,12.4,12.4,12.1,12.1,15605.0
PRIMETEX,2025-01-12,12.3,12.4,12.2,12.2,8163.0
PRIMETEX,2025-01-09,12.5,12.5,12.1,12.3,19240.0
PRIMETEX,2025-01-08,11.0,12.4,11.0,12.4,19048.0
PRIMETEX,2025-01-07,12.2,12.2,12.0,12.0,36848.0
PRIMETEX,2025-01-06,12.4,12.4,11.8,12.0,49504.0
PRIMETEX,2025-01-05,12.2,12.4,12.0,12.2,12154.0
PRIMETEX,2025-01-02,12.0,12.3,11.8,11.9,26074.0
PRIMETEX,2025-01-01,12.1,12.3,11.9,12.0,18351.0
PRIMETEX,2024-12-30,12.3,12.3,12.0,12.0,30985.0
PRIMETEX,2024-12-29,12.2,12.4,12.1,12.3,16000.0
PRIMETEX,2024-12-26,12.2,12.5,12.2,12.3,10859.0
PRIMETEX,2024-12-24,12.1,12.5,12.0,12.2,14143.0
PRIMETEX,2024-12-23,12.2,12.5,11.9,12.0,38615.0
PRIMETEX,2024-12-22,12.0,12.8,12.0,12.1,44491.0
PRIMETEX,2024-12-19,13.3,13.3,12.6,12.7,13201.0
PRIMETEX,2024-12-18,13.1,13.1,12.8,12.9,8217.0
PRIMETEX,2024-12-17,13.5,13.5,12.9,13.2,8251.0
PRIMETEX,2024-12-15,12.9,13.5,12.7,13.2,38720.0
PRIMETEX,2024-12-12,13.0,13.0,12.5,12.7,71104.0
PRIMETEX,2024-12-11,12.9,13.1,12.5,12.9,14273.0
PRIMETEX,2024-12-10,13.0,13.0,12.5,12.9,23276.0
PRIMETEX,2024-12-09,12.8,13.0,12.7,12.8,42549.0
PRIMETEX,2024-12-08,12.6,12.8,12.6,12.7,15005.0
PRIMETEX,2024-12-05,12.2,12.6,12.2,12.5,42529.0
PRIMETEX,2024-12-04,12.8,12.8,12.4,12.5,42357.0
PRIMETEX,2024-12-03,12.8,12.8,12.2,12.3,62772.0
PRIMETEX,2024-12-02,12.3,12.9,12.3,12.7,25457.0
PRIMETEX,2024-12-01,12.9,12.9,12.5,12.5,6420.0
PRIMETEX,2024-11-28,12.7,13.0,12.3,12.4,39787.0
PRIMETEX,2024-11-27,12.4,12.6,12.3,12.4,14050.0
PRIMETEX,2024-11-26,12.6,12.8,12.0,12.1,23119.0
PRIMETEX,2024-11-25,12.5,12.5,11.9,12.3,15761.0
PRIMETEX,2024-11-24,12.6,12.6,12.0,12.3,1753.0
PRIMETEX,2024-11-21,12.6,12.7,12.0,12.0,28899.0
PRIMETEX,2024-11-20,12.6,12.9,12.0,12.3,20804.0
PRIMETEX,2024-11-19,12.2,12.8,12.2,12.6,27226.0
PRIMETEX,2024-11-18,12.5,12.8,12.2,12.5,28090.0
