Trading_Code,Date,Open,High,Low,Close,Volume
PROGRESLIF,2025-04-08,72.7,75.8,72.6,74.3,162649.0
PROGRESLIF,2025-04-07,76.9,79.9,71.0,71.3,217495.0
PROGRESLIF,2025-04-06,68.1,74.3,68.1,74.0,147613.0
PROGRESLIF,2025-03-27,62.1,68.6,62.1,68.1,109596.0
PROGRESLIF,2025-03-25,63.3,65.7,62.0,63.1,97045.0
PROGRESLIF,2025-03-24,68.0,68.7,62.0,63.3,129340.0
PROGRESLIF,2025-03-23,62.4,68.3,62.4,66.6,144030.0
PROGRESLIF,2025-03-20,58.8,63.5,56.3,62.3,118109.0
PROGRESLIF,2025-03-19,59.8,62.5,56.7,57.8,98961.0
PROGRESLIF,2025-03-18,53.4,57.0,51.9,57.0,118005.0
PROGRESLIF,2025-03-17,50.7,52.5,50.7,51.9,79120.0
PROGRESLIF,2025-03-16,51.2,51.3,48.1,49.9,42812.0
PROGRESLIF,2025-03-13,49.1,49.5,47.6,47.9,73568.0
PROGRESLIF,2025-03-12,51.5,51.9,48.6,49.1,106899.0
PROGRESLIF,2025-03-11,49.6,51.5,49.6,50.6,60075.0
PROGRESLIF,2025-03-10,49.7,50.5,47.0,49.1,86225.0
PROGRESLIF,2025-03-09,45.9,48.5,45.0,47.8,85090.0
PROGRESLIF,2025-03-06,46.7,47.5,44.6,45.8,68301.0
PROGRESLIF,2025-03-05,43.7,46.5,42.2,45.8,78355.0
PROGRESLIF,2025-03-04,40.0,43.1,38.7,42.4,87342.0
PROGRESLIF,2025-03-03,40.2,40.4,38.9,39.2,25491.0
PROGRESLIF,2025-03-02,37.0,39.9,37.0,39.6,46149.0
PROGRESLIF,2025-02-27,40.0,40.0,37.0,38.9,10943.0
PROGRESLIF,2025-02-26,37.0,37.8,36.5,36.7,2627.0
PROGRESLIF,2025-02-25,38.0,38.0,37.0,37.1,4306.0
PROGRESLIF,2025-02-24,37.6,37.7,36.7,37.5,8755.0
PROGRESLIF,2025-02-23,37.0,37.1,36.3,36.4,15096.0
PROGRESLIF,2025-02-20,35.1,37.0,35.1,36.5,11260.0
PROGRESLIF,2025-02-19,35.2,35.8,35.0,35.0,8102.0
PROGRESLIF,2025-02-18,36.0,36.5,35.1,35.4,7060.0
