Trading_Code,Date,Open,High,Low,Close,Volume
PTL,2025-04-08,43.0,44.3,43.0,43.4,30581.0
PTL,2025-04-07,45.2,45.2,43.6,43.7,62771.0
PTL,2025-04-06,45.0,45.0,42.9,44.3,76533.0
PTL,2025-03-27,45.5,46.0,44.7,45.0,34755.0
PTL,2025-03-25,45.7,47.5,45.4,45.5,38804.0
PTL,2025-03-24,47.0,47.4,45.2,45.6,28776.0
PTL,2025-03-23,46.5,47.6,46.4,46.5,20934.0
PTL,2025-03-20,47.2,48.0,46.5,47.2,159723.0
PTL,2025-03-19,46.7,47.2,46.7,46.9,66173.0
PTL,2025-03-18,47.3,47.3,46.6,46.7,92187.0
PTL,2025-03-17,46.9,47.5,46.4,46.5,151489.0
PTL,2025-03-16,47.1,47.9,46.4,46.8,141219.0
PTL,2025-03-13,47.8,47.8,46.7,47.1,86498.0
PTL,2025-03-12,47.9,48.0,46.6,46.9,184525.0
PTL,2025-03-11,47.0,48.2,46.7,47.4,146030.0
PTL,2025-03-10,47.2,48.5,47.0,47.0,53900.0
PTL,2025-03-09,47.0,48.0,46.7,47.8,75010.0
PTL,2025-03-06,48.0,48.0,46.6,46.9,140053.0
PTL,2025-03-05,48.3,48.5,47.0,47.3,177221.0
PTL,2025-03-04,48.7,48.7,47.8,48.0,41221.0
PTL,2025-03-03,48.2,48.9,48.0,48.3,40016.0
PTL,2025-03-02,49.0,49.7,48.3,48.5,106723.0
PTL,2025-02-27,48.9,49.0,48.2,48.4,148957.0
PTL,2025-02-26,48.4,49.0,47.6,48.3,103849.0
PTL,2025-02-25,48.0,48.2,47.1,48.0,343952.0
PTL,2025-02-24,45.3,48.8,45.3,47.9,40050.0
PTL,2025-02-23,48.5,48.5,47.9,48.0,31454.0
PTL,2025-02-20,48.9,49.0,47.5,48.0,69188.0
PTL,2025-02-19,48.2,49.5,47.7,47.9,61355.0
PTL,2025-02-18,49.4,49.6,48.2,48.3,133925.0
PTL,2025-02-17,47.6,49.5,47.6,48.9,121334.0
PTL,2025-02-16,48.9,49.4,47.7,47.9,54139.0
PTL,2025-02-13,50.0,50.0,48.0,48.3,113683.0
PTL,2025-02-12,48.0,49.8,47.3,49.2,434633.0
PTL,2025-02-11,46.9,48.0,46.5,47.8,75728.0
PTL,2025-02-10,46.1,48.0,46.1,46.8,66203.0
PTL,2025-02-09,46.3,47.4,45.2,46.6,180445.0
PTL,2025-02-06,46.0,46.6,45.4,45.7,85898.0
PTL,2025-02-05,45.5,46.5,44.6,46.2,113858.0
PTL,2025-02-04,45.8,46.5,45.1,45.4,88084.0
PTL,2025-02-03,46.8,47.4,45.9,46.0,49292.0
PTL,2025-02-02,45.7,47.1,45.7,46.8,60023.0
PTL,2025-01-30,48.2,48.2,46.2,46.4,57926.0
PTL,2025-01-29,47.4,48.6,46.9,47.5,39988.0
PTL,2025-01-28,47.0,48.5,47.0,47.4,141932.0
PTL,2025-01-27,47.7,49.0,47.4,47.8,440125.0
PTL,2025-01-26,48.3,49.0,47.3,47.7,187727.0
PTL,2025-01-23,45.2,48.5,45.0,48.2,455012.0
PTL,2025-01-22,44.9,45.6,44.4,44.9,63047.0
PTL,2025-01-21,45.0,45.1,44.1,44.8,56057.0
PTL,2025-01-20,44.8,45.3,44.4,44.6,62402.0
PTL,2025-01-19,45.8,45.8,44.8,45.0,62325.0
PTL,2025-01-16,43.7,45.5,43.7,45.1,92062.0
PTL,2025-01-15,44.8,45.5,44.8,44.9,107038.0
PTL,2025-01-14,44.0,45.0,44.0,44.9,45393.0
PTL,2025-01-13,44.2,44.4,43.8,44.0,47611.0
PTL,2025-01-12,45.6,45.6,43.6,44.2,103465.0
PTL,2025-01-09,48.9,48.9,44.2,45.4,52954.0
PTL,2025-01-08,45.6,45.6,43.9,44.5,68024.0
PTL,2025-01-07,46.0,46.0,44.3,44.4,47626.0
PTL,2025-01-06,45.8,45.8,43.7,44.6,47887.0
PTL,2025-01-05,45.0,45.3,43.6,43.7,57972.0
PTL,2025-01-02,46.5,46.5,44.7,45.0,66749.0
PTL,2025-01-01,47.0,47.0,45.6,46.0,56930.0
PTL,2024-12-30,47.0,47.0,46.3,46.9,75687.0
PTL,2024-12-29,46.7,47.0,45.9,46.8,84656.0
PTL,2024-12-26,47.7,47.7,45.8,46.0,30507.0
PTL,2024-12-24,47.8,47.8,45.9,46.1,41372.0
PTL,2024-12-23,46.9,47.7,46.2,46.5,33384.0
PTL,2024-12-22,47.9,47.9,46.1,46.4,33039.0
PTL,2024-12-19,47.7,48.7,46.9,47.5,38546.0
PTL,2024-12-18,49.5,49.5,47.0,47.2,93318.0
