Trading_Code,Date,Open,High,Low,Close,Volume
QSMSILK,2010-12-08,11.8,11.8,11.8,11.8,500.0
QSMSILK,2010-12-07,9.2,10.0,9.0,9.1,6500.0
QSMSILK,2010-12-05,13.6,14.2,13.6,13.7,3500.0
QSMSILK,2010-12-04,15.8,15.9,15.0,15.7,17000.0
QSMSILK,2010-12-01,14.2,15.0,14.1,14.6,7500.0
QSMSILK,2010-11-08,11.5,11.5,10.5,11.1,1500.0
QSMSILK,2010-11-07,10.0,10.0,10.0,10.0,3500.0
QSMSILK,2010-11-05,13.7,14.7,13.7,14.0,2000.0
QSMSILK,2010-11-04,14.4,15.5,14.4,14.9,12500.0
QSMSILK,2010-11-03,13.1,14.3,13.1,13.9,12500.0
QSMSILK,2010-11-02,15.5,16.0,15.1,15.3,6000.0
QSMSILK,2010-11-01,14.3,14.3,14.0,14.1,13000.0
QSMSILK,2010-10-08,12.2,12.5,11.8,12.1,10000.0
QSMSILK,2010-10-06,13.4,13.4,12.3,12.6,4000.0
QSMSILK,2010-10-05,14.0,14.5,14.0,14.0,3000.0
QSMSILK,2010-10-03,14.0,14.5,13.7,14.0,9000.0
QSMSILK,2010-10-02,15.5,15.5,15.3,15.4,1500.0
QSMSILK,2010-10-01,13.7,14.9,13.7,14.4,4500.0
QSMSILK,2010-09-30,11.9,13.0,11.9,12.1,52500.0
QSMSILK,2010-09-29,15.4,15.4,12.0,12.9,33500.0
QSMSILK,2010-09-28,14.5,15.2,14.5,14.9,9500.0
QSMSILK,2010-09-27,14.5,15.6,14.1,15.4,25000.0
QSMSILK,2010-09-26,15.7,15.9,15.0,15.5,51000.0
QSMSILK,2010-09-23,15.4,16.2,14.4,15.2,21500.0
QSMSILK,2010-09-22,14.7,15.7,14.7,15.0,13500.0
QSMSILK,2010-09-21,14.5,15.7,14.3,14.8,26000.0
QSMSILK,2010-09-20,13.2,14.5,13.2,14.0,30500.0
QSMSILK,2010-09-19,12.9,14.1,12.9,13.2,12000.0
QSMSILK,2010-09-16,13.0,13.0,12.1,12.4,8000.0
QSMSILK,2010-09-15,13.4,13.5,12.8,13.0,9500.0
QSMSILK,2010-09-14,13.5,13.5,13.0,13.1,4500.0
QSMSILK,2010-09-08,12.0,12.0,11.5,11.7,8500.0
QSMSILK,2010-09-06,12.3,12.4,12.3,12.3,4000.0
QSMSILK,2010-09-05,13.2,15.2,13.2,14.5,4000.0
QSMSILK,2010-09-03,14.0,14.0,13.9,13.9,1500.0
QSMSILK,2010-09-02,16.4,16.5,15.1,15.7,7000.0
QSMSILK,2010-08-29,10.5,11.9,10.5,11.2,6000.0
QSMSILK,2010-08-26,10.8,11.0,10.8,10.9,4000.0
QSMSILK,2010-08-25,10.1,11.0,10.1,10.5,1000.0
QSMSILK,2010-08-24,11.0,11.0,10.8,10.9,3000.0
QSMSILK,2010-08-19,12.5,12.5,11.0,11.4,4000.0
QSMSILK,2010-08-18,11.6,11.7,11.6,11.6,2500.0
QSMSILK,2010-08-17,12.1,12.1,11.5,11.6,3500.0
QSMSILK,2010-08-16,11.8,12.0,11.8,11.8,8000.0
QSMSILK,2010-08-09,13.0,13.7,12.5,13.4,25500.0
QSMSILK,2010-08-08,10.7,12.2,10.7,11.7,8500.0
QSMSILK,2010-08-07,10.0,10.1,9.8,9.9,3500.0
QSMSILK,2010-08-06,12.5,13.0,12.3,12.4,4500.0
QSMSILK,2010-08-04,14.8,15.4,14.8,15.0,6000.0
QSMSILK,2010-08-02,15.5,16.3,15.4,15.6,4000.0
QSMSILK,2010-07-29,9.9,10.7,9.9,10.1,2000.0
QSMSILK,2010-07-27,10.0,10.5,10.0,10.2,7500.0
QSMSILK,2010-07-26,10.0,11.0,9.2,10.0,7000.0
QSMSILK,2010-07-25,10.1,10.1,10.0,10.0,5000.0
QSMSILK,2010-07-22,10.8,11.5,10.5,10.9,8500.0
QSMSILK,2010-07-21,9.8,10.1,9.8,9.9,2000.0
QSMSILK,2010-07-20,10.4,10.4,9.8,10.1,10000.0
QSMSILK,2010-07-19,9.5,10.0,9.5,9.7,3500.0
QSMSILK,2010-07-18,8.7,8.7,8.7,8.7,1000.0
QSMSILK,2010-07-15,9.9,9.9,9.3,9.4,2500.0
QSMSILK,2010-07-14,9.0,9.3,9.0,9.1,3500.0
QSMSILK,2010-07-13,9.1,10.0,9.1,9.4,2500.0
QSMSILK,2010-07-07,10.3,10.9,10.3,10.6,4500.0
QSMSILK,2010-07-06,12.3,12.3,12.2,12.2,5500.0
QSMSILK,2010-07-04,15.1,15.4,14.3,15.1,12500.0
QSMSILK,2010-07-03,14.1,15.0,14.1,14.5,5000.0
QSMSILK,2010-07-02,16.7,16.7,15.0,15.6,7000.0
QSMSILK,2010-07-01,14.4,14.5,13.7,14.1,12500.0
QSMSILK,2010-06-30,9.0,9.7,8.9,9.1,5500.0
QSMSILK,2010-06-29,8.3,9.0,8.3,8.6,3000.0
QSMSILK,2010-06-28,10.0,10.0,8.6,8.9,5000.0
QSMSILK,2010-06-27,9.7,9.7,9.7,9.7,1500.0
QSMSILK,2010-06-24,11.0,11.0,10.6,10.7,3000.0
QSMSILK,2010-06-23,10.6,10.6,10.5,10.5,3000.0
QSMSILK,2010-06-22,10.8,10.9,10.5,10.8,18000.0
QSMSILK,2010-06-20,11.0,11.0,11.0,11.0,500.0
QSMSILK,2010-06-17,11.1,11.1,11.1,11.1,1000.0
QSMSILK,2010-06-16,11.3,11.9,11.1,11.4,14000.0
QSMSILK,2010-06-15,11.6,12.0,11.6,11.8,4000.0
QSMSILK,2010-06-14,12.0,12.0,12.0,12.0,2500.0
QSMSILK,2010-06-13,12.2,12.3,12.2,12.2,5500.0
QSMSILK,2010-06-09,13.0,13.0,12.1,12.6,21000.0
QSMSILK,2010-06-07,10.0,10.1,9.9,9.9,6000.0
QSMSILK,2010-06-06,12.6,12.6,12.2,12.4,10000.0
QSMSILK,2010-06-05,15.2,15.2,14.2,14.6,4000.0
QSMSILK,2010-06-04,14.3,15.3,14.3,14.9,9000.0
QSMSILK,2010-06-01,14.0,14.0,14.0,14.0,1000.0
QSMSILK,2010-05-31,12.8,12.8,12.5,12.7,5000.0
QSMSILK,2010-05-30,12.5,12.6,12.5,12.5,1500.0
QSMSILK,2010-05-26,13.8,14.0,12.8,12.9,23500.0
QSMSILK,2010-05-25,13.8,14.2,13.7,13.9,3500.0
QSMSILK,2010-05-24,13.0,13.5,12.7,13.0,7500.0
QSMSILK,2010-05-23,12.5,14.0,12.5,13.5,7000.0
QSMSILK,2010-05-19,13.6,13.7,13.6,13.6,1500.0
QSMSILK,2010-05-18,13.8,13.8,13.7,13.7,6500.0
QSMSILK,2010-05-17,13.8,14.4,13.6,13.8,10500.0
QSMSILK,2010-05-16,14.0,14.0,14.0,14.0,1000.0
QSMSILK,2010-05-13,14.3,14.3,13.8,14.1,5500.0
QSMSILK,2010-05-09,10.2,12.6,10.2,12.1,15500.0
QSMSILK,2010-05-08,11.0,12.0,11.0,11.6,12500.0
QSMSILK,2010-05-07,9.2,9.9,9.2,9.5,2000.0
QSMSILK,2010-05-05,15.2,15.4,14.3,15.0,20000.0
QSMSILK,2010-05-04,14.8,15.0,14.6,14.8,1500.0
QSMSILK,2010-05-01,14.0,14.2,14.0,14.0,3000.0
QSMSILK,2010-04-29,15.9,15.9,15.1,15.5,11500.0
QSMSILK,2010-04-28,15.1,16.4,15.1,15.9,20500.0
QSMSILK,2010-04-27,14.8,15.3,14.8,14.9,29000.0
QSMSILK,2010-04-26,15.4,15.4,14.6,15.0,15500.0
QSMSILK,2010-04-25,14.4,15.4,14.4,14.7,5500.0
QSMSILK,2010-04-22,15.0,15.5,15.0,15.1,12500.0
QSMSILK,2010-04-21,15.5,15.7,14.9,15.4,13500.0
QSMSILK,2010-04-20,15.7,15.8,14.9,15.5,10500.0
QSMSILK,2010-04-19,14.9,14.9,14.8,14.8,1500.0
QSMSILK,2010-04-18,14.5,15.8,14.5,15.3,4500.0
QSMSILK,2010-04-15,15.0,15.0,15.0,15.0,500.0
QSMSILK,2010-04-13,15.9,16.0,15.1,15.6,12500.0
QSMSILK,2010-04-08,11.0,11.9,11.0,11.7,9000.0
QSMSILK,2010-04-07,9.1,10.3,8.5,9.4,11000.0
QSMSILK,2010-04-03,14.0,15.1,14.0,14.4,7000.0
QSMSILK,2010-04-02,15.8,16.0,15.5,15.7,5000.0
QSMSILK,2010-04-01,14.2,15.0,14.2,14.7,2500.0
QSMSILK,2010-03-31,14.7,14.7,14.7,14.7,500.0
QSMSILK,2010-03-30,14.5,15.0,14.5,14.8,2500.0
QSMSILK,2010-03-29,17.0,17.0,15.2,15.9,15500.0
QSMSILK,2010-03-28,15.5,16.3,15.1,15.9,46000.0
QSMSILK,2010-03-25,14.4,15.9,14.4,15.5,33000.0
QSMSILK,2010-03-24,13.8,14.5,13.5,13.8,16000.0
QSMSILK,2010-03-23,15.0,15.0,13.8,14.0,17000.0
QSMSILK,2010-03-22,13.3,14.0,13.3,13.8,4500.0
QSMSILK,2010-03-21,13.9,14.4,13.5,13.7,11000.0
QSMSILK,2010-03-18,13.9,13.9,13.9,13.9,500.0
QSMSILK,2010-03-16,13.9,14.1,13.9,14.0,2500.0
QSMSILK,2010-03-15,14.5,14.5,14.5,14.5,1000.0
QSMSILK,2010-03-14,13.3,13.9,13.2,13.4,10500.0
QSMSILK,2010-03-08,11.0,11.5,11.0,11.2,15000.0
QSMSILK,2010-03-06,13.6,13.6,12.6,12.9,10000.0
QSMSILK,2010-03-05,14.2,14.2,14.2,14.2,1500.0
QSMSILK,2010-03-03,13.8,13.8,13.8,13.8,1000.0
QSMSILK,2010-03-02,15.1,16.0,15.1,15.8,2500.0
QSMSILK,2010-03-01,14.6,14.6,13.2,14.1,3000.0
QSMSILK,2010-02-28,15.0,15.0,14.9,14.9,2500.0
QSMSILK,2010-02-25,14.5,15.0,14.4,14.6,5000.0
QSMSILK,2010-02-24,13.8,14.1,13.8,13.8,7500.0
QSMSILK,2010-02-23,14.6,15.0,13.5,14.3,7500.0
QSMSILK,2010-02-22,14.5,14.9,14.5,14.6,3500.0
QSMSILK,2010-02-17,15.0,16.0,14.9,15.4,8500.0
QSMSILK,2010-02-16,15.0,16.0,14.0,15.1,5500.0
