Trading_Code,Date,Open,High,Low,Close,Volume
QSMTEX,2009-12-05,6.6,6.6,6.6,6.6,1500.0
QSMTEX,2009-12-04,7.9,8.6,7.9,8.4,6000.0
QSMTEX,2009-12-02,7.0,7.0,7.0,7.0,2500.0
QSMTEX,2009-12-01,3.3,3.7,3.3,3.5,2500.0
QSMTEX,2009-11-06,7.0,7.0,7.0,7.0,500.0
QSMTEX,2009-11-02,7.1,7.1,7.0,7.0,7000.0
QSMTEX,2009-10-02,7.5,8.1,7.4,7.5,8500.0
QSMTEX,2009-09-04,7.0,7.6,7.0,7.2,9500.0
QSMTEX,2009-08-06,7.7,7.8,7.6,7.6,4500.0
QSMTEX,2009-08-04,6.3,6.8,6.3,6.4,4500.0
QSMTEX,2009-08-02,7.9,8.0,7.8,7.8,2500.0
QSMTEX,2009-07-06,7.9,7.9,7.9,7.9,1500.0
QSMTEX,2009-07-05,6.5,7.0,6.5,6.6,1500.0
QSMTEX,2009-07-04,6.3,6.3,6.1,6.2,3000.0
QSMTEX,2009-06-30,12.8,15.5,12.8,14.0,15000.0
QSMTEX,2009-06-29,14.0,14.0,12.0,13.0,10000.0
QSMTEX,2009-06-28,15.3,15.4,14.0,14.9,12000.0
QSMTEX,2009-06-25,14.0,15.4,14.0,15.1,12000.0
QSMTEX,2009-06-24,12.5,13.5,12.5,12.9,8500.0
QSMTEX,2009-06-23,11.7,12.6,11.6,12.1,12500.0
QSMTEX,2009-06-22,11.4,12.3,11.3,11.6,32500.0
QSMTEX,2009-06-21,10.0,11.0,10.0,10.8,17500.0
QSMTEX,2009-06-18,8.5,9.3,8.5,9.2,21000.0
QSMTEX,2009-06-17,7.7,8.0,7.7,7.8,3000.0
QSMTEX,2009-06-14,6.5,7.5,6.5,7.0,3500.0
QSMTEX,2009-06-04,6.4,6.4,6.1,6.2,4000.0
QSMTEX,2009-06-01,3.5,3.5,3.5,3.5,500.0
