Trading_Code,Date,Open,High,Low,Close,Volume
RAHIMAFOOD,2025-04-08,79.7,81.8,77.2,81.5,99911.0
RAHIMAFOOD,2025-04-07,77.2,79.5,77.2,77.9,22878.0
RAHIMAFOOD,2025-04-06,78.6,78.9,77.0,77.3,19332.0
RAHIMAFOOD,2025-03-27,79.5,79.5,78.6,78.9,11394.0
RAHIMAFOOD,2025-03-25,79.1,79.8,78.6,79.4,26505.0
RAHIMAFOOD,2025-03-24,78.9,79.5,78.5,79.1,18203.0
RAHIMAFOOD,2025-03-23,78.5,79.8,78.2,78.4,19331.0
RAHIMAFOOD,2025-03-20,79.5,79.5,78.0,78.7,61269.0
RAHIMAFOOD,2025-03-19,81.2,81.2,79.0,79.1,96322.0
RAHIMAFOOD,2025-03-18,81.6,81.7,80.6,81.2,31053.0
RAHIMAFOOD,2025-03-17,81.6,82.0,80.0,80.8,58526.0
RAHIMAFOOD,2025-03-16,82.0,82.6,81.0,81.4,42480.0
RAHIMAFOOD,2025-03-13,82.3,83.4,82.0,82.3,26301.0
RAHIMAFOOD,2025-03-12,83.0,83.6,82.0,82.3,29777.0
RAHIMAFOOD,2025-03-11,82.0,83.4,82.0,82.7,34703.0
RAHIMAFOOD,2025-03-10,83.0,83.6,81.2,81.8,86152.0
RAHIMAFOOD,2025-03-09,85.0,85.0,82.4,82.9,15087.0
RAHIMAFOOD,2025-03-06,84.7,85.9,83.8,84.2,31832.0
RAHIMAFOOD,2025-03-05,84.7,86.4,84.1,84.2,31105.0
RAHIMAFOOD,2025-03-04,85.8,86.8,83.8,84.6,55222.0
RAHIMAFOOD,2025-03-03,86.8,89.2,85.3,85.8,91830.0
RAHIMAFOOD,2025-03-02,83.7,87.0,83.0,86.0,148257.0
RAHIMAFOOD,2025-02-27,83.0,83.9,82.1,82.9,37656.0
RAHIMAFOOD,2025-02-26,83.0,83.0,81.8,82.0,34318.0
RAHIMAFOOD,2025-02-25,83.7,83.9,82.1,82.3,66935.0
RAHIMAFOOD,2025-02-24,83.7,84.9,83.0,83.6,75955.0
RAHIMAFOOD,2025-02-23,82.3,84.5,82.3,83.7,68770.0
RAHIMAFOOD,2025-02-20,83.6,83.6,81.6,82.2,69008.0
RAHIMAFOOD,2025-02-19,84.7,84.7,82.1,82.5,44728.0
RAHIMAFOOD,2025-02-18,83.2,85.8,82.7,83.8,153187.0
RAHIMAFOOD,2025-02-17,82.9,84.6,81.9,82.5,77852.0
RAHIMAFOOD,2025-02-16,82.0,83.3,80.4,82.4,77747.0
RAHIMAFOOD,2025-02-13,82.0,82.0,79.8,80.1,67666.0
RAHIMAFOOD,2025-02-12,85.0,85.0,80.5,81.2,117887.0
RAHIMAFOOD,2025-02-11,81.6,81.8,78.2,80.0,32554.0
RAHIMAFOOD,2025-02-10,79.4,81.9,79.2,81.0,36264.0
RAHIMAFOOD,2025-02-09,80.5,81.5,79.2,79.3,23067.0
RAHIMAFOOD,2025-02-06,83.0,83.0,80.5,80.5,18008.0
RAHIMAFOOD,2025-02-05,78.7,82.7,77.0,80.4,86562.0
RAHIMAFOOD,2025-02-04,76.6,77.5,72.3,77.2,39677.0
RAHIMAFOOD,2025-02-03,78.9,80.6,78.3,78.7,38730.0
RAHIMAFOOD,2025-02-02,80.8,80.8,76.0,78.2,85542.0
RAHIMAFOOD,2025-01-30,83.4,83.4,80.0,80.6,55292.0
RAHIMAFOOD,2025-01-29,82.4,83.6,82.0,82.2,26141.0
RAHIMAFOOD,2025-01-28,84.2,85.0,81.2,82.4,56437.0
RAHIMAFOOD,2025-01-27,85.0,87.0,83.1,83.8,54602.0
RAHIMAFOOD,2025-01-26,86.1,86.6,83.4,83.9,71511.0
RAHIMAFOOD,2025-01-23,88.4,89.5,85.3,86.1,61682.0
RAHIMAFOOD,2025-01-22,86.0,92.2,86.0,87.6,159024.0
RAHIMAFOOD,2025-01-21,86.3,88.9,85.0,85.2,96417.0
RAHIMAFOOD,2025-01-20,85.8,88.4,85.7,86.2,89653.0
RAHIMAFOOD,2025-01-19,87.0,90.5,86.9,87.3,156398.0
RAHIMAFOOD,2025-01-16,81.8,87.4,81.1,86.9,248970.0
RAHIMAFOOD,2025-01-15,80.7,81.8,78.5,79.5,34615.0
RAHIMAFOOD,2025-01-14,80.4,81.8,79.6,80.6,32381.0
RAHIMAFOOD,2025-01-13,78.0,80.4,78.0,79.6,37956.0
RAHIMAFOOD,2025-01-12,80.5,80.9,78.1,78.4,21735.0
RAHIMAFOOD,2025-01-09,80.0,80.0,79.1,79.7,18097.0
RAHIMAFOOD,2025-01-08,79.8,80.0,78.5,78.9,24526.0
RAHIMAFOOD,2025-01-07,82.0,83.1,77.0,79.9,51137.0
RAHIMAFOOD,2025-01-06,78.6,81.4,78.4,81.0,56296.0
RAHIMAFOOD,2025-01-05,80.5,81.3,77.9,78.3,46191.0
RAHIMAFOOD,2025-01-02,82.3,83.1,81.2,81.4,42800.0
RAHIMAFOOD,2025-01-01,84.8,84.8,82.2,82.4,22772.0
RAHIMAFOOD,2024-12-30,82.6,84.4,82.6,83.3,39848.0
RAHIMAFOOD,2024-12-29,84.0,84.8,83.3,83.5,18935.0
RAHIMAFOOD,2024-12-26,83.0,84.0,81.9,83.4,19624.0
RAHIMAFOOD,2024-12-24,85.8,85.8,82.0,82.4,16548.0
RAHIMAFOOD,2024-12-23,84.2,84.4,82.7,82.9,13970.0
RAHIMAFOOD,2024-12-22,85.8,86.0,83.5,83.7,24189.0
RAHIMAFOOD,2024-12-19,87.8,87.8,85.3,85.8,32995.0
RAHIMAFOOD,2024-12-18,88.0,89.8,86.0,86.3,47171.0
RAHIMAFOOD,2024-12-17,88.6,89.9,87.4,87.9,32472.0
RAHIMAFOOD,2024-12-15,84.7,88.6,84.7,88.3,58680.0
RAHIMAFOOD,2024-12-12,84.1,86.1,84.1,85.2,14569.0
RAHIMAFOOD,2024-12-11,86.3,86.4,84.5,85.3,44655.0
RAHIMAFOOD,2024-12-10,87.0,88.7,86.0,86.3,58914.0
RAHIMAFOOD,2024-12-09,87.2,90.2,86.7,86.9,36524.0
RAHIMAFOOD,2024-12-08,88.5,89.7,86.6,88.2,34223.0
RAHIMAFOOD,2024-12-05,92.8,93.5,89.1,89.7,74581.0
RAHIMAFOOD,2024-12-04,88.9,94.5,88.4,93.4,172190.0
RAHIMAFOOD,2024-12-03,86.0,89.0,85.5,88.2,80117.0
RAHIMAFOOD,2024-12-02,85.0,88.0,84.8,85.7,97216.0
RAHIMAFOOD,2024-12-01,85.2,86.0,83.6,83.9,37515.0
RAHIMAFOOD,2024-11-28,86.0,89.2,85.6,85.8,71038.0
RAHIMAFOOD,2024-11-27,85.3,86.8,84.7,86.0,39627.0
RAHIMAFOOD,2024-11-26,81.6,87.0,80.7,85.2,96275.0
RAHIMAFOOD,2024-11-25,83.0,83.7,80.9,81.3,20782.0
RAHIMAFOOD,2024-11-24,84.1,84.9,82.4,82.7,37128.0
RAHIMAFOOD,2024-11-21,92.0,92.0,83.0,84.7,34366.0
RAHIMAFOOD,2024-11-20,86.0,86.0,83.2,84.1,16188.0
RAHIMAFOOD,2024-11-19,86.2,88.4,83.0,83.8,55321.0
RAHIMAFOOD,2024-11-18,0.0,0.0,0.0,87.0,0.0
RAHIMAFOOD,2024-11-17,89.7,89.7,85.8,87.0,54008.0
RAHIMAFOOD,2024-11-14,87.0,89.8,86.5,88.1,87946.0
RAHIMAFOOD,2024-11-13,88.1,89.3,86.5,87.4,55712.0
RAHIMAFOOD,2024-11-12,89.2,92.3,87.1,87.8,46113.0
RAHIMAFOOD,2024-11-11,89.9,90.8,88.5,89.1,56567.0
RAHIMAFOOD,2024-11-10,89.0,92.0,89.0,89.5,48739.0
RAHIMAFOOD,2024-11-07,96.6,96.6,88.5,90.3,114966.0
RAHIMAFOOD,2024-11-06,98.3,98.9,92.1,94.0,79896.0
RAHIMAFOOD,2024-11-05,98.3,104.6,97.0,98.2,148488.0
RAHIMAFOOD,2024-11-04,88.5,96.2,86.7,96.2,112005.0
RAHIMAFOOD,2024-11-03,87.3,90.9,86.6,87.5,62112.0
RAHIMAFOOD,2024-10-31,88.0,90.0,86.1,87.2,97292.0
RAHIMAFOOD,2024-10-30,80.8,88.9,80.8,87.4,128482.0
RAHIMAFOOD,2024-10-29,74.5,82.2,74.4,81.1,81593.0
RAHIMAFOOD,2024-10-28,75.0,79.2,74.1,75.1,102361.0
RAHIMAFOOD,2024-10-27,85.2,85.2,72.7,73.0,47776.0
RAHIMAFOOD,2024-10-24,79.3,80.9,78.1,80.2,74983.0
RAHIMAFOOD,2024-10-23,86.3,88.0,80.0,80.4,80626.0
RAHIMAFOOD,2024-10-22,85.8,89.8,82.2,87.5,86154.0
RAHIMAFOOD,2024-10-21,84.7,84.7,77.0,82.1,117225.0
RAHIMAFOOD,2024-10-20,93.8,93.8,82.6,83.2,70279.0
RAHIMAFOOD,2024-10-17,97.7,97.7,88.8,90.0,110338.0
RAHIMAFOOD,2024-10-16,101.8,101.8,91.5,93.7,90044.0
RAHIMAFOOD,2024-10-15,100.5,103.9,98.5,99.5,29640.0
