Trading_Code,Date,Open,High,Low,Close,Volume
RAHMANCHEM,2009-12-05,250.0,261.0,240.0,250.25,890.0
RAHMANCHEM,2009-12-04,195.0,229.0,195.0,226.75,1990.0
RAHMANCHEM,2009-12-03,160.0,172.0,160.0,168.5,190.0
RAHMANCHEM,2009-12-02,119.25,119.25,118.0,118.5,260.0
RAHMANCHEM,2009-12-01,108.0,119.5,107.5,115.75,1180.0
RAHMANCHEM,2009-11-06,188.75,200.0,170.0,193.0,1420.0
RAHMANCHEM,2009-11-05,240.0,253.0,240.0,241.75,1540.0
RAHMANCHEM,2009-11-03,150.0,174.0,150.0,159.75,1280.0
RAHMANCHEM,2009-11-02,120.0,124.0,120.0,120.75,980.0
RAHMANCHEM,2009-11-01,103.0,110.0,103.0,108.5,1110.0
RAHMANCHEM,2009-10-06,190.0,190.0,190.0,190.0,10.0
RAHMANCHEM,2009-10-05,230.0,242.0,230.0,237.5,80.0
RAHMANCHEM,2009-10-02,125.0,125.0,120.0,123.25,90.0
RAHMANCHEM,2009-09-06,175.0,182.0,170.0,177.0,80.0
RAHMANCHEM,2009-09-04,189.0,210.0,186.0,206.25,1710.0
RAHMANCHEM,2009-09-03,164.0,165.0,148.0,158.75,270.0
RAHMANCHEM,2009-09-02,127.0,130.0,117.25,123.75,690.0
RAHMANCHEM,2009-08-06,160.0,165.0,160.0,160.0,250.0
RAHMANCHEM,2009-08-04,181.0,184.25,181.0,182.0,190.0
RAHMANCHEM,2009-08-03,165.0,165.0,165.0,165.0,20.0
RAHMANCHEM,2009-08-02,125.0,126.0,125.0,125.25,1050.0
RAHMANCHEM,2009-07-04,175.25,180.0,175.25,178.25,290.0
RAHMANCHEM,2009-07-01,101.0,105.0,100.0,102.25,450.0
RAHMANCHEM,2009-06-30,178.0,185.0,171.0,176.75,650.0
RAHMANCHEM,2009-06-28,182.0,182.0,177.0,179.75,530.0
RAHMANCHEM,2009-06-25,188.0,195.0,185.5,189.5,1360.0
RAHMANCHEM,2009-06-24,166.0,200.0,166.0,191.0,750.0
RAHMANCHEM,2009-06-23,180.0,180.0,164.0,169.0,160.0
RAHMANCHEM,2009-06-22,200.0,200.0,195.0,196.5,30.0
RAHMANCHEM,2009-06-21,218.0,220.0,200.0,212.5,150.0
RAHMANCHEM,2009-06-18,183.0,215.0,183.0,208.25,900.0
RAHMANCHEM,2009-06-17,162.0,189.75,162.0,183.75,920.0
RAHMANCHEM,2009-06-16,185.0,185.0,163.0,169.25,1670.0
RAHMANCHEM,2009-06-15,180.0,190.0,170.0,177.25,110.0
RAHMANCHEM,2009-06-14,200.0,200.0,166.0,170.0,200.0
RAHMANCHEM,2009-06-05,240.0,240.0,235.0,236.5,580.0
RAHMANCHEM,2009-06-04,180.0,180.0,178.0,178.75,1020.0
RAHMANCHEM,2009-06-01,100.0,104.0,99.75,101.25,310.0
RAHMANCHEM,2009-05-27,172.0,172.0,172.0,172.0,110.0
RAHMANCHEM,2009-05-26,190.0,190.0,175.0,182.5,40.0
RAHMANCHEM,2009-05-25,190.0,195.0,190.0,192.5,210.0
RAHMANCHEM,2009-05-21,182.0,195.0,182.0,192.0,710.0
RAHMANCHEM,2009-05-20,167.0,190.0,165.0,174.0,490.0
RAHMANCHEM,2009-05-19,170.0,170.0,170.0,170.0,20.0
RAHMANCHEM,2009-05-14,191.0,191.0,181.0,187.0,1200.0
RAHMANCHEM,2009-05-13,254.0,255.0,254.0,254.25,40.0
RAHMANCHEM,2009-05-05,228.0,240.0,228.0,233.5,800.0
RAHMANCHEM,2009-05-04,182.0,182.75,181.0,181.25,1030.0
RAHMANCHEM,2009-05-03,168.0,169.0,168.0,168.75,170.0
RAHMANCHEM,2009-05-02,135.0,136.0,133.0,134.0,2090.0
RAHMANCHEM,2009-05-01,100.0,100.0,94.0,99.75,1120.0
RAHMANCHEM,2009-04-30,215.0,220.0,214.0,216.5,610.0
RAHMANCHEM,2009-04-29,207.0,214.0,207.0,209.0,760.0
RAHMANCHEM,2009-04-28,210.0,210.0,206.0,208.0,780.0
RAHMANCHEM,2009-04-27,210.0,210.0,210.0,210.0,20.0
RAHMANCHEM,2009-04-26,211.0,215.0,210.0,213.0,790.0
RAHMANCHEM,2009-04-23,210.0,211.0,210.0,210.75,140.0
RAHMANCHEM,2009-04-22,215.5,215.5,207.0,210.5,1750.0
RAHMANCHEM,2009-04-21,215.0,220.0,215.0,219.25,150.0
RAHMANCHEM,2009-04-20,222.0,222.0,206.0,215.5,240.0
RAHMANCHEM,2009-04-19,240.0,240.0,230.0,237.5,1100.0
RAHMANCHEM,2009-04-16,235.0,244.0,235.0,238.5,360.0
RAHMANCHEM,2009-04-15,230.0,235.0,228.75,233.75,350.0
RAHMANCHEM,2009-04-13,216.0,240.0,216.0,231.75,810.0
RAHMANCHEM,2009-04-05,220.0,225.0,220.0,223.25,290.0
RAHMANCHEM,2009-04-03,187.0,187.0,180.0,185.0,780.0
RAHMANCHEM,2009-04-02,125.0,139.0,125.0,134.5,650.0
RAHMANCHEM,2009-04-01,91.0,96.0,90.0,94.25,250.0
RAHMANCHEM,2009-03-31,165.5,177.0,160.0,171.0,710.0
RAHMANCHEM,2009-03-30,160.0,165.0,160.0,164.5,110.0
RAHMANCHEM,2009-03-29,159.0,159.0,158.25,158.75,300.0
RAHMANCHEM,2009-03-25,167.25,170.0,167.25,168.25,40.0
RAHMANCHEM,2009-03-24,176.0,176.0,170.0,171.25,790.0
RAHMANCHEM,2009-03-23,178.0,188.0,178.0,185.0,300.0
RAHMANCHEM,2009-03-22,168.0,178.5,168.0,177.25,320.0
RAHMANCHEM,2009-03-19,155.25,165.0,155.25,163.25,130.0
RAHMANCHEM,2009-03-18,152.25,154.5,152.25,152.75,220.0
RAHMANCHEM,2009-03-17,155.0,166.0,155.0,163.25,160.0
RAHMANCHEM,2009-03-16,165.0,172.0,162.0,164.75,880.0
