Trading_Code,Date,Open,High,Low,Close,Volume
RAKCERAMIC,2025-04-08,22.9,23.2,22.5,23.2,206553.0
RAKCERAMIC,2025-04-07,22.5,22.9,22.5,22.6,147718.0
RAKCERAMIC,2025-04-06,22.4,22.6,22.2,22.5,45503.0
RAKCERAMIC,2025-03-27,22.8,22.9,22.5,22.6,119181.0
RAKCERAMIC,2025-03-25,22.9,22.9,22.3,22.6,47944.0
RAKCERAMIC,2025-03-24,22.5,22.7,22.3,22.4,91207.0
RAKCERAMIC,2025-03-23,22.9,22.9,22.5,22.5,41092.0
RAKCERAMIC,2025-03-20,22.7,23.1,22.7,22.7,101844.0
RAKCERAMIC,2025-03-19,22.9,23.3,22.6,22.7,89061.0
RAKCERAMIC,2025-03-18,22.7,22.9,22.5,22.8,100442.0
RAKCERAMIC,2025-03-17,23.4,23.5,22.6,22.7,118562.0
RAKCERAMIC,2025-03-16,22.5,23.5,22.4,23.3,158458.0
RAKCERAMIC,2025-03-13,22.7,22.8,22.3,22.7,49570.0
RAKCERAMIC,2025-03-12,22.6,22.9,22.4,22.5,76418.0
RAKCERAMIC,2025-03-11,22.4,22.6,22.1,22.5,115376.0
RAKCERAMIC,2025-03-10,22.5,22.6,22.1,22.2,76321.0
RAKCERAMIC,2025-03-09,22.7,22.7,22.3,22.5,63044.0
RAKCERAMIC,2025-03-06,23.1,23.1,22.6,22.7,35290.0
RAKCERAMIC,2025-03-05,23.0,23.0,22.5,22.8,131698.0
RAKCERAMIC,2025-03-04,22.9,22.9,22.5,22.7,36607.0
RAKCERAMIC,2025-03-03,22.7,23.0,22.6,22.7,102122.0
RAKCERAMIC,2025-03-02,23.0,23.1,22.7,22.7,113052.0
RAKCERAMIC,2025-02-27,23.2,23.3,22.7,23.0,114019.0
RAKCERAMIC,2025-02-26,23.5,23.6,22.9,22.9,173968.0
RAKCERAMIC,2025-02-25,23.1,23.6,23.0,23.4,219582.0
RAKCERAMIC,2025-02-24,23.1,23.5,22.9,23.1,181624.0
RAKCERAMIC,2025-02-23,22.9,23.4,22.7,23.1,153312.0
RAKCERAMIC,2025-02-20,23.7,23.8,22.4,22.6,264150.0
RAKCERAMIC,2025-02-19,23.5,23.5,22.9,23.2,250917.0
RAKCERAMIC,2025-02-18,23.6,24.1,23.4,23.5,428798.0
RAKCERAMIC,2025-02-17,0.0,0.0,0.0,24.6,0.0
RAKCERAMIC,2025-02-16,25.5,25.6,24.5,24.6,410925.0
RAKCERAMIC,2025-02-13,25.5,26.3,25.0,25.6,469766.0
RAKCERAMIC,2025-02-12,23.7,25.6,23.4,25.5,1386053.0
RAKCERAMIC,2025-02-11,23.0,23.7,23.0,23.3,74431.0
RAKCERAMIC,2025-02-10,23.5,23.6,23.0,23.5,319887.0
RAKCERAMIC,2025-02-09,23.3,23.6,23.0,23.3,203026.0
RAKCERAMIC,2025-02-06,22.8,23.3,22.7,22.8,120799.0
RAKCERAMIC,2025-02-05,22.7,23.4,22.7,23.2,137414.0
RAKCERAMIC,2025-02-04,22.5,23.1,22.5,23.0,78819.0
RAKCERAMIC,2025-02-03,22.8,23.6,22.4,22.5,171912.0
RAKCERAMIC,2025-02-02,22.3,23.2,22.3,23.1,106371.0
RAKCERAMIC,2025-01-30,22.6,22.7,22.1,22.2,88672.0
RAKCERAMIC,2025-01-29,23.4,23.4,22.3,22.7,111613.0
RAKCERAMIC,2025-01-28,24.0,24.7,23.1,23.2,319417.0
RAKCERAMIC,2025-01-27,22.1,22.3,21.9,22.0,38388.0
RAKCERAMIC,2025-01-26,22.2,22.5,22.1,22.1,31119.0
RAKCERAMIC,2025-01-23,22.3,22.6,22.3,22.4,47556.0
RAKCERAMIC,2025-01-22,22.6,23.3,22.2,22.3,71496.0
RAKCERAMIC,2025-01-21,22.9,23.9,22.3,22.9,157116.0
RAKCERAMIC,2025-01-20,21.6,22.1,21.6,22.0,70215.0
RAKCERAMIC,2025-01-19,21.9,21.9,21.5,21.6,36882.0
RAKCERAMIC,2025-01-16,22.0,22.0,21.7,21.8,38306.0
RAKCERAMIC,2025-01-15,21.8,22.2,21.7,21.7,67850.0
RAKCERAMIC,2025-01-14,22.0,22.1,21.7,21.8,31800.0
RAKCERAMIC,2025-01-13,21.7,21.9,21.6,21.7,26087.0
RAKCERAMIC,2025-01-12,22.2,22.2,21.6,21.8,83424.0
RAKCERAMIC,2025-01-09,22.3,22.6,21.9,22.0,112940.0
RAKCERAMIC,2025-01-08,22.1,22.5,22.1,22.4,37437.0
RAKCERAMIC,2025-01-07,22.5,22.8,22.0,22.2,41973.0
RAKCERAMIC,2025-01-06,22.1,22.6,22.0,22.5,23653.0
RAKCERAMIC,2025-01-05,22.4,22.5,22.0,22.1,31878.0
RAKCERAMIC,2025-01-02,22.5,22.6,22.4,22.5,11127.0
RAKCERAMIC,2025-01-01,22.6,22.9,22.4,22.4,55971.0
RAKCERAMIC,2024-12-30,23.5,23.5,22.5,22.6,93140.0
RAKCERAMIC,2024-12-29,22.5,22.8,22.5,22.6,22814.0
RAKCERAMIC,2024-12-26,22.7,22.7,22.2,22.6,15773.0
RAKCERAMIC,2024-12-24,22.9,22.9,22.4,22.4,30122.0
RAKCERAMIC,2024-12-23,23.2,23.2,22.4,22.4,22087.0
RAKCERAMIC,2024-12-22,22.6,23.9,22.5,22.6,50479.0
RAKCERAMIC,2024-12-19,22.6,23.4,22.6,23.1,62422.0
