Trading_Code,Date,Open,High,Low,Close,Volume
RANGAFOOD,2009-12-05,8.1,8.2,7.9,7.9,31000.0
RANGAFOOD,2009-12-04,8.0,9.8,7.8,9.4,85000.0
RANGAFOOD,2009-12-03,6.4,7.0,6.3,6.5,21000.0
RANGAFOOD,2009-12-02,5.2,5.7,5.0,5.3,49000.0
RANGAFOOD,2009-12-01,3.5,3.9,3.5,3.7,30000.0
RANGAFOOD,2009-11-06,7.6,8.0,7.6,7.8,15500.0
RANGAFOOD,2009-11-05,8.2,8.2,7.7,7.9,52500.0
RANGAFOOD,2009-11-03,5.8,6.5,5.8,6.0,7500.0
RANGAFOOD,2009-11-02,5.6,5.6,5.1,5.4,30000.0
RANGAFOOD,2009-11-01,3.3,3.5,3.3,3.3,15000.0
RANGAFOOD,2009-10-06,7.9,7.9,7.8,7.8,9500.0
RANGAFOOD,2009-10-05,7.5,8.3,7.5,7.9,40500.0
RANGAFOOD,2009-10-02,5.9,6.1,5.8,5.9,21500.0
RANGAFOOD,2009-09-06,7.8,8.0,7.8,7.8,11000.0
RANGAFOOD,2009-09-04,8.0,8.9,8.0,8.6,86500.0
RANGAFOOD,2009-09-03,6.5,6.5,5.8,5.9,65000.0
RANGAFOOD,2009-09-02,5.5,6.0,5.5,5.8,28000.0
RANGAFOOD,2009-08-06,7.8,8.2,7.8,7.9,7500.0
RANGAFOOD,2009-08-04,7.2,7.8,7.2,7.5,57500.0
RANGAFOOD,2009-08-03,6.9,7.0,6.3,6.7,22500.0
RANGAFOOD,2009-08-02,6.3,6.3,5.8,5.8,16000.0
RANGAFOOD,2009-07-06,8.0,8.0,7.8,7.9,40500.0
RANGAFOOD,2009-07-05,7.1,7.3,6.9,7.1,28000.0
RANGAFOOD,2009-07-04,7.0,7.1,6.9,6.9,17500.0
RANGAFOOD,2009-07-01,3.3,3.4,3.3,3.3,4000.0
RANGAFOOD,2009-06-30,13.0,14.2,13.0,13.8,92000.0
RANGAFOOD,2009-06-29,13.5,13.8,13.0,13.5,35500.0
RANGAFOOD,2009-06-28,14.0,14.4,13.0,13.8,80000.0
RANGAFOOD,2009-06-25,12.5,15.1,12.5,14.8,139000.0
RANGAFOOD,2009-06-24,10.7,12.9,10.7,12.6,54500.0
RANGAFOOD,2009-06-23,10.6,11.1,10.6,10.9,28000.0
RANGAFOOD,2009-06-22,12.9,12.9,10.7,11.0,38000.0
RANGAFOOD,2009-06-21,11.3,12.8,11.2,12.2,89500.0
RANGAFOOD,2009-06-18,9.9,11.4,9.2,11.3,172500.0
RANGAFOOD,2009-06-17,8.2,9.8,8.2,9.5,162000.0
RANGAFOOD,2009-06-16,7.9,8.5,7.9,8.3,22000.0
RANGAFOOD,2009-06-15,8.0,8.2,8.0,8.0,28500.0
RANGAFOOD,2009-06-14,7.5,8.0,7.5,7.8,10500.0
RANGAFOOD,2009-06-05,7.0,7.1,7.0,7.0,15500.0
RANGAFOOD,2009-06-04,7.1,7.1,6.8,6.8,26000.0
RANGAFOOD,2009-06-01,3.3,3.3,3.2,3.2,12500.0
RANGAFOOD,2009-05-31,8.2,8.5,8.1,8.3,15500.0
