Trading_Code,Date,Open,High,Low,Close,Volume
RECKITTBEN,2025-04-08,4145.0,4200.0,3948.0,3958.7,11248.0
RECKITTBEN,2025-04-07,4257.5,4257.5,3940.3,3947.7,3403.0
RECKITTBEN,2025-04-06,3940.0,4054.8,3930.0,4054.8,575.0
RECKITTBEN,2025-03-27,3880.3,3880.6,3860.0,3861.8,516.0
RECKITTBEN,2025-03-25,3920.0,3920.0,3871.1,3874.5,724.0
RECKITTBEN,2025-03-24,3973.0,3975.0,3900.0,3902.7,478.0
RECKITTBEN,2025-03-23,3910.1,3943.9,3910.0,3929.4,27.0
RECKITTBEN,2025-03-20,3930.0,3939.9,3907.0,3910.1,703.0
RECKITTBEN,2025-03-19,4114.9,4114.9,3910.0,3935.6,444.0
RECKITTBEN,2025-03-18,3955.2,3960.0,3918.5,3919.9,304.0
RECKITTBEN,2025-03-17,3978.6,3988.0,3939.1,3941.8,208.0
RECKITTBEN,2025-03-16,3900.0,4081.0,3900.0,3978.6,148.0
RECKITTBEN,2025-03-13,3906.0,3938.8,3900.0,3900.8,680.0
RECKITTBEN,2025-03-12,3915.1,3938.0,3906.2,3914.1,320.0
RECKITTBEN,2025-03-11,3805.0,3970.0,3805.0,3921.4,522.0
RECKITTBEN,2025-03-10,3941.2,3950.0,3928.2,3929.2,909.0
RECKITTBEN,2025-03-09,3980.0,3989.9,3943.0,3944.6,276.0
RECKITTBEN,2025-03-06,3955.1,3957.8,3937.0,3943.2,789.0
RECKITTBEN,2025-03-05,3951.0,3982.0,3950.0,3954.8,2817.0
RECKITTBEN,2025-03-04,4000.0,4029.9,3950.0,3969.3,932.0
RECKITTBEN,2025-03-03,4010.0,4035.0,3990.0,3991.1,847.0
RECKITTBEN,2025-03-02,4139.4,4139.4,3980.5,4025.5,109.0
RECKITTBEN,2025-02-27,4058.9,4058.9,3990.0,3999.9,390.0
RECKITTBEN,2025-02-26,4080.0,4080.0,4003.2,4008.2,285.0
RECKITTBEN,2025-02-25,4079.8,4079.9,4040.0,4043.2,453.0
RECKITTBEN,2025-02-24,4082.0,4082.0,4050.0,4057.3,339.0
RECKITTBEN,2025-02-23,4054.5,4100.0,4054.5,4081.6,89.0
RECKITTBEN,2025-02-20,4140.0,4140.0,4041.5,4050.4,256.0
RECKITTBEN,2025-02-19,4130.0,4130.0,4080.0,4080.7,199.0
RECKITTBEN,2025-02-18,4088.5,4139.5,4081.0,4091.4,71.0
RECKITTBEN,2025-02-17,4100.0,4141.4,4083.1,4093.2,139.0
RECKITTBEN,2025-02-16,4060.6,4115.0,4060.6,4107.5,37.0
RECKITTBEN,2025-02-13,4143.0,4144.0,4098.0,4099.8,173.0
RECKITTBEN,2025-02-12,4094.0,4130.0,4090.3,4093.8,1323.0
RECKITTBEN,2025-02-11,4040.0,4100.0,4040.0,4093.6,945.0
RECKITTBEN,2025-02-10,4091.2,4092.0,4085.0,4090.1,56.0
RECKITTBEN,2025-02-09,4100.2,4134.9,4080.0,4081.7,80.0
RECKITTBEN,2025-02-06,4140.0,4140.0,4086.1,4090.6,241.0
RECKITTBEN,2025-02-05,4100.0,4110.0,4099.1,4107.7,112.0
RECKITTBEN,2025-02-04,4184.6,4184.6,4090.0,4097.6,70.0
RECKITTBEN,2025-02-03,4100.0,4135.0,4075.2,4133.5,207.0
RECKITTBEN,2025-02-02,4075.0,4100.0,4060.1,4094.9,512.0
RECKITTBEN,2025-01-30,4071.0,4100.0,4071.0,4074.7,333.0
RECKITTBEN,2025-01-29,4095.0,4110.0,4095.0,4100.0,888.0
RECKITTBEN,2025-01-28,4195.0,4195.0,4080.5,4086.8,346.0
RECKITTBEN,2025-01-27,4100.7,4107.0,4090.6,4100.0,458.0
RECKITTBEN,2025-01-26,4248.8,4248.8,4105.5,4108.7,207.0
RECKITTBEN,2025-01-23,4170.6,4199.9,4133.0,4145.1,147.0
RECKITTBEN,2025-01-22,4300.0,4300.0,4167.2,4170.5,165.0
RECKITTBEN,2025-01-21,4166.2,4230.0,4165.0,4195.1,116.0
RECKITTBEN,2025-01-20,4299.0,4299.0,4157.8,4160.6,198.0
RECKITTBEN,2025-01-19,4155.3,4200.0,4155.3,4157.4,244.0
RECKITTBEN,2025-01-16,4151.4,4200.0,4151.3,4164.2,196.0
RECKITTBEN,2025-01-15,4151.3,4199.9,4141.3,4154.9,43.0
RECKITTBEN,2025-01-14,4220.1,4240.0,4200.0,4214.3,266.0
RECKITTBEN,2025-01-13,4300.0,4300.1,4250.0,4273.4,245.0
RECKITTBEN,2025-01-12,4315.0,4324.9,4302.5,4309.9,104.0
RECKITTBEN,2025-01-09,4332.0,4332.0,4312.0,4314.8,90.0
RECKITTBEN,2025-01-08,4334.2,4338.0,4311.0,4313.1,117.0
RECKITTBEN,2025-01-07,4338.0,4339.0,4326.1,4334.0,239.0
RECKITTBEN,2025-01-06,4338.0,4340.0,4333.2,4335.2,139.0
RECKITTBEN,2025-01-05,4338.0,4338.0,4330.0,4334.2,202.0
RECKITTBEN,2025-01-02,4340.0,4340.1,4332.0,4335.3,263.0
RECKITTBEN,2025-01-01,4350.0,4350.0,4336.1,4337.3,134.0
RECKITTBEN,2024-12-30,4330.2,4350.0,4325.4,4350.0,122.0
RECKITTBEN,2024-12-29,4331.1,4349.9,4329.0,4330.8,194.0
RECKITTBEN,2024-12-26,4340.0,4340.0,4321.0,4327.6,235.0
RECKITTBEN,2024-12-24,4322.2,4340.1,4322.0,4333.7,105.0
RECKITTBEN,2024-12-23,4323.3,4327.1,4320.0,4326.7,260.0
RECKITTBEN,2024-12-22,4375.0,4375.0,4322.1,4341.6,57.0
RECKITTBEN,2024-12-19,4335.3,4360.0,4334.0,4340.6,48.0
RECKITTBEN,2024-12-18,4355.1,4380.0,4332.1,4335.3,162.0
RECKITTBEN,2024-12-17,4322.3,4385.8,4322.3,4355.1,27.0
RECKITTBEN,2024-12-15,4385.0,4385.0,4335.0,4353.3,24.0
RECKITTBEN,2024-12-12,4384.5,4384.5,4341.1,4358.3,5.0
RECKITTBEN,2024-12-11,4385.9,4385.9,4350.0,4351.4,81.0
RECKITTBEN,2024-12-10,4351.1,4352.2,4344.1,4350.4,118.0
RECKITTBEN,2024-12-09,4351.3,4359.0,4350.0,4354.1,120.0
RECKITTBEN,2024-12-08,4365.1,4398.0,4340.0,4358.6,21.0
RECKITTBEN,2024-12-05,4385.1,4385.1,4368.1,4375.8,50.0
RECKITTBEN,2024-12-04,4368.1,4465.0,4362.0,4421.9,132.0
RECKITTBEN,2024-12-03,4411.0,4425.0,4409.8,4417.4,89.0
RECKITTBEN,2024-12-02,4398.9,4400.0,4340.3,4392.0,126.0
RECKITTBEN,2024-12-01,4500.0,4500.0,4313.2,4339.3,25.0
RECKITTBEN,2024-11-28,4340.5,4351.3,4340.0,4344.6,222.0
RECKITTBEN,2024-11-27,4490.0,4490.0,4302.0,4305.6,357.0
RECKITTBEN,2024-11-26,4413.0,4450.0,4380.0,4385.2,131.0
RECKITTBEN,2024-11-25,4475.0,4499.0,4410.0,4471.4,107.0
RECKITTBEN,2024-11-24,4362.0,4480.0,4362.0,4475.2,113.0
RECKITTBEN,2024-11-21,4400.1,4499.8,4330.0,4407.9,484.0
RECKITTBEN,2024-11-20,4510.3,4510.3,4400.0,4404.6,473.0
RECKITTBEN,2024-11-19,4555.0,4580.0,4481.0,4498.8,271.0
RECKITTBEN,2024-11-18,4609.9,4609.9,4585.1,4593.5,37.0
RECKITTBEN,2024-11-17,4695.0,4695.0,4593.0,4608.1,81.0
RECKITTBEN,2024-11-14,4590.1,4600.0,4590.0,4592.9,147.0
RECKITTBEN,2024-11-13,4688.0,4688.0,4600.0,4629.7,143.0
RECKITTBEN,2024-11-12,4615.0,4615.0,4615.0,4615.0,10.0
RECKITTBEN,2024-11-11,4612.0,4612.0,4610.0,4610.4,54.0
RECKITTBEN,2024-11-10,4615.1,4615.1,4610.0,4612.5,17.0
RECKITTBEN,2024-11-07,4700.0,4709.0,4602.0,4615.1,123.0
RECKITTBEN,2024-11-06,4601.4,4649.8,4601.4,4642.3,13.0
RECKITTBEN,2024-11-05,4601.0,4685.0,4590.0,4618.2,192.0
RECKITTBEN,2024-11-04,4675.1,4675.1,4582.0,4600.0,335.0
RECKITTBEN,2024-11-03,4555.1,4725.0,4555.1,4699.2,97.0
RECKITTBEN,2024-10-31,4621.1,4700.0,4621.0,4642.9,32.0
RECKITTBEN,2024-10-30,4561.0,4700.0,4561.0,4646.6,101.0
RECKITTBEN,2024-10-29,4595.0,4648.0,4595.0,4613.1,48.0
RECKITTBEN,2024-10-28,4579.0,4580.0,4530.0,4576.8,95.0
RECKITTBEN,2024-10-27,4521.9,4644.9,4521.2,4531.7,57.0
RECKITTBEN,2024-10-24,4510.0,4555.0,4506.0,4521.9,132.0
RECKITTBEN,2024-10-23,4501.0,4507.5,4501.0,4507.2,22.0
RECKITTBEN,2024-10-22,4528.0,4698.0,4528.0,4577.4,221.0
RECKITTBEN,2024-10-21,4512.0,4600.0,4510.0,4522.8,15.0
RECKITTBEN,2024-10-20,4789.9,4790.0,4600.0,4662.2,13.0
RECKITTBEN,2024-10-17,4515.1,4679.8,4515.1,4658.9,28.0
RECKITTBEN,2024-10-16,4650.0,4650.0,4600.0,4630.5,20.0
RECKITTBEN,2024-10-15,4777.0,4777.0,4600.0,4607.3,185.0
RECKITTBEN,2024-10-14,4700.9,4749.0,4640.0,4716.3,44.0
RECKITTBEN,2024-10-09,4780.0,4780.0,4699.0,4709.1,118.0
RECKITTBEN,2024-10-08,4552.1,4768.0,4552.1,4742.2,26.0
RECKITTBEN,2024-10-07,4700.0,4700.0,4650.0,4667.5,98.0
RECKITTBEN,2024-10-06,4799.9,4799.9,4602.2,4769.3,56.0
RECKITTBEN,2024-10-03,4779.0,4779.0,4767.0,4768.1,19.0
RECKITTBEN,2024-10-02,4611.1,4700.0,4501.0,4561.4,37.0
RECKITTBEN,2024-10-01,4730.1,4730.1,4692.1,4699.8,264.0
RECKITTBEN,2024-09-30,4750.0,4800.0,4750.0,4782.5,725.0
RECKITTBEN,2024-09-29,4798.2,4798.2,4730.0,4786.7,11.0
RECKITTBEN,2024-09-26,4702.0,4799.9,4702.0,4798.2,690.0
RECKITTBEN,2024-09-25,4800.0,4800.0,4700.0,4770.7,472.0
RECKITTBEN,2024-09-24,4800.0,4800.0,4756.0,4781.9,186.0
RECKITTBEN,2024-09-23,4820.0,4820.0,4800.0,4804.4,106.0
RECKITTBEN,2024-09-22,4800.0,4810.0,4770.0,4788.1,41.0
RECKITTBEN,2024-09-19,4801.0,4801.0,4800.0,4800.0,68.0
RECKITTBEN,2024-09-18,4880.0,4880.0,4780.0,4788.1,80.0
RECKITTBEN,2024-09-17,4820.1,4839.0,4785.0,4791.3,148.0
RECKITTBEN,2024-09-15,4889.0,4889.0,4884.0,4885.1,22.0
RECKITTBEN,2024-09-12,4831.0,4840.0,4810.0,4820.0,16765.0
