Trading_Code,Date,Open,High,Low,Close,Volume
REGENTTEX,2025-04-08,4.1,4.1,3.8,3.9,21201.0
REGENTTEX,2025-04-07,4.1,4.1,3.8,3.8,44098.0
REGENTTEX,2025-04-06,3.9,4.2,3.9,3.9,6654.0
REGENTTEX,2025-03-27,4.1,4.2,4.0,4.1,33001.0
REGENTTEX,2025-03-25,4.0,4.0,3.9,4.0,11334.0
REGENTTEX,2025-03-24,3.9,4.1,3.9,4.0,5460.0
REGENTTEX,2025-03-23,4.0,4.1,4.0,4.0,3200.0
REGENTTEX,2025-03-20,4.0,4.1,4.0,4.0,16779.0
REGENTTEX,2025-03-19,4.0,4.1,4.0,4.0,17329.0
REGENTTEX,2025-03-18,4.2,4.2,3.9,3.9,14131.0
REGENTTEX,2025-03-17,4.2,4.2,4.0,4.0,12230.0
REGENTTEX,2025-03-16,4.0,4.0,3.9,4.0,56545.0
REGENTTEX,2025-03-13,4.1,4.1,4.0,4.0,39721.0
REGENTTEX,2025-03-12,4.0,4.2,4.0,4.0,51891.0
REGENTTEX,2025-03-11,4.0,4.1,4.0,4.1,26817.0
REGENTTEX,2025-03-10,3.9,4.1,3.9,4.1,43814.0
REGENTTEX,2025-03-09,3.9,4.1,3.9,4.0,9119.0
REGENTTEX,2025-03-06,4.0,4.1,3.8,3.9,138899.0
REGENTTEX,2025-03-05,4.1,4.2,4.0,4.0,57283.0
REGENTTEX,2025-03-04,4.2,4.4,4.1,4.2,12956.0
REGENTTEX,2025-03-03,4.4,4.5,4.2,4.3,58146.0
REGENTTEX,2025-03-02,4.5,4.5,4.4,4.4,94471.0
REGENTTEX,2025-02-27,4.5,4.6,4.4,4.4,25386.0
REGENTTEX,2025-02-26,4.3,4.6,4.3,4.4,24596.0
REGENTTEX,2025-02-25,4.4,4.6,4.4,4.5,120559.0
REGENTTEX,2025-02-24,4.4,4.6,4.4,4.5,162369.0
REGENTTEX,2025-02-23,4.3,4.4,4.2,4.3,92312.0
REGENTTEX,2025-02-20,4.2,4.4,4.1,4.3,32464.0
REGENTTEX,2025-02-19,4.4,4.5,4.2,4.3,124539.0
REGENTTEX,2025-02-18,4.5,4.6,4.4,4.5,154268.0
REGENTTEX,2025-02-17,4.7,4.8,4.5,4.6,251939.0
REGENTTEX,2025-02-16,4.8,4.8,4.6,4.8,726518.0
REGENTTEX,2025-02-13,4.2,4.4,4.2,4.4,130609.0
REGENTTEX,2025-02-12,4.1,4.2,4.0,4.0,63393.0
REGENTTEX,2025-02-11,4.0,4.1,3.9,4.1,59077.0
REGENTTEX,2025-02-10,3.9,4.0,3.9,3.9,12738.0
REGENTTEX,2025-02-09,4.1,4.1,3.9,4.0,28644.0
REGENTTEX,2025-02-06,4.0,4.1,3.9,4.1,159905.0
REGENTTEX,2025-02-05,3.9,4.0,3.8,3.8,52702.0
REGENTTEX,2025-02-04,3.7,3.8,3.7,3.8,18509.0
REGENTTEX,2025-02-03,3.9,4.0,3.7,3.7,178769.0
REGENTTEX,2025-02-02,3.7,3.9,3.6,3.8,65636.0
REGENTTEX,2025-01-30,3.9,3.9,3.7,3.8,17195.0
REGENTTEX,2025-01-29,4.0,4.0,3.7,3.8,42435.0
REGENTTEX,2025-01-28,3.7,4.0,3.7,4.0,139840.0
REGENTTEX,2025-01-27,3.7,3.8,3.7,3.7,1403.0
REGENTTEX,2025-01-26,3.7,3.8,3.7,3.8,15104.0
REGENTTEX,2025-01-23,3.6,3.8,3.6,3.7,22757.0
REGENTTEX,2025-01-22,3.7,3.9,3.7,3.7,8661.0
REGENTTEX,2025-01-21,3.7,3.8,3.7,3.7,10728.0
REGENTTEX,2025-01-20,3.7,3.8,3.7,3.8,17639.0
