Trading_Code,Date,Open,High,Low,Close,Volume
RELIANCINS,2025-04-08,54.0,54.0,52.8,52.9,35393.0
RELIANCINS,2025-04-07,53.5,54.6,53.0,53.1,10006.0
RELIANCINS,2025-04-06,53.8,53.8,53.5,53.5,10552.0
RELIANCINS,2025-03-27,53.7,53.8,53.5,53.7,2362.0
RELIANCINS,2025-03-25,54.0,54.0,53.5,53.6,7313.0
RELIANCINS,2025-03-24,53.1,53.9,53.0,53.7,5530.0
RELIANCINS,2025-03-23,53.2,53.6,52.8,53.1,18892.0
RELIANCINS,2025-03-20,54.2,54.2,53.3,53.6,17177.0
RELIANCINS,2025-03-19,54.0,54.4,53.3,53.5,23852.0
RELIANCINS,2025-03-18,54.2,54.6,54.1,54.2,18343.0
RELIANCINS,2025-03-17,55.2,55.3,54.0,54.1,19340.0
RELIANCINS,2025-03-16,54.2,55.5,54.0,54.8,20549.0
RELIANCINS,2025-03-13,54.2,54.7,54.0,54.2,16383.0
RELIANCINS,2025-03-12,54.3,54.5,53.9,53.9,21278.0
RELIANCINS,2025-03-11,53.7,54.0,53.1,53.9,16483.0
RELIANCINS,2025-03-10,53.1,53.4,52.5,52.8,14199.0
RELIANCINS,2025-03-09,54.4,54.4,53.0,53.1,26463.0
RELIANCINS,2025-03-06,54.0,54.6,54.0,54.4,10917.0
RELIANCINS,2025-03-05,53.9,54.6,53.7,54.1,13089.0
RELIANCINS,2025-03-04,56.0,56.0,53.5,54.2,60536.0
RELIANCINS,2025-03-03,0.0,0.0,0.0,57.5,0.0
RELIANCINS,2025-03-02,57.7,58.0,57.4,57.5,159088.0
RELIANCINS,2025-02-27,57.3,57.7,56.9,57.5,33586.0
RELIANCINS,2025-02-26,57.9,57.9,57.0,57.3,28293.0
RELIANCINS,2025-02-25,57.8,58.0,57.3,57.4,54427.0
RELIANCINS,2025-02-24,57.7,58.0,57.3,57.4,33749.0
RELIANCINS,2025-02-23,57.4,58.3,57.0,58.1,40981.0
RELIANCINS,2025-02-20,56.9,57.3,56.7,56.9,26201.0
RELIANCINS,2025-02-19,57.6,57.6,56.9,57.0,31954.0
RELIANCINS,2025-02-18,57.3,58.0,57.2,57.4,64805.0
RELIANCINS,2025-02-17,57.9,58.3,57.2,57.6,45194.0
RELIANCINS,2025-02-16,58.4,58.6,57.8,57.9,20244.0
RELIANCINS,2025-02-13,58.2,58.2,57.2,57.9,39282.0
RELIANCINS,2025-02-12,59.0,59.1,57.7,57.9,45921.0
RELIANCINS,2025-02-11,60.0,60.0,57.8,58.2,165263.0
RELIANCINS,2025-02-10,57.4,58.0,56.9,57.4,26870.0
RELIANCINS,2025-02-09,58.1,58.1,57.2,57.4,28607.0
RELIANCINS,2025-02-06,58.0,58.5,57.1,58.1,24520.0
RELIANCINS,2025-02-05,58.7,59.0,57.4,57.4,31646.0
RELIANCINS,2025-02-04,57.1,58.6,57.0,58.4,45009.0
RELIANCINS,2025-02-03,56.9,57.5,56.9,57.3,21501.0
RELIANCINS,2025-02-02,56.8,57.2,56.0,56.9,20323.0
RELIANCINS,2025-01-30,57.7,57.7,56.5,56.8,15860.0
RELIANCINS,2025-01-29,57.1,57.4,56.6,56.9,20449.0
RELIANCINS,2025-01-28,57.0,57.3,56.7,57.3,16712.0
