Trading_Code,Date,Open,High,Low,Close,Volume
RENATA,2025-04-08,498.6,501.0,496.0,496.5,29668.0
RENATA,2025-04-07,502.0,502.0,498.0,498.2,42791.0
RENATA,2025-04-06,500.5,502.0,498.2,501.7,19272.0
RENATA,2025-03-27,502.1,503.4,500.0,500.5,41409.0
RENATA,2025-03-25,504.0,504.8,501.2,501.9,16213.0
RENATA,2025-03-24,502.2,505.0,500.1,501.8,7713.0
RENATA,2025-03-23,503.4,504.9,500.0,502.2,9953.0
RENATA,2025-03-20,502.5,504.9,501.5,503.4,13751.0
RENATA,2025-03-19,502.9,504.3,500.0,504.1,12966.0
RENATA,2025-03-18,503.5,505.0,502.0,502.6,4371.0
RENATA,2025-03-17,505.9,505.9,501.8,503.1,6994.0
RENATA,2025-03-16,505.0,508.9,503.1,503.5,5899.0
RENATA,2025-03-13,503.2,506.9,503.0,504.7,6926.0
RENATA,2025-03-12,502.3,506.8,502.3,503.7,9427.0
RENATA,2025-03-11,503.2,507.7,503.0,504.1,22031.0
RENATA,2025-03-10,505.4,509.0,502.1,503.8,13566.0
RENATA,2025-03-09,502.1,507.4,501.7,505.4,17848.0
RENATA,2025-03-06,500.9,507.5,500.2,501.9,72704.0
RENATA,2025-03-05,498.9,507.0,498.8,500.6,57405.0
RENATA,2025-03-04,510.9,511.9,495.3,500.3,45783.0
RENATA,2025-03-03,507.9,509.0,506.5,507.1,10128.0
RENATA,2025-03-02,507.0,512.0,505.1,506.5,9736.0
RENATA,2025-02-27,513.2,516.0,508.0,508.3,16624.0
RENATA,2025-02-26,512.6,517.0,512.6,513.4,6911.0
RENATA,2025-02-25,515.0,518.0,513.0,514.5,9608.0
RENATA,2025-02-24,519.5,519.5,513.0,514.1,9380.0
RENATA,2025-02-23,520.0,521.4,512.1,514.6,8216.0
RENATA,2025-02-20,522.0,522.0,516.0,517.0,7548.0
RENATA,2025-02-19,519.5,522.7,513.0,518.9,13830.0
RENATA,2025-02-18,521.0,522.9,518.0,519.5,11556.0
RENATA,2025-02-17,526.0,526.0,515.0,520.9,18292.0
RENATA,2025-02-16,525.0,533.8,518.0,519.1,38877.0
RENATA,2025-02-13,504.5,527.0,503.1,521.6,38899.0
RENATA,2025-02-12,505.0,505.0,500.0,501.6,12820.0
RENATA,2025-02-11,500.0,503.2,498.1,502.4,19274.0
RENATA,2025-02-10,501.0,501.0,495.1,496.4,21535.0
RENATA,2025-02-09,504.0,504.0,497.1,499.4,12100.0
RENATA,2025-02-06,501.2,504.2,500.0,501.3,22615.0
RENATA,2025-02-05,501.0,504.8,500.2,501.7,12826.0
RENATA,2025-02-04,507.0,508.0,500.0,500.2,17995.0
RENATA,2025-02-03,498.0,506.9,497.0,503.1,42774.0
RENATA,2025-02-02,500.0,508.8,495.0,497.6,17125.0
RENATA,2025-01-30,510.0,510.0,498.7,499.3,40079.0
RENATA,2025-01-29,530.0,530.0,506.1,508.5,26030.0
RENATA,2025-01-28,535.0,536.0,525.0,526.1,30310.0
RENATA,2025-01-27,554.0,554.0,533.2,534.2,22894.0
