Trading_Code,Date,Open,High,Low,Close,Volume
RENWICKJA,2025-04-08,626.0,629.0,611.0,626.2,318.0
RENWICKJA,2025-04-07,622.0,622.0,612.0,614.3,72.0
RENWICKJA,2025-04-06,645.0,645.0,629.0,629.6,32.0
RENWICKJA,2025-03-27,629.3,629.3,629.3,629.3,10.0
RENWICKJA,2025-03-25,620.3,629.8,620.2,622.5,42.0
RENWICKJA,2025-03-24,628.1,638.0,628.1,630.8,808.0
RENWICKJA,2025-03-23,629.5,629.5,629.5,629.5,1.0
RENWICKJA,2025-03-20,628.9,629.8,620.2,628.2,150.0
RENWICKJA,2025-03-19,613.3,650.0,610.2,622.8,618.0
RENWICKJA,2025-03-18,629.0,630.0,627.8,629.1,70.0
RENWICKJA,2025-03-17,0.0,0.0,0.0,632.0,0.0
RENWICKJA,2025-03-16,635.0,635.5,611.0,632.0,70.0
RENWICKJA,2025-03-13,606.1,662.0,604.0,635.5,797.0
RENWICKJA,2025-03-12,635.8,636.0,610.2,622.5,302.0
RENWICKJA,2025-03-11,639.0,639.0,639.0,639.0,50.0
RENWICKJA,2025-03-10,595.2,595.2,595.2,595.2,11.0
RENWICKJA,2025-03-09,637.0,637.0,637.0,637.0,1.0
RENWICKJA,2025-03-06,655.0,655.0,619.8,626.5,35.0
RENWICKJA,2025-03-05,619.7,619.7,619.7,619.7,1.0
RENWICKJA,2025-03-04,608.6,608.6,608.6,608.6,25.0
RENWICKJA,2025-03-03,612.0,612.0,601.0,605.5,250.0
RENWICKJA,2025-03-02,629.7,639.8,610.2,627.5,370.0
RENWICKJA,2025-02-27,620.8,624.8,619.0,620.0,73.0
RENWICKJA,2025-02-26,611.0,611.0,610.2,610.3,75.0
RENWICKJA,2025-02-25,0.0,0.0,0.0,618.2,0.0
RENWICKJA,2025-02-24,620.8,622.0,610.2,618.2,56.0
RENWICKJA,2025-02-23,621.0,621.0,621.0,621.0,24.0
RENWICKJA,2025-02-20,600.9,669.0,600.2,620.2,41.0
RENWICKJA,2025-02-19,0.0,0.0,0.0,632.6,0.0
