Trading_Code,Date,Open,High,Low,Close,Volume
REPUBLIC,2025-04-08,28.0,28.9,27.7,28.0,54147.0
REPUBLIC,2025-04-07,28.6,28.7,28.1,28.6,28530.0
REPUBLIC,2025-04-06,28.0,28.7,28.0,28.2,39061.0
REPUBLIC,2025-03-27,28.1,28.8,28.0,28.4,67715.0
REPUBLIC,2025-03-25,27.6,28.9,27.6,28.1,64323.0
REPUBLIC,2025-03-24,28.2,28.9,28.0,28.0,35703.0
REPUBLIC,2025-03-23,28.6,29.6,28.3,28.5,52373.0
REPUBLIC,2025-03-20,28.0,29.2,28.0,29.0,38038.0
REPUBLIC,2025-03-19,28.6,29.4,28.6,28.8,62407.0
REPUBLIC,2025-03-18,28.6,29.4,28.5,28.8,45956.0
REPUBLIC,2025-03-17,29.7,29.7,28.8,28.9,76293.0
REPUBLIC,2025-03-16,28.3,29.8,28.3,29.5,182245.0
REPUBLIC,2025-03-13,28.6,29.5,28.5,28.7,384162.0
REPUBLIC,2025-03-12,28.0,29.5,28.0,28.4,197170.0
REPUBLIC,2025-03-11,27.6,28.5,27.6,28.2,70918.0
REPUBLIC,2025-03-10,27.5,28.5,27.5,27.8,28016.0
REPUBLIC,2025-03-09,27.4,28.2,27.4,27.9,13767.0
REPUBLIC,2025-03-06,27.6,28.5,27.6,28.0,18596.0
REPUBLIC,2025-03-05,27.8,28.3,27.8,28.0,35906.0
REPUBLIC,2025-03-04,27.8,28.4,27.8,27.9,29134.0
REPUBLIC,2025-03-03,28.7,29.3,27.8,27.9,47540.0
REPUBLIC,2025-03-02,27.6,28.7,27.6,28.0,28992.0
REPUBLIC,2025-02-27,27.6,28.5,27.6,28.2,66848.0
REPUBLIC,2025-02-26,27.7,28.7,27.7,27.9,63176.0
REPUBLIC,2025-02-25,27.7,28.8,27.6,28.1,92390.0
REPUBLIC,2025-02-24,27.6,29.2,27.6,28.0,83537.0
REPUBLIC,2025-02-23,26.7,28.9,26.7,28.4,240601.0
REPUBLIC,2025-02-20,26.7,27.5,26.7,26.9,142022.0
REPUBLIC,2025-02-19,26.6,27.5,26.6,26.9,89226.0
REPUBLIC,2025-02-18,27.7,27.7,26.5,26.7,96579.0
REPUBLIC,2025-02-17,27.6,28.0,27.0,27.2,67266.0
REPUBLIC,2025-02-16,27.3,27.9,27.3,27.7,56170.0
REPUBLIC,2025-02-13,27.3,27.8,27.3,27.7,22024.0
REPUBLIC,2025-02-12,27.4,27.6,27.3,27.4,39339.0
REPUBLIC,2025-02-11,27.3,27.6,27.2,27.4,77339.0
REPUBLIC,2025-02-10,27.1,27.3,27.0,27.3,42556.0
REPUBLIC,2025-02-09,27.4,27.7,27.3,27.4,28927.0
REPUBLIC,2025-02-06,27.2,28.2,27.2,27.4,55001.0
REPUBLIC,2025-02-05,29.3,29.3,27.5,27.8,58650.0
REPUBLIC,2025-02-04,28.4,29.0,27.5,28.4,58897.0
REPUBLIC,2025-02-03,28.0,28.6,27.0,28.0,107682.0
REPUBLIC,2025-02-02,27.1,27.7,27.0,27.2,44765.0
REPUBLIC,2025-01-30,27.4,27.4,27.1,27.2,33109.0
